Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.376,7.653
1982,Annual,East Midlands,0.454,9.776
1983,Annual,East Midlands,0.417,7.949
1984,Annual,East Midlands,0.434,8.969
1985,Annual,East Midlands,0.407,12.143
1986,Annual,East Midlands,0.446,9.286
1987,Annual,East Midlands,0.474,12.296
1988,Annual,East Midlands,0.458,9.867
1989,Annual,East Midlands,0.460,9.622
1990,Annual,East Midlands,0.469,9.643
1991,Annual,East Midlands,0.530,12.153
1992,Annual,East Midlands,0.425,7.347
1993,Annual,East Midlands,0.450,10.827
1994,Annual,East Midlands,0.484,9.816
1995,Annual,East Midlands,0.443,10.592
1996,Annual,East Midlands,0.445,9.316
1997,Annual,East Midlands,0.463,8.653
1998,Annual,East Midlands,0.445,9.133
1999,Annual,East Midlands,0.419,7.551
2000,Annual,East Midlands,0.430,10.367
2001,Annual,East Midlands,0.468,11.153
2002,Annual,East Midlands,0.482,12.398
2003,Annual,East Midlands,0.448,10.357
2004,Annual,East Midlands,0.426,9.602
2005,Annual,East Midlands,0.403,10.102
2006,Annual,East Midlands,0.435,9.796
2007,Annual,East Midlands,0.420,12.082
2008,Annual,East Midlands,0.475,11.755
2009,Annual,East Midlands,0.377,8.449
2010,Annual,East Midlands,0.425,13.520
2011,Annual,East Midlands,0.459,9.306
2012,Annual,East Midlands,0.453,10.949
2013,Annual,East Midlands,0.462,12.714
2014,Annual,East Midlands,0.474,9.531
2015,Annual,East Midlands,0.468,11.235
2016,Annual,East Midlands,0.448,13.622
2017,Annual,East Midlands,0.430,7.592
2018,Annual,East Midlands,0.421,8.857
2019,Annual,East Midlands,0.480,8.633
2020,Annual,East Midlands,0.442,10.133
2021,Annual,East Midlands,0.471,9.704
2022,Annual,East Midlands,0.445,8.847
2023,Annual,East Midlands,0.379,7.643
2024,Annual,East Midlands,0.503,11.418
2025,Annual,East Midlands,0.397,7.561
2026,Annual,East Midlands,0.449,9.092
2027,Annual,East Midlands,0.390,9.082
2028,Annual,East Midlands,0.488,10.490
2029,Annual,East Midlands,0.493,10.112
2030,Annual,East Midlands,0.417,10.031
2031,Annual,East Midlands,0.489,11.653
2032,Annual,East Midlands,0.457,9.745
2033,Annual,East Midlands,0.406,10.929
2034,Annual,East Midlands,0.438,8.878
2035,Annual,East Midlands,0.482,11.041
2036,Annual,East Midlands,0.467,9.143
2037,Annual,East Midlands,0.440,9.541
2038,Annual,East Midlands,0.455,8.439
2039,Annual,East Midlands,0.463,9.316
2040,Annual,East Midlands,0.508,11.827
2041,Annual,East Midlands,0.486,9.765
2042,Annual,East Midlands,0.445,11.388
2043,Annual,East Midlands,0.445,9.867
2044,Annual,East Midlands,0.512,9.010
2045,Annual,East Midlands,0.501,10.939
2046,Annual,East Midlands,0.489,8.602
2047,Annual,East Midlands,0.467,10.551
2048,Annual,East Midlands,0.454,10.949
2049,Annual,East Midlands,0.393,7.684
2050,Annual,East Midlands,0.369,10.520
2051,Annual,East Midlands,0.445,7.888
2052,Annual,East Midlands,0.404,8.020
2053,Annual,East Midlands,0.448,10.510
2054,Annual,East Midlands,0.404,8.908
2055,Annual,East Midlands,0.402,8.816
2056,Annual,East Midlands,0.403,8.520
2057,Annual,East Midlands,0.453,10.071
2058,Annual,East Midlands,0.454,9.286
2059,Annual,East Midlands,0.477,11.092
2060,Annual,East Midlands,0.419,9.847
2061,Annual,East Midlands,0.484,14.735
2062,Annual,East Midlands,0.491,10.837
2063,Annual,East Midlands,0.435,8.643
2064,Annual,East Midlands,0.457,9.724
2065,Annual,East Midlands,0.394,8.459
2066,Annual,East Midlands,0.412,11.878
2067,Annual,East Midlands,0.450,9.367
2068,Annual,East Midlands,0.422,7.857
2069,Annual,East Midlands,0.399,8.143
2070,Annual,East Midlands,0.402,8.367
2071,Annual,East Midlands,0.421,9.102
2072,Annual,East Midlands,0.379,7.796
2073,Annual,East Midlands,0.475,9.806
2074,Annual,East Midlands,0.441,8.612
2075,Annual,East Midlands,0.394,6.704
2076,Annual,East Midlands,0.420,8.755
2077,Annual,East Midlands,0.428,7.531
2078,Annual,East Midlands,0.456,10.000
2079,Annual,East Midlands,0.478,9.755
2080,Annual,East Midlands,0.396,12.878
1981,Annual,East of England,0.367,7.323
1982,Annual,East of England,0.446,9.161
1983,Annual,East of England,0.405,7.379
1984,Annual,East of England,0.399,6.952
1985,Annual,East of England,0.394,10.081
1986,Annual,East of England,0.428,8.242
1987,Annual,East of England,0.451,13.532
1988,Annual,East of England,0.412,8.097
1989,Annual,East of England,0.416,8.694
1990,Annual,East of England,0.400,8.492
1991,Annual,East of England,0.494,8.887
1992,Annual,East of England,0.423,7.742
1993,Annual,East of England,0.439,9.847
1994,Annual,East of England,0.481,8.742
1995,Annual,East of England,0.425,8.815
1996,Annual,East of England,0.419,8.081
1997,Annual,East of England,0.439,8.202
1998,Annual,East of England,0.427,9.274
1999,Annual,East of England,0.392,9.653
2000,Annual,East of England,0.397,9.597
2001,Annual,East of England,0.461,9.815
2002,Annual,East of England,0.446,9.637
2003,Annual,East of England,0.436,8.032
2004,Annual,East of England,0.407,10.806
2005,Annual,East of England,0.397,8.500
2006,Annual,East of England,0.406,8.476
2007,Annual,East of England,0.409,8.105
2008,Annual,East of England,0.462,9.895
2009,Annual,East of England,0.330,6.629
2010,Annual,East of England,0.386,10.379
2011,Annual,East of England,0.459,8.508
2012,Annual,East of England,0.441,10.000
2013,Annual,East of England,0.410,8.734
2014,Annual,East of England,0.447,8.395
2015,Annual,East of England,0.435,8.879
2016,Annual,East of England,0.398,7.992
2017,Annual,East of England,0.392,7.105
2018,Annual,East of England,0.410,9.040
2019,Annual,East of England,0.430,7.177
2020,Annual,East of England,0.395,7.798
2021,Annual,East of England,0.455,9.444
2022,Annual,East of England,0.432,9.081
2023,Annual,East of England,0.392,7.863
2024,Annual,East of England,0.471,7.976
2025,Annual,East of England,0.354,7.581
2026,Annual,East of England,0.438,10.887
2027,Annual,East of England,0.381,8.298
2028,Annual,East of England,0.463,10.702
2029,Annual,East of England,0.454,9.218
2030,Annual,East of England,0.394,7.177
2031,Annual,East of England,0.479,12.968
2032,Annual,East of England,0.433,9.210
2033,Annual,East of England,0.382,8.008
2034,Annual,East of England,0.425,8.258
2035,Annual,East of England,0.467,8.000
2036,Annual,East of England,0.445,9.460
2037,Annual,East of England,0.384,7.339
2038,Annual,East of England,0.418,8.476
2039,Annual,East of England,0.421,6.782
2040,Annual,East of England,0.489,9.145
2041,Annual,East of England,0.466,8.645
2042,Annual,East of England,0.426,8.282
2043,Annual,East of England,0.448,8.468
2044,Annual,East of England,0.497,7.976
2045,Annual,East of England,0.479,8.661
2046,Annual,East of England,0.455,9.234
2047,Annual,East of England,0.424,9.113
2048,Annual,East of England,0.422,10.460
2049,Annual,East of England,0.388,8.008
2050,Annual,East of England,0.331,8.581
2051,Annual,East of England,0.427,7.194
2052,Annual,East of England,0.396,7.105
2053,Annual,East of England,0.422,8.581
2054,Annual,East of England,0.370,8.500
2055,Annual,East of England,0.367,6.863
2056,Annual,East of England,0.380,8.589
2057,Annual,East of England,0.430,10.895
2058,Annual,East of England,0.437,9.177
2059,Annual,East of England,0.432,8.919
2060,Annual,East of England,0.386,7.677
2061,Annual,East of England,0.451,8.202
2062,Annual,East of England,0.454,8.323
2063,Annual,East of England,0.418,7.339
2064,Annual,East of England,0.442,9.298
2065,Annual,East of England,0.361,7.250
2066,Annual,East of England,0.405,10.516
2067,Annual,East of England,0.411,8.516
2068,Annual,East of England,0.398,7.621
2069,Annual,East of England,0.378,7.177
2070,Annual,East of England,0.354,6.782
2071,Annual,East of England,0.404,8.524
2072,Annual,East of England,0.366,6.702
2073,Annual,East of England,0.448,8.621
2074,Annual,East of England,0.411,7.387
2075,Annual,East of England,0.379,6.750
2076,Annual,East of England,0.412,8.597
2077,Annual,East of England,0.419,7.774
2078,Annual,East of England,0.415,8.177
2079,Annual,East of England,0.464,9.790
2080,Annual,East of England,0.399,10.589
1981,Annual,East Scotland,0.540,16.397
1982,Annual,East Scotland,0.574,16.506
1983,Annual,East Scotland,0.542,13.295
1984,Annual,East Scotland,0.551,17.199
1985,Annual,East Scotland,0.498,13.314
1986,Annual,East Scotland,0.581,14.994
1987,Annual,East Scotland,0.601,14.821
1988,Annual,East Scotland,0.582,16.519
1989,Annual,East Scotland,0.575,14.853
1990,Annual,East Scotland,0.593,14.660
1991,Annual,East Scotland,0.608,20.199
1992,Annual,East Scotland,0.559,13.801
1993,Annual,East Scotland,0.588,14.615
1994,Annual,East Scotland,0.604,16.135
1995,Annual,East Scotland,0.536,14.654
1996,Annual,East Scotland,0.583,17.359
1997,Annual,East Scotland,0.602,17.647
1998,Annual,East Scotland,0.567,13.763
1999,Annual,East Scotland,0.556,11.750
2000,Annual,East Scotland,0.542,15.423
2001,Annual,East Scotland,0.559,15.333
2002,Annual,East Scotland,0.578,16.737
2003,Annual,East Scotland,0.595,18.487
2004,Annual,East Scotland,0.530,15.327
2005,Annual,East Scotland,0.548,13.699
2006,Annual,East Scotland,0.562,15.724
2007,Annual,East Scotland,0.518,15.051
2008,Annual,East Scotland,0.525,14.404
2009,Annual,East Scotland,0.495,14.603
2010,Annual,East Scotland,0.524,14.526
2011,Annual,East Scotland,0.525,12.821
2012,Annual,East Scotland,0.559,17.487
2013,Annual,East Scotland,0.575,16.628
2014,Annual,East Scotland,0.559,13.513
2015,Annual,East Scotland,0.595,12.853
2016,Annual,East Scotland,0.592,14.269
2017,Annual,East Scotland,0.561,18.141
2018,Annual,East Scotland,0.560,15.955
2019,Annual,East Scotland,0.586,13.795
2020,Annual,East Scotland,0.585,15.019
2021,Annual,East Scotland,0.606,16.872
2022,Annual,East Scotland,0.569,17.038
2023,Annual,East Scotland,0.529,14.231
2024,Annual,East Scotland,0.596,16.429
2025,Annual,East Scotland,0.521,16.071
2026,Annual,East Scotland,0.573,14.788
2027,Annual,East Scotland,0.502,13.051
2028,Annual,East Scotland,0.590,17.731
2029,Annual,East Scotland,0.589,20.186
2030,Annual,East Scotland,0.535,19.333
2031,Annual,East Scotland,0.591,18.506
2032,Annual,East Scotland,0.552,12.795
2033,Annual,East Scotland,0.521,12.865
2034,Annual,East Scotland,0.559,13.122
2035,Annual,East Scotland,0.618,16.192
2036,Annual,East Scotland,0.530,12.827
2037,Annual,East Scotland,0.571,16.615
2038,Annual,East Scotland,0.522,12.564
2039,Annual,East Scotland,0.553,13.218
2040,Annual,East Scotland,0.628,16.981
2041,Annual,East Scotland,0.618,16.160
2042,Annual,East Scotland,0.564,14.141
2043,Annual,East Scotland,0.544,13.737
2044,Annual,East Scotland,0.559,15.314
2045,Annual,East Scotland,0.559,18.372
2046,Annual,East Scotland,0.585,15.167
2047,Annual,East Scotland,0.579,16.212
2048,Annual,East Scotland,0.549,16.410
2049,Annual,East Scotland,0.515,13.994
2050,Annual,East Scotland,0.496,12.571
2051,Annual,East Scotland,0.559,13.564
2052,Annual,East Scotland,0.576,15.026
2053,Annual,East Scotland,0.530,13.333
2054,Annual,East Scotland,0.504,13.372
2055,Annual,East Scotland,0.588,16.494
2056,Annual,East Scotland,0.515,13.160
2057,Annual,East Scotland,0.578,16.577
2058,Annual,East Scotland,0.547,14.314
2059,Annual,East Scotland,0.547,15.090
2060,Annual,East Scotland,0.529,12.173
2061,Annual,East Scotland,0.564,16.840
2062,Annual,East Scotland,0.519,13.987
2063,Annual,East Scotland,0.539,16.295
2064,Annual,East Scotland,0.610,15.019
2065,Annual,East Scotland,0.515,13.192
2066,Annual,East Scotland,0.554,17.635
2067,Annual,East Scotland,0.563,14.955
2068,Annual,East Scotland,0.541,13.551
2069,Annual,East Scotland,0.545,15.462
2070,Annual,East Scotland,0.589,15.936
2071,Annual,East Scotland,0.538,13.538
2072,Annual,East Scotland,0.499,13.821
2073,Annual,East Scotland,0.572,14.679
2074,Annual,East Scotland,0.584,16.282
2075,Annual,East Scotland,0.538,15.936
2076,Annual,East Scotland,0.542,13.019
2077,Annual,East Scotland,0.544,14.333
2078,Annual,East Scotland,0.564,17.641
2079,Annual,East Scotland,0.585,14.782
2080,Annual,East Scotland,0.521,14.641
1981,Annual,London,0.358,7.800
1982,Annual,London,0.398,9.000
1983,Annual,London,0.423,10.200
1984,Annual,London,0.414,9.900
1985,Annual,London,0.398,8.300
1986,Annual,London,0.410,9.100
1987,Annual,London,0.450,13.500
1988,Annual,London,0.421,8.700
1989,Annual,London,0.413,7.900
1990,Annual,London,0.433,8.400
1991,Annual,London,0.488,8.900
1992,Annual,London,0.442,7.300
1993,Annual,London,0.408,10.000
1994,Annual,London,0.500,8.300
1995,Annual,London,0.426,9.000
1996,Annual,London,0.424,7.700
1997,Annual,London,0.450,7.700
1998,Annual,London,0.427,8.200
1999,Annual,London,0.423,11.400
2000,Annual,London,0.430,13.400
2001,Annual,London,0.477,11.700
2002,Annual,London,0.486,12.600
2003,Annual,London,0.454,9.700
2004,Annual,London,0.459,12.900
2005,Annual,London,0.377,7.700
2006,Annual,London,0.384,10.200
2007,Annual,London,0.435,9.200
2008,Annual,London,0.470,8.900
2009,Annual,London,0.336,6.600
2010,Annual,London,0.384,11.300
2011,Annual,London,0.444,8.000
2012,Annual,London,0.433,8.500
2013,Annual,London,0.422,13.100
2014,Annual,London,0.441,8.500
2015,Annual,London,0.456,8.500
2016,Annual,London,0.386,8.900
2017,Annual,London,0.387,6.600
2018,Annual,London,0.429,9.000
2019,Annual,London,0.434,8.100
2020,Annual,London,0.428,9.900
2021,Annual,London,0.472,9.600
2022,Annual,London,0.461,10.500
2023,Annual,London,0.416,8.800
2024,Annual,London,0.481,6.500
2025,Annual,London,0.353,6.700
2026,Annual,London,0.431,14.200
2027,Annual,London,0.360,7.200
2028,Annual,London,0.520,9.700
2029,Annual,London,0.458,8.600
2030,Annual,London,0.387,8.700
2031,Annual,London,0.473,11.100
2032,Annual,London,0.425,11.400
2033,Annual,London,0.411,9.400
2034,Annual,London,0.431,10.700
2035,Annual,London,0.479,8.200
2036,Annual,London,0.463,9.800
2037,Annual,London,0.388,8.700
2038,Annual,London,0.414,7.200
2039,Annual,London,0.419,10.800
2040,Annual,London,0.494,13.800
2041,Annual,London,0.468,8.400
2042,Annual,London,0.422,8.900
2043,Annual,London,0.454,8.800
2044,Annual,London,0.513,11.900
2045,Annual,London,0.465,8.100
2046,Annual,London,0.481,8.900
2047,Annual,London,0.446,11.200
2048,Annual,London,0.437,9.000
2049,Annual,London,0.373,8.800
2050,Annual,London,0.350,8.500
2051,Annual,London,0.432,7.300
2052,Annual,London,0.405,10.900
2053,Annual,London,0.472,9.500
2054,Annual,London,0.348,10.100
2055,Annual,London,0.389,6.700
2056,Annual,London,0.396,9.500
2057,Annual,London,0.461,12.100
2058,Annual,London,0.439,9.600
2059,Annual,London,0.422,7.600
2060,Annual,London,0.374,7.600
2061,Annual,London,0.460,6.200
2062,Annual,London,0.481,7.500
2063,Annual,London,0.385,9.200
2064,Annual,London,0.476,7.300
2065,Annual,London,0.368,9.400
2066,Annual,London,0.388,9.800
2067,Annual,London,0.398,7.400
2068,Annual,London,0.401,8.300
2069,Annual,London,0.380,6.300
2070,Annual,London,0.357,7.300
2071,Annual,London,0.407,10.300
2072,Annual,London,0.342,5.900
2073,Annual,London,0.449,10.800
2074,Annual,London,0.416,9.400
2075,Annual,London,0.382,6.800
2076,Annual,London,0.397,7.600
2077,Annual,London,0.414,8.600
2078,Annual,London,0.444,9.900
2079,Annual,London,0.449,9.300
2080,Annual,London,0.423,11.300
1981,Annual,North East England,0.480,12.769
1982,Annual,North East England,0.500,10.231
1983,Annual,North East England,0.510,13.385
1984,Annual,North East England,0.490,11.423
1985,Annual,North East England,0.484,11.442
1986,Annual,North East England,0.547,11.731
1987,Annual,North East England,0.520,10.769
1988,Annual,North East England,0.559,14.000
1989,Annual,North East England,0.514,11.731
1990,Annual,North East England,0.547,11.000
1991,Annual,North East England,0.591,16.423
1992,Annual,North East England,0.493,10.385
1993,Annual,North East England,0.506,10.135
1994,Annual,North East England,0.544,11.077
1995,Annual,North East England,0.540,13.385
1996,Annual,North East England,0.517,11.365
1997,Annual,North East England,0.544,12.308
1998,Annual,North East England,0.521,9.846
1999,Annual,North East England,0.483,8.865
2000,Annual,North East England,0.467,10.346
2001,Annual,North East England,0.534,14.154
2002,Annual,North East England,0.546,17.154
2003,Annual,North East England,0.541,12.692
2004,Annual,North East England,0.468,12.019
2005,Annual,North East England,0.499,11.346
2006,Annual,North East England,0.510,11.327
2007,Annual,North East England,0.501,11.577
2008,Annual,North East England,0.525,12.692
2009,Annual,North East England,0.447,13.365
2010,Annual,North East England,0.497,12.019
2011,Annual,North East England,0.512,14.115
2012,Annual,North East England,0.533,11.135
2013,Annual,North East England,0.524,12.096
2014,Annual,North East England,0.544,11.865
2015,Annual,North East England,0.559,12.385
2016,Annual,North East England,0.537,10.750
2017,Annual,North East England,0.539,11.154
2018,Annual,North East England,0.514,12.673
2019,Annual,North East England,0.564,12.308
2020,Annual,North East England,0.522,12.000
2021,Annual,North East England,0.555,14.058
2022,Annual,North East England,0.537,14.058
2023,Annual,North East England,0.479,10.673
2024,Annual,North East England,0.551,15.077
2025,Annual,North East England,0.495,10.846
2026,Annual,North East England,0.532,12.327
2027,Annual,North East England,0.487,8.962
2028,Annual,North East England,0.552,12.923
2029,Annual,North East England,0.562,15.673
2030,Annual,North East England,0.511,13.923
2031,Annual,North East England,0.537,14.731
2032,Annual,North East England,0.499,11.212
2033,Annual,North East England,0.479,12.673
2034,Annual,North East England,0.531,10.462
2035,Annual,North East England,0.579,13.346
2036,Annual,North East England,0.513,10.981
2037,Annual,North East England,0.502,10.404
2038,Annual,North East England,0.510,11.750
2039,Annual,North East England,0.549,11.058
2040,Annual,North East England,0.567,13.365
2041,Annual,North East England,0.580,13.481
2042,Annual,North East England,0.514,12.885
2043,Annual,North East England,0.511,10.673
2044,Annual,North East England,0.575,13.692
2045,Annual,North East England,0.539,13.519
2046,Annual,North East England,0.574,11.135
2047,Annual,North East England,0.539,12.923
2048,Annual,North East England,0.552,13.865
2049,Annual,North East England,0.480,13.769
2050,Annual,North East England,0.433,10.038
2051,Annual,North East England,0.526,10.673
2052,Annual,North East England,0.502,10.058
2053,Annual,North East England,0.541,13.077
2054,Annual,North East England,0.472,12.808
2055,Annual,North East England,0.519,11.231
2056,Annual,North East England,0.499,13.577
2057,Annual,North East England,0.554,12.788
2058,Annual,North East England,0.510,10.846
2059,Annual,North East England,0.525,14.404
2060,Annual,North East England,0.502,8.635
2061,Annual,North East England,0.569,17.538
2062,Annual,North East England,0.504,10.615
2063,Annual,North East England,0.520,11.635
2064,Annual,North East England,0.536,13.231
2065,Annual,North East England,0.478,11.442
2066,Annual,North East England,0.523,14.058
2067,Annual,North East England,0.552,13.808
2068,Annual,North East England,0.534,14.788
2069,Annual,North East England,0.476,10.692
2070,Annual,North East England,0.540,11.558
2071,Annual,North East England,0.515,11.115
2072,Annual,North East England,0.479,10.115
2073,Annual,North East England,0.537,12.404
2074,Annual,North East England,0.544,14.288
2075,Annual,North East England,0.465,10.385
2076,Annual,North East England,0.512,13.519
2077,Annual,North East England,0.527,10.885
2078,Annual,North East England,0.531,11.212
2079,Annual,North East England,0.535,12.346
2080,Annual,North East England,0.478,11.135
1981,Annual,North Scotland,0.720,35.308
1982,Annual,North Scotland,0.660,24.726
1983,Annual,North Scotland,0.617,19.701
1984,Annual,North Scotland,0.605,28.881
1985,Annual,North Scotland,0.567,16.498
1986,Annual,North Scotland,0.625,22.970
1987,Annual,North Scotland,0.663,21.915
1988,Annual,North Scotland,0.653,22.483
1989,Annual,North Scotland,0.646,22.109
1990,Annual,North Scotland,0.645,25.438
1991,Annual,North Scotland,0.634,25.428
1992,Annual,North Scotland,0.639,19.721
1993,Annual,North Scotland,0.688,21.070
1994,Annual,North Scotland,0.690,23.542
1995,Annual,North Scotland,0.576,19.229
1996,Annual,North Scotland,0.667,22.134
1997,Annual,North Scotland,0.681,26.741
1998,Annual,North Scotland,0.630,21.876
1999,Annual,North Scotland,0.640,21.005
2000,Annual,North Scotland,0.672,24.846
2001,Annual,North Scotland,0.618,18.343
2002,Annual,North Scotland,0.621,18.209
2003,Annual,North Scotland,0.654,27.055
2004,Annual,North Scotland,0.614,24.493
2005,Annual,North Scotland,0.664,23.502
2006,Annual,North Scotland,0.648,21.214
2007,Annual,North Scotland,0.566,14.861
2008,Annual,North Scotland,0.579,16.881
2009,Annual,North Scotland,0.553,17.498
2010,Annual,North Scotland,0.568,18.682
2011,Annual,North Scotland,0.638,23.652
2012,Annual,North Scotland,0.589,22.015
2013,Annual,North Scotland,0.658,21.507
2014,Annual,North Scotland,0.610,16.831
