Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.373,7.250
1982,Annual,East Midlands,0.333,5.673
1983,Annual,East Midlands,0.459,12.692
1984,Annual,East Midlands,0.424,12.135
1985,Annual,East Midlands,0.388,7.490
1986,Annual,East Midlands,0.452,8.740
1987,Annual,East Midlands,0.403,7.192
1988,Annual,East Midlands,0.508,8.865
1989,Annual,East Midlands,0.325,8.846
1990,Annual,East Midlands,0.444,10.192
1991,Annual,East Midlands,0.426,8.423
1992,Annual,East Midlands,0.472,8.327
1993,Annual,East Midlands,0.530,8.856
1994,Annual,East Midlands,0.442,8.481
1995,Annual,East Midlands,0.337,6.894
1996,Annual,East Midlands,0.437,9.558
1997,Annual,East Midlands,0.498,10.904
1998,Annual,East Midlands,0.389,8.788
1999,Annual,East Midlands,0.403,8.942
2000,Annual,East Midlands,0.328,7.490
2001,Annual,East Midlands,0.460,9.587
2002,Annual,East Midlands,0.335,7.221
2003,Annual,East Midlands,0.371,7.846
2004,Annual,East Midlands,0.433,7.529
2005,Annual,East Midlands,0.381,8.644
2006,Annual,East Midlands,0.401,8.356
2007,Annual,East Midlands,0.358,6.269
2008,Annual,East Midlands,0.359,8.356
2009,Annual,East Midlands,0.382,6.990
2010,Annual,East Midlands,0.333,10.808
2011,Annual,East Midlands,0.380,8.442
2012,Annual,East Midlands,0.462,14.904
2013,Annual,East Midlands,0.395,8.019
2014,Annual,East Midlands,0.417,9.000
2015,Annual,East Midlands,0.439,10.279
2016,Annual,East Midlands,0.358,7.048
2017,Annual,East Midlands,0.374,6.558
2018,Annual,East Midlands,0.405,8.769
2019,Annual,East Midlands,0.486,10.462
2020,Annual,East Midlands,0.475,11.635
2021,Annual,East Midlands,0.457,11.548
2022,Annual,East Midlands,0.450,11.500
2023,Annual,East Midlands,0.407,8.846
2024,Annual,East Midlands,0.499,9.933
2025,Annual,East Midlands,0.345,6.644
2026,Annual,East Midlands,0.430,9.106
2027,Annual,East Midlands,0.378,10.394
2028,Annual,East Midlands,0.440,8.154
2029,Annual,East Midlands,0.420,8.096
2030,Annual,East Midlands,0.397,6.808
2031,Annual,East Midlands,0.460,10.269
2032,Annual,East Midlands,0.426,9.702
2033,Annual,East Midlands,0.411,8.490
2034,Annual,East Midlands,0.413,8.481
2035,Annual,East Midlands,0.415,6.788
2036,Annual,East Midlands,0.412,8.240
2037,Annual,East Midlands,0.366,7.962
2038,Annual,East Midlands,0.383,7.404
2039,Annual,East Midlands,0.385,7.346
2040,Annual,East Midlands,0.428,10.260
2041,Annual,East Midlands,0.426,7.817
2042,Annual,East Midlands,0.376,6.048
2043,Annual,East Midlands,0.393,9.202
2044,Annual,East Midlands,0.460,8.106
2045,Annual,East Midlands,0.416,6.894
2046,Annual,East Midlands,0.427,8.548
2047,Annual,East Midlands,0.444,7.885
2048,Annual,East Midlands,0.421,11.038
2049,Annual,East Midlands,0.370,7.154
2050,Annual,East Midlands,0.347,7.250
2051,Annual,East Midlands,0.407,7.721
2052,Annual,East Midlands,0.401,6.875
2053,Annual,East Midlands,0.414,7.471
2054,Annual,East Midlands,0.346,13.058
2055,Annual,East Midlands,0.441,7.846
2056,Annual,East Midlands,0.341,7.462
2057,Annual,East Midlands,0.454,10.904
2058,Annual,East Midlands,0.407,7.519
2059,Annual,East Midlands,0.428,10.144
2060,Annual,East Midlands,0.389,7.673
2061,Annual,East Midlands,0.414,6.894
2062,Annual,East Midlands,0.414,8.923
2063,Annual,East Midlands,0.358,8.558
2064,Annual,East Midlands,0.451,12.192
2065,Annual,East Midlands,0.395,7.231
2066,Annual,East Midlands,0.391,10.096
2067,Annual,East Midlands,0.392,9.269
2068,Annual,East Midlands,0.431,9.894
2069,Annual,East Midlands,0.367,6.817
2070,Annual,East Midlands,0.394,8.125
2071,Annual,East Midlands,0.340,7.106
2072,Annual,East Midlands,0.326,7.490
2073,Annual,East Midlands,0.433,7.577
2074,Annual,East Midlands,0.429,7.490
2075,Annual,East Midlands,0.408,8.135
2076,Annual,East Midlands,0.391,6.942
2077,Annual,East Midlands,0.412,8.519
2078,Annual,East Midlands,0.408,8.567
2079,Annual,East Midlands,0.409,9.327
2080,Annual,East Midlands,0.386,8.538
1981,Annual,East of England,0.332,6.946
1982,Annual,East of England,0.323,6.558
1983,Annual,East of England,0.467,11.860
1984,Annual,East of England,0.406,9.837
1985,Annual,East of England,0.381,7.581
1986,Annual,East of England,0.413,7.287
1987,Annual,East of England,0.393,6.876
1988,Annual,East of England,0.482,9.488
1989,Annual,East of England,0.290,5.698
1990,Annual,East of England,0.430,14.411
1991,Annual,East of England,0.381,6.814
1992,Annual,East of England,0.416,7.442
1993,Annual,East of England,0.531,9.256
1994,Annual,East of England,0.420,9.163
1995,Annual,East of England,0.327,8.248
1996,Annual,East of England,0.427,9.008
1997,Annual,East of England,0.481,13.147
1998,Annual,East of England,0.406,8.202
1999,Annual,East of England,0.376,7.837
2000,Annual,East of England,0.322,6.279
2001,Annual,East of England,0.436,8.628
2002,Annual,East of England,0.339,7.496
2003,Annual,East of England,0.336,6.845
2004,Annual,East of England,0.395,7.062
2005,Annual,East of England,0.380,8.380
2006,Annual,East of England,0.366,7.543
2007,Annual,East of England,0.350,6.620
2008,Annual,East of England,0.343,6.465
2009,Annual,East of England,0.347,7.612
2010,Annual,East of England,0.317,9.760
2011,Annual,East of England,0.385,8.612
2012,Annual,East of England,0.417,10.225
