Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.330,6.010
1982,Annual,East Midlands,0.413,7.529
1983,Annual,East Midlands,0.391,7.740
1984,Annual,East Midlands,0.380,6.298
1985,Annual,East Midlands,0.333,6.202
1986,Annual,East Midlands,0.397,6.250
1987,Annual,East Midlands,0.417,8.894
1988,Annual,East Midlands,0.385,7.038
1989,Annual,East Midlands,0.419,6.346
1990,Annual,East Midlands,0.397,8.529
1991,Annual,East Midlands,0.417,6.346
1992,Annual,East Midlands,0.419,6.904
1993,Annual,East Midlands,0.388,6.760
1994,Annual,East Midlands,0.431,6.923
1995,Annual,East Midlands,0.375,12.529
1996,Annual,East Midlands,0.381,7.481
1997,Annual,East Midlands,0.426,7.317
1998,Annual,East Midlands,0.397,6.673
1999,Annual,East Midlands,0.337,6.519
2000,Annual,East Midlands,0.412,7.673
2001,Annual,East Midlands,0.417,8.212
2002,Annual,East Midlands,0.408,8.163
2003,Annual,East Midlands,0.434,7.942
2004,Annual,East Midlands,0.398,7.067
2005,Annual,East Midlands,0.359,6.587
2006,Annual,East Midlands,0.334,6.212
2007,Annual,East Midlands,0.383,7.144
2008,Annual,East Midlands,0.361,5.913
2009,Annual,East Midlands,0.331,7.260
2010,Annual,East Midlands,0.387,9.712
2011,Annual,East Midlands,0.375,8.087
2012,Annual,East Midlands,0.431,11.173
2013,Annual,East Midlands,0.398,6.644
2014,Annual,East Midlands,0.347,6.365
2015,Annual,East Midlands,0.377,11.058
2016,Annual,East Midlands,0.347,5.288
2017,Annual,East Midlands,0.352,7.192
2018,Annual,East Midlands,0.331,6.087
2019,Annual,East Midlands,0.432,8.240
2020,Annual,East Midlands,0.367,6.385
2021,Annual,East Midlands,0.399,7.096
2022,Annual,East Midlands,0.400,8.548
2023,Annual,East Midlands,0.404,9.644
2024,Annual,East Midlands,0.463,7.269
2025,Annual,East Midlands,0.353,7.904
2026,Annual,East Midlands,0.388,7.942
2027,Annual,East Midlands,0.344,7.894
2028,Annual,East Midlands,0.409,6.452
2029,Annual,East Midlands,0.422,7.663
2030,Annual,East Midlands,0.404,6.106
2031,Annual,East Midlands,0.456,9.683
2032,Annual,East Midlands,0.426,9.317
2033,Annual,East Midlands,0.384,7.990
2034,Annual,East Midlands,0.386,7.346
2035,Annual,East Midlands,0.382,6.394
2036,Annual,East Midlands,0.387,7.192
2037,Annual,East Midlands,0.364,6.962
