Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.375,7.524
1982,Annual,East Midlands,0.432,8.680
1983,Annual,East Midlands,0.409,6.893
1984,Annual,East Midlands,0.399,6.689
1985,Annual,East Midlands,0.373,6.699
1986,Annual,East Midlands,0.415,7.748
1987,Annual,East Midlands,0.468,9.515
1988,Annual,East Midlands,0.426,8.709
1989,Annual,East Midlands,0.494,10.748
1990,Annual,East Midlands,0.470,9.602
1991,Annual,East Midlands,0.476,9.709
1992,Annual,East Midlands,0.437,7.854
1993,Annual,East Midlands,0.442,7.670
1994,Annual,East Midlands,0.482,9.078
1995,Annual,East Midlands,0.406,8.592
1996,Annual,East Midlands,0.408,7.146
1997,Annual,East Midlands,0.467,7.777
1998,Annual,East Midlands,0.441,7.602
1999,Annual,East Midlands,0.433,8.816
2000,Annual,East Midlands,0.397,8.184
2001,Annual,East Midlands,0.484,9.417
2002,Annual,East Midlands,0.485,9.010
2003,Annual,East Midlands,0.479,9.835
2004,Annual,East Midlands,0.441,10.146
2005,Annual,East Midlands,0.412,7.204
2006,Annual,East Midlands,0.405,8.029
2007,Annual,East Midlands,0.372,7.466
2008,Annual,East Midlands,0.456,9.252
2009,Annual,East Midlands,0.339,7.524
2010,Annual,East Midlands,0.414,11.631
2011,Annual,East Midlands,0.421,8.388
2012,Annual,East Midlands,0.432,9.010
2013,Annual,East Midlands,0.431,8.447
2014,Annual,East Midlands,0.422,7.650
2015,Annual,East Midlands,0.427,10.748
2016,Annual,East Midlands,0.402,8.359
2017,Annual,East Midlands,0.413,10.155
2018,Annual,East Midlands,0.385,7.117
2019,Annual,East Midlands,0.450,7.951
2020,Annual,East Midlands,0.457,7.786
2021,Annual,East Midlands,0.448,7.913
2022,Annual,East Midlands,0.420,8.524
2023,Annual,East Midlands,0.405,9.350
2024,Annual,East Midlands,0.458,8.621
2025,Annual,East Midlands,0.396,8.369
2026,Annual,East Midlands,0.396,7.262
2027,Annual,East Midlands,0.397,9.680
2028,Annual,East Midlands,0.446,9.515
2029,Annual,East Midlands,0.452,9.893
2030,Annual,East Midlands,0.429,8.029
2031,Annual,East Midlands,0.447,7.369
2032,Annual,East Midlands,0.430,10.903
2033,Annual,East Midlands,0.451,9.379
2034,Annual,East Midlands,0.462,9.932
2035,Annual,East Midlands,0.440,8.612
2036,Annual,East Midlands,0.426,8.117
2037,Annual,East Midlands,0.355,8.777
2038,Annual,East Midlands,0.408,8.990
2039,Annual,East Midlands,0.430,8.291
2040,Annual,East Midlands,0.477,9.379
2041,Annual,East Midlands,0.419,7.573
2042,Annual,East Midlands,0.387,7.311
2043,Annual,East Midlands,0.418,9.204
2044,Annual,East Midlands,0.413,7.282
2045,Annual,East Midlands,0.436,6.981
2046,Annual,East Midlands,0.472,8.680
2047,Annual,East Midlands,0.429,8.621
2048,Annual,East Midlands,0.439,13.340
2049,Annual,East Midlands,0.382,7.388
2050,Annual,East Midlands,0.382,8.913
2051,Annual,East Midlands,0.446,9.087
2052,Annual,East Midlands,0.449,8.563
2053,Annual,East Midlands,0.461,10.107
2054,Annual,East Midlands,0.382,9.282
2055,Annual,East Midlands,0.428,7.864
2056,Annual,East Midlands,0.421,7.058
2057,Annual,East Midlands,0.461,7.631
2058,Annual,East Midlands,0.424,8.146
2059,Annual,East Midlands,0.432,8.971
2060,Annual,East Midlands,0.419,7.553
2061,Annual,East Midlands,0.423,9.641
2062,Annual,East Midlands,0.435,7.913
2063,Annual,East Midlands,0.363,9.359
2064,Annual,East Midlands,0.429,9.728
2065,Annual,East Midlands,0.376,7.068
2066,Annual,East Midlands,0.392,9.320
2067,Annual,East Midlands,0.391,7.990
2068,Annual,East Midlands,0.426,9.369
2069,Annual,East Midlands,0.390,7.097
2070,Annual,East Midlands,0.376,8.573
2071,Annual,East Midlands,0.385,6.845
2072,Annual,East Midlands,0.357,6.913
2073,Annual,East Midlands,0.481,11.155
2074,Annual,East Midlands,0.447,8.641
2075,Annual,East Midlands,0.401,9.039
2076,Annual,East Midlands,0.391,6.641
2077,Annual,East Midlands,0.454,7.874
2078,Annual,East Midlands,0.373,8.146
2079,Annual,East Midlands,0.430,8.602
2080,Annual,East Midlands,0.422,10.631
1981,Annual,East of England,0.328,5.873
1982,Annual,East of England,0.421,7.683
1983,Annual,East of England,0.393,8.921
1984,Annual,East of England,0.388,7.254
1985,Annual,East of England,0.362,6.714
1986,Annual,East of England,0.395,7.159
1987,Annual,East of England,0.452,9.032
1988,Annual,East of England,0.396,8.270
1989,Annual,East of England,0.459,9.325
