Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.307,6.760
1982,Annual,East Midlands,0.393,7.981
1983,Annual,East Midlands,0.398,7.683
1984,Annual,East Midlands,0.378,6.452
1985,Annual,East Midlands,0.401,8.760
1986,Annual,East Midlands,0.418,6.769
1987,Annual,East Midlands,0.415,8.683
1988,Annual,East Midlands,0.397,8.375
1989,Annual,East Midlands,0.428,10.500
1990,Annual,East Midlands,0.414,7.308
1991,Annual,East Midlands,0.426,10.577
1992,Annual,East Midlands,0.475,9.885
1993,Annual,East Midlands,0.403,7.740
1994,Annual,East Midlands,0.469,8.808
1995,Annual,East Midlands,0.428,8.760
1996,Annual,East Midlands,0.386,8.413
1997,Annual,East Midlands,0.456,9.000
1998,Annual,East Midlands,0.423,8.087
1999,Annual,East Midlands,0.378,7.221
2000,Annual,East Midlands,0.369,7.019
2001,Annual,East Midlands,0.432,10.625
2002,Annual,East Midlands,0.441,10.606
2003,Annual,East Midlands,0.464,7.798
2004,Annual,East Midlands,0.442,10.106
2005,Annual,East Midlands,0.368,8.875
2006,Annual,East Midlands,0.389,7.471
2007,Annual,East Midlands,0.386,8.837
2008,Annual,East Midlands,0.387,9.798
2009,Annual,East Midlands,0.377,6.788
2010,Annual,East Midlands,0.401,11.462
2011,Annual,East Midlands,0.360,8.404
2012,Annual,East Midlands,0.427,9.798
2013,Annual,East Midlands,0.437,7.692
2014,Annual,East Midlands,0.402,9.856
2015,Annual,East Midlands,0.429,11.471
2016,Annual,East Midlands,0.363,8.106
2017,Annual,East Midlands,0.384,7.548
2018,Annual,East Midlands,0.376,8.827
2019,Annual,East Midlands,0.452,8.558
2020,Annual,East Midlands,0.449,9.260
2021,Annual,East Midlands,0.451,9.933
2022,Annual,East Midlands,0.427,12.442
2023,Annual,East Midlands,0.408,9.615
2024,Annual,East Midlands,0.463,8.962
2025,Annual,East Midlands,0.369,9.654
2026,Annual,East Midlands,0.418,8.875
2027,Annual,East Midlands,0.402,9.538
2028,Annual,East Midlands,0.447,6.885
2029,Annual,East Midlands,0.409,6.856
2030,Annual,East Midlands,0.440,7.942
2031,Annual,East Midlands,0.428,9.837
2032,Annual,East Midlands,0.412,8.788
2033,Annual,East Midlands,0.391,7.923
2034,Annual,East Midlands,0.423,8.288
2035,Annual,East Midlands,0.432,7.481
2036,Annual,East Midlands,0.395,7.856
2037,Annual,East Midlands,0.371,7.308
2038,Annual,East Midlands,0.400,9.712
2039,Annual,East Midlands,0.364,7.481
2040,Annual,East Midlands,0.445,10.038
2041,Annual,East Midlands,0.410,7.442
2042,Annual,East Midlands,0.412,7.702
2043,Annual,East Midlands,0.408,8.625
2044,Annual,East Midlands,0.449,7.702
2045,Annual,East Midlands,0.451,10.250
2046,Annual,East Midlands,0.377,7.663
2047,Annual,East Midlands,0.426,7.144
2048,Annual,East Midlands,0.417,10.712
2049,Annual,East Midlands,0.422,8.625
2050,Annual,East Midlands,0.362,11.519
2051,Annual,East Midlands,0.424,7.971
2052,Annual,East Midlands,0.439,7.933
2053,Annual,East Midlands,0.415,7.740
2054,Annual,East Midlands,0.371,8.317
2055,Annual,East Midlands,0.393,9.058
2056,Annual,East Midlands,0.339,7.394
2057,Annual,East Midlands,0.439,10.096
2058,Annual,East Midlands,0.375,10.933
2059,Annual,East Midlands,0.429,11.548
2060,Annual,East Midlands,0.379,7.125
2061,Annual,East Midlands,0.434,8.404
2062,Annual,East Midlands,0.390,7.144
2063,Annual,East Midlands,0.377,7.904
2064,Annual,East Midlands,0.438,9.885
2065,Annual,East Midlands,0.367,8.875
2066,Annual,East Midlands,0.407,9.087
2067,Annual,East Midlands,0.464,9.962
2068,Annual,East Midlands,0.413,9.038
2069,Annual,East Midlands,0.369,7.337
2070,Annual,East Midlands,0.370,8.000
2071,Annual,East Midlands,0.357,6.981
2072,Annual,East Midlands,0.368,9.538
2073,Annual,East Midlands,0.429,8.913
2074,Annual,East Midlands,0.404,9.587
2075,Annual,East Midlands,0.366,6.548
2076,Annual,East Midlands,0.385,8.288
2077,Annual,East Midlands,0.416,8.077
2078,Annual,East Midlands,0.398,8.269
2079,Annual,East Midlands,0.394,8.587
2080,Annual,East Midlands,0.397,8.212
1981,Annual,East of England,0.275,6.357
1982,Annual,East of England,0.381,8.186
1983,Annual,East of England,0.369,6.527
1984,Annual,East of England,0.355,6.326
1985,Annual,East of England,0.355,6.566
1986,Annual,East of England,0.404,7.620
1987,Annual,East of England,0.377,7.380
1988,Annual,East of England,0.357,5.682
1989,Annual,East of England,0.416,9.705
1990,Annual,East of England,0.378,6.163
1991,Annual,East of England,0.410,8.217
1992,Annual,East of England,0.452,11.078
1993,Annual,East of England,0.371,7.822
1994,Annual,East of England,0.454,8.434
1995,Annual,East of England,0.385,7.202
1996,Annual,East of England,0.375,7.977
1997,Annual,East of England,0.415,9.171
1998,Annual,East of England,0.409,7.016
1999,Annual,East of England,0.329,6.504
2000,Annual,East of England,0.352,6.264
2001,Annual,East of England,0.396,7.907
2002,Annual,East of England,0.405,13.550
2003,Annual,East of England,0.435,7.667
2004,Annual,East of England,0.406,7.690
2005,Annual,East of England,0.375,7.953
2006,Annual,East of England,0.391,8.217
2007,Annual,East of England,0.357,7.860
2008,Annual,East of England,0.345,7.240
2009,Annual,East of England,0.335,6.349
2010,Annual,East of England,0.349,8.504
2011,Annual,East of England,0.335,6.783
2012,Annual,East of England,0.424,9.411
2013,Annual,East of England,0.408,7.116
2014,Annual,East of England,0.379,7.124
2015,Annual,East of England,0.379,7.643
2016,Annual,East of England,0.341,7.155
2017,Annual,East of England,0.377,7.868
2018,Annual,East of England,0.350,8.643
2019,Annual,East of England,0.441,8.132
2020,Annual,East of England,0.434,7.581
2021,Annual,East of England,0.407,8.620
2022,Annual,East of England,0.392,9.465
2023,Annual,East of England,0.382,9.519
2024,Annual,East of England,0.430,8.116
2025,Annual,East of England,0.360,11.481
2026,Annual,East of England,0.390,6.186
2027,Annual,East of England,0.388,9.434
2028,Annual,East of England,0.422,7.302
2029,Annual,East of England,0.382,6.155
2030,Annual,East of England,0.427,8.457
2031,Annual,East of England,0.400,8.977
2032,Annual,East of England,0.365,7.357
2033,Annual,East of England,0.359,6.643
2034,Annual,East of England,0.377,6.806
2035,Annual,East of England,0.422,6.760
2036,Annual,East of England,0.377,8.806
2037,Annual,East of England,0.351,7.930
2038,Annual,East of England,0.383,9.062
2039,Annual,East of England,0.331,6.946
2040,Annual,East of England,0.429,7.682
2041,Annual,East of England,0.395,7.698
2042,Annual,East of England,0.399,7.628
2043,Annual,East of England,0.407,9.558
2044,Annual,East of England,0.430,7.612
2045,Annual,East of England,0.419,8.388
2046,Annual,East of England,0.349,7.116
2047,Annual,East of England,0.404,7.279
2048,Annual,East of England,0.380,10.504
2049,Annual,East of England,0.396,7.031
2050,Annual,East of England,0.335,10.326
2051,Annual,East of England,0.399,6.581
2052,Annual,East of England,0.430,10.876
2053,Annual,East of England,0.366,7.178
2054,Annual,East of England,0.361,6.868
2055,Annual,East of England,0.361,8.248
2056,Annual,East of England,0.302,8.395
2057,Annual,East of England,0.411,8.326
2058,Annual,East of England,0.342,13.000
2059,Annual,East of England,0.393,9.240
2060,Annual,East of England,0.322,6.054
2061,Annual,East of England,0.419,7.713
2062,Annual,East of England,0.383,7.597
2063,Annual,East of England,0.345,7.713
2064,Annual,East of England,0.383,7.248
2065,Annual,East of England,0.334,6.651
2066,Annual,East of England,0.391,7.953
2067,Annual,East of England,0.431,9.744
2068,Annual,East of England,0.364,8.163
2069,Annual,East of England,0.355,6.651
2070,Annual,East of England,0.356,8.605
2071,Annual,East of England,0.333,6.008
2072,Annual,East of England,0.361,7.783
2073,Annual,East of England,0.399,8.271
2074,Annual,East of England,0.378,10.512
2075,Annual,East of England,0.320,7.116
2076,Annual,East of England,0.347,7.798
2077,Annual,East of England,0.389,8.372
2078,Annual,East of England,0.405,8.837
2079,Annual,East of England,0.368,9.233
2080,Annual,East of England,0.368,8.341
1981,Annual,East Scotland,0.478,14.932
1982,Annual,East Scotland,0.517,12.167
