Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.387,7.250
1982,Annual,East Midlands,0.444,8.760
1983,Annual,East Midlands,0.476,8.471
1984,Annual,East Midlands,0.450,9.029
1985,Annual,East Midlands,0.370,6.837
1986,Annual,East Midlands,0.451,9.663
1987,Annual,East Midlands,0.493,12.615
1988,Annual,East Midlands,0.444,11.058
1989,Annual,East Midlands,0.511,9.846
1990,Annual,East Midlands,0.462,8.683
1991,Annual,East Midlands,0.455,9.952
1992,Annual,East Midlands,0.480,8.365
1993,Annual,East Midlands,0.463,12.548
1994,Annual,East Midlands,0.491,8.981
1995,Annual,East Midlands,0.500,14.692
1996,Annual,East Midlands,0.400,11.962
1997,Annual,East Midlands,0.455,10.125
1998,Annual,East Midlands,0.468,8.808
1999,Annual,East Midlands,0.428,7.115
2000,Annual,East Midlands,0.445,10.202
2001,Annual,East Midlands,0.503,12.596
2002,Annual,East Midlands,0.468,11.558
2003,Annual,East Midlands,0.495,10.365
2004,Annual,East Midlands,0.499,11.154
2005,Annual,East Midlands,0.448,9.010
2006,Annual,East Midlands,0.417,11.250
2007,Annual,East Midlands,0.423,7.971
2008,Annual,East Midlands,0.423,9.240
2009,Annual,East Midlands,0.404,8.913
2010,Annual,East Midlands,0.400,7.913
2011,Annual,East Midlands,0.424,8.115
2012,Annual,East Midlands,0.503,11.904
2013,Annual,East Midlands,0.465,8.462
2014,Annual,East Midlands,0.444,8.269
2015,Annual,East Midlands,0.507,12.519
2016,Annual,East Midlands,0.430,8.452
2017,Annual,East Midlands,0.445,8.096
2018,Annual,East Midlands,0.401,11.558
2019,Annual,East Midlands,0.491,9.971
2020,Annual,East Midlands,0.474,8.692
2021,Annual,East Midlands,0.494,10.423
2022,Annual,East Midlands,0.421,8.788
2023,Annual,East Midlands,0.444,11.394
2024,Annual,East Midlands,0.521,9.260
2025,Annual,East Midlands,0.409,7.644
2026,Annual,East Midlands,0.408,7.788
2027,Annual,East Midlands,0.413,12.125
2028,Annual,East Midlands,0.499,8.269
2029,Annual,East Midlands,0.470,9.962
2030,Annual,East Midlands,0.406,7.808
2031,Annual,East Midlands,0.476,7.683
2032,Annual,East Midlands,0.495,12.981
2033,Annual,East Midlands,0.437,12.288
2034,Annual,East Midlands,0.492,10.192
2035,Annual,East Midlands,0.470,10.308
2036,Annual,East Midlands,0.431,7.933
2037,Annual,East Midlands,0.427,9.923
2038,Annual,East Midlands,0.453,10.856
2039,Annual,East Midlands,0.413,9.327
2040,Annual,East Midlands,0.495,9.904
2041,Annual,East Midlands,0.508,10.288
2042,Annual,East Midlands,0.414,7.452
2043,Annual,East Midlands,0.425,6.587
2044,Annual,East Midlands,0.442,6.981
2045,Annual,East Midlands,0.478,9.942
2046,Annual,East Midlands,0.498,8.462
2047,Annual,East Midlands,0.459,8.067
2048,Annual,East Midlands,0.476,10.538
2049,Annual,East Midlands,0.386,7.077
2050,Annual,East Midlands,0.369,7.558
2051,Annual,East Midlands,0.481,8.183
2052,Annual,East Midlands,0.476,8.510
2053,Annual,East Midlands,0.475,10.058
2054,Annual,East Midlands,0.402,8.500
2055,Annual,East Midlands,0.472,11.519
2056,Annual,East Midlands,0.451,12.538
2057,Annual,East Midlands,0.512,9.404
2058,Annual,East Midlands,0.453,9.846
2059,Annual,East Midlands,0.487,9.798
2060,Annual,East Midlands,0.458,8.471
2061,Annual,East Midlands,0.476,10.779
2062,Annual,East Midlands,0.444,8.981
2063,Annual,East Midlands,0.439,7.462
2064,Annual,East Midlands,0.493,12.269
2065,Annual,East Midlands,0.411,7.548
2066,Annual,East Midlands,0.435,9.356
2067,Annual,East Midlands,0.471,9.058
2068,Annual,East Midlands,0.456,9.673
2069,Annual,East Midlands,0.448,8.548
2070,Annual,East Midlands,0.452,9.106
2071,Annual,East Midlands,0.430,11.250
2072,Annual,East Midlands,0.387,7.788
2073,Annual,East Midlands,0.477,10.875
2074,Annual,East Midlands,0.463,7.702
2075,Annual,East Midlands,0.445,12.375
2076,Annual,East Midlands,0.413,10.067
2077,Annual,East Midlands,0.503,10.202
2078,Annual,East Midlands,0.437,9.625
2079,Annual,East Midlands,0.462,8.663
2080,Annual,East Midlands,0.465,13.654
1981,Annual,East of England,0.370,7.233
1982,Annual,East of England,0.423,8.884
1983,Annual,East of England,0.445,8.426
1984,Annual,East of England,0.422,6.884
1985,Annual,East of England,0.361,6.705
1986,Annual,East of England,0.418,8.581
1987,Annual,East of England,0.475,9.403
1988,Annual,East of England,0.426,9.264
1989,Annual,East of England,0.487,10.357
1990,Annual,East of England,0.434,8.310
1991,Annual,East of England,0.424,8.690
1992,Annual,East of England,0.467,9.876
1993,Annual,East of England,0.436,12.636
1994,Annual,East of England,0.493,8.558
1995,Annual,East of England,0.471,14.829
1996,Annual,East of England,0.360,8.860
1997,Annual,East of England,0.420,7.481
1998,Annual,East of England,0.453,7.915
1999,Annual,East of England,0.397,6.605
2000,Annual,East of England,0.440,8.636
2001,Annual,East of England,0.479,10.178
2002,Annual,East of England,0.453,11.093
2003,Annual,East of England,0.480,10.194
2004,Annual,East of England,0.507,10.054
2005,Annual,East of England,0.419,7.434
2006,Annual,East of England,0.389,7.310
2007,Annual,East of England,0.425,8.527
2008,Annual,East of England,0.421,9.031
2009,Annual,East of England,0.377,7.705
2010,Annual,East of England,0.388,9.760
2011,Annual,East of England,0.407,7.953
2012,Annual,East of England,0.487,10.791
2013,Annual,East of England,0.452,9.806
2014,Annual,East of England,0.428,7.713
2015,Annual,East of England,0.478,11.775
2016,Annual,East of England,0.408,9.202
2017,Annual,East of England,0.431,8.992
2018,Annual,East of England,0.397,8.667
2019,Annual,East of England,0.477,10.016
2020,Annual,East of England,0.448,7.891
2021,Annual,East of England,0.471,7.744
2022,Annual,East of England,0.432,8.512
2023,Annual,East of England,0.436,7.806
2024,Annual,East of England,0.525,8.473
2025,Annual,East of England,0.384,9.163
2026,Annual,East of England,0.390,7.450
2027,Annual,East of England,0.425,10.519
2028,Annual,East of England,0.482,8.527
2029,Annual,East of England,0.472,8.364
2030,Annual,East of England,0.403,7.194
2031,Annual,East of England,0.447,7.566
2032,Annual,East of England,0.479,13.163
2033,Annual,East of England,0.415,13.380
2034,Annual,East of England,0.487,9.736
2035,Annual,East of England,0.463,10.512
2036,Annual,East of England,0.412,7.264
2037,Annual,East of England,0.415,8.612
2038,Annual,East of England,0.458,7.915
2039,Annual,East of England,0.396,8.047
2040,Annual,East of England,0.503,13.225
2041,Annual,East of England,0.499,12.085
2042,Annual,East of England,0.420,8.721
2043,Annual,East of England,0.410,7.775
2044,Annual,East of England,0.405,7.341
2045,Annual,East of England,0.457,7.829
2046,Annual,East of England,0.472,8.605
2047,Annual,East of England,0.473,8.186
2048,Annual,East of England,0.478,10.930
2049,Annual,East of England,0.387,8.574
2050,Annual,East of England,0.335,7.008
2051,Annual,East of England,0.440,7.194
2052,Annual,East of England,0.444,9.070
2053,Annual,East of England,0.463,10.643
2054,Annual,East of England,0.396,7.543
2055,Annual,East of England,0.461,9.372
2056,Annual,East of England,0.432,9.597
2057,Annual,East of England,0.505,9.605
2058,Annual,East of England,0.449,9.504
2059,Annual,East of England,0.471,9.984
2060,Annual,East of England,0.429,10.535
2061,Annual,East of England,0.445,7.907
2062,Annual,East of England,0.436,8.992
2063,Annual,East of England,0.439,9.264
2064,Annual,East of England,0.467,10.496
2065,Annual,East of England,0.386,6.775
2066,Annual,East of England,0.439,10.667
2067,Annual,East of England,0.429,7.953
2068,Annual,East of England,0.429,8.364
2069,Annual,East of England,0.421,6.698
2070,Annual,East of England,0.448,10.814
2071,Annual,East of England,0.425,7.891
2072,Annual,East of England,0.390,7.147
2073,Annual,East of England,0.461,9.566
2074,Annual,East of England,0.440,7.581
2075,Annual,East of England,0.415,11.233
2076,Annual,East of England,0.384,8.643
2077,Annual,East of England,0.489,9.729
2078,Annual,East of England,0.439,7.519
2079,Annual,East of England,0.460,9.953
2080,Annual,East of England,0.454,11.326
1981,Annual,East Scotland,0.471,11.056
1982,Annual,East Scotland,0.532,11.696
1983,Annual,East Scotland,0.540,12.385
1984,Annual,East Scotland,0.552,12.776
1985,Annual,East Scotland,0.465,12.534
1986,Annual,East Scotland,0.546,11.975
1987,Annual,East Scotland,0.528,11.416
1988,Annual,East Scotland,0.511,14.161
1989,Annual,East Scotland,0.540,11.130
1990,Annual,East Scotland,0.565,11.795
1991,Annual,East Scotland,0.544,13.913
1992,Annual,East Scotland,0.545,13.037
1993,Annual,East Scotland,0.572,13.317
1994,Annual,East Scotland,0.552,13.075
1995,Annual,East Scotland,0.527,11.938
1996,Annual,East Scotland,0.476,10.807
1997,Annual,East Scotland,0.540,12.273
1998,Annual,East Scotland,0.508,10.161
1999,Annual,East Scotland,0.537,13.006
2000,Annual,East Scotland,0.522,11.286
2001,Annual,East Scotland,0.560,13.435
2002,Annual,East Scotland,0.551,12.602
2003,Annual,East Scotland,0.555,12.826
2004,Annual,East Scotland,0.498,13.522
2005,Annual,East Scotland,0.506,15.217
2006,Annual,East Scotland,0.510,11.919
2007,Annual,East Scotland,0.506,13.894
2008,Annual,East Scotland,0.506,14.609
2009,Annual,East Scotland,0.490,13.087
2010,Annual,East Scotland,0.492,13.137
2011,Annual,East Scotland,0.520,10.894
2012,Annual,East Scotland,0.525,13.696
2013,Annual,East Scotland,0.542,14.665
2014,Annual,East Scotland,0.538,11.484
2015,Annual,East Scotland,0.579,14.609
2016,Annual,East Scotland,0.516,13.733
2017,Annual,East Scotland,0.482,10.422
2018,Annual,East Scotland,0.480,11.634
2019,Annual,East Scotland,0.528,12.366
2020,Annual,East Scotland,0.555,13.435
2021,Annual,East Scotland,0.547,17.683
2022,Annual,East Scotland,0.560,12.658
2023,Annual,East Scotland,0.487,14.975
2024,Annual,East Scotland,0.530,12.584
2025,Annual,East Scotland,0.498,11.373
2026,Annual,East Scotland,0.544,13.925
2027,Annual,East Scotland,0.508,12.565
2028,Annual,East Scotland,0.557,14.658
2029,Annual,East Scotland,0.532,13.776
2030,Annual,East Scotland,0.504,17.466
2031,Annual,East Scotland,0.538,10.789
2032,Annual,East Scotland,0.589,13.714
2033,Annual,East Scotland,0.525,10.801
2034,Annual,East Scotland,0.530,12.472
2035,Annual,East Scotland,0.582,19.988
2036,Annual,East Scotland,0.488,11.714
2037,Annual,East Scotland,0.522,11.758
2038,Annual,East Scotland,0.528,15.814
2039,Annual,East Scotland,0.512,12.180
2040,Annual,East Scotland,0.587,16.037
2041,Annual,East Scotland,0.560,14.329
2042,Annual,East Scotland,0.490,12.112
2043,Annual,East Scotland,0.530,11.677
2044,Annual,East Scotland,0.562,13.950
2045,Annual,East Scotland,0.533,13.652
2046,Annual,East Scotland,0.566,12.876
2047,Annual,East Scotland,0.553,14.366
2048,Annual,East Scotland,0.511,14.720
2049,Annual,East Scotland,0.489,10.689
2050,Annual,East Scotland,0.466,10.391
2051,Annual,East Scotland,0.551,13.348
2052,Annual,East Scotland,0.564,12.776
2053,Annual,East Scotland,0.485,11.919
2054,Annual,East Scotland,0.518,13.932
2055,Annual,East Scotland,0.598,15.056
2056,Annual,East Scotland,0.469,8.503
2057,Annual,East Scotland,0.571,15.627
2058,Annual,East Scotland,0.567,14.901
2059,Annual,East Scotland,0.523,11.342
2060,Annual,East Scotland,0.525,12.888
2061,Annual,East Scotland,0.522,12.708
2062,Annual,East Scotland,0.494,10.516
2063,Annual,East Scotland,0.475,12.037
2064,Annual,East Scotland,0.570,12.124
2065,Annual,East Scotland,0.506,10.199
2066,Annual,East Scotland,0.496,13.758
2067,Annual,East Scotland,0.528,12.161
2068,Annual,East Scotland,0.534,13.205
2069,Annual,East Scotland,0.522,10.683
2070,Annual,East Scotland,0.567,13.012
2071,Annual,East Scotland,0.478,9.671
2072,Annual,East Scotland,0.469,10.422
2073,Annual,East Scotland,0.549,12.298
2074,Annual,East Scotland,0.570,13.652
2075,Annual,East Scotland,0.524,14.323
2076,Annual,East Scotland,0.514,11.801
2077,Annual,East Scotland,0.562,13.876
2078,Annual,East Scotland,0.513,10.714
2079,Annual,East Scotland,0.532,12.429
2080,Annual,East Scotland,0.511,11.280
1981,Annual,London,0.379,6.167
1982,Annual,London,0.424,8.083
1983,Annual,London,0.422,9.917
1984,Annual,London,0.435,9.750
1985,Annual,London,0.344,6.500
1986,Annual,London,0.415,8.583
1987,Annual,London,0.484,9.000
1988,Annual,London,0.415,9.750
1989,Annual,London,0.489,10.667
1990,Annual,London,0.449,10.833
1991,Annual,London,0.434,13.083
1992,Annual,London,0.485,9.333
1993,Annual,London,0.431,10.250
1994,Annual,London,0.497,7.250
1995,Annual,London,0.474,10.500
1996,Annual,London,0.340,9.750
1997,Annual,London,0.407,7.500
1998,Annual,London,0.453,7.750
1999,Annual,London,0.390,5.333
2000,Annual,London,0.452,8.500
2001,Annual,London,0.470,10.250
2002,Annual,London,0.452,11.000
2003,Annual,London,0.485,8.500
2004,Annual,London,0.514,8.917
2005,Annual,London,0.427,11.417
2006,Annual,London,0.392,7.333
2007,Annual,London,0.410,8.667
2008,Annual,London,0.430,9.833
2009,Annual,London,0.347,8.667
2010,Annual,London,0.391,9.000
2011,Annual,London,0.378,8.000
2012,Annual,London,0.472,13.833
2013,Annual,London,0.474,9.167
2014,Annual,London,0.410,6.833
2015,Annual,London,0.464,14.333
2016,Annual,London,0.401,8.583
2017,Annual,London,0.427,9.583
2018,Annual,London,0.372,8.917
2019,Annual,London,0.491,10.583
2020,Annual,London,0.455,8.417
2021,Annual,London,0.470,9.250
2022,Annual,London,0.429,8.667
2023,Annual,London,0.458,10.333
2024,Annual,London,0.542,10.583
2025,Annual,London,0.396,8.000
2026,Annual,London,0.386,7.500
2027,Annual,London,0.405,9.417
2028,Annual,London,0.494,9.083
2029,Annual,London,0.463,7.833
2030,Annual,London,0.404,8.000
2031,Annual,London,0.437,8.000
2032,Annual,London,0.451,14.000
2033,Annual,London,0.438,14.500
2034,Annual,London,0.460,10.667
2035,Annual,London,0.466,11.667
2036,Annual,London,0.411,8.583
2037,Annual,London,0.384,7.083
2038,Annual,London,0.469,9.833
2039,Annual,London,0.389,7.833
2040,Annual,London,0.494,17.167
2041,Annual,London,0.503,10.750
2042,Annual,London,0.425,9.417
2043,Annual,London,0.413,7.417
2044,Annual,London,0.410,5.583
2045,Annual,London,0.436,8.750
2046,Annual,London,0.448,7.917
2047,Annual,London,0.473,9.083
2048,Annual,London,0.479,12.583
2049,Annual,London,0.405,9.500
2050,Annual,London,0.341,8.333
2051,Annual,London,0.438,6.083
2052,Annual,London,0.440,8.333
2053,Annual,London,0.463,9.750
2054,Annual,London,0.361,5.167
2055,Annual,London,0.468,10.083
2056,Annual,London,0.454,8.500
2057,Annual,London,0.511,9.000
2058,Annual,London,0.436,8.417
2059,Annual,London,0.474,11.583
2060,Annual,London,0.433,11.833
2061,Annual,London,0.467,9.917
2062,Annual,London,0.446,12.083
2063,Annual,London,0.424,14.333
2064,Annual,London,0.446,7.250
2065,Annual,London,0.389,10.250
2066,Annual,London,0.429,8.750
2067,Annual,London,0.424,8.417
2068,Annual,London,0.416,7.250
2069,Annual,London,0.430,6.750
2070,Annual,London,0.443,9.417
2071,Annual,London,0.401,7.417
2072,Annual,London,0.365,6.750
2073,Annual,London,0.456,9.333
2074,Annual,London,0.440,7.333
2075,Annual,London,0.399,9.500
2076,Annual,London,0.407,9.583
2077,Annual,London,0.475,9.083
2078,Annual,London,0.422,6.667
2079,Annual,London,0.489,12.583
2080,Annual,London,0.443,11.000
1981,Annual,North East England,0.363,7.053
1982,Annual,North East England,0.493,10.614
1983,Annual,North East England,0.512,9.596
1984,Annual,North East England,0.488,9.509
1985,Annual,North East England,0.403,8.263
1986,Annual,North East England,0.511,9.281
1987,Annual,North East England,0.496,9.211
1988,Annual,North East England,0.488,11.000
1989,Annual,North East England,0.525,11.737
1990,Annual,North East England,0.537,9.842
1991,Annual,North East England,0.520,12.351
1992,Annual,North East England,0.519,20.737
1993,Annual,North East England,0.504,8.667
1994,Annual,North East England,0.503,15.298
1995,Annual,North East England,0.559,13.491
1996,Annual,North East England,0.449,10.719
1997,Annual,North East England,0.492,11.175
1998,Annual,North East England,0.475,8.526
1999,Annual,North East England,0.477,8.860
2000,Annual,North East England,0.478,10.895
2001,Annual,North East England,0.524,11.509
2002,Annual,North East England,0.548,10.825
2003,Annual,North East England,0.512,10.632
2004,Annual,North East England,0.499,10.316
