Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.335,8.757
1982,Annual,East Midlands,0.386,8.204
1983,Annual,East Midlands,0.375,9.990
1984,Annual,East Midlands,0.371,7.388
1985,Annual,East Midlands,0.382,10.272
1986,Annual,East Midlands,0.382,8.806
1987,Annual,East Midlands,0.411,8.320
1988,Annual,East Midlands,0.377,7.961
1989,Annual,East Midlands,0.399,7.243
1990,Annual,East Midlands,0.429,9.544
1991,Annual,East Midlands,0.423,8.553
1992,Annual,East Midlands,0.441,9.825
1993,Annual,East Midlands,0.425,8.553
1994,Annual,East Midlands,0.409,7.748
1995,Annual,East Midlands,0.487,12.748
1996,Annual,East Midlands,0.385,8.320
1997,Annual,East Midlands,0.448,8.592
1998,Annual,East Midlands,0.399,8.272
1999,Annual,East Midlands,0.386,8.175
2000,Annual,East Midlands,0.362,7.990
2001,Annual,East Midlands,0.455,12.631
2002,Annual,East Midlands,0.452,10.136
2003,Annual,East Midlands,0.438,9.398
2004,Annual,East Midlands,0.400,9.718
2005,Annual,East Midlands,0.387,9.233
2006,Annual,East Midlands,0.396,12.301
2007,Annual,East Midlands,0.428,9.214
2008,Annual,East Midlands,0.413,8.388
2009,Annual,East Midlands,0.380,8.427
2010,Annual,East Midlands,0.374,8.282
2011,Annual,East Midlands,0.413,9.650
2012,Annual,East Midlands,0.422,9.534
2013,Annual,East Midlands,0.425,9.718
2014,Annual,East Midlands,0.386,9.456
2015,Annual,East Midlands,0.449,10.893
2016,Annual,East Midlands,0.368,6.816
2017,Annual,East Midlands,0.378,7.942
2018,Annual,East Midlands,0.405,10.922
2019,Annual,East Midlands,0.450,7.010
2020,Annual,East Midlands,0.444,9.981
2021,Annual,East Midlands,0.475,10.010
2022,Annual,East Midlands,0.374,8.320
2023,Annual,East Midlands,0.397,8.825
2024,Annual,East Midlands,0.443,8.689
2025,Annual,East Midlands,0.347,6.476
2026,Annual,East Midlands,0.370,7.709
2027,Annual,East Midlands,0.372,8.990
2028,Annual,East Midlands,0.404,7.155
2029,Annual,East Midlands,0.457,10.932
2030,Annual,East Midlands,0.397,7.495
2031,Annual,East Midlands,0.442,10.087
2032,Annual,East Midlands,0.411,9.524
2033,Annual,East Midlands,0.353,8.913
2034,Annual,East Midlands,0.355,8.223
2035,Annual,East Midlands,0.409,8.194
2036,Annual,East Midlands,0.417,8.495
2037,Annual,East Midlands,0.388,10.728
2038,Annual,East Midlands,0.369,7.971
2039,Annual,East Midlands,0.380,7.272
2040,Annual,East Midlands,0.393,6.417
2041,Annual,East Midlands,0.438,9.340
2042,Annual,East Midlands,0.388,8.184
2043,Annual,East Midlands,0.388,8.340
2044,Annual,East Midlands,0.396,7.524
