Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.327,7.545
1982,Annual,East Midlands,0.405,9.899
1983,Annual,East Midlands,0.421,12.283
1984,Annual,East Midlands,0.399,8.030
1985,Annual,East Midlands,0.390,9.576
1986,Annual,East Midlands,0.430,10.505
1987,Annual,East Midlands,0.440,17.808
1988,Annual,East Midlands,0.381,7.939
1989,Annual,East Midlands,0.438,11.111
1990,Annual,East Midlands,0.449,9.677
1991,Annual,East Midlands,0.415,10.434
1992,Annual,East Midlands,0.439,10.293
1993,Annual,East Midlands,0.399,10.747
1994,Annual,East Midlands,0.471,11.737
1995,Annual,East Midlands,0.442,13.838
1996,Annual,East Midlands,0.387,8.576
1997,Annual,East Midlands,0.449,10.869
1998,Annual,East Midlands,0.462,11.747
1999,Annual,East Midlands,0.354,8.636
2000,Annual,East Midlands,0.340,9.323
2001,Annual,East Midlands,0.459,15.535
2002,Annual,East Midlands,0.416,9.505
2003,Annual,East Midlands,0.417,8.172
2004,Annual,East Midlands,0.405,11.848
2005,Annual,East Midlands,0.409,11.939
2006,Annual,East Midlands,0.411,8.202
2007,Annual,East Midlands,0.444,10.323
2008,Annual,East Midlands,0.393,10.424
2009,Annual,East Midlands,0.416,10.677
2010,Annual,East Midlands,0.439,13.323
2011,Annual,East Midlands,0.382,11.980
2012,Annual,East Midlands,0.414,10.172
2013,Annual,East Midlands,0.396,8.323
2014,Annual,East Midlands,0.403,10.081
2015,Annual,East Midlands,0.413,9.384
2016,Annual,East Midlands,0.369,7.818
2017,Annual,East Midlands,0.421,11.545
2018,Annual,East Midlands,0.412,9.889
2019,Annual,East Midlands,0.461,12.323
2020,Annual,East Midlands,0.426,10.232
2021,Annual,East Midlands,0.408,13.051
2022,Annual,East Midlands,0.439,10.394
2023,Annual,East Midlands,0.377,10.646
2024,Annual,East Midlands,0.445,12.485
2025,Annual,East Midlands,0.327,8.808
2026,Annual,East Midlands,0.417,11.475
2027,Annual,East Midlands,0.382,15.172
2028,Annual,East Midlands,0.480,12.030
2029,Annual,East Midlands,0.421,11.566
2030,Annual,East Midlands,0.423,14.040
2031,Annual,East Midlands,0.444,19.020
2032,Annual,East Midlands,0.443,11.556
2033,Annual,East Midlands,0.403,10.071
2034,Annual,East Midlands,0.395,10.283
2035,Annual,East Midlands,0.424,11.384
2036,Annual,East Midlands,0.383,9.343
2037,Annual,East Midlands,0.370,9.606
2038,Annual,East Midlands,0.411,12.818
2039,Annual,East Midlands,0.393,8.333
2040,Annual,East Midlands,0.398,9.303
2041,Annual,East Midlands,0.437,14.283
2042,Annual,East Midlands,0.411,10.566
2043,Annual,East Midlands,0.365,10.717
2044,Annual,East Midlands,0.382,11.949
2045,Annual,East Midlands,0.451,14.929
2046,Annual,East Midlands,0.475,15.343
2047,Annual,East Midlands,0.409,8.960
2048,Annual,East Midlands,0.452,12.919
2049,Annual,East Midlands,0.402,6.444
2050,Annual,East Midlands,0.371,9.545
2051,Annual,East Midlands,0.397,10.152
2052,Annual,East Midlands,0.468,12.960
2053,Annual,East Midlands,0.393,8.919
2054,Annual,East Midlands,0.347,11.434
2055,Annual,East Midlands,0.457,12.717
2056,Annual,East Midlands,0.320,6.646
2057,Annual,East Midlands,0.420,11.828
2058,Annual,East Midlands,0.376,7.990
2059,Annual,East Midlands,0.466,16.798
2060,Annual,East Midlands,0.377,9.657
2061,Annual,East Midlands,0.464,13.939
2062,Annual,East Midlands,0.429,14.838
2063,Annual,East Midlands,0.348,7.394
2064,Annual,East Midlands,0.468,13.283
2065,Annual,East Midlands,0.364,7.434
2066,Annual,East Midlands,0.383,10.162
2067,Annual,East Midlands,0.391,15.384
2068,Annual,East Midlands,0.423,11.778
2069,Annual,East Midlands,0.386,11.222
2070,Annual,East Midlands,0.422,11.384
2071,Annual,East Midlands,0.356,8.697
2072,Annual,East Midlands,0.380,12.343
2073,Annual,East Midlands,0.422,10.394
2074,Annual,East Midlands,0.428,9.646
2075,Annual,East Midlands,0.411,12.121
2076,Annual,East Midlands,0.332,9.879
2077,Annual,East Midlands,0.412,9.657
2078,Annual,East Midlands,0.391,13.475
2079,Annual,East Midlands,0.429,13.636
2080,Annual,East Midlands,0.416,13.202
1981,Annual,East of England,0.323,10.350
1982,Annual,East of England,0.389,10.392
1983,Annual,East of England,0.422,11.517
1984,Annual,East of England,0.377,8.025
1985,Annual,East of England,0.399,7.792
1986,Annual,East of England,0.404,8.842
1987,Annual,East of England,0.420,12.267
1988,Annual,East of England,0.371,8.325
1989,Annual,East of England,0.419,10.550
1990,Annual,East of England,0.449,10.108
1991,Annual,East of England,0.418,10.517
1992,Annual,East of England,0.420,11.517
1993,Annual,East of England,0.364,8.475
1994,Annual,East of England,0.452,10.967
1995,Annual,East of England,0.433,13.383
1996,Annual,East of England,0.383,7.567
1997,Annual,East of England,0.424,9.117
1998,Annual,East of England,0.459,12.758
1999,Annual,East of England,0.326,9.192
2000,Annual,East of England,0.354,9.158
2001,Annual,East of England,0.429,13.550
2002,Annual,East of England,0.408,9.533
2003,Annual,East of England,0.404,12.442
2004,Annual,East of England,0.409,11.083
2005,Annual,East of England,0.386,10.358
2006,Annual,East of England,0.397,9.208
2007,Annual,East of England,0.432,12.308
2008,Annual,East of England,0.415,8.892
2009,Annual,East of England,0.402,9.125
2010,Annual,East of England,0.427,12.283
2011,Annual,East of England,0.385,11.858
2012,Annual,East of England,0.415,10.342
2013,Annual,East of England,0.395,7.342
2014,Annual,East of England,0.368,8.842
2015,Annual,East of England,0.398,9.367
2016,Annual,East of England,0.349,7.258
2017,Annual,East of England,0.390,10.892
2018,Annual,East of England,0.390,8.517
2019,Annual,East of England,0.441,9.133
2020,Annual,East of England,0.418,9.217
2021,Annual,East of England,0.389,11.392
2022,Annual,East of England,0.421,10.717
2023,Annual,East of England,0.367,9.700
2024,Annual,East of England,0.455,11.558
2025,Annual,East of England,0.312,7.117
2026,Annual,East of England,0.423,10.592
2027,Annual,East of England,0.356,9.692
2028,Annual,East of England,0.460,10.342
2029,Annual,East of England,0.412,12.075
2030,Annual,East of England,0.410,10.517
2031,Annual,East of England,0.405,13.867
2032,Annual,East of England,0.425,9.908
2033,Annual,East of England,0.377,9.617
2034,Annual,East of England,0.408,10.217
2035,Annual,East of England,0.406,8.808
2036,Annual,East of England,0.365,8.542
2037,Annual,East of England,0.343,9.333
2038,Annual,East of England,0.400,12.483
2039,Annual,East of England,0.365,7.508
2040,Annual,East of England,0.379,8.208
2041,Annual,East of England,0.429,13.875
2042,Annual,East of England,0.383,9.242
2043,Annual,East of England,0.365,10.450
2044,Annual,East of England,0.369,11.342
2045,Annual,East of England,0.449,13.733
2046,Annual,East of England,0.468,17.150
2047,Annual,East of England,0.375,8.358
2048,Annual,East of England,0.441,13.108
2049,Annual,East of England,0.374,6.242
2050,Annual,East of England,0.368,8.742
2051,Annual,East of England,0.421,12.133
2052,Annual,East of England,0.452,13.333
2053,Annual,East of England,0.359,6.792
2054,Annual,East of England,0.365,8.742
2055,Annual,East of England,0.446,10.958
2056,Annual,East of England,0.289,6.692
2057,Annual,East of England,0.423,13.275
2058,Annual,East of England,0.360,9.158
2059,Annual,East of England,0.474,15.383
2060,Annual,East of England,0.346,8.600
2061,Annual,East of England,0.437,10.167
2062,Annual,East of England,0.423,12.117
2063,Annual,East of England,0.347,6.617
2064,Annual,East of England,0.453,15.183
2065,Annual,East of England,0.336,7.117
2066,Annual,East of England,0.385,10.750
2067,Annual,East of England,0.389,14.267
2068,Annual,East of England,0.407,10.900
2069,Annual,East of England,0.379,8.725
2070,Annual,East of England,0.420,12.767
2071,Annual,East of England,0.346,8.317
2072,Annual,East of England,0.384,12.575
2073,Annual,East of England,0.401,9.208
2074,Annual,East of England,0.396,10.550
2075,Annual,East of England,0.399,9.542
2076,Annual,East of England,0.335,9.708
2077,Annual,East of England,0.426,10.108
2078,Annual,East of England,0.374,10.883
2079,Annual,East of England,0.427,11.800
2080,Annual,East of England,0.419,11.033
1981,Annual,East Scotland,0.426,12.500
1982,Annual,East Scotland,0.467,11.462
1983,Annual,East Scotland,0.469,12.167
1984,Annual,East Scotland,0.469,9.724
1985,Annual,East Scotland,0.408,11.853
1986,Annual,East Scotland,0.509,13.724
1987,Annual,East Scotland,0.483,13.071
1988,Annual,East Scotland,0.465,13.397
1989,Annual,East Scotland,0.497,15.250
