Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.382,10.096
1982,Annual,East Midlands,0.406,8.962
1983,Annual,East Midlands,0.419,8.548
1984,Annual,East Midlands,0.414,8.298
1985,Annual,East Midlands,0.430,9.567
1986,Annual,East Midlands,0.389,7.683
1987,Annual,East Midlands,0.425,7.490
1988,Annual,East Midlands,0.389,11.827
1989,Annual,East Midlands,0.470,8.587
1990,Annual,East Midlands,0.444,12.279
1991,Annual,East Midlands,0.446,10.163
1992,Annual,East Midlands,0.394,9.606
1993,Annual,East Midlands,0.408,10.471
1994,Annual,East Midlands,0.409,8.923
1995,Annual,East Midlands,0.382,10.510
1996,Annual,East Midlands,0.421,8.865
1997,Annual,East Midlands,0.434,10.067
1998,Annual,East Midlands,0.444,9.423
1999,Annual,East Midlands,0.469,13.510
2000,Annual,East Midlands,0.434,11.500
2001,Annual,East Midlands,0.470,10.837
2002,Annual,East Midlands,0.376,10.010
2003,Annual,East Midlands,0.472,10.202
2004,Annual,East Midlands,0.434,12.548
2005,Annual,East Midlands,0.396,7.269
2006,Annual,East Midlands,0.442,13.221
2007,Annual,East Midlands,0.370,8.558
2008,Annual,East Midlands,0.412,9.212
2009,Annual,East Midlands,0.365,6.971
2010,Annual,East Midlands,0.351,8.192
2011,Annual,East Midlands,0.428,13.087
2012,Annual,East Midlands,0.394,9.837
2013,Annual,East Midlands,0.420,9.154
2014,Annual,East Midlands,0.399,7.548
2015,Annual,East Midlands,0.506,16.240
2016,Annual,East Midlands,0.378,7.644
2017,Annual,East Midlands,0.376,10.788
2018,Annual,East Midlands,0.410,8.500
2019,Annual,East Midlands,0.427,11.471
2020,Annual,East Midlands,0.433,10.865
2021,Annual,East Midlands,0.453,10.500
2022,Annual,East Midlands,0.359,6.269
2023,Annual,East Midlands,0.452,10.375
2024,Annual,East Midlands,0.440,9.663
2025,Annual,East Midlands,0.382,8.519
2026,Annual,East Midlands,0.423,9.154
2027,Annual,East Midlands,0.360,10.260
2028,Annual,East Midlands,0.412,7.606
2029,Annual,East Midlands,0.444,11.423
2030,Annual,East Midlands,0.449,8.798
2031,Annual,East Midlands,0.461,10.990
2032,Annual,East Midlands,0.424,8.154
2033,Annual,East Midlands,0.401,9.260
2034,Annual,East Midlands,0.424,10.163
2035,Annual,East Midlands,0.417,9.404
2036,Annual,East Midlands,0.439,11.356
2037,Annual,East Midlands,0.446,11.865
2038,Annual,East Midlands,0.387,10.212
2039,Annual,East Midlands,0.372,8.885
2040,Annual,East Midlands,0.397,9.087
2041,Annual,East Midlands,0.396,10.702
2042,Annual,East Midlands,0.395,12.115
2043,Annual,East Midlands,0.407,9.019
2044,Annual,East Midlands,0.385,7.183
2045,Annual,East Midlands,0.516,11.490
2046,Annual,East Midlands,0.454,12.663
2047,Annual,East Midlands,0.469,10.750
2048,Annual,East Midlands,0.403,10.779
2049,Annual,East Midlands,0.399,7.962
2050,Annual,East Midlands,0.349,8.375
2051,Annual,East Midlands,0.446,8.894
2052,Annual,East Midlands,0.431,12.163
2053,Annual,East Midlands,0.367,7.221
2054,Annual,East Midlands,0.321,8.144
2055,Annual,East Midlands,0.441,11.385
2056,Annual,East Midlands,0.405,12.308
2057,Annual,East Midlands,0.435,12.481
2058,Annual,East Midlands,0.395,7.394
2059,Annual,East Midlands,0.498,15.808
2060,Annual,East Midlands,0.406,9.038
2061,Annual,East Midlands,0.417,8.721
2062,Annual,East Midlands,0.401,9.173
2063,Annual,East Midlands,0.384,6.163
2064,Annual,East Midlands,0.473,11.087
2065,Annual,East Midlands,0.385,7.269
2066,Annual,East Midlands,0.394,8.702
2067,Annual,East Midlands,0.362,8.654
2068,Annual,East Midlands,0.450,8.375
2069,Annual,East Midlands,0.432,13.587
2070,Annual,East Midlands,0.470,10.788
2071,Annual,East Midlands,0.414,10.221
2072,Annual,East Midlands,0.354,9.077
2073,Annual,East Midlands,0.435,11.010
2074,Annual,East Midlands,0.425,8.760
2075,Annual,East Midlands,0.440,10.067
2076,Annual,East Midlands,0.376,8.942
2077,Annual,East Midlands,0.423,10.788
2078,Annual,East Midlands,0.411,9.529
2079,Annual,East Midlands,0.440,10.952
2080,Annual,East Midlands,0.409,11.481
1981,Annual,East of England,0.408,10.310
1982,Annual,East of England,0.413,8.628
1983,Annual,East of England,0.412,9.116
1984,Annual,East of England,0.420,8.333
1985,Annual,East of England,0.427,9.969
1986,Annual,East of England,0.376,6.450
1987,Annual,East of England,0.405,8.426
1988,Annual,East of England,0.389,11.527
1989,Annual,East of England,0.462,8.636
1990,Annual,East of England,0.440,11.961
1991,Annual,East of England,0.415,8.496
1992,Annual,East of England,0.397,10.163
1993,Annual,East of England,0.397,7.899
1994,Annual,East of England,0.413,9.473
1995,Annual,East of England,0.398,11.140
1996,Annual,East of England,0.418,8.496
1997,Annual,East of England,0.416,8.155
1998,Annual,East of England,0.450,8.302
1999,Annual,East of England,0.433,11.969
