Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.399,7.269
1982,Annual,East Midlands,0.411,9.183
1983,Annual,East Midlands,0.388,9.817
1984,Annual,East Midlands,0.353,6.933
1985,Annual,East Midlands,0.399,8.317
1986,Annual,East Midlands,0.352,6.375
1987,Annual,East Midlands,0.314,7.308
1988,Annual,East Midlands,0.410,9.644
1989,Annual,East Midlands,0.385,9.125
1990,Annual,East Midlands,0.394,10.048
1991,Annual,East Midlands,0.361,7.856
1992,Annual,East Midlands,0.414,11.500
1993,Annual,East Midlands,0.395,7.413
1994,Annual,East Midlands,0.376,8.029
1995,Annual,East Midlands,0.422,8.365
1996,Annual,East Midlands,0.424,9.510
1997,Annual,East Midlands,0.352,7.212
1998,Annual,East Midlands,0.305,7.760
1999,Annual,East Midlands,0.369,6.048
2000,Annual,East Midlands,0.430,10.260
2001,Annual,East Midlands,0.468,11.923
2002,Annual,East Midlands,0.444,9.125
2003,Annual,East Midlands,0.336,6.856
2004,Annual,East Midlands,0.338,7.933
2005,Annual,East Midlands,0.413,8.500
2006,Annual,East Midlands,0.380,6.519
2007,Annual,East Midlands,0.446,7.212
2008,Annual,East Midlands,0.386,6.827
2009,Annual,East Midlands,0.348,7.452
2010,Annual,East Midlands,0.348,8.308
2011,Annual,East Midlands,0.400,7.231
2012,Annual,East Midlands,0.357,7.192
2013,Annual,East Midlands,0.335,6.981
2014,Annual,East Midlands,0.381,7.548
2015,Annual,East Midlands,0.321,5.942
2016,Annual,East Midlands,0.397,10.673
2017,Annual,East Midlands,0.393,7.346
2018,Annual,East Midlands,0.352,7.731
2019,Annual,East Midlands,0.343,6.538
2020,Annual,East Midlands,0.406,7.337
2021,Annual,East Midlands,0.468,7.404
2022,Annual,East Midlands,0.322,6.654
2023,Annual,East Midlands,0.403,8.510
2024,Annual,East Midlands,0.379,11.346
2025,Annual,East Midlands,0.369,7.413
2026,Annual,East Midlands,0.389,8.029
2027,Annual,East Midlands,0.333,8.404
2028,Annual,East Midlands,0.377,7.510
2029,Annual,East Midlands,0.368,8.769
2030,Annual,East Midlands,0.374,6.942
2031,Annual,East Midlands,0.377,9.740
2032,Annual,East Midlands,0.313,10.779
2033,Annual,East Midlands,0.383,8.615
2034,Annual,East Midlands,0.447,11.298
2035,Annual,East Midlands,0.426,8.038
2036,Annual,East Midlands,0.411,7.721
2037,Annual,East Midlands,0.415,12.827
2038,Annual,East Midlands,0.390,7.942
2039,Annual,East Midlands,0.383,13.308
2040,Annual,East Midlands,0.382,7.952
2041,Annual,East Midlands,0.356,7.221
2042,Annual,East Midlands,0.403,8.375
2043,Annual,East Midlands,0.444,10.577
2044,Annual,East Midlands,0.315,8.567
2045,Annual,East Midlands,0.316,7.529
2046,Annual,East Midlands,0.320,6.490
2047,Annual,East Midlands,0.415,8.760
2048,Annual,East Midlands,0.354,7.356
2049,Annual,East Midlands,0.364,7.192
2050,Annual,East Midlands,0.375,7.894
2051,Annual,East Midlands,0.369,8.029
2052,Annual,East Midlands,0.407,8.885
2053,Annual,East Midlands,0.391,7.519
2054,Annual,East Midlands,0.445,8.971
2055,Annual,East Midlands,0.366,6.663
2056,Annual,East Midlands,0.412,10.327
2057,Annual,East Midlands,0.309,6.163
2058,Annual,East Midlands,0.413,10.010
2059,Annual,East Midlands,0.430,6.942
2060,Annual,East Midlands,0.401,8.500
2061,Annual,East Midlands,0.316,6.269
2062,Annual,East Midlands,0.369,8.798
2063,Annual,East Midlands,0.341,7.837
2064,Annual,East Midlands,0.323,5.817
2065,Annual,East Midlands,0.311,6.221
2066,Annual,East Midlands,0.285,7.240
2067,Annual,East Midlands,0.337,6.990
2068,Annual,East Midlands,0.391,8.971
2069,Annual,East Midlands,0.391,9.240
2070,Annual,East Midlands,0.331,6.856
2071,Annual,East Midlands,0.309,6.308
2072,Annual,East Midlands,0.415,8.000
2073,Annual,East Midlands,0.298,6.663
2074,Annual,East Midlands,0.438,8.212
2075,Annual,East Midlands,0.328,6.606
2076,Annual,East Midlands,0.366,7.635
2077,Annual,East Midlands,0.375,9.942
2078,Annual,East Midlands,0.333,6.837
2079,Annual,East Midlands,0.272,6.019
2080,Annual,East Midlands,0.343,7.279
1981,Annual,East of England,0.377,8.209
1982,Annual,East of England,0.383,7.550
1983,Annual,East of England,0.359,9.039
1984,Annual,East of England,0.343,6.264
1985,Annual,East of England,0.365,8.333
1986,Annual,East of England,0.295,6.295
1987,Annual,East of England,0.299,6.744
1988,Annual,East of England,0.377,7.178
1989,Annual,East of England,0.324,6.922
1990,Annual,East of England,0.370,8.674
1991,Annual,East of England,0.322,8.047
1992,Annual,East of England,0.379,6.806
1993,Annual,East of England,0.373,8.271
1994,Annual,East of England,0.360,9.457
1995,Annual,East of England,0.383,8.132
1996,Annual,East of England,0.390,7.984
1997,Annual,East of England,0.306,6.202
1998,Annual,East of England,0.279,7.938
1999,Annual,East of England,0.357,7.256
2000,Annual,East of England,0.388,9.705
2001,Annual,East of England,0.434,11.357
2002,Annual,East of England,0.400,7.922
2003,Annual,East of England,0.314,6.527
2004,Annual,East of England,0.304,6.062
2005,Annual,East of England,0.355,6.814
2006,Annual,East of England,0.363,7.171
2007,Annual,East of England,0.412,7.426
2008,Annual,East of England,0.344,7.326
2009,Annual,East of England,0.333,8.628
2010,Annual,East of England,0.341,7.938
2011,Annual,East of England,0.367,6.845
2012,Annual,East of England,0.351,6.643
2013,Annual,East of England,0.304,7.039
2014,Annual,East of England,0.360,6.992
2015,Annual,East of England,0.306,5.589
2016,Annual,East of England,0.398,9.876
2017,Annual,East of England,0.341,6.233
2018,Annual,East of England,0.310,6.636
2019,Annual,East of England,0.344,8.318
2020,Annual,East of England,0.392,7.147
2021,Annual,East of England,0.429,6.953
2022,Annual,East of England,0.299,5.659
2023,Annual,East of England,0.368,7.295
2024,Annual,East of England,0.359,9.194
2025,Annual,East of England,0.336,6.147
2026,Annual,East of England,0.373,9.651
2027,Annual,East of England,0.305,8.620
2028,Annual,East of England,0.351,7.109
2029,Annual,East of England,0.343,7.767
2030,Annual,East of England,0.330,5.868
2031,Annual,East of England,0.343,8.829
2032,Annual,East of England,0.279,8.953
2033,Annual,East of England,0.339,8.039
2034,Annual,East of England,0.406,9.953
2035,Annual,East of England,0.399,8.512
2036,Annual,East of England,0.380,6.132
2037,Annual,East of England,0.366,11.767
2038,Annual,East of England,0.381,8.558
2039,Annual,East of England,0.368,11.543
2040,Annual,East of England,0.365,7.659
2041,Annual,East of England,0.343,7.713
2042,Annual,East of England,0.375,7.023
2043,Annual,East of England,0.420,6.969
2044,Annual,East of England,0.288,6.403
2045,Annual,East of England,0.296,6.364
2046,Annual,East of England,0.312,5.674
2047,Annual,East of England,0.382,7.574
2048,Annual,East of England,0.336,6.992
2049,Annual,East of England,0.329,6.667
2050,Annual,East of England,0.317,6.093
2051,Annual,East of England,0.340,8.140
2052,Annual,East of England,0.379,7.031
2053,Annual,East of England,0.372,7.434
2054,Annual,East of England,0.429,10.054
2055,Annual,East of England,0.347,6.364
2056,Annual,East of England,0.376,8.930
2057,Annual,East of England,0.279,5.605
2058,Annual,East of England,0.387,10.884
2059,Annual,East of England,0.395,6.938
2060,Annual,East of England,0.381,8.597
2061,Annual,East of England,0.299,6.380
2062,Annual,East of England,0.327,6.930
2063,Annual,East of England,0.286,6.147
2064,Annual,East of England,0.290,6.946
2065,Annual,East of England,0.287,6.101
2066,Annual,East of England,0.247,5.411
2067,Annual,East of England,0.316,6.884
2068,Annual,East of England,0.354,8.550
2069,Annual,East of England,0.352,7.550
2070,Annual,East of England,0.305,6.550
2071,Annual,East of England,0.300,6.736
2072,Annual,East of England,0.401,7.822
2073,Annual,East of England,0.277,6.620
2074,Annual,East of England,0.369,6.155
2075,Annual,East of England,0.298,6.853
2076,Annual,East of England,0.334,6.930
2077,Annual,East of England,0.354,8.326
2078,Annual,East of England,0.305,6.729
2079,Annual,East of England,0.253,6.202
2080,Annual,East of England,0.330,7.876
1981,Annual,East Scotland,0.532,12.789
1982,Annual,East Scotland,0.547,12.217
1983,Annual,East Scotland,0.495,12.379
1984,Annual,East Scotland,0.471,13.447
1985,Annual,East Scotland,0.559,12.211
1986,Annual,East Scotland,0.473,11.950
1987,Annual,East Scotland,0.431,11.447
1988,Annual,East Scotland,0.514,13.311
1989,Annual,East Scotland,0.532,14.745
1990,Annual,East Scotland,0.477,11.130
1991,Annual,East Scotland,0.467,9.758
1992,Annual,East Scotland,0.527,11.503
1993,Annual,East Scotland,0.522,14.236
1994,Annual,East Scotland,0.507,11.130
1995,Annual,East Scotland,0.521,16.447
1996,Annual,East Scotland,0.483,10.267
1997,Annual,East Scotland,0.516,13.174
1998,Annual,East Scotland,0.423,10.714
1999,Annual,East Scotland,0.510,12.211
2000,Annual,East Scotland,0.522,19.025
2001,Annual,East Scotland,0.486,11.826
2002,Annual,East Scotland,0.542,15.224
2003,Annual,East Scotland,0.461,10.478
2004,Annual,East Scotland,0.392,10.068
2005,Annual,East Scotland,0.528,12.410
2006,Annual,East Scotland,0.486,12.000
2007,Annual,East Scotland,0.592,15.118
2008,Annual,East Scotland,0.521,14.770
2009,Annual,East Scotland,0.505,12.137
2010,Annual,East Scotland,0.499,10.801
2011,Annual,East Scotland,0.520,12.919
2012,Annual,East Scotland,0.449,10.714
2013,Annual,East Scotland,0.416,8.776
2014,Annual,East Scotland,0.531,13.019
2015,Annual,East Scotland,0.388,11.981
2016,Annual,East Scotland,0.484,10.733
2017,Annual,East Scotland,0.532,12.391
2018,Annual,East Scotland,0.522,12.379
2019,Annual,East Scotland,0.451,11.193
2020,Annual,East Scotland,0.537,13.404
2021,Annual,East Scotland,0.596,16.615
2022,Annual,East Scotland,0.454,10.640
2023,Annual,East Scotland,0.499,11.925
2024,Annual,East Scotland,0.512,13.472
2025,Annual,East Scotland,0.524,14.323
2026,Annual,East Scotland,0.474,14.913
2027,Annual,East Scotland,0.474,14.957
2028,Annual,East Scotland,0.500,11.323
2029,Annual,East Scotland,0.463,10.050
2030,Annual,East Scotland,0.476,16.391
2031,Annual,East Scotland,0.488,11.255
2032,Annual,East Scotland,0.408,9.472
2033,Annual,East Scotland,0.496,13.857
2034,Annual,East Scotland,0.503,10.919
2035,Annual,East Scotland,0.565,12.745
2036,Annual,East Scotland,0.485,11.168
2037,Annual,East Scotland,0.513,12.938
2038,Annual,East Scotland,0.512,14.789
2039,Annual,East Scotland,0.475,15.106
2040,Annual,East Scotland,0.455,9.447
2041,Annual,East Scotland,0.475,13.112
2042,Annual,East Scotland,0.512,18.528
2043,Annual,East Scotland,0.540,11.311
2044,Annual,East Scotland,0.466,11.118
2045,Annual,East Scotland,0.428,8.627
2046,Annual,East Scotland,0.471,14.547
2047,Annual,East Scotland,0.478,14.466
2048,Annual,East Scotland,0.444,11.429
2049,Annual,East Scotland,0.469,10.720
2050,Annual,East Scotland,0.503,11.901
2051,Annual,East Scotland,0.506,14.447
2052,Annual,East Scotland,0.511,10.913
2053,Annual,East Scotland,0.494,9.876
2054,Annual,East Scotland,0.530,12.988
2055,Annual,East Scotland,0.440,10.584
2056,Annual,East Scotland,0.533,11.578
2057,Annual,East Scotland,0.457,11.571
2058,Annual,East Scotland,0.507,13.224
2059,Annual,East Scotland,0.516,12.453
2060,Annual,East Scotland,0.510,15.149
2061,Annual,East Scotland,0.445,14.571
2062,Annual,East Scotland,0.464,9.447
2063,Annual,East Scotland,0.433,11.652
2064,Annual,East Scotland,0.439,11.497
2065,Annual,East Scotland,0.389,9.820
2066,Annual,East Scotland,0.368,7.615
2067,Annual,East Scotland,0.438,9.783
2068,Annual,East Scotland,0.452,9.031
2069,Annual,East Scotland,0.480,10.106
2070,Annual,East Scotland,0.462,10.770
2071,Annual,East Scotland,0.434,11.081
2072,Annual,East Scotland,0.482,13.217
2073,Annual,East Scotland,0.426,9.379
2074,Annual,East Scotland,0.506,13.963
2075,Annual,East Scotland,0.470,13.727
2076,Annual,East Scotland,0.447,9.783
2077,Annual,East Scotland,0.447,10.814
2078,Annual,East Scotland,0.449,13.441
2079,Annual,East Scotland,0.369,8.037
2080,Annual,East Scotland,0.418,7.640
1981,Annual,London,0.365,6.833
1982,Annual,London,0.378,6.667
1983,Annual,London,0.344,10.000
1984,Annual,London,0.314,8.583
1985,Annual,London,0.374,11.000
1986,Annual,London,0.280,5.417
1987,Annual,London,0.296,7.917
1988,Annual,London,0.372,6.917
1989,Annual,London,0.308,6.000
1990,Annual,London,0.378,8.583
1991,Annual,London,0.325,7.250
1992,Annual,London,0.396,8.167
1993,Annual,London,0.376,9.000
1994,Annual,London,0.361,10.667
1995,Annual,London,0.386,10.667
1996,Annual,London,0.370,9.833
1997,Annual,London,0.306,6.000
1998,Annual,London,0.283,12.167
1999,Annual,London,0.361,7.667
2000,Annual,London,0.378,12.333
2001,Annual,London,0.445,11.500
