Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.350,8.163
1982,Annual,East Midlands,0.403,7.558
1983,Annual,East Midlands,0.366,6.587
1984,Annual,East Midlands,0.395,6.413
1985,Annual,East Midlands,0.365,6.913
1986,Annual,East Midlands,0.336,6.721
1987,Annual,East Midlands,0.393,7.192
1988,Annual,East Midlands,0.340,7.000
1989,Annual,East Midlands,0.375,7.510
1990,Annual,East Midlands,0.364,7.538
1991,Annual,East Midlands,0.382,6.981
1992,Annual,East Midlands,0.379,10.981
1993,Annual,East Midlands,0.304,6.548
1994,Annual,East Midlands,0.368,8.452
1995,Annual,East Midlands,0.378,7.010
1996,Annual,East Midlands,0.377,9.000
1997,Annual,East Midlands,0.282,6.240
1998,Annual,East Midlands,0.376,8.519
1999,Annual,East Midlands,0.307,6.519
2000,Annual,East Midlands,0.343,6.529
2001,Annual,East Midlands,0.385,7.135
2002,Annual,East Midlands,0.395,8.433
2003,Annual,East Midlands,0.354,7.385
2004,Annual,East Midlands,0.394,8.077
2005,Annual,East Midlands,0.414,8.010
2006,Annual,East Midlands,0.320,6.635
2007,Annual,East Midlands,0.304,6.212
2008,Annual,East Midlands,0.368,8.548
2009,Annual,East Midlands,0.404,8.183
2010,Annual,East Midlands,0.347,8.538
2011,Annual,East Midlands,0.355,8.663
2012,Annual,East Midlands,0.272,7.183
2013,Annual,East Midlands,0.275,5.731
2014,Annual,East Midlands,0.340,6.462
2015,Annual,East Midlands,0.394,6.962
2016,Annual,East Midlands,0.369,7.125
2017,Annual,East Midlands,0.389,6.144
2018,Annual,East Midlands,0.385,8.173
2019,Annual,East Midlands,0.406,6.635
2020,Annual,East Midlands,0.349,8.019
2021,Annual,East Midlands,0.358,6.173
2022,Annual,East Midlands,0.333,6.481
2023,Annual,East Midlands,0.317,7.981
2024,Annual,East Midlands,0.315,6.096
2025,Annual,East Midlands,0.313,7.798
2026,Annual,East Midlands,0.297,4.962
2027,Annual,East Midlands,0.337,7.135
2028,Annual,East Midlands,0.377,6.721
2029,Annual,East Midlands,0.342,7.337
2030,Annual,East Midlands,0.329,6.250
2031,Annual,East Midlands,0.382,7.240
2032,Annual,East Midlands,0.328,8.962
2033,Annual,East Midlands,0.347,8.606
2034,Annual,East Midlands,0.355,6.356
2035,Annual,East Midlands,0.310,10.894
2036,Annual,East Midlands,0.338,6.625
2037,Annual,East Midlands,0.320,6.346
2038,Annual,East Midlands,0.350,8.433
2039,Annual,East Midlands,0.363,9.317
2040,Annual,East Midlands,0.338,8.740
2041,Annual,East Midlands,0.341,6.202
2042,Annual,East Midlands,0.325,6.865
2043,Annual,East Midlands,0.329,6.279
2044,Annual,East Midlands,0.349,9.346
2045,Annual,East Midlands,0.314,8.721
2046,Annual,East Midlands,0.381,8.567
2047,Annual,East Midlands,0.359,7.240
2048,Annual,East Midlands,0.341,5.644
2049,Annual,East Midlands,0.332,7.596
2050,Annual,East Midlands,0.300,8.019
2051,Annual,East Midlands,0.361,7.712
2052,Annual,East Midlands,0.343,7.038
2053,Annual,East Midlands,0.237,5.106
2054,Annual,East Midlands,0.368,10.942
2055,Annual,East Midlands,0.305,5.115
2056,Annual,East Midlands,0.247,5.462
2057,Annual,East Midlands,0.383,8.154
2058,Annual,East Midlands,0.321,6.490
2059,Annual,East Midlands,0.306,7.683
2060,Annual,East Midlands,0.302,7.048
2061,Annual,East Midlands,0.342,6.385
2062,Annual,East Midlands,0.355,8.308
2063,Annual,East Midlands,0.319,7.567
2064,Annual,East Midlands,0.387,8.087
2065,Annual,East Midlands,0.320,5.721
2066,Annual,East Midlands,0.390,10.173
2067,Annual,East Midlands,0.393,6.000
2068,Annual,East Midlands,0.306,6.240
2069,Annual,East Midlands,0.367,6.808
2070,Annual,East Midlands,0.302,5.471
2071,Annual,East Midlands,0.317,6.298
2072,Annual,East Midlands,0.221,4.644
2073,Annual,East Midlands,0.316,6.135
2074,Annual,East Midlands,0.326,7.990
2075,Annual,East Midlands,0.277,8.673
2076,Annual,East Midlands,0.305,5.740
2077,Annual,East Midlands,0.340,7.067
2078,Annual,East Midlands,0.345,7.394
2079,Annual,East Midlands,0.321,6.837
2080,Annual,East Midlands,0.324,8.760
1981,Annual,East of England,0.340,8.171
1982,Annual,East of England,0.341,6.984
1983,Annual,East of England,0.330,5.736
1984,Annual,East of England,0.331,5.202
1985,Annual,East of England,0.317,6.659
1986,Annual,East of England,0.283,6.178
1987,Annual,East of England,0.360,6.876
1988,Annual,East of England,0.336,6.775
