Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.402,7.981
1982,Annual,East Midlands,0.409,7.126
1983,Annual,East Midlands,0.399,7.437
1984,Annual,East Midlands,0.434,9.748
1985,Annual,East Midlands,0.409,8.971
1986,Annual,East Midlands,0.370,7.456
1987,Annual,East Midlands,0.420,8.019
1988,Annual,East Midlands,0.432,12.223
1989,Annual,East Midlands,0.431,9.175
1990,Annual,East Midlands,0.423,7.553
1991,Annual,East Midlands,0.418,9.087
1992,Annual,East Midlands,0.431,11.689
1993,Annual,East Midlands,0.362,7.447
1994,Annual,East Midlands,0.402,9.553
1995,Annual,East Midlands,0.377,9.175
1996,Annual,East Midlands,0.408,9.097
1997,Annual,East Midlands,0.325,8.883
1998,Annual,East Midlands,0.446,8.913
1999,Annual,East Midlands,0.370,7.942
2000,Annual,East Midlands,0.385,7.903
2001,Annual,East Midlands,0.458,8.728
2002,Annual,East Midlands,0.392,8.990
2003,Annual,East Midlands,0.399,7.408
2004,Annual,East Midlands,0.452,11.476
2005,Annual,East Midlands,0.463,9.864
2006,Annual,East Midlands,0.387,5.971
2007,Annual,East Midlands,0.402,7.738
2008,Annual,East Midlands,0.429,8.078
2009,Annual,East Midlands,0.438,7.621
2010,Annual,East Midlands,0.400,8.175
2011,Annual,East Midlands,0.368,8.660
2012,Annual,East Midlands,0.360,7.078
2013,Annual,East Midlands,0.363,8.165
2014,Annual,East Midlands,0.403,6.641
2015,Annual,East Midlands,0.479,9.097
2016,Annual,East Midlands,0.404,7.524
2017,Annual,East Midlands,0.412,7.466
2018,Annual,East Midlands,0.433,7.951
2019,Annual,East Midlands,0.461,8.476
2020,Annual,East Midlands,0.373,7.699
2021,Annual,East Midlands,0.376,9.913
2022,Annual,East Midlands,0.374,6.233
2023,Annual,East Midlands,0.357,8.641
2024,Annual,East Midlands,0.410,8.689
2025,Annual,East Midlands,0.411,8.252
2026,Annual,East Midlands,0.358,7.573
2027,Annual,East Midlands,0.369,7.233
2028,Annual,East Midlands,0.395,9.796
2029,Annual,East Midlands,0.382,6.340
2030,Annual,East Midlands,0.378,6.039
2031,Annual,East Midlands,0.417,8.757
2032,Annual,East Midlands,0.372,8.505
2033,Annual,East Midlands,0.419,10.311
2034,Annual,East Midlands,0.389,9.670
2035,Annual,East Midlands,0.367,6.883
2036,Annual,East Midlands,0.357,7.913
2037,Annual,East Midlands,0.418,7.641
2038,Annual,East Midlands,0.375,6.748
2039,Annual,East Midlands,0.382,8.660
2040,Annual,East Midlands,0.377,6.097
2041,Annual,East Midlands,0.384,7.408
2042,Annual,East Midlands,0.408,7.534
2043,Annual,East Midlands,0.375,7.631
2044,Annual,East Midlands,0.383,8.485
2045,Annual,East Midlands,0.338,7.408
2046,Annual,East Midlands,0.405,7.680
2047,Annual,East Midlands,0.397,7.961
2048,Annual,East Midlands,0.418,9.466
2049,Annual,East Midlands,0.361,8.117
2050,Annual,East Midlands,0.359,7.252
2051,Annual,East Midlands,0.421,8.087
2052,Annual,East Midlands,0.397,8.087
2053,Annual,East Midlands,0.306,6.757
2054,Annual,East Midlands,0.373,9.495
2055,Annual,East Midlands,0.351,7.340
2056,Annual,East Midlands,0.353,6.252
2057,Annual,East Midlands,0.421,7.631
2058,Annual,East Midlands,0.372,9.243
2059,Annual,East Midlands,0.329,7.883
2060,Annual,East Midlands,0.364,8.893
2061,Annual,East Midlands,0.411,7.971
2062,Annual,East Midlands,0.422,9.214
2063,Annual,East Midlands,0.358,6.874
2064,Annual,East Midlands,0.426,8.359
2065,Annual,East Midlands,0.387,7.078
2066,Annual,East Midlands,0.432,11.631
2067,Annual,East Midlands,0.444,9.689
2068,Annual,East Midlands,0.315,6.573
2069,Annual,East Midlands,0.411,9.883
2070,Annual,East Midlands,0.369,6.573
2071,Annual,East Midlands,0.342,6.427
2072,Annual,East Midlands,0.277,5.136
2073,Annual,East Midlands,0.356,8.456
2074,Annual,East Midlands,0.365,10.340
2075,Annual,East Midlands,0.316,7.913
2076,Annual,East Midlands,0.334,7.146
2077,Annual,East Midlands,0.393,10.029
2078,Annual,East Midlands,0.382,9.039
2079,Annual,East Midlands,0.407,8.641
2080,Annual,East Midlands,0.389,11.252
1981,Annual,East of England,0.354,8.198
1982,Annual,East of England,0.351,7.667
1983,Annual,East of England,0.373,6.325
1984,Annual,East of England,0.413,8.754
1985,Annual,East of England,0.366,7.079
1986,Annual,East of England,0.324,7.643
1987,Annual,East of England,0.382,6.952
1988,Annual,East of England,0.384,9.278
1989,Annual,East of England,0.403,8.190
