Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.365,7.183
1982,Annual,East Midlands,0.437,9.529
1983,Annual,East Midlands,0.404,8.365
1984,Annual,East Midlands,0.390,8.942
1985,Annual,East Midlands,0.386,7.885
1986,Annual,East Midlands,0.390,8.865
1987,Annual,East Midlands,0.429,9.885
1988,Annual,East Midlands,0.416,7.865
1989,Annual,East Midlands,0.394,9.548
1990,Annual,East Midlands,0.426,9.788
1991,Annual,East Midlands,0.403,9.288
1992,Annual,East Midlands,0.435,10.019
1993,Annual,East Midlands,0.445,8.471
1994,Annual,East Midlands,0.367,8.404
1995,Annual,East Midlands,0.412,16.702
1996,Annual,East Midlands,0.413,9.356
1997,Annual,East Midlands,0.366,8.856
1998,Annual,East Midlands,0.342,8.125
1999,Annual,East Midlands,0.393,8.010
2000,Annual,East Midlands,0.382,8.817
2001,Annual,East Midlands,0.463,11.933
2002,Annual,East Midlands,0.467,8.346
2003,Annual,East Midlands,0.352,7.885
2004,Annual,East Midlands,0.362,7.731
2005,Annual,East Midlands,0.405,8.712
2006,Annual,East Midlands,0.390,8.337
2007,Annual,East Midlands,0.470,8.663
2008,Annual,East Midlands,0.409,8.769
2009,Annual,East Midlands,0.344,7.837
2010,Annual,East Midlands,0.415,9.298
2011,Annual,East Midlands,0.412,10.029
2012,Annual,East Midlands,0.360,8.000
2013,Annual,East Midlands,0.317,8.183
2014,Annual,East Midlands,0.385,7.981
2015,Annual,East Midlands,0.357,7.442
2016,Annual,East Midlands,0.460,10.885
2017,Annual,East Midlands,0.400,8.721
2018,Annual,East Midlands,0.375,7.567
2019,Annual,East Midlands,0.387,8.298
2020,Annual,East Midlands,0.408,7.500
2021,Annual,East Midlands,0.484,8.721
2022,Annual,East Midlands,0.333,7.615
2023,Annual,East Midlands,0.406,8.019
2024,Annual,East Midlands,0.400,9.779
2025,Annual,East Midlands,0.373,7.433
2026,Annual,East Midlands,0.426,9.788
2027,Annual,East Midlands,0.386,9.048
2028,Annual,East Midlands,0.357,6.904
2029,Annual,East Midlands,0.373,8.433
2030,Annual,East Midlands,0.326,7.875
2031,Annual,East Midlands,0.418,8.952
2032,Annual,East Midlands,0.358,9.731
2033,Annual,East Midlands,0.367,8.346
2034,Annual,East Midlands,0.415,8.529
2035,Annual,East Midlands,0.451,9.250
2036,Annual,East Midlands,0.416,9.683
2037,Annual,East Midlands,0.442,11.308
2038,Annual,East Midlands,0.398,8.490
2039,Annual,East Midlands,0.443,13.385
2040,Annual,East Midlands,0.408,8.740
2041,Annual,East Midlands,0.383,8.913
2042,Annual,East Midlands,0.442,11.779
2043,Annual,East Midlands,0.476,9.250
2044,Annual,East Midlands,0.343,6.317
2045,Annual,East Midlands,0.344,6.462
2046,Annual,East Midlands,0.338,6.769
2047,Annual,East Midlands,0.414,10.212
2048,Annual,East Midlands,0.390,9.337
2049,Annual,East Midlands,0.388,5.808
2050,Annual,East Midlands,0.355,8.308
2051,Annual,East Midlands,0.357,7.192
2052,Annual,East Midlands,0.401,9.029
2053,Annual,East Midlands,0.425,9.212
2054,Annual,East Midlands,0.417,8.058
2055,Annual,East Midlands,0.385,6.837
2056,Annual,East Midlands,0.359,9.615
2057,Annual,East Midlands,0.339,8.375
2058,Annual,East Midlands,0.385,11.010
2059,Annual,East Midlands,0.406,7.231
2060,Annual,East Midlands,0.430,7.808
2061,Annual,East Midlands,0.363,10.135
2062,Annual,East Midlands,0.375,7.183
2063,Annual,East Midlands,0.335,7.538
2064,Annual,East Midlands,0.376,7.308
2065,Annual,East Midlands,0.294,5.798
2066,Annual,East Midlands,0.311,8.115
2067,Annual,East Midlands,0.346,7.260
2068,Annual,East Midlands,0.393,9.692
2069,Annual,East Midlands,0.373,7.769
2070,Annual,East Midlands,0.355,7.856
2071,Annual,East Midlands,0.335,10.462
2072,Annual,East Midlands,0.372,6.837
2073,Annual,East Midlands,0.321,7.731
2074,Annual,East Midlands,0.406,8.067
2075,Annual,East Midlands,0.352,7.144
2076,Annual,East Midlands,0.363,8.692
2077,Annual,East Midlands,0.407,7.596
2078,Annual,East Midlands,0.350,7.865
2079,Annual,East Midlands,0.283,5.692
2080,Annual,East Midlands,0.371,9.029
1981,Annual,East of England,0.341,6.364
1982,Annual,East of England,0.420,7.977
1983,Annual,East of England,0.379,7.574
1984,Annual,East of England,0.384,7.860
1985,Annual,East of England,0.355,7.388
1986,Annual,East of England,0.349,8.922
1987,Annual,East of England,0.407,10.147
1988,Annual,East of England,0.392,6.233
1989,Annual,East of England,0.336,7.674
1990,Annual,East of England,0.385,7.620
1991,Annual,East of England,0.379,7.915
1992,Annual,East of England,0.417,8.101
1993,Annual,East of England,0.413,7.209
1994,Annual,East of England,0.335,7.930
1995,Annual,East of England,0.379,12.295
1996,Annual,East of England,0.393,7.070
1997,Annual,East of England,0.329,9.155
1998,Annual,East of England,0.311,7.597
1999,Annual,East of England,0.372,6.891
2000,Annual,East of England,0.364,7.767
2001,Annual,East of England,0.438,11.674
2002,Annual,East of England,0.405,7.225
2003,Annual,East of England,0.325,6.930
2004,Annual,East of England,0.331,6.760
2005,Annual,East of England,0.356,6.760
2006,Annual,East of England,0.349,6.829
2007,Annual,East of England,0.450,7.651
2008,Annual,East of England,0.372,8.326
2009,Annual,East of England,0.329,8.140
2010,Annual,East of England,0.401,8.698
2011,Annual,East of England,0.375,7.845
2012,Annual,East of England,0.362,7.171
2013,Annual,East of England,0.307,6.535
2014,Annual,East of England,0.350,8.605
2015,Annual,East of England,0.346,7.605
2016,Annual,East of England,0.442,8.953
2017,Annual,East of England,0.364,7.419
2018,Annual,East of England,0.338,6.969
2019,Annual,East of England,0.383,9.783
2020,Annual,East of England,0.372,8.016
2021,Annual,East of England,0.439,9.070
2022,Annual,East of England,0.308,6.163
2023,Annual,East of England,0.394,8.907
2024,Annual,East of England,0.385,9.287
2025,Annual,East of England,0.327,7.039
2026,Annual,East of England,0.385,8.682
2027,Annual,East of England,0.349,8.643
2028,Annual,East of England,0.353,6.760
2029,Annual,East of England,0.345,7.403
2030,Annual,East of England,0.309,7.023
2031,Annual,East of England,0.378,7.992
2032,Annual,East of England,0.327,8.349
2033,Annual,East of England,0.344,6.581
2034,Annual,East of England,0.395,7.605
2035,Annual,East of England,0.407,7.318
2036,Annual,East of England,0.372,8.031
2037,Annual,East of England,0.404,9.085
2038,Annual,East of England,0.368,8.333
2039,Annual,East of England,0.422,13.287
2040,Annual,East of England,0.374,6.767
2041,Annual,East of England,0.365,8.124
2042,Annual,East of England,0.428,10.450
2043,Annual,East of England,0.442,8.364
2044,Annual,East of England,0.323,5.992
2045,Annual,East of England,0.324,6.698
2046,Annual,East of England,0.336,7.295
2047,Annual,East of England,0.378,6.969
2048,Annual,East of England,0.359,7.744
2049,Annual,East of England,0.353,5.930
2050,Annual,East of England,0.314,6.279
2051,Annual,East of England,0.328,6.891
2052,Annual,East of England,0.377,7.829
2053,Annual,East of England,0.389,7.837
2054,Annual,East of England,0.379,6.961
2055,Annual,East of England,0.374,6.868
2056,Annual,East of England,0.344,8.372
2057,Annual,East of England,0.323,8.682
2058,Annual,East of England,0.363,11.434
2059,Annual,East of England,0.397,7.147
2060,Annual,East of England,0.375,7.318
2061,Annual,East of England,0.345,10.783
2062,Annual,East of England,0.351,7.403
2063,Annual,East of England,0.298,5.605
2064,Annual,East of England,0.341,6.574
2065,Annual,East of England,0.277,5.357
2066,Annual,East of England,0.283,6.217
2067,Annual,East of England,0.337,7.961
2068,Annual,East of England,0.360,6.907
2069,Annual,East of England,0.352,8.217
2070,Annual,East of England,0.336,7.047
2071,Annual,East of England,0.324,8.426
2072,Annual,East of England,0.342,7.132
2073,Annual,East of England,0.314,7.078
2074,Annual,East of England,0.367,6.628
2075,Annual,East of England,0.308,7.287
2076,Annual,East of England,0.312,6.977
2077,Annual,East of England,0.402,8.171
2078,Annual,East of England,0.310,6.217
2079,Annual,East of England,0.269,5.752
2080,Annual,East of England,0.358,9.705
1981,Annual,East Scotland,0.554,15.741
1982,Annual,East Scotland,0.545,13.463
1983,Annual,East Scotland,0.537,12.796
1984,Annual,East Scotland,0.512,15.747
1985,Annual,East Scotland,0.524,14.759
1986,Annual,East Scotland,0.521,12.420
1987,Annual,East Scotland,0.524,14.525
1988,Annual,East Scotland,0.521,12.914
1989,Annual,East Scotland,0.533,15.790
1990,Annual,East Scotland,0.513,13.716
1991,Annual,East Scotland,0.502,11.025
1992,Annual,East Scotland,0.516,11.414
1993,Annual,East Scotland,0.560,15.586
1994,Annual,East Scotland,0.526,13.173
1995,Annual,East Scotland,0.547,16.469
1996,Annual,East Scotland,0.517,11.877
1997,Annual,East Scotland,0.493,13.599
1998,Annual,East Scotland,0.433,9.667
1999,Annual,East Scotland,0.513,14.907
2000,Annual,East Scotland,0.512,18.315
2001,Annual,East Scotland,0.514,15.864
2002,Annual,East Scotland,0.568,12.654
2003,Annual,East Scotland,0.482,11.352
2004,Annual,East Scotland,0.435,11.790
2005,Annual,East Scotland,0.576,15.741
2006,Annual,East Scotland,0.523,13.883
2007,Annual,East Scotland,0.599,15.333
2008,Annual,East Scotland,0.519,12.673
2009,Annual,East Scotland,0.489,12.451
2010,Annual,East Scotland,0.513,12.895
2011,Annual,East Scotland,0.517,12.457
2012,Annual,East Scotland,0.484,10.512
2013,Annual,East Scotland,0.433,11.043
2014,Annual,East Scotland,0.530,15.716
2015,Annual,East Scotland,0.431,12.006
2016,Annual,East Scotland,0.565,13.642
2017,Annual,East Scotland,0.549,15.315
2018,Annual,East Scotland,0.515,12.932
2019,Annual,East Scotland,0.493,12.500
2020,Annual,East Scotland,0.556,14.253
2021,Annual,East Scotland,0.557,15.074
2022,Annual,East Scotland,0.491,11.846
2023,Annual,East Scotland,0.506,11.679
2024,Annual,East Scotland,0.515,13.117
2025,Annual,East Scotland,0.549,12.809
2026,Annual,East Scotland,0.496,13.062
2027,Annual,East Scotland,0.514,15.340
2028,Annual,East Scotland,0.514,13.969
2029,Annual,East Scotland,0.472,12.340
2030,Annual,East Scotland,0.472,12.025
2031,Annual,East Scotland,0.520,12.642
2032,Annual,East Scotland,0.463,13.302
2033,Annual,East Scotland,0.507,17.031
2034,Annual,East Scotland,0.531,13.722
2035,Annual,East Scotland,0.578,15.049
2036,Annual,East Scotland,0.496,11.722
2037,Annual,East Scotland,0.546,14.395
2038,Annual,East Scotland,0.504,12.525
2039,Annual,East Scotland,0.525,14.988
2040,Annual,East Scotland,0.490,12.981
2041,Annual,East Scotland,0.481,15.136
2042,Annual,East Scotland,0.522,17.685
2043,Annual,East Scotland,0.564,14.370
2044,Annual,East Scotland,0.487,13.586
2045,Annual,East Scotland,0.445,9.747
2046,Annual,East Scotland,0.476,14.383
2047,Annual,East Scotland,0.491,11.247
2048,Annual,East Scotland,0.492,10.210
2049,Annual,East Scotland,0.541,13.901
2050,Annual,East Scotland,0.510,12.759
2051,Annual,East Scotland,0.489,12.778
2052,Annual,East Scotland,0.529,13.364
2053,Annual,East Scotland,0.517,11.475
2054,Annual,East Scotland,0.513,15.056
2055,Annual,East Scotland,0.506,13.031
2056,Annual,East Scotland,0.498,14.469
2057,Annual,East Scotland,0.440,12.914
2058,Annual,East Scotland,0.477,11.710
2059,Annual,East Scotland,0.501,12.278
2060,Annual,East Scotland,0.506,13.031
2061,Annual,East Scotland,0.470,13.765
2062,Annual,East Scotland,0.516,10.759
