Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.511,9.212
1982,Annual,East Midlands,0.417,7.885
1983,Annual,East Midlands,0.459,9.279
1984,Annual,East Midlands,0.423,8.942
1985,Annual,East Midlands,0.398,8.221
1986,Annual,East Midlands,0.414,10.096
1987,Annual,East Midlands,0.332,7.721
1988,Annual,East Midlands,0.363,7.452
1989,Annual,East Midlands,0.372,6.077
1990,Annual,East Midlands,0.378,6.990
1991,Annual,East Midlands,0.447,9.231
1992,Annual,East Midlands,0.412,9.865
1993,Annual,East Midlands,0.362,7.788
1994,Annual,East Midlands,0.476,11.673
1995,Annual,East Midlands,0.344,9.510
1996,Annual,East Midlands,0.496,9.952
1997,Annual,East Midlands,0.368,8.923
1998,Annual,East Midlands,0.419,8.433
1999,Annual,East Midlands,0.455,8.663
2000,Annual,East Midlands,0.388,8.971
2001,Annual,East Midlands,0.375,6.904
2002,Annual,East Midlands,0.401,8.510
2003,Annual,East Midlands,0.387,9.875
2004,Annual,East Midlands,0.433,8.433
2005,Annual,East Midlands,0.398,7.558
2006,Annual,East Midlands,0.413,9.375
2007,Annual,East Midlands,0.459,12.865
2008,Annual,East Midlands,0.381,7.135
2009,Annual,East Midlands,0.431,8.308
2010,Annual,East Midlands,0.439,9.394
2011,Annual,East Midlands,0.424,7.683
2012,Annual,East Midlands,0.417,8.942
2013,Annual,East Midlands,0.368,7.625
2014,Annual,East Midlands,0.371,6.779
2015,Annual,East Midlands,0.419,7.558
2016,Annual,East Midlands,0.432,10.385
2017,Annual,East Midlands,0.477,9.087
2018,Annual,East Midlands,0.464,8.308
2019,Annual,East Midlands,0.447,8.250
2020,Annual,East Midlands,0.461,8.788
2021,Annual,East Midlands,0.371,7.788
2022,Annual,East Midlands,0.334,8.769
2023,Annual,East Midlands,0.489,8.077
2024,Annual,East Midlands,0.430,8.365
2025,Annual,East Midlands,0.404,8.385
2026,Annual,East Midlands,0.461,11.288
2027,Annual,East Midlands,0.438,7.048
2028,Annual,East Midlands,0.400,7.423
2029,Annual,East Midlands,0.439,8.692
2030,Annual,East Midlands,0.414,9.933
2031,Annual,East Midlands,0.403,6.904
2032,Annual,East Midlands,0.418,9.471
2033,Annual,East Midlands,0.338,8.125
2034,Annual,East Midlands,0.463,11.173
2035,Annual,East Midlands,0.451,8.279
2036,Annual,East Midlands,0.469,11.702
2037,Annual,East Midlands,0.449,10.173
2038,Annual,East Midlands,0.383,8.673
2039,Annual,East Midlands,0.432,8.269
2040,Annual,East Midlands,0.354,7.087
2041,Annual,East Midlands,0.464,8.519
2042,Annual,East Midlands,0.397,7.163
2043,Annual,East Midlands,0.452,10.933
2044,Annual,East Midlands,0.468,8.019
2045,Annual,East Midlands,0.437,8.644
2046,Annual,East Midlands,0.456,10.269
2047,Annual,East Midlands,0.459,8.433
2048,Annual,East Midlands,0.389,9.279
2049,Annual,East Midlands,0.399,7.798
2050,Annual,East Midlands,0.381,7.740
2051,Annual,East Midlands,0.360,8.125
2052,Annual,East Midlands,0.486,8.971
2053,Annual,East Midlands,0.416,8.029
2054,Annual,East Midlands,0.401,7.462
2055,Annual,East Midlands,0.402,8.163
2056,Annual,East Midlands,0.412,9.817
2057,Annual,East Midlands,0.331,9.462
2058,Annual,East Midlands,0.419,7.269
2059,Annual,East Midlands,0.397,7.625
2060,Annual,East Midlands,0.384,7.558
2061,Annual,East Midlands,0.432,10.288
2062,Annual,East Midlands,0.448,8.433
2063,Annual,East Midlands,0.381,8.394
2064,Annual,East Midlands,0.460,8.692
2065,Annual,East Midlands,0.423,8.106
2066,Annual,East Midlands,0.379,6.990
2067,Annual,East Midlands,0.426,9.577
2068,Annual,East Midlands,0.371,7.529
2069,Annual,East Midlands,0.449,9.038
2070,Annual,East Midlands,0.372,8.500
2071,Annual,East Midlands,0.402,6.702
2072,Annual,East Midlands,0.396,7.683
2073,Annual,East Midlands,0.401,9.385
2074,Annual,East Midlands,0.411,7.962
2075,Annual,East Midlands,0.411,10.750
2076,Annual,East Midlands,0.355,6.481
2077,Annual,East Midlands,0.452,9.654
2078,Annual,East Midlands,0.419,8.394
2079,Annual,East Midlands,0.379,8.942
2080,Annual,East Midlands,0.389,7.346
1981,Annual,East of England,0.489,8.302
1982,Annual,East of England,0.383,7.488
1983,Annual,East of England,0.410,8.868
1984,Annual,East of England,0.393,7.860
1985,Annual,East of England,0.379,7.760
1986,Annual,East of England,0.387,6.822
1987,Annual,East of England,0.320,7.240
1988,Annual,East of England,0.333,8.620
1989,Annual,East of England,0.361,6.574
1990,Annual,East of England,0.367,7.264
1991,Annual,East of England,0.417,8.674
1992,Annual,East of England,0.378,7.907
1993,Annual,East of England,0.350,8.209
1994,Annual,East of England,0.416,9.667
1995,Annual,East of England,0.339,9.938
1996,Annual,East of England,0.467,11.783
1997,Annual,East of England,0.352,7.698
1998,Annual,East of England,0.408,9.295
1999,Annual,East of England,0.431,7.984
2000,Annual,East of England,0.395,6.543
2001,Annual,East of England,0.355,6.116
2002,Annual,East of England,0.371,8.000
2003,Annual,East of England,0.367,8.279
2004,Annual,East of England,0.401,9.775
2005,Annual,East of England,0.374,8.186
2006,Annual,East of England,0.378,8.434
2007,Annual,East of England,0.430,9.217
2008,Annual,East of England,0.360,7.961
2009,Annual,East of England,0.418,7.814
2010,Annual,East of England,0.411,7.891
2011,Annual,East of England,0.396,8.357
2012,Annual,East of England,0.403,9.209
2013,Annual,East of England,0.352,8.008
2014,Annual,East of England,0.354,6.287
2015,Annual,East of England,0.385,7.457
2016,Annual,East of England,0.432,10.953
2017,Annual,East of England,0.440,7.659
2018,Annual,East of England,0.445,7.760
2019,Annual,East of England,0.424,8.798
2020,Annual,East of England,0.422,7.388
2021,Annual,East of England,0.349,6.566
2022,Annual,East of England,0.300,8.930
2023,Annual,East of England,0.457,8.155
2024,Annual,East of England,0.409,8.008
2025,Annual,East of England,0.378,7.845
2026,Annual,East of England,0.429,13.016
2027,Annual,East of England,0.416,6.791
2028,Annual,East of England,0.385,6.775
2029,Annual,East of England,0.421,9.860
2030,Annual,East of England,0.393,9.341
2031,Annual,East of England,0.397,7.062
2032,Annual,East of England,0.418,8.969
2033,Annual,East of England,0.323,6.674
2034,Annual,East of England,0.440,9.209
2035,Annual,East of England,0.421,7.659
2036,Annual,East of England,0.444,11.349
2037,Annual,East of England,0.431,9.163
2038,Annual,East of England,0.368,8.767
2039,Annual,East of England,0.417,8.271
2040,Annual,East of England,0.365,6.752
2041,Annual,East of England,0.438,9.372
2042,Annual,East of England,0.365,6.302
2043,Annual,East of England,0.427,10.426
2044,Annual,East of England,0.469,9.054
2045,Annual,East of England,0.418,8.178
2046,Annual,East of England,0.427,8.124
2047,Annual,East of England,0.437,9.721
2048,Annual,East of England,0.382,8.930
2049,Annual,East of England,0.398,8.876
2050,Annual,East of England,0.374,8.884
2051,Annual,East of England,0.350,7.372
2052,Annual,East of England,0.452,9.225
2053,Annual,East of England,0.412,8.419
2054,Annual,East of England,0.399,6.380
2055,Annual,East of England,0.398,7.395
2056,Annual,East of England,0.396,11.155
2057,Annual,East of England,0.282,7.977
2058,Annual,East of England,0.429,7.705
2059,Annual,East of England,0.365,6.581
2060,Annual,East of England,0.360,8.318
2061,Annual,East of England,0.412,9.891
2062,Annual,East of England,0.438,8.372
2063,Annual,East of England,0.360,8.140
2064,Annual,East of England,0.416,8.171
2065,Annual,East of England,0.416,9.295
2066,Annual,East of England,0.343,7.775
2067,Annual,East of England,0.413,9.008
2068,Annual,East of England,0.349,6.984
2069,Annual,East of England,0.450,11.039
2070,Annual,East of England,0.363,8.496
2071,Annual,East of England,0.368,5.868
2072,Annual,East of England,0.377,8.574
2073,Annual,East of England,0.377,8.767
2074,Annual,East of England,0.412,8.891
2075,Annual,East of England,0.388,9.380
2076,Annual,East of England,0.339,7.124
2077,Annual,East of England,0.409,9.116
2078,Annual,East of England,0.401,8.326
2079,Annual,East of England,0.349,8.209
2080,Annual,East of England,0.381,6.566
1981,Annual,East Scotland,0.522,10.553
1982,Annual,East Scotland,0.480,12.950
1983,Annual,East Scotland,0.511,12.093
1984,Annual,East Scotland,0.487,13.870
1985,Annual,East Scotland,0.511,11.950
1986,Annual,East Scotland,0.511,10.727
1987,Annual,East Scotland,0.478,13.149
1988,Annual,East Scotland,0.489,13.006
1989,Annual,East Scotland,0.519,14.913
1990,Annual,East Scotland,0.485,12.093
1991,Annual,East Scotland,0.533,15.516
1992,Annual,East Scotland,0.531,13.174
1993,Annual,East Scotland,0.458,11.391
1994,Annual,East Scotland,0.542,12.205
1995,Annual,East Scotland,0.453,11.466
1996,Annual,East Scotland,0.563,12.112
1997,Annual,East Scotland,0.448,12.230
1998,Annual,East Scotland,0.482,11.621
1999,Annual,East Scotland,0.501,12.000
2000,Annual,East Scotland,0.469,15.242
2001,Annual,East Scotland,0.503,11.441
2002,Annual,East Scotland,0.503,13.826
2003,Annual,East Scotland,0.534,15.491
2004,Annual,East Scotland,0.549,15.981
2005,Annual,East Scotland,0.488,14.888
2006,Annual,East Scotland,0.504,12.472
2007,Annual,East Scotland,0.502,14.255
2008,Annual,East Scotland,0.501,14.298
2009,Annual,East Scotland,0.563,17.689
2010,Annual,East Scotland,0.562,14.087
2011,Annual,East Scotland,0.514,12.826
2012,Annual,East Scotland,0.525,12.398
2013,Annual,East Scotland,0.497,12.398
2014,Annual,East Scotland,0.450,9.944
2015,Annual,East Scotland,0.540,14.677
2016,Annual,East Scotland,0.500,12.224
2017,Annual,East Scotland,0.540,14.373
2018,Annual,East Scotland,0.560,15.888
2019,Annual,East Scotland,0.551,16.075
2020,Annual,East Scotland,0.523,13.143
2021,Annual,East Scotland,0.469,10.553
2022,Annual,East Scotland,0.423,12.373
2023,Annual,East Scotland,0.559,12.168
2024,Annual,East Scotland,0.508,12.261
2025,Annual,East Scotland,0.489,11.075
2026,Annual,East Scotland,0.533,12.578
2027,Annual,East Scotland,0.520,12.081
2028,Annual,East Scotland,0.483,10.702
2029,Annual,East Scotland,0.567,13.416
2030,Annual,East Scotland,0.525,12.733
2031,Annual,East Scotland,0.509,9.981
2032,Annual,East Scotland,0.499,13.075
2033,Annual,East Scotland,0.447,10.981
2034,Annual,East Scotland,0.547,11.025
2035,Annual,East Scotland,0.558,12.267
2036,Annual,East Scotland,0.547,15.522
2037,Annual,East Scotland,0.521,13.584
2038,Annual,East Scotland,0.533,15.137
2039,Annual,East Scotland,0.475,11.752
2040,Annual,East Scotland,0.490,12.702
2041,Annual,East Scotland,0.543,10.957
2042,Annual,East Scotland,0.547,12.801
2043,Annual,East Scotland,0.539,13.938
2044,Annual,East Scotland,0.555,12.460
2045,Annual,East Scotland,0.534,12.839
2046,Annual,East Scotland,0.530,13.460
2047,Annual,East Scotland,0.571,11.410
2048,Annual,East Scotland,0.483,10.770
2049,Annual,East Scotland,0.505,11.851
2050,Annual,East Scotland,0.528,14.354
2051,Annual,East Scotland,0.507,12.255
2052,Annual,East Scotland,0.568,13.540
2053,Annual,East Scotland,0.483,11.217
2054,Annual,East Scotland,0.506,13.155
2055,Annual,East Scotland,0.490,12.988
2056,Annual,East Scotland,0.529,13.360
2057,Annual,East Scotland,0.442,12.590
2058,Annual,East Scotland,0.467,12.534
2059,Annual,East Scotland,0.466,11.814
2060,Annual,East Scotland,0.456,10.540
2061,Annual,East Scotland,0.558,13.621
2062,Annual,East Scotland,0.525,14.267
2063,Annual,East Scotland,0.478,13.124
2064,Annual,East Scotland,0.558,12.671
2065,Annual,East Scotland,0.533,13.087
2066,Annual,East Scotland,0.484,9.491
2067,Annual,East Scotland,0.486,14.155
2068,Annual,East Scotland,0.470,11.286
2069,Annual,East Scotland,0.530,12.124
2070,Annual,East Scotland,0.481,11.478
2071,Annual,East Scotland,0.497,13.124
2072,Annual,East Scotland,0.519,14.565
2073,Annual,East Scotland,0.483,11.950
2074,Annual,East Scotland,0.494,11.888
2075,Annual,East Scotland,0.504,12.540
2076,Annual,East Scotland,0.484,11.764
2077,Annual,East Scotland,0.570,15.075
2078,Annual,East Scotland,0.513,13.925
2079,Annual,East Scotland,0.496,14.969
2080,Annual,East Scotland,0.469,11.565
1981,Annual,London,0.455,11.083
1982,Annual,London,0.402,7.583
1983,Annual,London,0.437,8.750
1984,Annual,London,0.416,12.083
1985,Annual,London,0.364,7.500
1986,Annual,London,0.379,6.333
1987,Annual,London,0.316,7.750
1988,Annual,London,0.350,10.000
1989,Annual,London,0.383,9.333
1990,Annual,London,0.371,13.167
1991,Annual,London,0.415,8.750
1992,Annual,London,0.372,7.583
1993,Annual,London,0.346,9.500
1994,Annual,London,0.409,12.917
1995,Annual,London,0.325,8.500
1996,Annual,London,0.465,11.917
1997,Annual,London,0.362,10.167
1998,Annual,London,0.390,10.583
1999,Annual,London,0.411,8.667
2000,Annual,London,0.404,6.167
2001,Annual,London,0.345,6.083
2002,Annual,London,0.372,7.917
2003,Annual,London,0.358,9.667
2004,Annual,London,0.397,10.333
2005,Annual,London,0.368,8.250
2006,Annual,London,0.374,9.750
2007,Annual,London,0.435,9.583
2008,Annual,London,0.355,10.083
2009,Annual,London,0.414,9.000
2010,Annual,London,0.419,5.750
2011,Annual,London,0.388,10.250
2012,Annual,London,0.385,7.500
2013,Annual,London,0.316,8.667
2014,Annual,London,0.350,7.083
2015,Annual,London,0.397,8.500
2016,Annual,London,0.423,13.167
2017,Annual,London,0.463,8.333
2018,Annual,London,0.447,9.250
2019,Annual,London,0.396,8.583
2020,Annual,London,0.377,8.667
2021,Annual,London,0.341,7.583
2022,Annual,London,0.294,9.000
