Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.565,10.827
1982,Annual,East Midlands,0.477,9.356
1983,Annual,East Midlands,0.554,11.904
1984,Annual,East Midlands,0.533,12.260
1985,Annual,East Midlands,0.453,11.760
1986,Annual,East Midlands,0.463,9.192
1987,Annual,East Midlands,0.409,9.337
1988,Annual,East Midlands,0.452,10.413
1989,Annual,East Midlands,0.455,8.519
1990,Annual,East Midlands,0.469,9.096
1991,Annual,East Midlands,0.527,12.837
1992,Annual,East Midlands,0.458,10.827
1993,Annual,East Midlands,0.426,10.221
1994,Annual,East Midlands,0.573,14.548
1995,Annual,East Midlands,0.432,11.875
1996,Annual,East Midlands,0.543,10.981
1997,Annual,East Midlands,0.438,11.260
1998,Annual,East Midlands,0.475,9.933
1999,Annual,East Midlands,0.529,10.827
2000,Annual,East Midlands,0.493,10.865
2001,Annual,East Midlands,0.483,9.433
2002,Annual,East Midlands,0.476,9.865
2003,Annual,East Midlands,0.459,14.404
2004,Annual,East Midlands,0.478,12.183
2005,Annual,East Midlands,0.492,11.144
2006,Annual,East Midlands,0.429,11.529
2007,Annual,East Midlands,0.514,10.279
2008,Annual,East Midlands,0.475,10.413
2009,Annual,East Midlands,0.484,12.933
2010,Annual,East Midlands,0.502,9.067
2011,Annual,East Midlands,0.486,9.538
2012,Annual,East Midlands,0.472,8.567
2013,Annual,East Midlands,0.435,9.019
2014,Annual,East Midlands,0.461,10.096
2015,Annual,East Midlands,0.491,11.087
2016,Annual,East Midlands,0.492,11.279
2017,Annual,East Midlands,0.500,9.808
2018,Annual,East Midlands,0.536,11.144
2019,Annual,East Midlands,0.528,10.510
2020,Annual,East Midlands,0.551,13.269
2021,Annual,East Midlands,0.436,9.000
2022,Annual,East Midlands,0.430,10.298
2023,Annual,East Midlands,0.565,10.327
2024,Annual,East Midlands,0.495,8.971
2025,Annual,East Midlands,0.454,9.990
2026,Annual,East Midlands,0.516,10.740
2027,Annual,East Midlands,0.501,9.048
2028,Annual,East Midlands,0.442,14.846
2029,Annual,East Midlands,0.502,11.510
2030,Annual,East Midlands,0.510,10.606
2031,Annual,East Midlands,0.471,9.433
