Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.345,6.680
1982,Annual,East Midlands,0.403,9.757
1983,Annual,East Midlands,0.367,6.738
1984,Annual,East Midlands,0.367,7.340
1985,Annual,East Midlands,0.388,7.903
1986,Annual,East Midlands,0.361,8.136
1987,Annual,East Midlands,0.361,9.311
1988,Annual,East Midlands,0.369,7.495
1989,Annual,East Midlands,0.353,7.786
1990,Annual,East Midlands,0.366,10.272
1991,Annual,East Midlands,0.386,7.398
1992,Annual,East Midlands,0.403,8.136
1993,Annual,East Midlands,0.404,9.029
1994,Annual,East Midlands,0.346,7.350
1995,Annual,East Midlands,0.383,10.262
1996,Annual,East Midlands,0.373,6.961
1997,Annual,East Midlands,0.324,6.650
1998,Annual,East Midlands,0.321,7.320
1999,Annual,East Midlands,0.383,8.476
2000,Annual,East Midlands,0.330,7.330
2001,Annual,East Midlands,0.412,10.505
2002,Annual,East Midlands,0.395,7.214
2003,Annual,East Midlands,0.380,7.282
2004,Annual,East Midlands,0.326,7.990
2005,Annual,East Midlands,0.368,6.748
2006,Annual,East Midlands,0.370,6.340
2007,Annual,East Midlands,0.425,6.835
2008,Annual,East Midlands,0.383,8.097
2009,Annual,East Midlands,0.312,7.136
2010,Annual,East Midlands,0.394,8.621
2011,Annual,East Midlands,0.420,7.806
2012,Annual,East Midlands,0.349,8.660
2013,Annual,East Midlands,0.321,7.010
2014,Annual,East Midlands,0.377,8.660
2015,Annual,East Midlands,0.310,6.854
2016,Annual,East Midlands,0.419,10.165
2017,Annual,East Midlands,0.361,7.301
2018,Annual,East Midlands,0.335,6.786
2019,Annual,East Midlands,0.376,8.825
2020,Annual,East Midlands,0.370,8.709
2021,Annual,East Midlands,0.423,7.272
2022,Annual,East Midlands,0.354,7.029
2023,Annual,East Midlands,0.380,10.155
2024,Annual,East Midlands,0.352,8.388
2025,Annual,East Midlands,0.377,7.534
2026,Annual,East Midlands,0.384,10.359
2027,Annual,East Midlands,0.322,8.893
2028,Annual,East Midlands,0.384,8.165
2029,Annual,East Midlands,0.348,8.476
2030,Annual,East Midlands,0.331,5.748
2031,Annual,East Midlands,0.394,8.204
2032,Annual,East Midlands,0.306,10.680
2033,Annual,East Midlands,0.330,7.738
2034,Annual,East Midlands,0.427,9.369
2035,Annual,East Midlands,0.394,7.874
2036,Annual,East Midlands,0.394,8.155
2037,Annual,East Midlands,0.377,8.573
2038,Annual,East Midlands,0.411,9.107
2039,Annual,East Midlands,0.387,9.252
2040,Annual,East Midlands,0.313,7.243
2041,Annual,East Midlands,0.356,8.049
2042,Annual,East Midlands,0.387,9.223
2043,Annual,East Midlands,0.391,7.670
2044,Annual,East Midlands,0.331,6.709
2045,Annual,East Midlands,0.292,7.330
2046,Annual,East Midlands,0.303,6.544
2047,Annual,East Midlands,0.426,10.942
2048,Annual,East Midlands,0.336,6.301
2049,Annual,East Midlands,0.328,6.913
2050,Annual,East Midlands,0.345,7.243
2051,Annual,East Midlands,0.322,6.990
2052,Annual,East Midlands,0.380,8.631
2053,Annual,East Midlands,0.380,8.359
2054,Annual,East Midlands,0.404,7.563
2055,Annual,East Midlands,0.341,6.573
2056,Annual,East Midlands,0.392,8.417
2057,Annual,East Midlands,0.276,6.029
2058,Annual,East Midlands,0.348,9.398
2059,Annual,East Midlands,0.391,7.282
2060,Annual,East Midlands,0.378,9.680
2061,Annual,East Midlands,0.324,6.786
2062,Annual,East Midlands,0.321,7.495
2063,Annual,East Midlands,0.318,6.777
2064,Annual,East Midlands,0.333,6.650
2065,Annual,East Midlands,0.259,6.243
2066,Annual,East Midlands,0.273,6.592
2067,Annual,East Midlands,0.362,6.874
2068,Annual,East Midlands,0.379,7.631
2069,Annual,East Midlands,0.384,7.786
2070,Annual,East Midlands,0.297,6.573
2071,Annual,East Midlands,0.307,7.806
2072,Annual,East Midlands,0.354,9.136
2073,Annual,East Midlands,0.347,8.340
2074,Annual,East Midlands,0.427,9.369
2075,Annual,East Midlands,0.326,6.874
2076,Annual,East Midlands,0.342,7.883
2077,Annual,East Midlands,0.362,8.961
2078,Annual,East Midlands,0.302,6.447
2079,Annual,East Midlands,0.283,5.417
2080,Annual,East Midlands,0.379,7.845
1981,Annual,East of England,0.331,6.317
1982,Annual,East of England,0.399,10.111
1983,Annual,East of England,0.371,6.706
1984,Annual,East of England,0.366,6.913
1985,Annual,East of England,0.376,8.413
1986,Annual,East of England,0.347,9.421
1987,Annual,East of England,0.368,9.508
1988,Annual,East of England,0.378,7.341
1989,Annual,East of England,0.342,7.579
1990,Annual,East of England,0.369,9.762
1991,Annual,East of England,0.387,7.810
1992,Annual,East of England,0.378,8.024
1993,Annual,East of England,0.392,7.968
1994,Annual,East of England,0.352,7.421
1995,Annual,East of England,0.388,12.706
1996,Annual,East of England,0.392,7.381
1997,Annual,East of England,0.321,6.730
1998,Annual,East of England,0.320,7.159
1999,Annual,East of England,0.370,7.341
2000,Annual,East of England,0.326,8.175
2001,Annual,East of England,0.420,11.357
2002,Annual,East of England,0.365,6.690
2003,Annual,East of England,0.391,8.000
2004,Annual,East of England,0.310,7.524
2005,Annual,East of England,0.352,6.754
2006,Annual,East of England,0.353,6.968
2007,Annual,East of England,0.435,7.421
2008,Annual,East of England,0.392,8.667
2009,Annual,East of England,0.324,6.627
2010,Annual,East of England,0.378,8.643
2011,Annual,East of England,0.399,8.349
2012,Annual,East of England,0.352,8.730
2013,Annual,East of England,0.303,6.198
2014,Annual,East of England,0.380,8.921
2015,Annual,East of England,0.324,7.254
2016,Annual,East of England,0.437,9.325
2017,Annual,East of England,0.362,7.127
2018,Annual,East of England,0.309,6.881
2019,Annual,East of England,0.359,8.214
2020,Annual,East of England,0.365,7.857
2021,Annual,East of England,0.414,9.310
2022,Annual,East of England,0.358,7.294
2023,Annual,East of England,0.384,11.706
2024,Annual,East of England,0.352,8.556
2025,Annual,East of England,0.361,8.476
2026,Annual,East of England,0.394,11.659
2027,Annual,East of England,0.310,7.429
2028,Annual,East of England,0.402,8.587
2029,Annual,East of England,0.370,8.246
2030,Annual,East of England,0.329,5.532
2031,Annual,East of England,0.372,9.317
2032,Annual,East of England,0.295,11.381
2033,Annual,East of England,0.329,6.976
2034,Annual,East of England,0.414,8.095
2035,Annual,East of England,0.398,8.056
2036,Annual,East of England,0.396,7.587
2037,Annual,East of England,0.361,8.222
2038,Annual,East of England,0.431,8.944
2039,Annual,East of England,0.377,7.532
2040,Annual,East of England,0.316,7.405
2041,Annual,East of England,0.366,6.897
2042,Annual,East of England,0.403,9.365
2043,Annual,East of England,0.408,7.286
2044,Annual,East of England,0.309,7.206
2045,Annual,East of England,0.304,7.151
2046,Annual,East of England,0.324,8.127
2047,Annual,East of England,0.434,8.968
2048,Annual,East of England,0.335,6.254
2049,Annual,East of England,0.319,7.294
2050,Annual,East of England,0.321,6.516
2051,Annual,East of England,0.324,7.619
2052,Annual,East of England,0.385,8.048
2053,Annual,East of England,0.385,7.452
2054,Annual,East of England,0.391,7.690
2055,Annual,East of England,0.352,6.635
2056,Annual,East of England,0.388,7.937
2057,Annual,East of England,0.286,5.413
2058,Annual,East of England,0.349,8.151
2059,Annual,East of England,0.393,7.635
2060,Annual,East of England,0.363,8.325
2061,Annual,East of England,0.324,6.032
2062,Annual,East of England,0.318,8.167
2063,Annual,East of England,0.314,7.429
2064,Annual,East of England,0.347,7.071
2065,Annual,East of England,0.261,5.048
2066,Annual,East of England,0.254,5.698
2067,Annual,East of England,0.324,6.127
2068,Annual,East of England,0.363,8.175
2069,Annual,East of England,0.385,7.444
2070,Annual,East of England,0.313,7.778
2071,Annual,East of England,0.307,7.317
2072,Annual,East of England,0.346,7.849
2073,Annual,East of England,0.353,6.468
2074,Annual,East of England,0.391,9.817
2075,Annual,East of England,0.324,7.873
2076,Annual,East of England,0.329,7.635
2077,Annual,East of England,0.373,8.841
2078,Annual,East of England,0.306,6.238
2079,Annual,East of England,0.278,5.341
2080,Annual,East of England,0.389,8.421
1981,Annual,East Scotland,0.396,8.648
1982,Annual,East Scotland,0.439,10.623
1983,Annual,East Scotland,0.435,10.157
1984,Annual,East Scotland,0.377,9.283
1985,Annual,East Scotland,0.440,10.157
1986,Annual,East Scotland,0.418,10.453
1987,Annual,East Scotland,0.396,10.333
1988,Annual,East Scotland,0.402,9.862
1989,Annual,East Scotland,0.452,11.805
1990,Annual,East Scotland,0.403,9.371
1991,Annual,East Scotland,0.433,9.358
1992,Annual,East Scotland,0.439,11.447
1993,Annual,East Scotland,0.437,12.610
1994,Annual,East Scotland,0.419,9.805
1995,Annual,East Scotland,0.433,10.742
1996,Annual,East Scotland,0.426,9.497
1997,Annual,East Scotland,0.420,11.233
1998,Annual,East Scotland,0.375,7.824
1999,Annual,East Scotland,0.418,10.440
2000,Annual,East Scotland,0.412,9.818
2001,Annual,East Scotland,0.425,9.226
2002,Annual,East Scotland,0.454,10.101
2003,Annual,East Scotland,0.426,9.233
2004,Annual,East Scotland,0.328,7.679
2005,Annual,East Scotland,0.416,9.610
2006,Annual,East Scotland,0.455,11.101
2007,Annual,East Scotland,0.473,10.447
2008,Annual,East Scotland,0.400,8.704
2009,Annual,East Scotland,0.369,8.862
2010,Annual,East Scotland,0.431,10.006
2011,Annual,East Scotland,0.416,9.038
2012,Annual,East Scotland,0.373,9.258
2013,Annual,East Scotland,0.353,8.899
2014,Annual,East Scotland,0.427,9.270
2015,Annual,East Scotland,0.336,10.189
2016,Annual,East Scotland,0.417,9.535
2017,Annual,East Scotland,0.447,11.157
2018,Annual,East Scotland,0.418,9.094
2019,Annual,East Scotland,0.351,7.799
2020,Annual,East Scotland,0.425,12.239
2021,Annual,East Scotland,0.453,11.000
2022,Annual,East Scotland,0.417,9.465
2023,Annual,East Scotland,0.428,9.541
2024,Annual,East Scotland,0.397,9.453
2025,Annual,East Scotland,0.431,8.547
2026,Annual,East Scotland,0.390,9.736
2027,Annual,East Scotland,0.425,8.843
2028,Annual,East Scotland,0.441,10.403
2029,Annual,East Scotland,0.355,7.547
2030,Annual,East Scotland,0.378,8.497
2031,Annual,East Scotland,0.432,9.679
2032,Annual,East Scotland,0.328,9.635
2033,Annual,East Scotland,0.404,10.069
2034,Annual,East Scotland,0.454,9.648
2035,Annual,East Scotland,0.432,9.648
2036,Annual,East Scotland,0.412,9.283
2037,Annual,East Scotland,0.410,10.874
2038,Annual,East Scotland,0.454,11.447
2039,Annual,East Scotland,0.399,10.132
2040,Annual,East Scotland,0.366,8.925
2041,Annual,East Scotland,0.392,8.962
2042,Annual,East Scotland,0.443,9.799
2043,Annual,East Scotland,0.414,9.566
2044,Annual,East Scotland,0.376,9.094
2045,Annual,East Scotland,0.372,8.107
2046,Annual,East Scotland,0.376,10.547
2047,Annual,East Scotland,0.390,8.956
2048,Annual,East Scotland,0.402,9.704
2049,Annual,East Scotland,0.401,10.126
2050,Annual,East Scotland,0.420,10.453
2051,Annual,East Scotland,0.413,10.906
2052,Annual,East Scotland,0.446,9.031
2053,Annual,East Scotland,0.419,10.107
2054,Annual,East Scotland,0.418,9.566
2055,Annual,East Scotland,0.391,9.189
2056,Annual,East Scotland,0.426,10.447
2057,Annual,East Scotland,0.366,8.761
2058,Annual,East Scotland,0.429,11.201
2059,Annual,East Scotland,0.403,10.201
2060,Annual,East Scotland,0.394,8.994
2061,Annual,East Scotland,0.375,9.472
2062,Annual,East Scotland,0.379,7.610
2063,Annual,East Scotland,0.368,10.390
2064,Annual,East Scotland,0.389,9.635
2065,Annual,East Scotland,0.338,10.472
2066,Annual,East Scotland,0.344,9.742
2067,Annual,East Scotland,0.376,8.050
2068,Annual,East Scotland,0.405,8.283
2069,Annual,East Scotland,0.436,9.484
2070,Annual,East Scotland,0.376,8.107
2071,Annual,East Scotland,0.375,9.629
2072,Annual,East Scotland,0.387,10.340
2073,Annual,East Scotland,0.407,10.270
2074,Annual,East Scotland,0.435,11.377
2075,Annual,East Scotland,0.390,11.182
2076,Annual,East Scotland,0.409,8.107
2077,Annual,East Scotland,0.363,8.566
2078,Annual,East Scotland,0.349,9.050
2079,Annual,East Scotland,0.357,7.975
2080,Annual,East Scotland,0.387,7.906
1981,Annual,London,0.343,6.250
1982,Annual,London,0.384,8.083
1983,Annual,London,0.344,5.250
1984,Annual,London,0.331,8.083
1985,Annual,London,0.377,8.500
1986,Annual,London,0.321,9.500
1987,Annual,London,0.357,10.833
1988,Annual,London,0.351,6.167
1989,Annual,London,0.313,6.417
1990,Annual,London,0.366,8.083
1991,Annual,London,0.344,7.500
1992,Annual,London,0.362,6.583
1993,Annual,London,0.408,8.583
1994,Annual,London,0.340,7.417
1995,Annual,London,0.374,10.083
1996,Annual,London,0.385,8.750
1997,Annual,London,0.309,6.250
1998,Annual,London,0.316,8.250
1999,Annual,London,0.345,6.750
2000,Annual,London,0.321,10.083
2001,Annual,London,0.416,20.083
2002,Annual,London,0.356,7.250
2003,Annual,London,0.361,8.500
2004,Annual,London,0.313,8.250
2005,Annual,London,0.340,6.083
2006,Annual,London,0.356,6.000
2007,Annual,London,0.419,6.250
2008,Annual,London,0.390,8.583
2009,Annual,London,0.323,7.500
2010,Annual,London,0.342,6.667
2011,Annual,London,0.413,8.583
2012,Annual,London,0.329,5.667
2013,Annual,London,0.281,6.250
2014,Annual,London,0.356,8.083
2015,Annual,London,0.285,6.917
2016,Annual,London,0.422,10.667
2017,Annual,London,0.363,5.917
2018,Annual,London,0.329,8.083
2019,Annual,London,0.374,9.000
2020,Annual,London,0.332,8.083
2021,Annual,London,0.409,9.750
2022,Annual,London,0.350,7.917
2023,Annual,London,0.351,8.833
2024,Annual,London,0.353,8.333
2025,Annual,London,0.328,7.083
2026,Annual,London,0.379,11.583
2027,Annual,London,0.284,7.667
2028,Annual,London,0.385,8.750
