Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.395,9.121
1982,Annual,East Midlands,0.429,9.253
1983,Annual,East Midlands,0.401,15.455
1984,Annual,East Midlands,0.339,11.505
1985,Annual,East Midlands,0.397,8.970
1986,Annual,East Midlands,0.327,6.657
1987,Annual,East Midlands,0.289,11.727
1988,Annual,East Midlands,0.433,12.212
1989,Annual,East Midlands,0.385,15.081
1990,Annual,East Midlands,0.414,14.596
1991,Annual,East Midlands,0.369,9.333
1992,Annual,East Midlands,0.425,11.071
1993,Annual,East Midlands,0.433,13.677
1994,Annual,East Midlands,0.351,9.515
1995,Annual,East Midlands,0.410,9.354
1996,Annual,East Midlands,0.410,14.121
1997,Annual,East Midlands,0.333,7.727
1998,Annual,East Midlands,0.395,9.828
1999,Annual,East Midlands,0.342,9.515
2000,Annual,East Midlands,0.409,10.576
2001,Annual,East Midlands,0.403,9.535
2002,Annual,East Midlands,0.383,10.030
2003,Annual,East Midlands,0.383,7.414
2004,Annual,East Midlands,0.330,9.606
2005,Annual,East Midlands,0.397,10.364
2006,Annual,East Midlands,0.374,8.030
2007,Annual,East Midlands,0.414,9.495
2008,Annual,East Midlands,0.386,9.182
2009,Annual,East Midlands,0.300,6.101
2010,Annual,East Midlands,0.418,11.495
2011,Annual,East Midlands,0.424,9.848
2012,Annual,East Midlands,0.419,13.990
2013,Annual,East Midlands,0.299,5.980
2014,Annual,East Midlands,0.362,9.899
2015,Annual,East Midlands,0.300,9.899
2016,Annual,East Midlands,0.444,10.414
2017,Annual,East Midlands,0.376,13.717
2018,Annual,East Midlands,0.360,8.949
2019,Annual,East Midlands,0.355,7.879
2020,Annual,East Midlands,0.454,19.061
2021,Annual,East Midlands,0.452,11.071
2022,Annual,East Midlands,0.391,14.232
2023,Annual,East Midlands,0.401,15.667
2024,Annual,East Midlands,0.385,9.939
2025,Annual,East Midlands,0.446,12.051
2026,Annual,East Midlands,0.400,8.727
2027,Annual,East Midlands,0.353,9.788
2028,Annual,East Midlands,0.336,8.788
2029,Annual,East Midlands,0.349,11.364
2030,Annual,East Midlands,0.389,9.152
2031,Annual,East Midlands,0.381,11.061
2032,Annual,East Midlands,0.329,13.667
2033,Annual,East Midlands,0.391,9.333
2034,Annual,East Midlands,0.447,11.848
2035,Annual,East Midlands,0.424,10.424
2036,Annual,East Midlands,0.423,10.404
2037,Annual,East Midlands,0.443,10.414
2038,Annual,East Midlands,0.476,13.202
2039,Annual,East Midlands,0.391,9.576
2040,Annual,East Midlands,0.371,10.929
2041,Annual,East Midlands,0.407,13.394
2042,Annual,East Midlands,0.393,13.929
2043,Annual,East Midlands,0.464,14.081
2044,Annual,East Midlands,0.359,6.970
2045,Annual,East Midlands,0.318,6.455
2046,Annual,East Midlands,0.351,7.071
2047,Annual,East Midlands,0.445,11.364
2048,Annual,East Midlands,0.373,10.354
2049,Annual,East Midlands,0.406,8.283
2050,Annual,East Midlands,0.366,7.949
2051,Annual,East Midlands,0.381,12.455
2052,Annual,East Midlands,0.437,10.081
2053,Annual,East Midlands,0.405,8.697
2054,Annual,East Midlands,0.424,12.071
2055,Annual,East Midlands,0.401,9.909
2056,Annual,East Midlands,0.379,11.354
2057,Annual,East Midlands,0.352,9.303
2058,Annual,East Midlands,0.402,16.111
2059,Annual,East Midlands,0.446,10.172
2060,Annual,East Midlands,0.376,12.212
2061,Annual,East Midlands,0.320,6.273
2062,Annual,East Midlands,0.392,11.859
2063,Annual,East Midlands,0.366,10.414
2064,Annual,East Midlands,0.429,8.384
2065,Annual,East Midlands,0.275,5.465
2066,Annual,East Midlands,0.314,7.808
2067,Annual,East Midlands,0.343,10.131
2068,Annual,East Midlands,0.375,8.192
2069,Annual,East Midlands,0.450,9.798
2070,Annual,East Midlands,0.354,9.182
2071,Annual,East Midlands,0.400,10.960
2072,Annual,East Midlands,0.440,14.747
2073,Annual,East Midlands,0.358,8.768
2074,Annual,East Midlands,0.433,11.061
2075,Annual,East Midlands,0.337,6.768
2076,Annual,East Midlands,0.358,8.990
2077,Annual,East Midlands,0.388,9.444
2078,Annual,East Midlands,0.333,7.768
2079,Annual,East Midlands,0.303,6.465
2080,Annual,East Midlands,0.416,10.798
1981,Annual,East of England,0.395,9.425
1982,Annual,East of England,0.417,9.533
1983,Annual,East of England,0.393,17.075
1984,Annual,East of England,0.341,10.050
1985,Annual,East of England,0.376,7.850
1986,Annual,East of England,0.300,6.242
1987,Annual,East of England,0.279,12.342
1988,Annual,East of England,0.436,10.433
1989,Annual,East of England,0.370,11.750
1990,Annual,East of England,0.418,14.225
1991,Annual,East of England,0.349,8.775
1992,Annual,East of England,0.393,9.925
1993,Annual,East of England,0.412,17.808
1994,Annual,East of England,0.347,10.492
1995,Annual,East of England,0.393,11.392
1996,Annual,East of England,0.415,13.108
1997,Annual,East of England,0.337,7.892
1998,Annual,East of England,0.370,8.692
1999,Annual,East of England,0.330,10.008
2000,Annual,East of England,0.399,7.425
2001,Annual,East of England,0.408,10.533
2002,Annual,East of England,0.367,9.167
2003,Annual,East of England,0.369,9.133
2004,Annual,East of England,0.330,10.442
2005,Annual,East of England,0.366,9.133
2006,Annual,East of England,0.358,8.350
2007,Annual,East of England,0.399,7.525
2008,Annual,East of England,0.366,9.550
2009,Annual,East of England,0.288,6.067
2010,Annual,East of England,0.404,9.308
2011,Annual,East of England,0.396,9.508
2012,Annual,East of England,0.421,13.100
2013,Annual,East of England,0.315,6.975
2014,Annual,East of England,0.350,10.467
2015,Annual,East of England,0.315,7.967
2016,Annual,East of England,0.450,10.983
2017,Annual,East of England,0.355,14.058
2018,Annual,East of England,0.348,9.275
2019,Annual,East of England,0.361,7.867
2020,Annual,East of England,0.461,16.792
2021,Annual,East of England,0.460,12.675
2022,Annual,East of England,0.385,12.225
2023,Annual,East of England,0.403,15.800
2024,Annual,East of England,0.380,9.692
2025,Annual,East of England,0.410,9.850
2026,Annual,East of England,0.397,9.050
2027,Annual,East of England,0.331,8.208
2028,Annual,East of England,0.319,8.700
2029,Annual,East of England,0.344,12.017
