Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.457,10.269
1982,Annual,East Midlands,0.412,8.433
1983,Annual,East Midlands,0.371,11.558
1984,Annual,East Midlands,0.375,11.346
1985,Annual,East Midlands,0.378,7.144
1986,Annual,East Midlands,0.371,7.250
1987,Annual,East Midlands,0.349,7.587
1988,Annual,East Midlands,0.414,9.712
1989,Annual,East Midlands,0.412,13.990
1990,Annual,East Midlands,0.418,11.577
1991,Annual,East Midlands,0.390,11.019
1992,Annual,East Midlands,0.371,6.990
1993,Annual,East Midlands,0.416,10.212
1994,Annual,East Midlands,0.386,10.288
1995,Annual,East Midlands,0.406,11.625
1996,Annual,East Midlands,0.404,8.490
1997,Annual,East Midlands,0.313,7.577
1998,Annual,East Midlands,0.312,6.240
1999,Annual,East Midlands,0.369,10.394
2000,Annual,East Midlands,0.415,9.067
2001,Annual,East Midlands,0.431,9.663
2002,Annual,East Midlands,0.363,10.510
2003,Annual,East Midlands,0.331,6.490
2004,Annual,East Midlands,0.343,8.385
2005,Annual,East Midlands,0.377,8.269
2006,Annual,East Midlands,0.393,9.462
2007,Annual,East Midlands,0.464,8.048
2008,Annual,East Midlands,0.382,8.337
2009,Annual,East Midlands,0.340,7.827
2010,Annual,East Midlands,0.386,12.837
2011,Annual,East Midlands,0.373,8.538
2012,Annual,East Midlands,0.369,9.721
2013,Annual,East Midlands,0.304,8.913
2014,Annual,East Midlands,0.359,8.125
2015,Annual,East Midlands,0.339,10.740
2016,Annual,East Midlands,0.427,9.567
2017,Annual,East Midlands,0.452,8.865
2018,Annual,East Midlands,0.323,6.760
2019,Annual,East Midlands,0.388,7.625
2020,Annual,East Midlands,0.413,10.500
2021,Annual,East Midlands,0.439,7.731
2022,Annual,East Midlands,0.346,6.788
2023,Annual,East Midlands,0.389,7.846
2024,Annual,East Midlands,0.382,11.173
2025,Annual,East Midlands,0.406,9.442
2026,Annual,East Midlands,0.419,10.394
2027,Annual,East Midlands,0.312,8.087
2028,Annual,East Midlands,0.446,10.231
2029,Annual,East Midlands,0.372,10.750
2030,Annual,East Midlands,0.393,6.894
2031,Annual,East Midlands,0.345,7.452
2032,Annual,East Midlands,0.332,10.500
2033,Annual,East Midlands,0.395,12.981
2034,Annual,East Midlands,0.442,16.048
2035,Annual,East Midlands,0.405,9.596
2036,Annual,East Midlands,0.363,6.596
2037,Annual,East Midlands,0.408,7.404
2038,Annual,East Midlands,0.417,13.962
2039,Annual,East Midlands,0.365,8.173
2040,Annual,East Midlands,0.365,11.221
2041,Annual,East Midlands,0.377,8.231
2042,Annual,East Midlands,0.451,12.529
2043,Annual,East Midlands,0.418,7.615
2044,Annual,East Midlands,0.355,8.567
2045,Annual,East Midlands,0.315,9.106
2046,Annual,East Midlands,0.319,6.067
2047,Annual,East Midlands,0.476,12.125
2048,Annual,East Midlands,0.402,10.529
2049,Annual,East Midlands,0.392,7.817
2050,Annual,East Midlands,0.362,8.817
2051,Annual,East Midlands,0.371,12.288
2052,Annual,East Midlands,0.407,7.750
2053,Annual,East Midlands,0.374,7.163
2054,Annual,East Midlands,0.465,9.500
2055,Annual,East Midlands,0.341,8.346
2056,Annual,East Midlands,0.353,10.808
2057,Annual,East Midlands,0.312,6.798
2058,Annual,East Midlands,0.395,13.096
2059,Annual,East Midlands,0.387,8.731
2060,Annual,East Midlands,0.352,11.615
2061,Annual,East Midlands,0.362,8.567
2062,Annual,East Midlands,0.348,7.596
2063,Annual,East Midlands,0.340,8.481
2064,Annual,East Midlands,0.385,7.587
2065,Annual,East Midlands,0.349,8.817
2066,Annual,East Midlands,0.328,7.048
2067,Annual,East Midlands,0.342,8.231
2068,Annual,East Midlands,0.386,8.846
2069,Annual,East Midlands,0.404,8.221
2070,Annual,East Midlands,0.325,8.423
2071,Annual,East Midlands,0.324,6.577
2072,Annual,East Midlands,0.416,10.885
2073,Annual,East Midlands,0.359,7.683
2074,Annual,East Midlands,0.400,11.058
2075,Annual,East Midlands,0.331,7.490
2076,Annual,East Midlands,0.363,8.048
2077,Annual,East Midlands,0.401,7.913
2078,Annual,East Midlands,0.328,7.135
2079,Annual,East Midlands,0.302,7.500
2080,Annual,East Midlands,0.392,10.048
1981,Annual,East of England,0.435,9.558
1982,Annual,East of England,0.395,10.209
1983,Annual,East of England,0.383,13.000
1984,Annual,East of England,0.365,12.364
1985,Annual,East of England,0.371,6.519
1986,Annual,East of England,0.359,7.860
1987,Annual,East of England,0.346,11.194
1988,Annual,East of England,0.426,8.682
1989,Annual,East of England,0.390,15.504
1990,Annual,East of England,0.413,11.434
1991,Annual,East of England,0.369,11.581
1992,Annual,East of England,0.378,6.194
1993,Annual,East of England,0.414,10.992
1994,Annual,East of England,0.376,10.550
1995,Annual,East of England,0.397,12.054
1996,Annual,East of England,0.395,8.806
1997,Annual,East of England,0.297,6.628
1998,Annual,East of England,0.305,7.822
1999,Annual,East of England,0.359,9.884
2000,Annual,East of England,0.423,8.488
2001,Annual,East of England,0.454,10.535
2002,Annual,East of England,0.340,8.039
2003,Annual,East of England,0.342,6.411
2004,Annual,East of England,0.323,8.147
2005,Annual,East of England,0.355,8.690
2006,Annual,East of England,0.386,9.984
2007,Annual,East of England,0.454,7.628
2008,Annual,East of England,0.377,8.240
2009,Annual,East of England,0.345,6.829
2010,Annual,East of England,0.370,12.140
2011,Annual,East of England,0.347,8.783
2012,Annual,East of England,0.356,9.729
2013,Annual,East of England,0.291,6.612
2014,Annual,East of England,0.311,8.775
2015,Annual,East of England,0.346,10.395
2016,Annual,East of England,0.409,8.093
2017,Annual,East of England,0.465,10.240
2018,Annual,East of England,0.317,6.318
2019,Annual,East of England,0.370,7.186
2020,Annual,East of England,0.403,11.341
2021,Annual,East of England,0.442,7.845
2022,Annual,East of England,0.345,7.062
2023,Annual,East of England,0.392,9.147
2024,Annual,East of England,0.384,9.326
2025,Annual,East of England,0.407,10.000
2026,Annual,East of England,0.407,10.093
2027,Annual,East of England,0.320,8.047
2028,Annual,East of England,0.424,11.395
2029,Annual,East of England,0.363,8.876
2030,Annual,East of England,0.388,7.078
2031,Annual,East of England,0.332,6.349
