Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.422,7.534
1982,Annual,East Midlands,0.381,6.573
1983,Annual,East Midlands,0.426,12.223
1984,Annual,East Midlands,0.463,8.534
1985,Annual,East Midlands,0.528,9.748
1986,Annual,East Midlands,0.492,8.922
1987,Annual,East Midlands,0.458,8.777
1988,Annual,East Midlands,0.410,12.350
1989,Annual,East Midlands,0.465,8.961
1990,Annual,East Midlands,0.417,7.893
1991,Annual,East Midlands,0.448,9.874
1992,Annual,East Midlands,0.461,10.282
1993,Annual,East Midlands,0.438,8.961
1994,Annual,East Midlands,0.483,9.806
1995,Annual,East Midlands,0.412,8.670
1996,Annual,East Midlands,0.420,9.078
1997,Annual,East Midlands,0.439,10.670
1998,Annual,East Midlands,0.391,7.447
1999,Annual,East Midlands,0.412,8.311
2000,Annual,East Midlands,0.377,7.233
2001,Annual,East Midlands,0.436,8.078
2002,Annual,East Midlands,0.418,9.146
2003,Annual,East Midlands,0.474,8.447
2004,Annual,East Midlands,0.504,10.893
2005,Annual,East Midlands,0.429,9.621
2006,Annual,East Midlands,0.491,9.641
2007,Annual,East Midlands,0.430,10.029
2008,Annual,East Midlands,0.414,8.117
2009,Annual,East Midlands,0.456,9.291
2010,Annual,East Midlands,0.460,11.893
2011,Annual,East Midlands,0.446,9.243
2012,Annual,East Midlands,0.454,9.223
2013,Annual,East Midlands,0.445,11.097
2014,Annual,East Midlands,0.412,7.272
2015,Annual,East Midlands,0.482,9.922
2016,Annual,East Midlands,0.495,10.078
2017,Annual,East Midlands,0.458,9.932
2018,Annual,East Midlands,0.468,11.806
2019,Annual,East Midlands,0.452,8.388
2020,Annual,East Midlands,0.417,7.709
2021,Annual,East Midlands,0.390,6.845
2022,Annual,East Midlands,0.455,7.806
2023,Annual,East Midlands,0.450,13.029
2024,Annual,East Midlands,0.464,8.311
2025,Annual,East Midlands,0.506,10.000
2026,Annual,East Midlands,0.394,7.019
2027,Annual,East Midlands,0.425,7.553
2028,Annual,East Midlands,0.441,10.291
2029,Annual,East Midlands,0.435,9.573
2030,Annual,East Midlands,0.451,10.291
2031,Annual,East Midlands,0.476,8.689
2032,Annual,East Midlands,0.395,6.816
2033,Annual,East Midlands,0.490,7.913
2034,Annual,East Midlands,0.519,10.340
2035,Annual,East Midlands,0.463,7.786
2036,Annual,East Midlands,0.375,7.845
2037,Annual,East Midlands,0.423,8.777
2038,Annual,East Midlands,0.404,8.786
2039,Annual,East Midlands,0.421,10.204
2040,Annual,East Midlands,0.406,8.485
2041,Annual,East Midlands,0.464,8.893
2042,Annual,East Midlands,0.348,7.019
2043,Annual,East Midlands,0.479,8.544
2044,Annual,East Midlands,0.475,11.058
2045,Annual,East Midlands,0.458,8.932
2046,Annual,East Midlands,0.454,9.359
2047,Annual,East Midlands,0.388,8.427
2048,Annual,East Midlands,0.412,7.369
2049,Annual,East Midlands,0.479,9.039
2050,Annual,East Midlands,0.433,9.738
2051,Annual,East Midlands,0.423,8.563
2052,Annual,East Midlands,0.511,9.864
2053,Annual,East Midlands,0.427,10.233
2054,Annual,East Midlands,0.424,8.515
2055,Annual,East Midlands,0.426,8.874
2056,Annual,East Midlands,0.360,7.000
2057,Annual,East Midlands,0.460,8.854
2058,Annual,East Midlands,0.477,11.534
2059,Annual,East Midlands,0.408,7.777
2060,Annual,East Midlands,0.403,6.427
2061,Annual,East Midlands,0.380,8.369
2062,Annual,East Midlands,0.443,10.058
2063,Annual,East Midlands,0.437,8.194
2064,Annual,East Midlands,0.443,11.641
2065,Annual,East Midlands,0.423,10.883
2066,Annual,East Midlands,0.446,7.563
2067,Annual,East Midlands,0.363,6.864
2068,Annual,East Midlands,0.420,10.796
2069,Annual,East Midlands,0.408,8.262
2070,Annual,East Midlands,0.441,8.194
2071,Annual,East Midlands,0.393,6.981
2072,Annual,East Midlands,0.424,8.981
2073,Annual,East Midlands,0.424,8.223
2074,Annual,East Midlands,0.358,8.476
2075,Annual,East Midlands,0.382,7.845
2076,Annual,East Midlands,0.448,8.388
2077,Annual,East Midlands,0.347,8.534
2078,Annual,East Midlands,0.490,9.107
2079,Annual,East Midlands,0.452,9.816
1981,Annual,East of England,0.391,6.341
1982,Annual,East of England,0.366,6.151
1983,Annual,East of England,0.371,8.452
1984,Annual,East of England,0.453,8.325
1985,Annual,East of England,0.496,8.397
1986,Annual,East of England,0.485,8.349
1987,Annual,East of England,0.426,6.762
1988,Annual,East of England,0.378,9.754
1989,Annual,East of England,0.429,9.373
1990,Annual,East of England,0.374,6.595
1991,Annual,East of England,0.431,9.413
1992,Annual,East of England,0.437,8.357
1993,Annual,East of England,0.422,9.048
1994,Annual,East of England,0.475,8.651
1995,Annual,East of England,0.387,8.929
1996,Annual,East of England,0.413,8.913
1997,Annual,East of England,0.421,9.675
1998,Annual,East of England,0.392,7.389
1999,Annual,East of England,0.395,6.857
2000,Annual,East of England,0.366,8.238
2001,Annual,East of England,0.430,7.389
2002,Annual,East of England,0.393,8.857
2003,Annual,East of England,0.450,8.421
2004,Annual,East of England,0.476,12.698
2005,Annual,East of England,0.401,7.905
2006,Annual,East of England,0.458,8.040
2007,Annual,East of England,0.417,9.008
2008,Annual,East of England,0.398,8.317
2009,Annual,East of England,0.457,9.111
2010,Annual,East of England,0.438,10.016
2011,Annual,East of England,0.425,9.127
2012,Annual,East of England,0.438,10.135
2013,Annual,East of England,0.434,8.429
2014,Annual,East of England,0.391,6.484
2015,Annual,East of England,0.440,8.563
2016,Annual,East of England,0.484,9.857
2017,Annual,East of England,0.417,7.825
2018,Annual,East of England,0.466,11.103
2019,Annual,East of England,0.410,9.056
2020,Annual,East of England,0.401,6.817
2021,Annual,East of England,0.363,7.127
2022,Annual,East of England,0.435,7.746
2023,Annual,East of England,0.421,8.921
2024,Annual,East of England,0.446,8.984
2025,Annual,East of England,0.497,8.952
2026,Annual,East of England,0.378,6.341
2027,Annual,East of England,0.388,5.841
2028,Annual,East of England,0.445,10.524
2029,Annual,East of England,0.411,11.040
2030,Annual,East of England,0.437,8.897
2031,Annual,East of England,0.459,7.659
2032,Annual,East of England,0.382,6.690
2033,Annual,East of England,0.469,8.794
2034,Annual,East of England,0.492,9.016
2035,Annual,East of England,0.446,7.413
2036,Annual,East of England,0.360,7.214
2037,Annual,East of England,0.401,7.865
2038,Annual,East of England,0.363,8.651
2039,Annual,East of England,0.413,11.746
2040,Annual,East of England,0.374,7.683
2041,Annual,East of England,0.448,9.111
2042,Annual,East of England,0.348,7.786
2043,Annual,East of England,0.447,11.484
2044,Annual,East of England,0.432,8.397
2045,Annual,East of England,0.428,9.929
2046,Annual,East of England,0.398,8.889
2047,Annual,East of England,0.362,6.675
2048,Annual,East of England,0.385,7.127
2049,Annual,East of England,0.462,8.151
2050,Annual,East of England,0.426,9.333
2051,Annual,East of England,0.381,6.524
2052,Annual,East of England,0.471,10.794
2053,Annual,East of England,0.424,8.349
2054,Annual,East of England,0.417,8.508
2055,Annual,East of England,0.420,8.595
2056,Annual,East of England,0.343,5.865
2057,Annual,East of England,0.435,7.675
2058,Annual,East of England,0.434,9.246
2059,Annual,East of England,0.405,8.921
2060,Annual,East of England,0.381,5.984
2061,Annual,East of England,0.367,7.992
2062,Annual,East of England,0.411,11.484
2063,Annual,East of England,0.432,8.040
2064,Annual,East of England,0.406,8.127
2065,Annual,East of England,0.423,10.103
2066,Annual,East of England,0.416,8.230
2067,Annual,East of England,0.331,6.484
2068,Annual,East of England,0.386,11.508
2069,Annual,East of England,0.368,8.516
2070,Annual,East of England,0.414,6.960
2071,Annual,East of England,0.382,6.500
2072,Annual,East of England,0.381,8.500
2073,Annual,East of England,0.404,7.500
2074,Annual,East of England,0.323,6.833
2075,Annual,East of England,0.378,6.857
2076,Annual,East of England,0.422,8.429
2077,Annual,East of England,0.303,10.127
2078,Annual,East of England,0.464,11.056
2079,Annual,East of England,0.425,12.238
1981,Annual,East Scotland,0.519,14.604
1982,Annual,East Scotland,0.506,12.742
1983,Annual,East Scotland,0.525,14.201
1984,Annual,East Scotland,0.591,17.887
1985,Annual,East Scotland,0.592,16.830
1986,Annual,East Scotland,0.527,14.667
1987,Annual,East Scotland,0.557,17.409
1988,Annual,East Scotland,0.524,16.969
1989,Annual,East Scotland,0.533,12.057
1990,Annual,East Scotland,0.552,13.792
1991,Annual,East Scotland,0.561,13.906
1992,Annual,East Scotland,0.530,15.352
1993,Annual,East Scotland,0.530,11.478
1994,Annual,East Scotland,0.557,15.283
1995,Annual,East Scotland,0.494,12.233
1996,Annual,East Scotland,0.495,15.220
1997,Annual,East Scotland,0.502,16.145
1998,Annual,East Scotland,0.484,12.415
1999,Annual,East Scotland,0.539,15.805
2000,Annual,East Scotland,0.487,14.805
2001,Annual,East Scotland,0.541,14.314
2002,Annual,East Scotland,0.505,11.931
2003,Annual,East Scotland,0.538,12.912
2004,Annual,East Scotland,0.556,12.270
2005,Annual,East Scotland,0.528,13.321
2006,Annual,East Scotland,0.560,11.937
2007,Annual,East Scotland,0.507,13.560
2008,Annual,East Scotland,0.507,13.780
2009,Annual,East Scotland,0.511,15.862
2010,Annual,East Scotland,0.556,12.591
2011,Annual,East Scotland,0.508,13.792
2012,Annual,East Scotland,0.542,12.667
2013,Annual,East Scotland,0.527,12.296
2014,Annual,East Scotland,0.545,14.365
2015,Annual,East Scotland,0.526,12.874
2016,Annual,East Scotland,0.552,11.742
2017,Annual,East Scotland,0.508,11.434
2018,Annual,East Scotland,0.553,11.667
2019,Annual,East Scotland,0.538,14.585
2020,Annual,East Scotland,0.554,15.145
2021,Annual,East Scotland,0.514,10.686
2022,Annual,East Scotland,0.519,11.509
2023,Annual,East Scotland,0.501,12.899
2024,Annual,East Scotland,0.560,13.075
2025,Annual,East Scotland,0.551,11.547
2026,Annual,East Scotland,0.504,14.428
2027,Annual,East Scotland,0.527,11.384
2028,Annual,East Scotland,0.524,14.189
2029,Annual,East Scotland,0.521,12.327
2030,Annual,East Scotland,0.517,12.377
2031,Annual,East Scotland,0.542,13.113
2032,Annual,East Scotland,0.543,13.805
