Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.432,8.837
1982,Annual,East Midlands,0.395,6.740
1983,Annual,East Midlands,0.457,11.500
1984,Annual,East Midlands,0.497,14.000
1985,Annual,East Midlands,0.524,9.288
1986,Annual,East Midlands,0.494,8.529
1987,Annual,East Midlands,0.497,10.250
1988,Annual,East Midlands,0.412,7.481
1989,Annual,East Midlands,0.467,8.548
1990,Annual,East Midlands,0.459,8.769
1991,Annual,East Midlands,0.470,9.529
1992,Annual,East Midlands,0.512,10.942
1993,Annual,East Midlands,0.481,10.500
1994,Annual,East Midlands,0.517,8.423
1995,Annual,East Midlands,0.431,9.269
1996,Annual,East Midlands,0.424,11.173
1997,Annual,East Midlands,0.455,10.856
1998,Annual,East Midlands,0.398,8.413
1999,Annual,East Midlands,0.417,8.731
2000,Annual,East Midlands,0.377,7.731
2001,Annual,East Midlands,0.440,9.212
2002,Annual,East Midlands,0.483,9.413
2003,Annual,East Midlands,0.511,8.596
2004,Annual,East Midlands,0.560,10.942
2005,Annual,East Midlands,0.433,9.337
2006,Annual,East Midlands,0.462,8.865
2007,Annual,East Midlands,0.438,10.250
2008,Annual,East Midlands,0.432,8.663
2009,Annual,East Midlands,0.483,9.856
2010,Annual,East Midlands,0.459,13.894
2011,Annual,East Midlands,0.456,9.827
2012,Annual,East Midlands,0.492,11.721
2013,Annual,East Midlands,0.446,12.125
2014,Annual,East Midlands,0.446,8.067
2015,Annual,East Midlands,0.478,9.750
2016,Annual,East Midlands,0.506,11.096
2017,Annual,East Midlands,0.452,10.606
2018,Annual,East Midlands,0.461,11.250
2019,Annual,East Midlands,0.491,9.587
2020,Annual,East Midlands,0.460,9.567
2021,Annual,East Midlands,0.423,7.952
2022,Annual,East Midlands,0.457,8.606
2023,Annual,East Midlands,0.485,16.019
2024,Annual,East Midlands,0.496,8.635
2025,Annual,East Midlands,0.520,10.731
2026,Annual,East Midlands,0.409,8.048
2027,Annual,East Midlands,0.471,7.096
2028,Annual,East Midlands,0.479,10.731
2029,Annual,East Midlands,0.467,7.933
2030,Annual,East Midlands,0.479,12.269
2031,Annual,East Midlands,0.457,7.615
2032,Annual,East Midlands,0.420,8.385
2033,Annual,East Midlands,0.489,8.625
2034,Annual,East Midlands,0.529,9.923
2035,Annual,East Midlands,0.478,7.625
2036,Annual,East Midlands,0.408,10.115
2037,Annual,East Midlands,0.460,8.644
2038,Annual,East Midlands,0.441,7.490
2039,Annual,East Midlands,0.468,11.077
2040,Annual,East Midlands,0.449,10.240
2041,Annual,East Midlands,0.451,8.625
2042,Annual,East Midlands,0.371,6.721
2043,Annual,East Midlands,0.456,8.673
2044,Annual,East Midlands,0.496,12.433
2045,Annual,East Midlands,0.437,9.769
2046,Annual,East Midlands,0.483,7.865
2047,Annual,East Midlands,0.391,7.817
2048,Annual,East Midlands,0.436,9.356
2049,Annual,East Midlands,0.480,9.654
2050,Annual,East Midlands,0.481,11.000
2051,Annual,East Midlands,0.432,6.990
2052,Annual,East Midlands,0.481,9.894
2053,Annual,East Midlands,0.453,10.577
2054,Annual,East Midlands,0.449,10.346
2055,Annual,East Midlands,0.439,9.356
