Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.481,10.125
1982,Annual,East Midlands,0.484,8.846
1983,Annual,East Midlands,0.497,11.135
1984,Annual,East Midlands,0.567,12.894
1985,Annual,East Midlands,0.605,12.308
1986,Annual,East Midlands,0.599,11.663
1987,Annual,East Midlands,0.536,10.317
1988,Annual,East Midlands,0.518,11.163
1989,Annual,East Midlands,0.530,11.221
1990,Annual,East Midlands,0.545,11.125
1991,Annual,East Midlands,0.540,12.010
1992,Annual,East Midlands,0.562,12.788
1993,Annual,East Midlands,0.554,12.260
1994,Annual,East Midlands,0.605,12.346
1995,Annual,East Midlands,0.501,12.288
1996,Annual,East Midlands,0.524,10.837
1997,Annual,East Midlands,0.523,13.269
1998,Annual,East Midlands,0.516,10.712
1999,Annual,East Midlands,0.519,12.952
2000,Annual,East Midlands,0.464,11.375
2001,Annual,East Midlands,0.488,11.096
2002,Annual,East Midlands,0.551,13.125
2003,Annual,East Midlands,0.605,12.721
2004,Annual,East Midlands,0.616,14.163
2005,Annual,East Midlands,0.490,11.644
2006,Annual,East Midlands,0.544,9.567
2007,Annual,East Midlands,0.515,10.894
2008,Annual,East Midlands,0.478,9.923
2009,Annual,East Midlands,0.544,10.596
2010,Annual,East Midlands,0.527,10.308
2011,Annual,East Midlands,0.506,11.654
2012,Annual,East Midlands,0.532,12.308
2013,Annual,East Midlands,0.545,11.500
2014,Annual,East Midlands,0.524,10.885
2015,Annual,East Midlands,0.548,13.288
2016,Annual,East Midlands,0.540,12.913
2017,Annual,East Midlands,0.527,11.779
2018,Annual,East Midlands,0.546,10.279
2019,Annual,East Midlands,0.573,17.712
2020,Annual,East Midlands,0.509,11.067
2021,Annual,East Midlands,0.448,10.625
2022,Annual,East Midlands,0.536,10.683
2023,Annual,East Midlands,0.519,11.942
2024,Annual,East Midlands,0.592,14.538
2025,Annual,East Midlands,0.548,11.375
2026,Annual,East Midlands,0.496,9.221
2027,Annual,East Midlands,0.567,11.644
2028,Annual,East Midlands,0.482,13.365
