Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.355,7.612
1982,Annual,East Midlands,0.371,7.951
1983,Annual,East Midlands,0.399,8.291
1984,Annual,East Midlands,0.427,9.942
1985,Annual,East Midlands,0.485,10.583
1986,Annual,East Midlands,0.439,7.456
1987,Annual,East Midlands,0.447,11.243
1988,Annual,East Midlands,0.376,7.874
1989,Annual,East Midlands,0.370,6.592
1990,Annual,East Midlands,0.387,8.592
1991,Annual,East Midlands,0.399,10.816
1992,Annual,East Midlands,0.479,10.398
1993,Annual,East Midlands,0.383,8.000
1994,Annual,East Midlands,0.452,8.379
1995,Annual,East Midlands,0.383,6.291
1996,Annual,East Midlands,0.380,8.670
1997,Annual,East Midlands,0.400,11.709
1998,Annual,East Midlands,0.387,8.291
1999,Annual,East Midlands,0.372,8.379
2000,Annual,East Midlands,0.366,8.262
2001,Annual,East Midlands,0.409,10.320
2002,Annual,East Midlands,0.400,9.320
2003,Annual,East Midlands,0.454,9.291
2004,Annual,East Midlands,0.496,10.505
2005,Annual,East Midlands,0.340,6.058
2006,Annual,East Midlands,0.413,10.311
2007,Annual,East Midlands,0.410,7.427
2008,Annual,East Midlands,0.400,7.621
2009,Annual,East Midlands,0.403,7.398
2010,Annual,East Midlands,0.474,11.553
2011,Annual,East Midlands,0.376,8.718
2012,Annual,East Midlands,0.394,9.505
2013,Annual,East Midlands,0.394,8.466
2014,Annual,East Midlands,0.362,7.631
2015,Annual,East Midlands,0.431,8.029
2016,Annual,East Midlands,0.435,11.505
2017,Annual,East Midlands,0.393,8.485
2018,Annual,East Midlands,0.432,11.602
2019,Annual,East Midlands,0.456,11.883
2020,Annual,East Midlands,0.379,8.000
2021,Annual,East Midlands,0.321,6.816
2022,Annual,East Midlands,0.373,6.291
2023,Annual,East Midlands,0.424,10.631
2024,Annual,East Midlands,0.453,9.660
2025,Annual,East Midlands,0.459,12.107
2026,Annual,East Midlands,0.362,6.689
2027,Annual,East Midlands,0.391,8.495
2028,Annual,East Midlands,0.375,8.243
2029,Annual,East Midlands,0.408,7.922
2030,Annual,East Midlands,0.403,7.369
2031,Annual,East Midlands,0.437,9.078
2032,Annual,East Midlands,0.383,6.223
2033,Annual,East Midlands,0.443,9.427
2034,Annual,East Midlands,0.482,9.893
2035,Annual,East Midlands,0.402,7.835
2036,Annual,East Midlands,0.330,6.068
2037,Annual,East Midlands,0.398,8.816
2038,Annual,East Midlands,0.385,8.087
2039,Annual,East Midlands,0.362,7.796
2040,Annual,East Midlands,0.423,9.981
2041,Annual,East Midlands,0.427,9.903
2042,Annual,East Midlands,0.299,6.388
2043,Annual,East Midlands,0.429,9.990
2044,Annual,East Midlands,0.413,7.670
2045,Annual,East Midlands,0.400,8.485
2046,Annual,East Midlands,0.369,7.311
2047,Annual,East Midlands,0.335,6.583
2048,Annual,East Midlands,0.376,7.476
2049,Annual,East Midlands,0.422,7.689
2050,Annual,East Midlands,0.396,8.592
2051,Annual,East Midlands,0.370,7.825
2052,Annual,East Midlands,0.423,8.019
2053,Annual,East Midlands,0.390,8.146
2054,Annual,East Midlands,0.370,7.087
2055,Annual,East Midlands,0.416,7.786
2056,Annual,East Midlands,0.327,7.000
2057,Annual,East Midlands,0.368,6.845
2058,Annual,East Midlands,0.424,10.165
2059,Annual,East Midlands,0.403,7.660
2060,Annual,East Midlands,0.375,8.282
2061,Annual,East Midlands,0.367,6.650
2062,Annual,East Midlands,0.357,9.359
2063,Annual,East Midlands,0.387,8.437
2064,Annual,East Midlands,0.396,7.311
2065,Annual,East Midlands,0.403,8.340
2066,Annual,East Midlands,0.423,10.534
2067,Annual,East Midlands,0.332,6.184
2068,Annual,East Midlands,0.384,9.913
2069,Annual,East Midlands,0.362,8.796
2070,Annual,East Midlands,0.413,9.301
2071,Annual,East Midlands,0.343,7.243
2072,Annual,East Midlands,0.368,8.816
2073,Annual,East Midlands,0.402,7.320
2074,Annual,East Midlands,0.335,6.262
2075,Annual,East Midlands,0.318,5.029
2076,Annual,East Midlands,0.389,9.515
2077,Annual,East Midlands,0.311,7.175
2078,Annual,East Midlands,0.425,8.146
2079,Annual,East Midlands,0.387,7.350
2080,Annual,East Midlands,0.418,8.233
1981,Annual,East of England,0.362,7.714
1982,Annual,East of England,0.374,8.357
1983,Annual,East of England,0.366,7.262
1984,Annual,East of England,0.415,9.286
1985,Annual,East of England,0.494,10.976
1986,Annual,East of England,0.448,8.008
1987,Annual,East of England,0.422,9.524
1988,Annual,East of England,0.383,7.944
1989,Annual,East of England,0.363,7.492
1990,Annual,East of England,0.373,11.556
1991,Annual,East of England,0.410,9.651
1992,Annual,East of England,0.464,10.905
1993,Annual,East of England,0.382,9.349
1994,Annual,East of England,0.463,9.127
1995,Annual,East of England,0.372,6.635
1996,Annual,East of England,0.411,9.897
1997,Annual,East of England,0.397,10.706
1998,Annual,East of England,0.384,7.357
1999,Annual,East of England,0.366,8.865
2000,Annual,East of England,0.367,8.159
2001,Annual,East of England,0.406,9.921
2002,Annual,East of England,0.410,9.540
2003,Annual,East of England,0.446,9.770
2004,Annual,East of England,0.498,10.127
2005,Annual,East of England,0.351,8.087
2006,Annual,East of England,0.410,10.246
2007,Annual,East of England,0.419,7.571
2008,Annual,East of England,0.429,8.651
2009,Annual,East of England,0.410,8.595
2010,Annual,East of England,0.479,11.524
2011,Annual,East of England,0.373,8.571
2012,Annual,East of England,0.405,11.349
2013,Annual,East of England,0.407,9.040
2014,Annual,East of England,0.371,7.770
2015,Annual,East of England,0.424,7.357
2016,Annual,East of England,0.465,12.063
2017,Annual,East of England,0.393,7.357
2018,Annual,East of England,0.428,11.770
2019,Annual,East of England,0.466,9.802
2020,Annual,East of England,0.394,8.619
2021,Annual,East of England,0.319,5.937
2022,Annual,East of England,0.360,6.556
2023,Annual,East of England,0.435,11.484
2024,Annual,East of England,0.452,9.159
2025,Annual,East of England,0.447,11.619
2026,Annual,East of England,0.376,6.929
2027,Annual,East of England,0.390,8.103
2028,Annual,East of England,0.400,9.405
2029,Annual,East of England,0.403,6.778
2030,Annual,East of England,0.404,7.667
2031,Annual,East of England,0.453,8.516
2032,Annual,East of England,0.397,7.421
2033,Annual,East of England,0.450,9.508
2034,Annual,East of England,0.509,11.841
2035,Annual,East of England,0.415,9.095
2036,Annual,East of England,0.332,6.873
2037,Annual,East of England,0.394,10.825
2038,Annual,East of England,0.401,8.286
2039,Annual,East of England,0.406,11.429
2040,Annual,East of England,0.414,8.905
2041,Annual,East of England,0.396,7.976
2042,Annual,East of England,0.318,6.460
2043,Annual,East of England,0.438,10.556
2044,Annual,East of England,0.420,7.802
2045,Annual,East of England,0.403,9.643
2046,Annual,East of England,0.384,8.032
2047,Annual,East of England,0.373,7.651
2048,Annual,East of England,0.371,9.254
2049,Annual,East of England,0.430,7.825
2050,Annual,East of England,0.387,9.675
2051,Annual,East of England,0.371,7.563
2052,Annual,East of England,0.425,8.222
2053,Annual,East of England,0.416,7.825
2054,Annual,East of England,0.394,8.262
2055,Annual,East of England,0.428,8.643
2056,Annual,East of England,0.319,6.754
