Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.469,11.462
1982,Annual,East Midlands,0.416,7.731
1983,Annual,East Midlands,0.377,9.490
1984,Annual,East Midlands,0.436,11.635
1985,Annual,East Midlands,0.536,14.615
1986,Annual,East Midlands,0.412,10.048
1987,Annual,East Midlands,0.431,7.471
1988,Annual,East Midlands,0.429,11.250
1989,Annual,East Midlands,0.409,10.837
1990,Annual,East Midlands,0.437,7.029
1991,Annual,East Midlands,0.400,8.760
1992,Annual,East Midlands,0.424,10.962
1993,Annual,East Midlands,0.396,10.952
1994,Annual,East Midlands,0.412,9.192
1995,Annual,East Midlands,0.414,7.971
1996,Annual,East Midlands,0.430,11.144
1997,Annual,East Midlands,0.378,8.135
1998,Annual,East Midlands,0.444,10.712
1999,Annual,East Midlands,0.450,10.769
2000,Annual,East Midlands,0.447,8.135
2001,Annual,East Midlands,0.466,10.558
2002,Annual,East Midlands,0.401,9.163
2003,Annual,East Midlands,0.348,7.587
2004,Annual,East Midlands,0.451,7.442
2005,Annual,East Midlands,0.421,9.462
2006,Annual,East Midlands,0.404,8.413
2007,Annual,East Midlands,0.412,8.904
2008,Annual,East Midlands,0.395,8.423
2009,Annual,East Midlands,0.396,9.346
2010,Annual,East Midlands,0.472,11.471
2011,Annual,East Midlands,0.434,8.673
2012,Annual,East Midlands,0.438,9.673
2013,Annual,East Midlands,0.387,7.654
2014,Annual,East Midlands,0.382,7.942
2015,Annual,East Midlands,0.445,8.337
2016,Annual,East Midlands,0.473,11.452
2017,Annual,East Midlands,0.459,10.000
2018,Annual,East Midlands,0.397,7.471
2019,Annual,East Midlands,0.411,8.788
2020,Annual,East Midlands,0.419,7.279
2021,Annual,East Midlands,0.410,11.067
2022,Annual,East Midlands,0.438,11.231
2023,Annual,East Midlands,0.397,7.663
2024,Annual,East Midlands,0.440,10.837
2025,Annual,East Midlands,0.412,9.423
2026,Annual,East Midlands,0.400,7.365
2027,Annual,East Midlands,0.449,9.019
2028,Annual,East Midlands,0.436,16.067
2029,Annual,East Midlands,0.422,12.596
2030,Annual,East Midlands,0.408,9.442
2031,Annual,East Midlands,0.453,7.962
2032,Annual,East Midlands,0.422,7.923
2033,Annual,East Midlands,0.492,8.538
2034,Annual,East Midlands,0.498,10.048
2035,Annual,East Midlands,0.499,11.192
2036,Annual,East Midlands,0.383,9.135
2037,Annual,East Midlands,0.436,9.913
2038,Annual,East Midlands,0.413,8.548
2039,Annual,East Midlands,0.432,11.404
2040,Annual,East Midlands,0.461,9.462
2041,Annual,East Midlands,0.485,15.827
2042,Annual,East Midlands,0.449,11.952
2043,Annual,East Midlands,0.518,9.654
2044,Annual,East Midlands,0.513,9.788
2045,Annual,East Midlands,0.473,8.750
2046,Annual,East Midlands,0.422,7.760
2047,Annual,East Midlands,0.431,13.106
2048,Annual,East Midlands,0.383,9.471
2049,Annual,East Midlands,0.482,9.663
2050,Annual,East Midlands,0.468,9.471
2051,Annual,East Midlands,0.440,15.962
2052,Annual,East Midlands,0.509,12.183
2053,Annual,East Midlands,0.441,9.163
2054,Annual,East Midlands,0.456,9.317
2055,Annual,East Midlands,0.425,8.760
2056,Annual,East Midlands,0.393,7.337
2057,Annual,East Midlands,0.422,7.721
2058,Annual,East Midlands,0.443,9.644
2059,Annual,East Midlands,0.424,9.404
