Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.439,9.020
1982,Annual,East Midlands,0.394,8.143
1983,Annual,East Midlands,0.343,8.133
1984,Annual,East Midlands,0.417,11.031
1985,Annual,East Midlands,0.405,8.561
1986,Annual,East Midlands,0.380,10.612
1987,Annual,East Midlands,0.406,8.684
1988,Annual,East Midlands,0.434,11.010
1989,Annual,East Midlands,0.346,12.020
1990,Annual,East Midlands,0.415,9.735
1991,Annual,East Midlands,0.400,9.980
1992,Annual,East Midlands,0.397,8.143
1993,Annual,East Midlands,0.386,8.286
1994,Annual,East Midlands,0.373,7.735
1995,Annual,East Midlands,0.438,9.949
1996,Annual,East Midlands,0.420,7.429
1997,Annual,East Midlands,0.394,8.163
1998,Annual,East Midlands,0.395,8.286
1999,Annual,East Midlands,0.408,7.857
2000,Annual,East Midlands,0.374,7.704
2001,Annual,East Midlands,0.397,8.327
2002,Annual,East Midlands,0.398,8.541
2003,Annual,East Midlands,0.413,11.122
2004,Annual,East Midlands,0.463,10.429
2005,Annual,East Midlands,0.319,8.755
2006,Annual,East Midlands,0.341,7.204
2007,Annual,East Midlands,0.424,8.939
2008,Annual,East Midlands,0.400,10.133
2009,Annual,East Midlands,0.324,9.204
2010,Annual,East Midlands,0.379,10.724
2011,Annual,East Midlands,0.484,11.949
2012,Annual,East Midlands,0.412,9.765
2013,Annual,East Midlands,0.418,8.673
2014,Annual,East Midlands,0.454,8.663
2015,Annual,East Midlands,0.444,9.786
2016,Annual,East Midlands,0.413,8.673
2017,Annual,East Midlands,0.461,10.612
2018,Annual,East Midlands,0.375,7.510
2019,Annual,East Midlands,0.416,10.592
2020,Annual,East Midlands,0.358,6.929
2021,Annual,East Midlands,0.387,12.561
2022,Annual,East Midlands,0.348,7.173
2023,Annual,East Midlands,0.376,8.184
2024,Annual,East Midlands,0.377,8.398
2025,Annual,East Midlands,0.407,9.041
2026,Annual,East Midlands,0.454,9.296
2027,Annual,East Midlands,0.391,8.337
2028,Annual,East Midlands,0.389,8.102
2029,Annual,East Midlands,0.376,9.776
2030,Annual,East Midlands,0.334,10.347
2031,Annual,East Midlands,0.379,9.653
2032,Annual,East Midlands,0.362,8.010
2033,Annual,East Midlands,0.435,9.418
2034,Annual,East Midlands,0.355,8.622
