Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.398,7.212
1982,Annual,East Midlands,0.365,10.125
1983,Annual,East Midlands,0.384,8.663
1984,Annual,East Midlands,0.350,7.481
1985,Annual,East Midlands,0.350,9.000
1986,Annual,East Midlands,0.290,9.058
1987,Annual,East Midlands,0.346,7.942
1988,Annual,East Midlands,0.337,6.615
1989,Annual,East Midlands,0.300,6.173
1990,Annual,East Midlands,0.329,8.538
1991,Annual,East Midlands,0.323,7.769
1992,Annual,East Midlands,0.348,7.394
1993,Annual,East Midlands,0.330,6.308
1994,Annual,East Midlands,0.398,9.067
1995,Annual,East Midlands,0.371,6.231
1996,Annual,East Midlands,0.350,6.923
1997,Annual,East Midlands,0.326,7.731
1998,Annual,East Midlands,0.379,7.500
1999,Annual,East Midlands,0.307,9.740
2000,Annual,East Midlands,0.318,7.846
2001,Annual,East Midlands,0.314,6.327
2002,Annual,East Midlands,0.342,7.298
2003,Annual,East Midlands,0.339,6.971
2004,Annual,East Midlands,0.259,8.413
2005,Annual,East Midlands,0.266,6.106
2006,Annual,East Midlands,0.363,7.346
2007,Annual,East Midlands,0.366,12.048
2008,Annual,East Midlands,0.294,6.375
2009,Annual,East Midlands,0.387,8.135
2010,Annual,East Midlands,0.374,8.317
2011,Annual,East Midlands,0.271,6.058
2012,Annual,East Midlands,0.382,8.308
2013,Annual,East Midlands,0.403,8.269
2014,Annual,East Midlands,0.395,10.327
2015,Annual,East Midlands,0.316,6.875
2016,Annual,East Midlands,0.348,8.654
2017,Annual,East Midlands,0.336,7.240
2018,Annual,East Midlands,0.332,9.654
2019,Annual,East Midlands,0.324,7.192
2020,Annual,East Midlands,0.329,10.808
2021,Annual,East Midlands,0.301,8.279
2022,Annual,East Midlands,0.334,7.817
2023,Annual,East Midlands,0.290,5.250
2024,Annual,East Midlands,0.357,8.413
2025,Annual,East Midlands,0.326,6.981
2026,Annual,East Midlands,0.279,7.173
2027,Annual,East Midlands,0.347,7.856
2028,Annual,East Midlands,0.266,6.019
2029,Annual,East Midlands,0.306,6.817
2030,Annual,East Midlands,0.341,8.712
2031,Annual,East Midlands,0.342,10.087
2032,Annual,East Midlands,0.374,7.702
2033,Annual,East Midlands,0.358,7.577
2034,Annual,East Midlands,0.253,6.788
2035,Annual,East Midlands,0.288,6.308
2036,Annual,East Midlands,0.344,10.279
2037,Annual,East Midlands,0.360,6.904
2038,Annual,East Midlands,0.336,8.346
2039,Annual,East Midlands,0.326,5.817
2040,Annual,East Midlands,0.292,6.087
2041,Annual,East Midlands,0.369,7.500
2042,Annual,East Midlands,0.355,6.654
2043,Annual,East Midlands,0.296,7.163
2044,Annual,East Midlands,0.366,8.769
2045,Annual,East Midlands,0.329,7.067
2046,Annual,East Midlands,0.314,6.779
2047,Annual,East Midlands,0.253,7.250
2048,Annual,East Midlands,0.290,6.808
2049,Annual,East Midlands,0.274,7.385
2050,Annual,East Midlands,0.294,8.038
2051,Annual,East Midlands,0.312,6.529
2052,Annual,East Midlands,0.342,8.221
2053,Annual,East Midlands,0.295,6.769
2054,Annual,East Midlands,0.231,9.077
2055,Annual,East Midlands,0.293,7.442
2056,Annual,East Midlands,0.304,6.288
2057,Annual,East Midlands,0.250,7.212
2058,Annual,East Midlands,0.216,8.115
2059,Annual,East Midlands,0.247,7.433
2060,Annual,East Midlands,0.278,7.798
2061,Annual,East Midlands,0.231,5.519
2062,Annual,East Midlands,0.283,7.250
2063,Annual,East Midlands,0.294,7.058
2064,Annual,East Midlands,0.287,7.663
2065,Annual,East Midlands,0.365,7.885
2066,Annual,East Midlands,0.259,5.913
2067,Annual,East Midlands,0.290,8.413
2068,Annual,East Midlands,0.316,7.327
2069,Annual,East Midlands,0.339,8.769
2070,Annual,East Midlands,0.296,6.212
2071,Annual,East Midlands,0.303,7.144
2072,Annual,East Midlands,0.285,7.606
2073,Annual,East Midlands,0.328,8.269
2074,Annual,East Midlands,0.285,6.635
2075,Annual,East Midlands,0.230,6.519
2076,Annual,East Midlands,0.288,7.452
2077,Annual,East Midlands,0.282,6.760
2078,Annual,East Midlands,0.284,8.712
1981,Annual,East of England,0.373,6.760
1982,Annual,East of England,0.340,8.395
1983,Annual,East of England,0.338,7.233
1984,Annual,East of England,0.325,8.287
1985,Annual,East of England,0.313,7.798
1986,Annual,East of England,0.270,8.953
1987,Annual,East of England,0.329,6.767
1988,Annual,East of England,0.313,7.922
1989,Annual,East of England,0.249,4.791
1990,Annual,East of England,0.321,7.349
1991,Annual,East of England,0.291,6.217
1992,Annual,East of England,0.307,6.899
1993,Annual,East of England,0.299,6.186
1994,Annual,East of England,0.391,7.837
