Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.337,6.317
1982,Annual,East Midlands,0.283,4.577
1983,Annual,East Midlands,0.339,7.846
1984,Annual,East Midlands,0.312,7.442
1985,Annual,East Midlands,0.299,6.183
1986,Annual,East Midlands,0.269,6.154
1987,Annual,East Midlands,0.336,7.635
1988,Annual,East Midlands,0.336,8.163
1989,Annual,East Midlands,0.253,5.000
1990,Annual,East Midlands,0.323,7.865
1991,Annual,East Midlands,0.298,7.683
1992,Annual,East Midlands,0.326,8.240
1993,Annual,East Midlands,0.311,6.760
1994,Annual,East Midlands,0.361,6.837
1995,Annual,East Midlands,0.378,6.865
1996,Annual,East Midlands,0.347,5.990
1997,Annual,East Midlands,0.315,9.212
1998,Annual,East Midlands,0.327,6.125
1999,Annual,East Midlands,0.258,6.913
2000,Annual,East Midlands,0.322,6.596
2001,Annual,East Midlands,0.247,4.971
2002,Annual,East Midlands,0.346,6.490
2003,Annual,East Midlands,0.338,9.779
2004,Annual,East Midlands,0.272,7.548
2005,Annual,East Midlands,0.274,5.144
2006,Annual,East Midlands,0.372,7.904
2007,Annual,East Midlands,0.294,8.740
2008,Annual,East Midlands,0.285,7.596
2009,Annual,East Midlands,0.366,8.346
2010,Annual,East Midlands,0.327,6.817
2011,Annual,East Midlands,0.278,5.606
2012,Annual,East Midlands,0.357,7.433
2013,Annual,East Midlands,0.372,8.269
2014,Annual,East Midlands,0.386,8.327
2015,Annual,East Midlands,0.332,6.471
2016,Annual,East Midlands,0.315,10.837
2017,Annual,East Midlands,0.315,8.269
2018,Annual,East Midlands,0.340,11.279
2019,Annual,East Midlands,0.322,5.904
2020,Annual,East Midlands,0.312,8.452
2021,Annual,East Midlands,0.299,6.817
2022,Annual,East Midlands,0.333,6.913
2023,Annual,East Midlands,0.279,6.183
2024,Annual,East Midlands,0.363,7.346
2025,Annual,East Midlands,0.372,7.721
2026,Annual,East Midlands,0.339,6.865
2027,Annual,East Midlands,0.331,7.365
2028,Annual,East Midlands,0.249,5.519
2029,Annual,East Midlands,0.285,7.462
2030,Annual,East Midlands,0.293,8.327
2031,Annual,East Midlands,0.278,4.731
2032,Annual,East Midlands,0.342,7.798
2033,Annual,East Midlands,0.326,6.577
2034,Annual,East Midlands,0.253,4.279
2035,Annual,East Midlands,0.266,6.183
2036,Annual,East Midlands,0.294,7.337
2037,Annual,East Midlands,0.333,9.173
2038,Annual,East Midlands,0.317,8.779
2039,Annual,East Midlands,0.289,5.433
2040,Annual,East Midlands,0.343,6.221
2041,Annual,East Midlands,0.309,6.519
2042,Annual,East Midlands,0.316,7.856
2043,Annual,East Midlands,0.276,5.548
2044,Annual,East Midlands,0.330,7.683
2045,Annual,East Midlands,0.314,6.567
2046,Annual,East Midlands,0.336,7.125
2047,Annual,East Midlands,0.263,5.346
2048,Annual,East Midlands,0.242,5.702
2049,Annual,East Midlands,0.253,6.135
2050,Annual,East Midlands,0.258,5.173
2051,Annual,East Midlands,0.334,6.654
2052,Annual,East Midlands,0.355,6.462
2053,Annual,East Midlands,0.288,6.702
2054,Annual,East Midlands,0.252,8.500
2055,Annual,East Midlands,0.271,6.115
2056,Annual,East Midlands,0.303,6.048
2057,Annual,East Midlands,0.243,7.923
2058,Annual,East Midlands,0.237,6.837
2059,Annual,East Midlands,0.249,5.663
2060,Annual,East Midlands,0.285,8.183
2061,Annual,East Midlands,0.239,6.298
2062,Annual,East Midlands,0.259,6.163
2063,Annual,East Midlands,0.278,5.260
2064,Annual,East Midlands,0.285,7.038
2065,Annual,East Midlands,0.359,7.788
2066,Annual,East Midlands,0.282,6.654
2067,Annual,East Midlands,0.270,6.606
2068,Annual,East Midlands,0.314,6.942
2069,Annual,East Midlands,0.305,7.635
2070,Annual,East Midlands,0.318,5.683
2071,Annual,East Midlands,0.253,5.365
2072,Annual,East Midlands,0.240,6.635
2073,Annual,East Midlands,0.282,7.327
2074,Annual,East Midlands,0.306,5.827
2075,Annual,East Midlands,0.269,7.365
2076,Annual,East Midlands,0.297,6.471
2077,Annual,East Midlands,0.259,5.183
2078,Annual,East Midlands,0.297,6.269
1981,Annual,East of England,0.327,5.915
1982,Annual,East of England,0.261,4.969
1983,Annual,East of England,0.308,7.101
1984,Annual,East of England,0.269,5.798
1985,Annual,East of England,0.284,5.961
1986,Annual,East of England,0.241,5.806
1987,Annual,East of England,0.309,7.822
1988,Annual,East of England,0.317,8.504
1989,Annual,East of England,0.243,4.674
1990,Annual,East of England,0.277,6.659
1991,Annual,East of England,0.271,6.791
1992,Annual,East of England,0.294,7.109
1993,Annual,East of England,0.297,6.225
