Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.457,7.883
1982,Annual,East Midlands,0.351,9.039
1983,Annual,East Midlands,0.415,8.165
1984,Annual,East Midlands,0.360,6.097
1985,Annual,East Midlands,0.389,6.854
1986,Annual,East Midlands,0.296,8.155
1987,Annual,East Midlands,0.384,8.505
1988,Annual,East Midlands,0.380,7.786
1989,Annual,East Midlands,0.328,7.631
1990,Annual,East Midlands,0.394,8.602
1991,Annual,East Midlands,0.376,9.476
1992,Annual,East Midlands,0.395,7.767
1993,Annual,East Midlands,0.379,6.573
1994,Annual,East Midlands,0.455,7.301
1995,Annual,East Midlands,0.443,9.612
1996,Annual,East Midlands,0.350,7.670
1997,Annual,East Midlands,0.350,8.961
1998,Annual,East Midlands,0.383,6.738
1999,Annual,East Midlands,0.366,8.146
2000,Annual,East Midlands,0.413,8.942
2001,Annual,East Midlands,0.334,6.058
2002,Annual,East Midlands,0.435,10.505
2003,Annual,East Midlands,0.409,9.961
2004,Annual,East Midlands,0.368,6.408
2005,Annual,East Midlands,0.310,5.971
2006,Annual,East Midlands,0.446,9.476
2007,Annual,East Midlands,0.396,10.262
2008,Annual,East Midlands,0.355,9.951
2009,Annual,East Midlands,0.422,9.553
2010,Annual,East Midlands,0.411,9.961
2011,Annual,East Midlands,0.330,8.107
2012,Annual,East Midlands,0.426,8.068
2013,Annual,East Midlands,0.410,8.631
2014,Annual,East Midlands,0.465,8.078
2015,Annual,East Midlands,0.412,8.563
2016,Annual,East Midlands,0.380,9.786
2017,Annual,East Midlands,0.393,7.971
2018,Annual,East Midlands,0.395,8.184
2019,Annual,East Midlands,0.365,7.942
2020,Annual,East Midlands,0.384,11.680
2021,Annual,East Midlands,0.348,7.767
2022,Annual,East Midlands,0.390,7.709
2023,Annual,East Midlands,0.342,7.942
2024,Annual,East Midlands,0.388,8.728
2025,Annual,East Midlands,0.391,7.893
2026,Annual,East Midlands,0.348,8.243
2027,Annual,East Midlands,0.338,8.252
2028,Annual,East Midlands,0.285,6.592
2029,Annual,East Midlands,0.352,8.243
2030,Annual,East Midlands,0.374,9.893
2031,Annual,East Midlands,0.385,6.146
2032,Annual,East Midlands,0.419,10.126
2033,Annual,East Midlands,0.379,7.544
2034,Annual,East Midlands,0.321,6.214
2035,Annual,East Midlands,0.385,9.456
2036,Annual,East Midlands,0.338,7.893
2037,Annual,East Midlands,0.410,8.233
2038,Annual,East Midlands,0.382,11.019
2039,Annual,East Midlands,0.331,5.748
2040,Annual,East Midlands,0.370,8.117
2041,Annual,East Midlands,0.383,13.204
2042,Annual,East Midlands,0.407,6.748
2043,Annual,East Midlands,0.332,7.903
2044,Annual,East Midlands,0.429,8.718
2045,Annual,East Midlands,0.374,7.981
2046,Annual,East Midlands,0.437,8.456
2047,Annual,East Midlands,0.323,6.379
2048,Annual,East Midlands,0.329,6.058
