Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.425,9.231
1982,Annual,East Midlands,0.370,9.058
1983,Annual,East Midlands,0.403,7.990
1984,Annual,East Midlands,0.366,7.337
1985,Annual,East Midlands,0.390,8.038
1986,Annual,East Midlands,0.318,9.692
1987,Annual,East Midlands,0.393,8.750
1988,Annual,East Midlands,0.393,7.971
1989,Annual,East Midlands,0.345,10.510
1990,Annual,East Midlands,0.379,8.846
1991,Annual,East Midlands,0.344,9.154
1992,Annual,East Midlands,0.402,7.385
1993,Annual,East Midlands,0.363,7.673
1994,Annual,East Midlands,0.444,10.327
1995,Annual,East Midlands,0.424,9.442
1996,Annual,East Midlands,0.391,6.740
1997,Annual,East Midlands,0.370,8.606
1998,Annual,East Midlands,0.410,8.308
1999,Annual,East Midlands,0.357,8.683
2000,Annual,East Midlands,0.401,8.010
2001,Annual,East Midlands,0.365,6.519
2002,Annual,East Midlands,0.422,8.942
2003,Annual,East Midlands,0.387,8.548
2004,Annual,East Midlands,0.346,7.904
2005,Annual,East Midlands,0.320,6.500
2006,Annual,East Midlands,0.422,8.317
2007,Annual,East Midlands,0.410,8.625
2008,Annual,East Midlands,0.340,9.202
2009,Annual,East Midlands,0.392,8.221
2010,Annual,East Midlands,0.412,7.404
2011,Annual,East Midlands,0.332,6.212
2012,Annual,East Midlands,0.414,8.692
2013,Annual,East Midlands,0.402,7.654
2014,Annual,East Midlands,0.440,11.365
2015,Annual,East Midlands,0.404,10.913
2016,Annual,East Midlands,0.367,7.769
2017,Annual,East Midlands,0.368,9.413
2018,Annual,East Midlands,0.417,9.240
2019,Annual,East Midlands,0.372,6.635
2020,Annual,East Midlands,0.397,11.106
2021,Annual,East Midlands,0.362,8.548
2022,Annual,East Midlands,0.436,8.548
2023,Annual,East Midlands,0.360,8.240
2024,Annual,East Midlands,0.424,10.010
2025,Annual,East Midlands,0.403,7.750
2026,Annual,East Midlands,0.360,7.337
2027,Annual,East Midlands,0.379,9.683
2028,Annual,East Midlands,0.300,7.337
2029,Annual,East Midlands,0.323,9.577
2030,Annual,East Midlands,0.386,8.721
2031,Annual,East Midlands,0.368,7.471
2032,Annual,East Midlands,0.417,11.163
2033,Annual,East Midlands,0.353,11.490
2034,Annual,East Midlands,0.327,7.538
2035,Annual,East Midlands,0.364,8.471
2036,Annual,East Midlands,0.366,9.981
2037,Annual,East Midlands,0.442,11.788
2038,Annual,East Midlands,0.392,9.625
2039,Annual,East Midlands,0.378,8.510
2040,Annual,East Midlands,0.382,7.279
2041,Annual,East Midlands,0.385,10.404
2042,Annual,East Midlands,0.366,7.385
2043,Annual,East Midlands,0.325,8.260
2044,Annual,East Midlands,0.440,8.913
2045,Annual,East Midlands,0.384,8.154
2046,Annual,East Midlands,0.395,9.548
2047,Annual,East Midlands,0.316,6.683
2048,Annual,East Midlands,0.334,6.385
2049,Annual,East Midlands,0.329,7.154
2050,Annual,East Midlands,0.336,6.202
2051,Annual,East Midlands,0.414,8.471
2052,Annual,East Midlands,0.388,10.596
2053,Annual,East Midlands,0.363,6.952
2054,Annual,East Midlands,0.345,8.471
2055,Annual,East Midlands,0.318,6.173
2056,Annual,East Midlands,0.364,8.038
2057,Annual,East Midlands,0.318,9.144
2058,Annual,East Midlands,0.290,7.875
2059,Annual,East Midlands,0.291,6.038
2060,Annual,East Midlands,0.355,9.346
2061,Annual,East Midlands,0.318,6.462
2062,Annual,East Midlands,0.352,8.385
2063,Annual,East Midlands,0.335,8.385
2064,Annual,East Midlands,0.344,8.096
2065,Annual,East Midlands,0.405,10.269
2066,Annual,East Midlands,0.327,8.000
2067,Annual,East Midlands,0.324,6.269
2068,Annual,East Midlands,0.370,7.827
2069,Annual,East Midlands,0.363,10.067
2070,Annual,East Midlands,0.330,6.529
2071,Annual,East Midlands,0.341,7.885
2072,Annual,East Midlands,0.320,6.394
2073,Annual,East Midlands,0.373,8.952
2074,Annual,East Midlands,0.359,8.029
2075,Annual,East Midlands,0.349,7.731
2076,Annual,East Midlands,0.361,7.981
2077,Annual,East Midlands,0.328,7.635
2078,Annual,East Midlands,0.343,6.635
1981,Annual,East of England,0.394,7.124
1982,Annual,East of England,0.354,6.589
1983,Annual,East of England,0.368,8.946
1984,Annual,East of England,0.345,6.388
1985,Annual,East of England,0.361,7.457
1986,Annual,East of England,0.291,7.395
1987,Annual,East of England,0.385,8.589
1988,Annual,East of England,0.337,8.798
1989,Annual,East of England,0.347,6.744
1990,Annual,East of England,0.366,7.845
1991,Annual,East of England,0.331,6.829
1992,Annual,East of England,0.376,6.039
1993,Annual,East of England,0.349,6.946
1994,Annual,East of England,0.414,7.535
1995,Annual,East of England,0.408,8.271
1996,Annual,East of England,0.384,6.752
1997,Annual,East of England,0.335,8.628
1998,Annual,East of England,0.364,8.574
1999,Annual,East of England,0.317,6.512
2000,Annual,East of England,0.390,8.093
2001,Annual,East of England,0.333,6.039
2002,Annual,East of England,0.388,8.310
2003,Annual,East of England,0.380,8.326
2004,Annual,East of England,0.329,7.225
2005,Annual,East of England,0.277,5.271
2006,Annual,East of England,0.415,7.535
2007,Annual,East of England,0.409,9.628
2008,Annual,East of England,0.309,7.248
2009,Annual,East of England,0.362,8.907
2010,Annual,East of England,0.410,8.364
2011,Annual,East of England,0.300,5.147
2012,Annual,East of England,0.382,7.705
2013,Annual,East of England,0.369,6.806
2014,Annual,East of England,0.403,9.566
2015,Annual,East of England,0.390,10.876
2016,Annual,East of England,0.338,7.395
2017,Annual,East of England,0.339,10.434
2018,Annual,East of England,0.365,8.597
2019,Annual,East of England,0.343,6.589
2020,Annual,East of England,0.388,9.155
2021,Annual,East of England,0.325,6.783
2022,Annual,East of England,0.406,7.519
2023,Annual,East of England,0.328,6.922
2024,Annual,East of England,0.409,9.062
2025,Annual,East of England,0.383,7.295
2026,Annual,East of England,0.353,7.992
2027,Annual,East of England,0.383,8.612
2028,Annual,East of England,0.296,6.651
2029,Annual,East of England,0.317,9.202
2030,Annual,East of England,0.348,8.093
2031,Annual,East of England,0.353,7.070
2032,Annual,East of England,0.399,8.419
2033,Annual,East of England,0.320,10.271
2034,Annual,East of England,0.299,5.279
2035,Annual,East of England,0.351,6.023
2036,Annual,East of England,0.342,9.287
2037,Annual,East of England,0.454,11.070
2038,Annual,East of England,0.374,9.062
2039,Annual,East of England,0.359,8.271
2040,Annual,East of England,0.355,6.721
2041,Annual,East of England,0.360,10.473
2042,Annual,East of England,0.375,7.690
2043,Annual,East of England,0.296,6.628
2044,Annual,East of England,0.417,8.287
2045,Annual,East of England,0.365,6.760
2046,Annual,East of England,0.383,8.496
2047,Annual,East of England,0.310,6.279
2048,Annual,East of England,0.306,5.558
2049,Annual,East of England,0.329,7.930
2050,Annual,East of England,0.314,7.969
2051,Annual,East of England,0.367,6.581
2052,Annual,East of England,0.362,8.822
2053,Annual,East of England,0.349,6.682
2054,Annual,East of England,0.333,6.589
2055,Annual,East of England,0.294,6.264
2056,Annual,East of England,0.347,7.202
2057,Annual,East of England,0.317,8.504
2058,Annual,East of England,0.270,6.891
2059,Annual,East of England,0.281,6.349
2060,Annual,East of England,0.342,8.364
2061,Annual,East of England,0.309,7.380
2062,Annual,East of England,0.339,8.837
2063,Annual,East of England,0.316,5.705
2064,Annual,East of England,0.335,7.946
2065,Annual,East of England,0.386,9.411
2066,Annual,East of England,0.290,5.899
2067,Annual,East of England,0.303,5.783
2068,Annual,East of England,0.343,7.550
2069,Annual,East of England,0.338,9.721
2070,Annual,East of England,0.308,6.721
2071,Annual,East of England,0.334,7.202
2072,Annual,East of England,0.283,5.713
2073,Annual,East of England,0.355,7.829
2074,Annual,East of England,0.347,7.240
2075,Annual,East of England,0.342,10.248
