Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.446,7.067
1982,Annual,East Midlands,0.379,9.125
1983,Annual,East Midlands,0.436,9.481
1984,Annual,East Midlands,0.385,7.875
1985,Annual,East Midlands,0.410,8.567
1986,Annual,East Midlands,0.311,6.288
1987,Annual,East Midlands,0.411,8.365
1988,Annual,East Midlands,0.333,7.635
1989,Annual,East Midlands,0.383,7.683
1990,Annual,East Midlands,0.436,9.096
1991,Annual,East Midlands,0.385,7.250
1992,Annual,East Midlands,0.420,8.798
1993,Annual,East Midlands,0.370,7.913
1994,Annual,East Midlands,0.475,8.000
1995,Annual,East Midlands,0.453,9.192
1996,Annual,East Midlands,0.438,8.692
1997,Annual,East Midlands,0.399,9.471
1998,Annual,East Midlands,0.420,6.712
1999,Annual,East Midlands,0.397,9.298
2000,Annual,East Midlands,0.396,7.904
2001,Annual,East Midlands,0.360,8.048
2002,Annual,East Midlands,0.454,8.173
2003,Annual,East Midlands,0.475,10.529
2004,Annual,East Midlands,0.373,8.500
2005,Annual,East Midlands,0.373,7.740
2006,Annual,East Midlands,0.452,8.865
2007,Annual,East Midlands,0.428,11.952
2008,Annual,East Midlands,0.334,7.519
2009,Annual,East Midlands,0.453,10.212
2010,Annual,East Midlands,0.441,7.856
2011,Annual,East Midlands,0.364,14.308
2012,Annual,East Midlands,0.451,8.606
2013,Annual,East Midlands,0.418,8.115
2014,Annual,East Midlands,0.485,10.423
2015,Annual,East Midlands,0.422,9.721
2016,Annual,East Midlands,0.414,11.663
2017,Annual,East Midlands,0.380,8.000
2018,Annual,East Midlands,0.414,8.712
2019,Annual,East Midlands,0.432,9.077
2020,Annual,East Midlands,0.397,10.760
2021,Annual,East Midlands,0.360,8.971
2022,Annual,East Midlands,0.427,9.269
2023,Annual,East Midlands,0.371,9.154
2024,Annual,East Midlands,0.429,8.837
2025,Annual,East Midlands,0.421,7.481
2026,Annual,East Midlands,0.387,10.837
2027,Annual,East Midlands,0.355,8.163
2028,Annual,East Midlands,0.347,7.933
2029,Annual,East Midlands,0.374,8.250
2030,Annual,East Midlands,0.363,9.298
2031,Annual,East Midlands,0.403,7.952
2032,Annual,East Midlands,0.441,8.529
2033,Annual,East Midlands,0.401,10.663
2034,Annual,East Midlands,0.341,7.192
2035,Annual,East Midlands,0.410,8.260
2036,Annual,East Midlands,0.383,10.683
2037,Annual,East Midlands,0.434,10.260
2038,Annual,East Midlands,0.415,10.856
2039,Annual,East Midlands,0.419,8.692
2040,Annual,East Midlands,0.408,8.298
2041,Annual,East Midlands,0.459,9.337
2042,Annual,East Midlands,0.433,8.635
2043,Annual,East Midlands,0.371,6.702
2044,Annual,East Midlands,0.467,8.779
2045,Annual,East Midlands,0.408,9.990
2046,Annual,East Midlands,0.439,9.644
2047,Annual,East Midlands,0.360,6.933
2048,Annual,East Midlands,0.375,8.740
2049,Annual,East Midlands,0.341,6.846
2050,Annual,East Midlands,0.340,7.346
2051,Annual,East Midlands,0.404,8.654
2052,Annual,East Midlands,0.429,9.635
2053,Annual,East Midlands,0.363,7.654
2054,Annual,East Midlands,0.373,9.048
2055,Annual,East Midlands,0.340,7.971
2056,Annual,East Midlands,0.434,8.231
2057,Annual,East Midlands,0.327,10.712
2058,Annual,East Midlands,0.353,9.587
2059,Annual,East Midlands,0.317,8.558
2060,Annual,East Midlands,0.395,8.971
2061,Annual,East Midlands,0.363,7.221
2062,Annual,East Midlands,0.406,9.644
2063,Annual,East Midlands,0.359,8.394
2064,Annual,East Midlands,0.399,9.865
2065,Annual,East Midlands,0.444,9.250
2066,Annual,East Midlands,0.356,7.798
2067,Annual,East Midlands,0.397,9.712
2068,Annual,East Midlands,0.393,11.250
2069,Annual,East Midlands,0.392,8.721
2070,Annual,East Midlands,0.413,11.298
2071,Annual,East Midlands,0.339,7.837
2072,Annual,East Midlands,0.341,6.135
2073,Annual,East Midlands,0.432,8.702
2074,Annual,East Midlands,0.397,9.260
2075,Annual,East Midlands,0.367,7.875
2076,Annual,East Midlands,0.375,6.933
2077,Annual,East Midlands,0.401,10.250
2078,Annual,East Midlands,0.385,8.413
1981,Annual,East of England,0.413,7.822
1982,Annual,East of England,0.352,10.481
1983,Annual,East of England,0.413,9.426
1984,Annual,East of England,0.380,8.008
1985,Annual,East of England,0.402,8.442
1986,Annual,East of England,0.299,7.124
1987,Annual,East of England,0.384,10.178
1988,Annual,East of England,0.317,8.070
1989,Annual,East of England,0.357,7.070
1990,Annual,East of England,0.410,8.295
1991,Annual,East of England,0.353,7.147
1992,Annual,East of England,0.386,9.612
1993,Annual,East of England,0.326,7.147
1994,Annual,East of England,0.459,7.419
1995,Annual,East of England,0.436,8.992
1996,Annual,East of England,0.415,7.690
1997,Annual,East of England,0.331,9.628
1998,Annual,East of England,0.388,8.233
1999,Annual,East of England,0.351,8.248
2000,Annual,East of England,0.387,8.209
2001,Annual,East of England,0.338,7.969
2002,Annual,East of England,0.439,7.605
2003,Annual,East of England,0.439,9.884
2004,Annual,East of England,0.324,7.256
2005,Annual,East of England,0.345,7.202
2006,Annual,East of England,0.434,8.031
2007,Annual,East of England,0.408,8.698
2008,Annual,East of England,0.317,7.767
2009,Annual,East of England,0.427,10.977
2010,Annual,East of England,0.424,7.357
2011,Annual,East of England,0.339,11.457
2012,Annual,East of England,0.449,9.318
2013,Annual,East of England,0.394,7.225
2014,Annual,East of England,0.472,10.814
2015,Annual,East of England,0.401,9.225
2016,Annual,East of England,0.390,10.752
2017,Annual,East of England,0.353,7.512
2018,Annual,East of England,0.367,7.140
2019,Annual,East of England,0.430,11.659
2020,Annual,East of England,0.378,10.589
