Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.528,11.865
1982,Annual,East Midlands,0.415,9.058
1983,Annual,East Midlands,0.464,10.808
1984,Annual,East Midlands,0.439,9.904
1985,Annual,East Midlands,0.445,9.817
1986,Annual,East Midlands,0.367,8.106
1987,Annual,East Midlands,0.453,11.904
1988,Annual,East Midlands,0.443,12.904
1989,Annual,East Midlands,0.455,8.106
1990,Annual,East Midlands,0.495,11.067
1991,Annual,East Midlands,0.460,9.731
1992,Annual,East Midlands,0.470,9.683
1993,Annual,East Midlands,0.414,8.740
1994,Annual,East Midlands,0.524,9.250
1995,Annual,East Midlands,0.470,8.923
1996,Annual,East Midlands,0.482,10.365
1997,Annual,East Midlands,0.428,11.173
1998,Annual,East Midlands,0.475,11.115
1999,Annual,East Midlands,0.403,10.981
2000,Annual,East Midlands,0.466,10.913
2001,Annual,East Midlands,0.405,8.413
2002,Annual,East Midlands,0.503,10.404
2003,Annual,East Midlands,0.518,13.337
2004,Annual,East Midlands,0.426,8.663
2005,Annual,East Midlands,0.391,9.365
2006,Annual,East Midlands,0.512,11.212
2007,Annual,East Midlands,0.498,15.058
2008,Annual,East Midlands,0.386,9.356
2009,Annual,East Midlands,0.547,14.442
2010,Annual,East Midlands,0.466,9.423
2011,Annual,East Midlands,0.416,9.000
2012,Annual,East Midlands,0.462,9.731
2013,Annual,East Midlands,0.473,10.019
2014,Annual,East Midlands,0.568,13.192
2015,Annual,East Midlands,0.477,12.846
2016,Annual,East Midlands,0.485,10.885
2017,Annual,East Midlands,0.435,9.702
2018,Annual,East Midlands,0.437,9.356
2019,Annual,East Midlands,0.483,12.308
2020,Annual,East Midlands,0.442,12.500
2021,Annual,East Midlands,0.416,7.394
2022,Annual,East Midlands,0.442,9.260
2023,Annual,East Midlands,0.423,9.962
2024,Annual,East Midlands,0.510,10.673
2025,Annual,East Midlands,0.483,11.635
2026,Annual,East Midlands,0.459,9.712
2027,Annual,East Midlands,0.481,12.731
