Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.343,6.398
1982,Annual,East Midlands,0.343,6.942
1983,Annual,East Midlands,0.344,7.437
1984,Annual,East Midlands,0.328,6.854
1985,Annual,East Midlands,0.348,8.709
1986,Annual,East Midlands,0.276,4.913
1987,Annual,East Midlands,0.301,6.262
1988,Annual,East Midlands,0.384,8.058
1989,Annual,East Midlands,0.299,7.029
1990,Annual,East Midlands,0.304,7.262
1991,Annual,East Midlands,0.305,6.903
1992,Annual,East Midlands,0.329,6.388
1993,Annual,East Midlands,0.338,5.932
1994,Annual,East Midlands,0.377,6.330
1995,Annual,East Midlands,0.372,10.456
1996,Annual,East Midlands,0.374,8.369
1997,Annual,East Midlands,0.275,5.466
1998,Annual,East Midlands,0.413,9.466
1999,Annual,East Midlands,0.379,9.748
2000,Annual,East Midlands,0.421,7.913
2001,Annual,East Midlands,0.364,8.816
2002,Annual,East Midlands,0.339,6.748
2003,Annual,East Midlands,0.371,8.175
2004,Annual,East Midlands,0.364,7.573
2005,Annual,East Midlands,0.222,5.524
2006,Annual,East Midlands,0.332,6.524
2007,Annual,East Midlands,0.374,7.243
2008,Annual,East Midlands,0.322,6.524
2009,Annual,East Midlands,0.361,8.291
2010,Annual,East Midlands,0.360,8.388
2011,Annual,East Midlands,0.326,7.019
2012,Annual,East Midlands,0.398,7.709
2013,Annual,East Midlands,0.393,8.214
2014,Annual,East Midlands,0.383,7.728
2015,Annual,East Midlands,0.323,7.845
2016,Annual,East Midlands,0.385,6.505
2017,Annual,East Midlands,0.333,6.709
2018,Annual,East Midlands,0.361,8.359
2019,Annual,East Midlands,0.297,5.466
2020,Annual,East Midlands,0.329,8.194
2021,Annual,East Midlands,0.291,5.845
2022,Annual,East Midlands,0.357,6.806
2023,Annual,East Midlands,0.307,7.641
2024,Annual,East Midlands,0.349,6.650
2025,Annual,East Midlands,0.338,6.495
2026,Annual,East Midlands,0.357,7.097
2027,Annual,East Midlands,0.367,8.524
2028,Annual,East Midlands,0.266,6.184
2029,Annual,East Midlands,0.244,5.252
2030,Annual,East Midlands,0.355,6.767
2031,Annual,East Midlands,0.290,6.359
2032,Annual,East Midlands,0.346,7.951
2033,Annual,East Midlands,0.339,6.680
2034,Annual,East Midlands,0.336,10.864
2035,Annual,East Midlands,0.357,7.728
2036,Annual,East Midlands,0.260,5.680
2037,Annual,East Midlands,0.386,9.029
2038,Annual,East Midlands,0.398,12.427
2039,Annual,East Midlands,0.302,6.670
2040,Annual,East Midlands,0.281,5.757
2041,Annual,East Midlands,0.387,6.893
2042,Annual,East Midlands,0.330,7.932
2043,Annual,East Midlands,0.363,6.893
2044,Annual,East Midlands,0.359,8.204
2045,Annual,East Midlands,0.365,7.961
2046,Annual,East Midlands,0.348,7.427
2047,Annual,East Midlands,0.321,8.301
2048,Annual,East Midlands,0.278,5.437
2049,Annual,East Midlands,0.294,6.417
2050,Annual,East Midlands,0.305,6.301
2051,Annual,East Midlands,0.269,6.738
2052,Annual,East Midlands,0.364,7.204
2053,Annual,East Midlands,0.380,6.932
2054,Annual,East Midlands,0.255,6.019
2055,Annual,East Midlands,0.326,6.680
2056,Annual,East Midlands,0.323,6.806
2057,Annual,East Midlands,0.271,7.709
2058,Annual,East Midlands,0.317,6.233
2059,Annual,East Midlands,0.288,7.184
2060,Annual,East Midlands,0.270,6.447
2061,Annual,East Midlands,0.317,7.786
2062,Annual,East Midlands,0.261,7.194
2063,Annual,East Midlands,0.358,7.291
2064,Annual,East Midlands,0.344,8.019
2065,Annual,East Midlands,0.353,8.184
2066,Annual,East Midlands,0.288,6.010
2067,Annual,East Midlands,0.318,7.097
2068,Annual,East Midlands,0.326,6.650
2069,Annual,East Midlands,0.391,8.019
2070,Annual,East Midlands,0.242,5.427
2071,Annual,East Midlands,0.322,7.777
2072,Annual,East Midlands,0.276,5.544
2073,Annual,East Midlands,0.285,6.000
2074,Annual,East Midlands,0.359,7.456
2075,Annual,East Midlands,0.282,6.495
2076,Annual,East Midlands,0.310,5.631
2077,Annual,East Midlands,0.289,7.233
2078,Annual,East Midlands,0.364,8.485
1981,Annual,East of England,0.330,6.048
1982,Annual,East of England,0.340,7.357
1983,Annual,East of England,0.353,7.587
1984,Annual,East of England,0.328,6.151
1985,Annual,East of England,0.349,7.365
1986,Annual,East of England,0.282,5.032
1987,Annual,East of England,0.318,6.817
1988,Annual,East of England,0.374,8.119
1989,Annual,East of England,0.291,6.270
1990,Annual,East of England,0.286,5.730
1991,Annual,East of England,0.311,6.857
1992,Annual,East of England,0.334,6.151
1993,Annual,East of England,0.333,6.357
1994,Annual,East of England,0.383,6.579
1995,Annual,East of England,0.353,10.690
1996,Annual,East of England,0.357,7.381
1997,Annual,East of England,0.262,6.524
1998,Annual,East of England,0.382,8.675
1999,Annual,East of England,0.387,11.619
2000,Annual,East of England,0.395,7.841
2001,Annual,East of England,0.368,8.611
2002,Annual,East of England,0.364,7.508
2003,Annual,East of England,0.366,8.587
2004,Annual,East of England,0.393,8.595
2005,Annual,East of England,0.218,4.611
2006,Annual,East of England,0.326,6.603
2007,Annual,East of England,0.380,7.373
2008,Annual,East of England,0.327,7.389
2009,Annual,East of England,0.355,9.556
2010,Annual,East of England,0.352,7.944
2011,Annual,East of England,0.307,5.841
2012,Annual,East of England,0.415,8.524
2013,Annual,East of England,0.354,6.651
2014,Annual,East of England,0.399,7.762
2015,Annual,East of England,0.296,7.262
2016,Annual,East of England,0.376,7.246
2017,Annual,East of England,0.308,6.373
2018,Annual,East of England,0.340,7.143
2019,Annual,East of England,0.295,5.325
2020,Annual,East of England,0.337,8.365
2021,Annual,East of England,0.305,6.071
2022,Annual,East of England,0.362,8.167
2023,Annual,East of England,0.290,6.278
2024,Annual,East of England,0.330,6.881
2025,Annual,East of England,0.348,7.738
2026,Annual,East of England,0.362,7.421
2027,Annual,East of England,0.377,9.222
2028,Annual,East of England,0.262,5.048
2029,Annual,East of England,0.244,5.444
2030,Annual,East of England,0.359,8.857
2031,Annual,East of England,0.304,6.294
2032,Annual,East of England,0.352,7.190
2033,Annual,East of England,0.335,7.579
2034,Annual,East of England,0.330,9.722
2035,Annual,East of England,0.352,8.452
2036,Annual,East of England,0.279,7.262
2037,Annual,East of England,0.383,9.714
2038,Annual,East of England,0.398,13.563
2039,Annual,East of England,0.312,6.937
2040,Annual,East of England,0.270,5.698
2041,Annual,East of England,0.389,7.770
2042,Annual,East of England,0.308,6.754
2043,Annual,East of England,0.341,6.484
2044,Annual,East of England,0.362,10.103
2045,Annual,East of England,0.377,7.357
2046,Annual,East of England,0.353,6.762
2047,Annual,East of England,0.292,7.992
2048,Annual,East of England,0.282,6.262
2049,Annual,East of England,0.291,6.349
2050,Annual,East of England,0.291,6.254
2051,Annual,East of England,0.264,5.968
2052,Annual,East of England,0.362,8.690
2053,Annual,East of England,0.383,8.040
2054,Annual,East of England,0.249,5.516
2055,Annual,East of England,0.340,6.103
2056,Annual,East of England,0.320,7.476
2057,Annual,East of England,0.275,5.500
