Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.364,7.131
1982,Annual,East Midlands,0.328,7.717
1983,Annual,East Midlands,0.349,7.980
1984,Annual,East Midlands,0.328,7.495
1985,Annual,East Midlands,0.332,7.152
1986,Annual,East Midlands,0.273,7.333
1987,Annual,East Midlands,0.389,8.818
1988,Annual,East Midlands,0.357,9.051
1989,Annual,East Midlands,0.324,8.081
1990,Annual,East Midlands,0.395,11.646
1991,Annual,East Midlands,0.391,8.424
1992,Annual,East Midlands,0.359,9.192
1993,Annual,East Midlands,0.341,8.313
1994,Annual,East Midlands,0.437,9.828
1995,Annual,East Midlands,0.403,13.152
1996,Annual,East Midlands,0.338,7.596
1997,Annual,East Midlands,0.343,10.929
1998,Annual,East Midlands,0.449,10.859
1999,Annual,East Midlands,0.345,7.212
2000,Annual,East Midlands,0.400,12.899
2001,Annual,East Midlands,0.353,10.030
2002,Annual,East Midlands,0.380,9.000
2003,Annual,East Midlands,0.449,13.778
2004,Annual,East Midlands,0.355,8.091
2005,Annual,East Midlands,0.342,7.535
2006,Annual,East Midlands,0.407,12.293
2007,Annual,East Midlands,0.395,10.939
2008,Annual,East Midlands,0.361,9.202
2009,Annual,East Midlands,0.382,8.576
2010,Annual,East Midlands,0.410,11.071
2011,Annual,East Midlands,0.340,7.970
2012,Annual,East Midlands,0.404,9.798
2013,Annual,East Midlands,0.378,7.475
2014,Annual,East Midlands,0.424,11.737
2015,Annual,East Midlands,0.403,14.323
2016,Annual,East Midlands,0.365,9.697
2017,Annual,East Midlands,0.367,9.657
2018,Annual,East Midlands,0.386,9.141
2019,Annual,East Midlands,0.344,6.111
2020,Annual,East Midlands,0.364,9.889
2021,Annual,East Midlands,0.344,9.212
2022,Annual,East Midlands,0.367,7.667
2023,Annual,East Midlands,0.344,6.222
2024,Annual,East Midlands,0.412,9.253
2025,Annual,East Midlands,0.394,10.616
2026,Annual,East Midlands,0.344,8.253
2027,Annual,East Midlands,0.353,9.576
2028,Annual,East Midlands,0.337,9.222
2029,Annual,East Midlands,0.318,7.697
2030,Annual,East Midlands,0.355,7.667
2031,Annual,East Midlands,0.364,6.586
2032,Annual,East Midlands,0.413,8.424
2033,Annual,East Midlands,0.355,8.636
2034,Annual,East Midlands,0.298,6.434
2035,Annual,East Midlands,0.348,10.758
2036,Annual,East Midlands,0.393,10.121
2037,Annual,East Midlands,0.409,12.202
2038,Annual,East Midlands,0.372,10.020
2039,Annual,East Midlands,0.379,7.687
2040,Annual,East Midlands,0.371,7.313
2041,Annual,East Midlands,0.343,8.283
2042,Annual,East Midlands,0.337,8.182
2043,Annual,East Midlands,0.305,7.222
2044,Annual,East Midlands,0.425,12.606
2045,Annual,East Midlands,0.346,8.576
2046,Annual,East Midlands,0.359,12.626
2047,Annual,East Midlands,0.335,6.495
2048,Annual,East Midlands,0.318,8.505
2049,Annual,East Midlands,0.349,8.131
2050,Annual,East Midlands,0.309,6.606
2051,Annual,East Midlands,0.373,8.727
2052,Annual,East Midlands,0.385,7.414
2053,Annual,East Midlands,0.312,6.273
2054,Annual,East Midlands,0.336,14.071
2055,Annual,East Midlands,0.322,8.990
2056,Annual,East Midlands,0.351,8.778
2057,Annual,East Midlands,0.318,6.232
2058,Annual,East Midlands,0.309,12.040
2059,Annual,East Midlands,0.329,7.667
2060,Annual,East Midlands,0.398,12.131
2061,Annual,East Midlands,0.318,6.960
2062,Annual,East Midlands,0.331,9.253
2063,Annual,East Midlands,0.369,7.636
2064,Annual,East Midlands,0.394,8.576
2065,Annual,East Midlands,0.402,10.505
2066,Annual,East Midlands,0.279,8.606
2067,Annual,East Midlands,0.351,7.697
2068,Annual,East Midlands,0.384,11.000
2069,Annual,East Midlands,0.381,10.232
2070,Annual,East Midlands,0.331,7.202
2071,Annual,East Midlands,0.314,8.838
2072,Annual,East Midlands,0.289,5.909
2073,Annual,East Midlands,0.377,7.354
2074,Annual,East Midlands,0.383,11.040
2075,Annual,East Midlands,0.353,7.192
2076,Annual,East Midlands,0.395,7.758
2077,Annual,East Midlands,0.369,9.566
2078,Annual,East Midlands,0.308,5.444
1981,Annual,East of England,0.370,7.267
1982,Annual,East of England,0.310,7.583
1983,Annual,East of England,0.331,7.900
1984,Annual,East of England,0.304,6.917
1985,Annual,East of England,0.314,6.858
1986,Annual,East of England,0.290,8.050
1987,Annual,East of England,0.388,8.792
1988,Annual,East of England,0.347,8.433
1989,Annual,East of England,0.335,6.683
1990,Annual,East of England,0.386,10.817
1991,Annual,East of England,0.387,7.733
1992,Annual,East of England,0.343,9.400
1993,Annual,East of England,0.326,7.142
1994,Annual,East of England,0.448,9.608
1995,Annual,East of England,0.388,18.683
1996,Annual,East of England,0.309,7.233
1997,Annual,East of England,0.327,10.350
1998,Annual,East of England,0.427,8.950
1999,Annual,East of England,0.324,6.633
2000,Annual,East of England,0.384,15.317
2001,Annual,East of England,0.318,7.342
2002,Annual,East of England,0.383,7.592
2003,Annual,East of England,0.466,13.525
2004,Annual,East of England,0.338,7.125
2005,Annual,East of England,0.342,8.942
2006,Annual,East of England,0.400,9.275
2007,Annual,East of England,0.405,15.167
2008,Annual,East of England,0.362,9.900
2009,Annual,East of England,0.406,10.133
2010,Annual,East of England,0.389,9.700
2011,Annual,East of England,0.324,7.958
2012,Annual,East of England,0.402,10.008
2013,Annual,East of England,0.366,6.858
2014,Annual,East of England,0.406,10.700
2015,Annual,East of England,0.401,12.625
2016,Annual,East of England,0.342,7.717
2017,Annual,East of England,0.354,9.900
2018,Annual,East of England,0.359,8.550
2019,Annual,East of England,0.340,6.125
2020,Annual,East of England,0.364,7.900
2021,Annual,East of England,0.344,8.425
2022,Annual,East of England,0.344,8.067
2023,Annual,East of England,0.323,6.358
2024,Annual,East of England,0.380,7.642
2025,Annual,East of England,0.401,11.958
2026,Annual,East of England,0.327,10.158
2027,Annual,East of England,0.346,9.883
2028,Annual,East of England,0.327,8.225
2029,Annual,East of England,0.306,8.325
2030,Annual,East of England,0.351,5.808
2031,Annual,East of England,0.363,6.783
2032,Annual,East of England,0.402,8.475
2033,Annual,East of England,0.340,7.108
2034,Annual,East of England,0.295,7.092
2035,Annual,East of England,0.341,10.400
2036,Annual,East of England,0.372,10.358
2037,Annual,East of England,0.422,11.200
2038,Annual,East of England,0.372,9.400
2039,Annual,East of England,0.370,9.150
2040,Annual,East of England,0.356,6.392
2041,Annual,East of England,0.316,7.558
2042,Annual,East of England,0.329,8.175
2043,Annual,East of England,0.316,7.425
2044,Annual,East of England,0.416,15.425
2045,Annual,East of England,0.342,8.142
2046,Annual,East of England,0.352,12.633
2047,Annual,East of England,0.325,6.175
2048,Annual,East of England,0.317,7.650
2049,Annual,East of England,0.357,9.808
2050,Annual,East of England,0.307,6.708
2051,Annual,East of England,0.369,10.408
2052,Annual,East of England,0.371,7.292
2053,Annual,East of England,0.302,6.642
2054,Annual,East of England,0.312,10.750
2055,Annual,East of England,0.344,9.850
2056,Annual,East of England,0.346,8.617
2057,Annual,East of England,0.327,6.417
2058,Annual,East of England,0.296,7.375
2059,Annual,East of England,0.327,7.925
2060,Annual,East of England,0.364,9.750
2061,Annual,East of England,0.322,6.600
2062,Annual,East of England,0.342,9.325
2063,Annual,East of England,0.353,7.367
2064,Annual,East of England,0.369,7.425
2065,Annual,East of England,0.405,10.825
2066,Annual,East of England,0.269,7.700
2067,Annual,East of England,0.344,6.783
2068,Annual,East of England,0.375,9.183
2069,Annual,East of England,0.364,10.683
2070,Annual,East of England,0.315,6.242
2071,Annual,East of England,0.317,7.867
2072,Annual,East of England,0.268,5.450
2073,Annual,East of England,0.369,6.500
2074,Annual,East of England,0.371,10.292
2075,Annual,East of England,0.358,7.142
2076,Annual,East of England,0.377,7.850
2077,Annual,East of England,0.363,11.675
2078,Annual,East of England,0.309,5.783
1981,Annual,East Scotland,0.496,12.583
1982,Annual,East Scotland,0.406,8.878
1983,Annual,East Scotland,0.466,12.186
1984,Annual,East Scotland,0.441,11.821
1985,Annual,East Scotland,0.453,10.423
1986,Annual,East Scotland,0.362,8.506
1987,Annual,East Scotland,0.436,9.103
1988,Annual,East Scotland,0.457,11.974
1989,Annual,East Scotland,0.456,12.551
1990,Annual,East Scotland,0.467,11.885
1991,Annual,East Scotland,0.435,13.962
1992,Annual,East Scotland,0.482,11.936
1993,Annual,East Scotland,0.445,10.814
1994,Annual,East Scotland,0.501,15.160
1995,Annual,East Scotland,0.490,14.417
1996,Annual,East Scotland,0.429,10.571
1997,Annual,East Scotland,0.473,15.269
1998,Annual,East Scotland,0.511,17.212
1999,Annual,East Scotland,0.441,11.442
2000,Annual,East Scotland,0.476,13.058
2001,Annual,East Scotland,0.487,11.987
2002,Annual,East Scotland,0.468,13.872
2003,Annual,East Scotland,0.495,11.955
2004,Annual,East Scotland,0.445,10.891
2005,Annual,East Scotland,0.463,13.051
2006,Annual,East Scotland,0.420,13.122
2007,Annual,East Scotland,0.452,12.397
2008,Annual,East Scotland,0.485,12.314
2009,Annual,East Scotland,0.446,12.410
2010,Annual,East Scotland,0.474,12.506
2011,Annual,East Scotland,0.431,10.346
2012,Annual,East Scotland,0.497,12.615
2013,Annual,East Scotland,0.517,11.769
2014,Annual,East Scotland,0.484,11.737
2015,Annual,East Scotland,0.491,15.115
2016,Annual,East Scotland,0.454,10.019
2017,Annual,East Scotland,0.512,13.224
2018,Annual,East Scotland,0.504,14.083
2019,Annual,East Scotland,0.447,9.558
2020,Annual,East Scotland,0.446,14.538
2021,Annual,East Scotland,0.435,10.724
2022,Annual,East Scotland,0.461,11.032
2023,Annual,East Scotland,0.448,9.551
2024,Annual,East Scotland,0.483,11.135
2025,Annual,East Scotland,0.484,13.212
2026,Annual,East Scotland,0.445,9.295
2027,Annual,East Scotland,0.491,15.321
2028,Annual,East Scotland,0.427,12.481
2029,Annual,East Scotland,0.420,10.814
2030,Annual,East Scotland,0.481,13.006
2031,Annual,East Scotland,0.447,12.288
2032,Annual,East Scotland,0.521,12.449
2033,Annual,East Scotland,0.460,12.641
2034,Annual,East Scotland,0.415,10.865
2035,Annual,East Scotland,0.487,15.160
2036,Annual,East Scotland,0.449,14.224
2037,Annual,East Scotland,0.487,16.372
2038,Annual,East Scotland,0.485,12.705
2039,Annual,East Scotland,0.477,12.737
2040,Annual,East Scotland,0.449,9.429
2041,Annual,East Scotland,0.416,12.635
2042,Annual,East Scotland,0.430,11.750
2043,Annual,East Scotland,0.441,12.256
2044,Annual,East Scotland,0.502,13.353
2045,Annual,East Scotland,0.462,11.526
2046,Annual,East Scotland,0.465,13.782
2047,Annual,East Scotland,0.428,11.846
2048,Annual,East Scotland,0.433,10.205
2049,Annual,East Scotland,0.445,11.327
2050,Annual,East Scotland,0.468,10.244
2051,Annual,East Scotland,0.449,12.378
2052,Annual,East Scotland,0.459,10.603
2053,Annual,East Scotland,0.446,8.660
2054,Annual,East Scotland,0.396,10.256
2055,Annual,East Scotland,0.413,9.423
2056,Annual,East Scotland,0.430,10.295
2057,Annual,East Scotland,0.452,11.064
2058,Annual,East Scotland,0.420,10.571
2059,Annual,East Scotland,0.421,10.699
2060,Annual,East Scotland,0.477,13.571
2061,Annual,East Scotland,0.413,8.795
2062,Annual,East Scotland,0.424,10.917
2063,Annual,East Scotland,0.487,11.955
2064,Annual,East Scotland,0.459,10.750
2065,Annual,East Scotland,0.469,10.058
2066,Annual,East Scotland,0.410,10.167
2067,Annual,East Scotland,0.430,9.045
2068,Annual,East Scotland,0.447,12.654
2069,Annual,East Scotland,0.503,12.340
2070,Annual,East Scotland,0.436,10.532
2071,Annual,East Scotland,0.383,9.032
2072,Annual,East Scotland,0.461,10.686
2073,Annual,East Scotland,0.485,11.481
2074,Annual,East Scotland,0.479,11.045
2075,Annual,East Scotland,0.407,9.147
2076,Annual,East Scotland,0.466,10.353
2077,Annual,East Scotland,0.511,14.673
2078,Annual,East Scotland,0.417,8.923
1981,Annual,London,0.353,6.800
1982,Annual,London,0.321,8.000
1983,Annual,London,0.330,8.300
1984,Annual,London,0.339,8.200
1985,Annual,London,0.330,8.600
1986,Annual,London,0.285,8.200
1987,Annual,London,0.393,7.500
1988,Annual,London,0.363,9.000
1989,Annual,London,0.346,6.400
1990,Annual,London,0.408,13.400
1991,Annual,London,0.394,6.900
1992,Annual,London,0.362,11.800
1993,Annual,London,0.351,7.400
1994,Annual,London,0.467,9.800
1995,Annual,London,0.425,14.900
1996,Annual,London,0.342,8.600
1997,Annual,London,0.348,10.700
1998,Annual,London,0.433,10.400
1999,Annual,London,0.320,7.700
2000,Annual,London,0.406,13.500
2001,Annual,London,0.325,7.700
2002,Annual,London,0.389,7.800
2003,Annual,London,0.458,11.000
2004,Annual,London,0.363,10.000
2005,Annual,London,0.343,8.700
2006,Annual,London,0.405,9.300
2007,Annual,London,0.395,11.700
2008,Annual,London,0.370,13.500
2009,Annual,London,0.432,11.700
2010,Annual,London,0.419,9.100
2011,Annual,London,0.315,8.800
2012,Annual,London,0.398,8.600
2013,Annual,London,0.358,7.100
2014,Annual,London,0.445,12.200
2015,Annual,London,0.405,19.100
2016,Annual,London,0.348,8.300
2017,Annual,London,0.371,11.300
2018,Annual,London,0.375,12.600
2019,Annual,London,0.365,6.500
2020,Annual,London,0.367,8.900
2021,Annual,London,0.353,9.400
2022,Annual,London,0.379,9.100
2023,Annual,London,0.322,7.800
2024,Annual,London,0.389,6.700
2025,Annual,London,0.416,13.000
2026,Annual,London,0.325,7.500
2027,Annual,London,0.355,7.600
2028,Annual,London,0.348,8.200
2029,Annual,London,0.314,8.100
2030,Annual,London,0.376,7.500
2031,Annual,London,0.381,7.900
2032,Annual,London,0.383,9.200
2033,Annual,London,0.361,8.700
2034,Annual,London,0.306,7.400
2035,Annual,London,0.338,8.300
2036,Annual,London,0.371,11.000
2037,Annual,London,0.425,9.500
2038,Annual,London,0.369,10.400
2039,Annual,London,0.386,8.300
2040,Annual,London,0.365,7.500
2041,Annual,London,0.346,9.000
2042,Annual,London,0.349,7.600
2043,Annual,London,0.336,8.500
2044,Annual,London,0.409,14.500
2045,Annual,London,0.339,10.300
2046,Annual,London,0.364,11.800
2047,Annual,London,0.341,5.500
2048,Annual,London,0.336,7.200
2049,Annual,London,0.348,9.900
2050,Annual,London,0.319,6.400
2051,Annual,London,0.380,9.400
2052,Annual,London,0.379,7.600
2053,Annual,London,0.287,5.100
2054,Annual,London,0.329,11.000
2055,Annual,London,0.335,8.400
2056,Annual,London,0.363,7.600
2057,Annual,London,0.310,7.100
2058,Annual,London,0.325,8.100
2059,Annual,London,0.342,7.700
2060,Annual,London,0.349,10.900
2061,Annual,London,0.344,7.200
2062,Annual,London,0.355,9.700
2063,Annual,London,0.361,7.400
2064,Annual,London,0.365,6.900
2065,Annual,London,0.418,10.800
2066,Annual,London,0.278,7.600
2067,Annual,London,0.335,6.300
2068,Annual,London,0.360,12.000
2069,Annual,London,0.369,12.100
2070,Annual,London,0.323,5.500
2071,Annual,London,0.343,6.700
2072,Annual,London,0.252,6.200
2073,Annual,London,0.376,8.000
2074,Annual,London,0.385,9.800
2075,Annual,London,0.332,6.400
2076,Annual,London,0.376,9.400
2077,Annual,London,0.392,11.000
2078,Annual,London,0.349,10.200
1981,Annual,North East England,0.406,8.907
1982,Annual,North East England,0.356,7.648
1983,Annual,North East England,0.374,8.037
1984,Annual,North East England,0.360,8.759
1985,Annual,North East England,0.413,7.481
1986,Annual,North East England,0.331,7.889
1987,Annual,North East England,0.427,9.259
1988,Annual,North East England,0.402,9.648
1989,Annual,North East England,0.417,10.759
1990,Annual,North East England,0.429,10.685
1991,Annual,North East England,0.396,8.407
1992,Annual,North East England,0.422,9.111
1993,Annual,North East England,0.393,9.759
1994,Annual,North East England,0.467,11.667
1995,Annual,North East England,0.465,12.981
1996,Annual,North East England,0.390,8.056
1997,Annual,North East England,0.401,12.315
1998,Annual,North East England,0.477,11.815
1999,Annual,North East England,0.397,7.833
2000,Annual,North East England,0.450,13.019
2001,Annual,North East England,0.423,9.074
2002,Annual,North East England,0.433,9.222
2003,Annual,North East England,0.465,13.185
2004,Annual,North East England,0.413,9.222
2005,Annual,North East England,0.417,10.426
2006,Annual,North East England,0.403,13.407
2007,Annual,North East England,0.402,11.222
2008,Annual,North East England,0.429,10.759
2009,Annual,North East England,0.400,9.870
2010,Annual,North East England,0.442,10.944
2011,Annual,North East England,0.391,8.648
2012,Annual,North East England,0.465,11.407
2013,Annual,North East England,0.428,8.444
2014,Annual,North East England,0.445,11.370
2015,Annual,North East England,0.472,17.926
2016,Annual,North East England,0.417,10.556
2017,Annual,North East England,0.446,10.944
2018,Annual,North East England,0.443,12.093
2019,Annual,North East England,0.374,8.093
2020,Annual,North East England,0.381,11.574
2021,Annual,North East England,0.390,10.315
2022,Annual,North East England,0.427,9.611
2023,Annual,North East England,0.364,6.796
2024,Annual,North East England,0.454,10.741
2025,Annual,North East England,0.440,9.833
2026,Annual,North East England,0.407,9.722
2027,Annual,North East England,0.432,17.537
2028,Annual,North East England,0.385,9.704
2029,Annual,North East England,0.367,7.852
2030,Annual,North East England,0.432,8.148
2031,Annual,North East England,0.420,9.593
2032,Annual,North East England,0.471,12.556
2033,Annual,North East England,0.405,11.481
2034,Annual,North East England,0.359,8.148
2035,Annual,North East England,0.425,11.759
2036,Annual,North East England,0.438,12.185
2037,Annual,North East England,0.429,16.185
2038,Annual,North East England,0.416,8.944
2039,Annual,North East England,0.441,13.389
2040,Annual,North East England,0.411,7.759
2041,Annual,North East England,0.349,11.500
2042,Annual,North East England,0.400,8.741
2043,Annual,North East England,0.384,8.037
2044,Annual,North East England,0.453,11.185
2045,Annual,North East England,0.414,9.667
2046,Annual,North East England,0.430,11.907
2047,Annual,North East England,0.385,9.426
2048,Annual,North East England,0.382,8.648
2049,Annual,North East England,0.403,11.259
2050,Annual,North East England,0.390,7.815
2051,Annual,North East England,0.408,10.685
