Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.393,13.702
1982,Annual,East Midlands,0.420,10.192
1983,Annual,East Midlands,0.430,8.875
1984,Annual,East Midlands,0.378,7.913
1985,Annual,East Midlands,0.365,7.048
1986,Annual,East Midlands,0.397,12.490
1987,Annual,East Midlands,0.372,8.125
1988,Annual,East Midlands,0.433,9.327
1989,Annual,East Midlands,0.400,9.442
1990,Annual,East Midlands,0.419,12.519
1991,Annual,East Midlands,0.412,10.519
1992,Annual,East Midlands,0.440,9.712
1993,Annual,East Midlands,0.396,8.288
1994,Annual,East Midlands,0.367,9.577
1995,Annual,East Midlands,0.436,15.529
1996,Annual,East Midlands,0.461,8.317
1997,Annual,East Midlands,0.410,8.875
1998,Annual,East Midlands,0.354,11.904
1999,Annual,East Midlands,0.397,6.913
2000,Annual,East Midlands,0.369,10.490
2001,Annual,East Midlands,0.386,12.000
2002,Annual,East Midlands,0.365,7.615
2003,Annual,East Midlands,0.457,11.712
2004,Annual,East Midlands,0.427,12.269
2005,Annual,East Midlands,0.364,9.663
2006,Annual,East Midlands,0.375,10.077
2007,Annual,East Midlands,0.485,10.587
2008,Annual,East Midlands,0.389,12.096
2009,Annual,East Midlands,0.398,11.067
2010,Annual,East Midlands,0.402,9.154
2011,Annual,East Midlands,0.434,9.529
2012,Annual,East Midlands,0.434,10.221
2013,Annual,East Midlands,0.391,8.615
2014,Annual,East Midlands,0.412,8.885
2015,Annual,East Midlands,0.382,10.837
2016,Annual,East Midlands,0.387,8.173
2017,Annual,East Midlands,0.371,7.538
2018,Annual,East Midlands,0.374,11.038
2019,Annual,East Midlands,0.423,9.962
2020,Annual,East Midlands,0.411,8.019
2021,Annual,East Midlands,0.413,10.202
2022,Annual,East Midlands,0.463,9.567
2023,Annual,East Midlands,0.374,7.712
2024,Annual,East Midlands,0.355,7.308
2025,Annual,East Midlands,0.380,7.663
2026,Annual,East Midlands,0.471,19.760
2027,Annual,East Midlands,0.394,8.942
2028,Annual,East Midlands,0.423,9.894
2029,Annual,East Midlands,0.368,6.606
2030,Annual,East Midlands,0.321,7.308
2031,Annual,East Midlands,0.468,15.625
2032,Annual,East Midlands,0.400,7.279
2033,Annual,East Midlands,0.408,10.635
2034,Annual,East Midlands,0.391,6.635
2035,Annual,East Midlands,0.420,7.837
2036,Annual,East Midlands,0.348,11.288
2037,Annual,East Midlands,0.366,14.308
2038,Annual,East Midlands,0.456,8.654
2039,Annual,East Midlands,0.450,8.683
2040,Annual,East Midlands,0.388,7.346
2041,Annual,East Midlands,0.363,6.952
2042,Annual,East Midlands,0.503,19.567
2043,Annual,East Midlands,0.432,14.125
2044,Annual,East Midlands,0.406,7.279
2045,Annual,East Midlands,0.455,10.077
2046,Annual,East Midlands,0.421,10.192
2047,Annual,East Midlands,0.481,12.625
2048,Annual,East Midlands,0.352,8.154
2049,Annual,East Midlands,0.456,13.654
2050,Annual,East Midlands,0.372,9.288
2051,Annual,East Midlands,0.390,8.490
2052,Annual,East Midlands,0.363,7.577
2053,Annual,East Midlands,0.449,8.904
2054,Annual,East Midlands,0.447,10.356
2055,Annual,East Midlands,0.396,9.423
2056,Annual,East Midlands,0.420,11.913
2057,Annual,East Midlands,0.407,11.067
2058,Annual,East Midlands,0.400,9.673
2059,Annual,East Midlands,0.392,9.760
2060,Annual,East Midlands,0.414,12.558
2061,Annual,East Midlands,0.379,9.231
2062,Annual,East Midlands,0.421,9.144
2063,Annual,East Midlands,0.426,8.279
2064,Annual,East Midlands,0.397,7.183
2065,Annual,East Midlands,0.426,8.875
2066,Annual,East Midlands,0.408,9.337
2067,Annual,East Midlands,0.371,8.577
2068,Annual,East Midlands,0.363,8.404
2069,Annual,East Midlands,0.441,12.260
2070,Annual,East Midlands,0.450,10.067
2071,Annual,East Midlands,0.430,8.663
2072,Annual,East Midlands,0.439,11.404
2073,Annual,East Midlands,0.421,11.058
2074,Annual,East Midlands,0.404,9.125
2075,Annual,East Midlands,0.430,10.904
2076,Annual,East Midlands,0.423,9.106
2077,Annual,East Midlands,0.425,10.519
2078,Annual,East Midlands,0.448,9.337
2079,Annual,East Midlands,0.449,10.817
2080,Annual,East Midlands,0.395,8.990
1981,Annual,East of England,0.373,14.333
1982,Annual,East of England,0.405,8.884
1983,Annual,East of England,0.409,10.171
1984,Annual,East of England,0.371,7.326
1985,Annual,East of England,0.350,7.039
1986,Annual,East of England,0.365,9.667
1987,Annual,East of England,0.344,7.225
1988,Annual,East of England,0.448,10.643
1989,Annual,East of England,0.389,8.775
1990,Annual,East of England,0.406,10.419
1991,Annual,East of England,0.425,10.581
1992,Annual,East of England,0.454,12.085
1993,Annual,East of England,0.390,8.636
1994,Annual,East of England,0.396,8.868
1995,Annual,East of England,0.423,12.535
1996,Annual,East of England,0.439,10.372
1997,Annual,East of England,0.392,8.829
1998,Annual,East of England,0.330,14.543
1999,Annual,East of England,0.375,7.349
2000,Annual,East of England,0.377,10.543
2001,Annual,East of England,0.358,9.202
2002,Annual,East of England,0.374,9.225
2003,Annual,East of England,0.468,14.589
2004,Annual,East of England,0.407,10.705
2005,Annual,East of England,0.333,8.636
2006,Annual,East of England,0.350,9.209
2007,Annual,East of England,0.470,10.310
2008,Annual,East of England,0.386,8.791
2009,Annual,East of England,0.392,9.791
2010,Annual,East of England,0.400,9.705
2011,Annual,East of England,0.410,8.550
2012,Annual,East of England,0.429,10.372
2013,Annual,East of England,0.392,8.163
2014,Annual,East of England,0.404,9.023
2015,Annual,East of England,0.371,8.341
2016,Annual,East of England,0.385,8.791
2017,Annual,East of England,0.370,8.922
2018,Annual,East of England,0.363,9.450
2019,Annual,East of England,0.444,10.109
2020,Annual,East of England,0.410,8.729
2021,Annual,East of England,0.396,10.380
2022,Annual,East of England,0.436,9.403
2023,Annual,East of England,0.349,7.450
2024,Annual,East of England,0.347,6.442
2025,Annual,East of England,0.370,6.961
2026,Annual,East of England,0.497,14.620
2027,Annual,East of England,0.382,10.605
2028,Annual,East of England,0.407,11.411
2029,Annual,East of England,0.368,7.256
2030,Annual,East of England,0.320,6.814
2031,Annual,East of England,0.465,13.674
2032,Annual,East of England,0.392,7.488
2033,Annual,East of England,0.400,9.736
2034,Annual,East of England,0.367,7.744
2035,Annual,East of England,0.399,7.364
2036,Annual,East of England,0.348,10.519
2037,Annual,East of England,0.381,21.450
2038,Annual,East of England,0.443,8.806
2039,Annual,East of England,0.434,10.628
2040,Annual,East of England,0.401,8.527
2041,Annual,East of England,0.336,6.155
2042,Annual,East of England,0.495,20.488
2043,Annual,East of England,0.445,15.256
2044,Annual,East of England,0.386,7.209
2045,Annual,East of England,0.465,9.899
2046,Annual,East of England,0.433,9.372
2047,Annual,East of England,0.475,10.233
2048,Annual,East of England,0.342,9.186
2049,Annual,East of England,0.458,10.822
2050,Annual,East of England,0.381,10.915
2051,Annual,East of England,0.376,7.465
2052,Annual,East of England,0.380,8.620
2053,Annual,East of England,0.458,9.287
2054,Annual,East of England,0.468,10.527
2055,Annual,East of England,0.373,8.388
2056,Annual,East of England,0.393,9.977
2057,Annual,East of England,0.403,10.264
2058,Annual,East of England,0.413,9.116
2059,Annual,East of England,0.385,9.287
2060,Annual,East of England,0.412,13.287
2061,Annual,East of England,0.382,10.419
2062,Annual,East of England,0.400,7.713
2063,Annual,East of England,0.414,7.736
2064,Annual,East of England,0.380,7.380
2065,Annual,East of England,0.420,9.202
2066,Annual,East of England,0.407,8.132
2067,Annual,East of England,0.384,9.597
2068,Annual,East of England,0.363,8.062
2069,Annual,East of England,0.437,14.147
2070,Annual,East of England,0.462,10.628
2071,Annual,East of England,0.410,8.868
2072,Annual,East of England,0.448,12.419
2073,Annual,East of England,0.436,11.853
2074,Annual,East of England,0.411,9.643
2075,Annual,East of England,0.432,9.829
2076,Annual,East of England,0.425,8.930
2077,Annual,East of England,0.436,9.992
2078,Annual,East of England,0.455,10.403
2079,Annual,East of England,0.456,10.946
2080,Annual,East of England,0.384,7.527
1981,Annual,East Scotland,0.478,11.444
1982,Annual,East Scotland,0.410,9.309
1983,Annual,East Scotland,0.475,11.901
1984,Annual,East Scotland,0.439,10.105
1985,Annual,East Scotland,0.418,10.759
1986,Annual,East Scotland,0.481,12.105
1987,Annual,East Scotland,0.426,11.074
1988,Annual,East Scotland,0.465,10.438
1989,Annual,East Scotland,0.372,7.222
1990,Annual,East Scotland,0.473,10.235
1991,Annual,East Scotland,0.457,11.802
1992,Annual,East Scotland,0.448,11.321
1993,Annual,East Scotland,0.464,11.247
1994,Annual,East Scotland,0.419,10.537
1995,Annual,East Scotland,0.496,12.698
1996,Annual,East Scotland,0.450,10.802
1997,Annual,East Scotland,0.470,9.093
1998,Annual,East Scotland,0.407,10.765
1999,Annual,East Scotland,0.481,12.148
2000,Annual,East Scotland,0.417,9.519
2001,Annual,East Scotland,0.437,12.272
2002,Annual,East Scotland,0.411,9.401
2003,Annual,East Scotland,0.490,10.938
2004,Annual,East Scotland,0.457,10.383
2005,Annual,East Scotland,0.411,9.895
2006,Annual,East Scotland,0.437,10.753
2007,Annual,East Scotland,0.446,11.673
2008,Annual,East Scotland,0.436,9.858
2009,Annual,East Scotland,0.455,11.907
2010,Annual,East Scotland,0.424,11.883
2011,Annual,East Scotland,0.465,9.562
2012,Annual,East Scotland,0.468,10.111
2013,Annual,East Scotland,0.409,8.235
2014,Annual,East Scotland,0.427,9.691
2015,Annual,East Scotland,0.437,10.123
2016,Annual,East Scotland,0.412,9.444
2017,Annual,East Scotland,0.392,8.469
2018,Annual,East Scotland,0.391,10.142
2019,Annual,East Scotland,0.472,10.438
2020,Annual,East Scotland,0.443,9.784
2021,Annual,East Scotland,0.426,10.006
2022,Annual,East Scotland,0.441,11.253
2023,Annual,East Scotland,0.429,7.975
2024,Annual,East Scotland,0.437,10.531
2025,Annual,East Scotland,0.420,9.012
2026,Annual,East Scotland,0.456,14.747
2027,Annual,East Scotland,0.402,10.488
2028,Annual,East Scotland,0.480,13.031
2029,Annual,East Scotland,0.385,8.815
2030,Annual,East Scotland,0.417,11.302
2031,Annual,East Scotland,0.468,10.556
2032,Annual,East Scotland,0.427,10.000
2033,Annual,East Scotland,0.447,9.833
2034,Annual,East Scotland,0.452,10.346
2035,Annual,East Scotland,0.468,11.926
2036,Annual,East Scotland,0.425,10.074
2037,Annual,East Scotland,0.455,12.735
2038,Annual,East Scotland,0.475,11.265
2039,Annual,East Scotland,0.473,12.531
2040,Annual,East Scotland,0.423,9.765
2041,Annual,East Scotland,0.428,8.636
2042,Annual,East Scotland,0.462,11.154
2043,Annual,East Scotland,0.508,14.167
2044,Annual,East Scotland,0.401,8.784
2045,Annual,East Scotland,0.454,11.531
2046,Annual,East Scotland,0.449,11.136
2047,Annual,East Scotland,0.494,12.321
2048,Annual,East Scotland,0.371,8.580
2049,Annual,East Scotland,0.424,10.340
2050,Annual,East Scotland,0.424,10.994
