Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.425,7.622
1982,Annual,East Midlands,0.423,10.643
1983,Annual,East Midlands,0.453,8.510
1984,Annual,East Midlands,0.410,7.551
1985,Annual,East Midlands,0.377,8.163
1986,Annual,East Midlands,0.436,10.847
1987,Annual,East Midlands,0.380,8.184
1988,Annual,East Midlands,0.440,10.633
1989,Annual,East Midlands,0.426,10.153
1990,Annual,East Midlands,0.475,12.786
1991,Annual,East Midlands,0.432,7.878
1992,Annual,East Midlands,0.433,9.276
1993,Annual,East Midlands,0.424,10.714
1994,Annual,East Midlands,0.458,12.673
1995,Annual,East Midlands,0.395,9.704
1996,Annual,East Midlands,0.463,11.602
1997,Annual,East Midlands,0.426,9.990
1998,Annual,East Midlands,0.464,10.612
1999,Annual,East Midlands,0.439,9.245
2000,Annual,East Midlands,0.371,8.520
2001,Annual,East Midlands,0.494,9.990
2002,Annual,East Midlands,0.437,9.133
2003,Annual,East Midlands,0.516,12.051
2004,Annual,East Midlands,0.439,10.112
2005,Annual,East Midlands,0.388,8.143
2006,Annual,East Midlands,0.486,11.051
2007,Annual,East Midlands,0.436,7.939
2008,Annual,East Midlands,0.448,9.888
2009,Annual,East Midlands,0.425,9.429
2010,Annual,East Midlands,0.469,17.449
2011,Annual,East Midlands,0.412,9.827
2012,Annual,East Midlands,0.448,9.296
2013,Annual,East Midlands,0.381,9.745
2014,Annual,East Midlands,0.461,8.837
2015,Annual,East Midlands,0.415,11.673
2016,Annual,East Midlands,0.443,11.378
2017,Annual,East Midlands,0.393,9.480
2018,Annual,East Midlands,0.468,12.520
2019,Annual,East Midlands,0.424,8.194
2020,Annual,East Midlands,0.464,14.378
2021,Annual,East Midlands,0.438,9.704
2022,Annual,East Midlands,0.484,10.776
2023,Annual,East Midlands,0.419,8.755
2024,Annual,East Midlands,0.407,11.959
2025,Annual,East Midlands,0.442,8.694
2026,Annual,East Midlands,0.424,9.296
2027,Annual,East Midlands,0.382,8.806
2028,Annual,East Midlands,0.364,11.786
2029,Annual,East Midlands,0.398,7.571
2030,Annual,East Midlands,0.425,11.837
2031,Annual,East Midlands,0.431,10.398
2032,Annual,East Midlands,0.478,9.724
2033,Annual,East Midlands,0.433,9.418
2034,Annual,East Midlands,0.451,8.449
2035,Annual,East Midlands,0.390,10.490
2036,Annual,East Midlands,0.332,6.786
2037,Annual,East Midlands,0.447,8.561
2038,Annual,East Midlands,0.399,9.663
2039,Annual,East Midlands,0.419,7.612
2040,Annual,East Midlands,0.450,9.551
2041,Annual,East Midlands,0.441,9.255
2042,Annual,East Midlands,0.467,11.878
2043,Annual,East Midlands,0.444,9.653
2044,Annual,East Midlands,0.426,7.908
2045,Annual,East Midlands,0.450,12.388
2046,Annual,East Midlands,0.381,7.735
