Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.448,8.663
1982,Annual,East Midlands,0.448,7.413
1983,Annual,East Midlands,0.443,9.260
1984,Annual,East Midlands,0.442,9.337
1985,Annual,East Midlands,0.463,9.904
1986,Annual,East Midlands,0.448,8.452
1987,Annual,East Midlands,0.434,9.365
1988,Annual,East Midlands,0.508,8.702
1989,Annual,East Midlands,0.462,7.846
1990,Annual,East Midlands,0.474,8.144
1991,Annual,East Midlands,0.460,8.279
1992,Annual,East Midlands,0.467,7.327
1993,Annual,East Midlands,0.468,9.154
1994,Annual,East Midlands,0.450,11.990
1995,Annual,East Midlands,0.452,8.788
1996,Annual,East Midlands,0.483,9.885
1997,Annual,East Midlands,0.439,9.269
1998,Annual,East Midlands,0.390,7.404
1999,Annual,East Midlands,0.453,9.087
2000,Annual,East Midlands,0.411,10.010
2001,Annual,East Midlands,0.509,10.096
2002,Annual,East Midlands,0.442,9.048
2003,Annual,East Midlands,0.505,11.260
2004,Annual,East Midlands,0.412,8.087
2005,Annual,East Midlands,0.381,7.192
2006,Annual,East Midlands,0.476,9.365
2007,Annual,East Midlands,0.471,7.452
2008,Annual,East Midlands,0.465,10.856
2009,Annual,East Midlands,0.439,7.913
2010,Annual,East Midlands,0.435,9.865
2011,Annual,East Midlands,0.410,9.356
2012,Annual,East Midlands,0.450,7.519
2013,Annual,East Midlands,0.407,8.510
2014,Annual,East Midlands,0.521,10.692
2015,Annual,East Midlands,0.462,12.019
2016,Annual,East Midlands,0.446,9.481
2017,Annual,East Midlands,0.414,7.106
2018,Annual,East Midlands,0.401,7.760
2019,Annual,East Midlands,0.402,9.548
2020,Annual,East Midlands,0.498,11.192
2021,Annual,East Midlands,0.412,7.433
2022,Annual,East Midlands,0.516,14.519
2023,Annual,East Midlands,0.432,9.317
2024,Annual,East Midlands,0.440,11.692
2025,Annual,East Midlands,0.470,10.346
2026,Annual,East Midlands,0.435,9.519
2027,Annual,East Midlands,0.415,9.337
2028,Annual,East Midlands,0.379,10.240
2029,Annual,East Midlands,0.448,8.490
2030,Annual,East Midlands,0.406,9.519
2031,Annual,East Midlands,0.435,8.125
2032,Annual,East Midlands,0.466,7.837
2033,Annual,East Midlands,0.405,7.212
2034,Annual,East Midlands,0.482,9.202
2035,Annual,East Midlands,0.402,9.933
2036,Annual,East Midlands,0.353,7.154
2037,Annual,East Midlands,0.426,7.038
2038,Annual,East Midlands,0.343,8.135
2039,Annual,East Midlands,0.478,8.154
2040,Annual,East Midlands,0.449,15.760
2041,Annual,East Midlands,0.465,10.933
2042,Annual,East Midlands,0.478,10.558
2043,Annual,East Midlands,0.472,9.548
2044,Annual,East Midlands,0.483,10.567
2045,Annual,East Midlands,0.455,11.106
