Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.341,6.154
1982,Annual,East Midlands,0.370,7.856
1983,Annual,East Midlands,0.408,9.260
1984,Annual,East Midlands,0.436,10.692
1985,Annual,East Midlands,0.428,7.317
1986,Annual,East Midlands,0.403,7.625
1987,Annual,East Midlands,0.405,9.567
1988,Annual,East Midlands,0.411,12.231
1989,Annual,East Midlands,0.423,7.702
1990,Annual,East Midlands,0.405,7.288
1991,Annual,East Midlands,0.379,7.962
1992,Annual,East Midlands,0.444,7.635
1993,Annual,East Midlands,0.398,7.317
1994,Annual,East Midlands,0.428,7.596
1995,Annual,East Midlands,0.377,8.615
1996,Annual,East Midlands,0.439,8.788
1997,Annual,East Midlands,0.370,6.673
1998,Annual,East Midlands,0.467,8.721
1999,Annual,East Midlands,0.390,7.788
2000,Annual,East Midlands,0.361,6.481
2001,Annual,East Midlands,0.426,10.471
2002,Annual,East Midlands,0.394,8.481
2003,Annual,East Midlands,0.337,6.856
2004,Annual,East Midlands,0.467,8.029
2005,Annual,East Midlands,0.377,9.558
2006,Annual,East Midlands,0.399,9.212
2007,Annual,East Midlands,0.474,10.904
2008,Annual,East Midlands,0.449,7.942
2009,Annual,East Midlands,0.376,6.125
2010,Annual,East Midlands,0.408,8.558
2011,Annual,East Midlands,0.375,7.279
2012,Annual,East Midlands,0.400,8.288
2013,Annual,East Midlands,0.476,8.779
2014,Annual,East Midlands,0.357,7.798
2015,Annual,East Midlands,0.328,8.221
2016,Annual,East Midlands,0.463,8.990
2017,Annual,East Midlands,0.431,8.654
2018,Annual,East Midlands,0.395,8.010
2019,Annual,East Midlands,0.371,9.231
2020,Annual,East Midlands,0.383,7.519
2021,Annual,East Midlands,0.399,7.990
2022,Annual,East Midlands,0.391,8.962
2023,Annual,East Midlands,0.458,7.404
2024,Annual,East Midlands,0.366,6.625
2025,Annual,East Midlands,0.392,7.202
2026,Annual,East Midlands,0.383,8.144
2027,Annual,East Midlands,0.388,6.731
2028,Annual,East Midlands,0.432,7.808
2029,Annual,East Midlands,0.374,6.865
2030,Annual,East Midlands,0.407,11.077
2031,Annual,East Midlands,0.396,10.846
2032,Annual,East Midlands,0.417,6.327
2033,Annual,East Midlands,0.411,6.846
2034,Annual,East Midlands,0.421,6.087
2035,Annual,East Midlands,0.388,7.865
2036,Annual,East Midlands,0.409,9.933
2037,Annual,East Midlands,0.443,7.692
2038,Annual,East Midlands,0.356,9.587
2039,Annual,East Midlands,0.431,7.721
2040,Annual,East Midlands,0.390,8.212
2041,Annual,East Midlands,0.394,7.779
2042,Annual,East Midlands,0.436,7.769
2043,Annual,East Midlands,0.355,10.269
2044,Annual,East Midlands,0.382,9.019
2045,Annual,East Midlands,0.329,6.337
2046,Annual,East Midlands,0.377,8.894
2047,Annual,East Midlands,0.431,8.471
2048,Annual,East Midlands,0.421,11.240
2049,Annual,East Midlands,0.459,7.990
2050,Annual,East Midlands,0.480,8.635
2051,Annual,East Midlands,0.385,10.462
2052,Annual,East Midlands,0.412,7.154
2053,Annual,East Midlands,0.385,7.538
2054,Annual,East Midlands,0.383,9.510
2055,Annual,East Midlands,0.428,7.788
2056,Annual,East Midlands,0.392,7.760
2057,Annual,East Midlands,0.378,9.106
2058,Annual,East Midlands,0.328,6.615
2059,Annual,East Midlands,0.398,6.635
2060,Annual,East Midlands,0.406,11.288
2061,Annual,East Midlands,0.344,6.481
2062,Annual,East Midlands,0.334,6.827
2063,Annual,East Midlands,0.375,6.837
2064,Annual,East Midlands,0.407,9.490
2065,Annual,East Midlands,0.401,9.577
2066,Annual,East Midlands,0.357,6.721
2067,Annual,East Midlands,0.348,7.327
2068,Annual,East Midlands,0.413,7.587
2069,Annual,East Midlands,0.367,6.885
2070,Annual,East Midlands,0.306,6.356
2071,Annual,East Midlands,0.371,5.933
2072,Annual,East Midlands,0.343,7.231
2073,Annual,East Midlands,0.382,7.125
