Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.416,7.757
1982,Annual,East Midlands,0.418,6.932
1983,Annual,East Midlands,0.423,6.689
1984,Annual,East Midlands,0.436,8.252
1985,Annual,East Midlands,0.420,8.806
1986,Annual,East Midlands,0.420,8.184
1987,Annual,East Midlands,0.431,7.534
1988,Annual,East Midlands,0.485,8.097
1989,Annual,East Midlands,0.452,11.214
1990,Annual,East Midlands,0.466,10.505
1991,Annual,East Midlands,0.472,9.252
1992,Annual,East Midlands,0.407,7.379
1993,Annual,East Midlands,0.478,9.058
1994,Annual,East Midlands,0.483,11.718
1995,Annual,East Midlands,0.420,8.466
1996,Annual,East Midlands,0.510,9.437
1997,Annual,East Midlands,0.439,9.437
1998,Annual,East Midlands,0.437,7.573
1999,Annual,East Midlands,0.438,9.165
2000,Annual,East Midlands,0.400,7.825
2001,Annual,East Midlands,0.496,8.796
2002,Annual,East Midlands,0.437,9.505
2003,Annual,East Midlands,0.488,9.728
2004,Annual,East Midlands,0.448,11.058
2005,Annual,East Midlands,0.447,9.563
2006,Annual,East Midlands,0.480,11.359
2007,Annual,East Midlands,0.474,7.417
2008,Annual,East Midlands,0.437,8.981
2009,Annual,East Midlands,0.456,8.126
2010,Annual,East Midlands,0.433,8.058
2011,Annual,East Midlands,0.434,9.485
2012,Annual,East Midlands,0.467,8.000
2013,Annual,East Midlands,0.381,8.728
2014,Annual,East Midlands,0.498,10.029
2015,Annual,East Midlands,0.450,9.330
2016,Annual,East Midlands,0.430,10.291
2017,Annual,East Midlands,0.429,8.748
2018,Annual,East Midlands,0.404,7.408
2019,Annual,East Midlands,0.420,7.786
2020,Annual,East Midlands,0.427,8.709
2021,Annual,East Midlands,0.430,7.350
2022,Annual,East Midlands,0.481,7.621
2023,Annual,East Midlands,0.458,9.641
2024,Annual,East Midlands,0.401,8.000
2025,Annual,East Midlands,0.469,7.951
2026,Annual,East Midlands,0.441,10.893
2027,Annual,East Midlands,0.424,9.398
2028,Annual,East Midlands,0.386,9.359
2029,Annual,East Midlands,0.440,9.029
2030,Annual,East Midlands,0.403,11.194
2031,Annual,East Midlands,0.433,8.990
2032,Annual,East Midlands,0.476,9.553
2033,Annual,East Midlands,0.407,7.932
2034,Annual,East Midlands,0.466,8.359
2035,Annual,East Midlands,0.417,8.126
2036,Annual,East Midlands,0.326,7.243
2037,Annual,East Midlands,0.475,9.641
2038,Annual,East Midlands,0.398,8.330
2039,Annual,East Midlands,0.431,8.748
2040,Annual,East Midlands,0.410,9.146
2041,Annual,East Midlands,0.434,7.447
2042,Annual,East Midlands,0.468,9.971
2043,Annual,East Midlands,0.447,7.942
2044,Annual,East Midlands,0.462,8.990
2045,Annual,East Midlands,0.493,14.010
2046,Annual,East Midlands,0.431,9.233
2047,Annual,East Midlands,0.421,9.748
2048,Annual,East Midlands,0.455,9.350
2049,Annual,East Midlands,0.429,7.718
2050,Annual,East Midlands,0.458,6.699
2051,Annual,East Midlands,0.477,8.680
2052,Annual,East Midlands,0.479,9.359
2053,Annual,East Midlands,0.498,9.485
2054,Annual,East Midlands,0.392,8.049
2055,Annual,East Midlands,0.455,11.126
2056,Annual,East Midlands,0.465,10.932
2057,Annual,East Midlands,0.427,10.893
2058,Annual,East Midlands,0.393,9.000
2059,Annual,East Midlands,0.390,7.893
2060,Annual,East Midlands,0.404,9.466
2061,Annual,East Midlands,0.396,6.767
2062,Annual,East Midlands,0.417,7.515
2063,Annual,East Midlands,0.424,9.359
2064,Annual,East Midlands,0.402,9.175
2065,Annual,East Midlands,0.444,9.883
2066,Annual,East Midlands,0.459,8.806
2067,Annual,East Midlands,0.345,6.825
2068,Annual,East Midlands,0.468,8.728
2069,Annual,East Midlands,0.414,7.320
2070,Annual,East Midlands,0.417,11.068
2071,Annual,East Midlands,0.439,9.466
2072,Annual,East Midlands,0.411,9.534
2073,Annual,East Midlands,0.395,9.388
2074,Annual,East Midlands,0.490,12.340
2075,Annual,East Midlands,0.464,8.301
2076,Annual,East Midlands,0.396,7.612
2077,Annual,East Midlands,0.420,9.117
2078,Annual,East Midlands,0.440,7.883
2079,Annual,East Midlands,0.413,8.175
2080,Annual,East Midlands,0.413,8.117
1981,Annual,East of England,0.397,6.960
1982,Annual,East of England,0.414,7.619
1983,Annual,East of England,0.430,8.087
1984,Annual,East of England,0.408,7.492
1985,Annual,East of England,0.390,10.381
1986,Annual,East of England,0.380,8.389
1987,Annual,East of England,0.413,7.841
1988,Annual,East of England,0.465,9.659
1989,Annual,East of England,0.438,9.532
1990,Annual,East of England,0.443,7.492
