Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.397,7.010
1982,Annual,East Midlands,0.439,9.346
1983,Annual,East Midlands,0.466,10.462
1984,Annual,East Midlands,0.426,10.260
1985,Annual,East Midlands,0.451,9.135
1986,Annual,East Midlands,0.410,10.702
1987,Annual,East Midlands,0.384,7.837
1988,Annual,East Midlands,0.473,9.952
1989,Annual,East Midlands,0.436,9.567
1990,Annual,East Midlands,0.468,9.788
1991,Annual,East Midlands,0.445,10.490
1992,Annual,East Midlands,0.440,7.404
1993,Annual,East Midlands,0.436,7.846
1994,Annual,East Midlands,0.472,9.683
1995,Annual,East Midlands,0.384,10.750
1996,Annual,East Midlands,0.460,9.308
1997,Annual,East Midlands,0.432,7.750
1998,Annual,East Midlands,0.444,7.327
1999,Annual,East Midlands,0.442,9.500
2000,Annual,East Midlands,0.364,8.644
2001,Annual,East Midlands,0.460,8.288
2002,Annual,East Midlands,0.386,8.356
2003,Annual,East Midlands,0.495,14.077
2004,Annual,East Midlands,0.406,7.481
2005,Annual,East Midlands,0.376,11.721
2006,Annual,East Midlands,0.471,9.135
2007,Annual,East Midlands,0.419,7.933
2008,Annual,East Midlands,0.439,10.298
2009,Annual,East Midlands,0.453,9.827
2010,Annual,East Midlands,0.449,11.548
2011,Annual,East Midlands,0.390,8.462
2012,Annual,East Midlands,0.415,6.779
2013,Annual,East Midlands,0.402,13.519
2014,Annual,East Midlands,0.521,10.038
2015,Annual,East Midlands,0.448,12.202
2016,Annual,East Midlands,0.448,11.500
2017,Annual,East Midlands,0.401,10.337
2018,Annual,East Midlands,0.440,11.644
2019,Annual,East Midlands,0.431,10.058
2020,Annual,East Midlands,0.447,11.115
2021,Annual,East Midlands,0.423,9.615
2022,Annual,East Midlands,0.484,9.702
2023,Annual,East Midlands,0.410,7.788
2024,Annual,East Midlands,0.416,9.125
2025,Annual,East Midlands,0.464,10.798
2026,Annual,East Midlands,0.410,9.490
2027,Annual,East Midlands,0.400,9.048
2028,Annual,East Midlands,0.339,8.625
2029,Annual,East Midlands,0.435,12.337
2030,Annual,East Midlands,0.425,11.885
2031,Annual,East Midlands,0.379,9.173
2032,Annual,East Midlands,0.441,10.587
2033,Annual,East Midlands,0.369,6.798
2034,Annual,East Midlands,0.419,9.817
2035,Annual,East Midlands,0.395,8.865
2036,Annual,East Midlands,0.346,7.635
2037,Annual,East Midlands,0.436,9.221
2038,Annual,East Midlands,0.408,11.625
2039,Annual,East Midlands,0.407,7.019
2040,Annual,East Midlands,0.396,12.663
2041,Annual,East Midlands,0.417,12.240
2042,Annual,East Midlands,0.466,14.087
2043,Annual,East Midlands,0.492,12.462
2044,Annual,East Midlands,0.452,7.990
2045,Annual,East Midlands,0.417,9.019
2046,Annual,East Midlands,0.400,7.375
2047,Annual,East Midlands,0.394,8.346
2048,Annual,East Midlands,0.410,7.856
2049,Annual,East Midlands,0.409,6.529
2050,Annual,East Midlands,0.461,8.567
2051,Annual,East Midlands,0.456,8.231
2052,Annual,East Midlands,0.428,10.788
2053,Annual,East Midlands,0.471,9.317
2054,Annual,East Midlands,0.395,8.577
2055,Annual,East Midlands,0.460,13.577
2056,Annual,East Midlands,0.464,8.808
2057,Annual,East Midlands,0.379,9.288
2058,Annual,East Midlands,0.363,9.548
2059,Annual,East Midlands,0.365,10.423
2060,Annual,East Midlands,0.383,10.673
2061,Annual,East Midlands,0.377,7.394
2062,Annual,East Midlands,0.464,9.731
2063,Annual,East Midlands,0.382,8.846
2064,Annual,East Midlands,0.417,8.481
2065,Annual,East Midlands,0.411,8.904
2066,Annual,East Midlands,0.442,9.038
2067,Annual,East Midlands,0.398,9.106
2068,Annual,East Midlands,0.435,9.760
2069,Annual,East Midlands,0.406,8.154
2070,Annual,East Midlands,0.423,11.394
2071,Annual,East Midlands,0.424,10.240
2072,Annual,East Midlands,0.408,9.827
2073,Annual,East Midlands,0.373,8.962
2074,Annual,East Midlands,0.480,10.990
2075,Annual,East Midlands,0.462,8.865
2076,Annual,East Midlands,0.372,7.663
2077,Annual,East Midlands,0.374,8.615
2078,Annual,East Midlands,0.403,7.760
2079,Annual,East Midlands,0.410,9.192
2080,Annual,East Midlands,0.419,8.115
1981,Annual,East of England,0.359,6.318
1982,Annual,East of England,0.395,8.341
1983,Annual,East of England,0.438,12.411
1984,Annual,East of England,0.424,10.899
1985,Annual,East of England,0.410,8.876
1986,Annual,East of England,0.380,9.039
1987,Annual,East of England,0.343,8.240
1988,Annual,East of England,0.425,8.070
1989,Annual,East of England,0.395,7.310
1990,Annual,East of England,0.456,8.248
1991,Annual,East of England,0.399,9.008
1992,Annual,East of England,0.416,7.597
1993,Annual,East of England,0.422,7.496
1994,Annual,East of England,0.434,8.767
1995,Annual,East of England,0.358,8.984
1996,Annual,East of England,0.431,8.729
1997,Annual,East of England,0.401,8.876
1998,Annual,East of England,0.422,7.295
1999,Annual,East of England,0.397,9.589
2000,Annual,East of England,0.348,9.620
2001,Annual,East of England,0.407,8.589
2002,Annual,East of England,0.364,7.969
2003,Annual,East of England,0.471,13.946
2004,Annual,East of England,0.373,7.721
2005,Annual,East of England,0.316,11.062
2006,Annual,East of England,0.428,8.814
2007,Annual,East of England,0.396,6.992
2008,Annual,East of England,0.421,8.318
2009,Annual,East of England,0.401,8.465
2010,Annual,East of England,0.401,8.543
2011,Annual,East of England,0.363,8.829
2012,Annual,East of England,0.410,8.884
2013,Annual,East of England,0.364,9.248
2014,Annual,East of England,0.474,9.620
2015,Annual,East of England,0.393,10.186
2016,Annual,East of England,0.420,9.535
2017,Annual,East of England,0.360,7.643
2018,Annual,East of England,0.403,7.690
2019,Annual,East of England,0.406,7.775
2020,Annual,East of England,0.392,7.791
2021,Annual,East of England,0.400,8.279
2022,Annual,East of England,0.463,9.891
2023,Annual,East of England,0.383,7.147
2024,Annual,East of England,0.380,9.326
2025,Annual,East of England,0.422,8.186
2026,Annual,East of England,0.379,8.217
2027,Annual,East of England,0.363,8.233
2028,Annual,East of England,0.304,6.791
2029,Annual,East of England,0.418,9.039
2030,Annual,East of England,0.398,8.806
2031,Annual,East of England,0.395,8.062
2032,Annual,East of England,0.409,9.163
2033,Annual,East of England,0.315,5.512
2034,Annual,East of England,0.405,9.930
2035,Annual,East of England,0.370,8.248
2036,Annual,East of England,0.303,6.512
2037,Annual,East of England,0.436,9.380
2038,Annual,East of England,0.382,10.093
2039,Annual,East of England,0.357,6.333
2040,Annual,East of England,0.355,9.101
2041,Annual,East of England,0.363,8.364
2042,Annual,East of England,0.420,10.829
