Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.441,6.721
1982,Annual,East Midlands,0.469,7.683
1983,Annual,East Midlands,0.453,8.500
1984,Annual,East Midlands,0.440,8.779
1985,Annual,East Midlands,0.449,10.615
1986,Annual,East Midlands,0.417,9.683
1987,Annual,East Midlands,0.461,7.096
1988,Annual,East Midlands,0.478,9.375
1989,Annual,East Midlands,0.430,9.163
1990,Annual,East Midlands,0.491,10.827
1991,Annual,East Midlands,0.472,8.173
1992,Annual,East Midlands,0.475,7.837
1993,Annual,East Midlands,0.485,9.760
1994,Annual,East Midlands,0.466,9.933
1995,Annual,East Midlands,0.444,10.096
1996,Annual,East Midlands,0.501,8.856
1997,Annual,East Midlands,0.473,8.250
1998,Annual,East Midlands,0.463,8.000
1999,Annual,East Midlands,0.493,9.346
2000,Annual,East Midlands,0.393,9.558
2001,Annual,East Midlands,0.477,7.971
2002,Annual,East Midlands,0.454,13.990
2003,Annual,East Midlands,0.517,12.913
2004,Annual,East Midlands,0.474,12.327
2005,Annual,East Midlands,0.370,8.471
2006,Annual,East Midlands,0.489,9.010
2007,Annual,East Midlands,0.480,8.279
2008,Annual,East Midlands,0.483,10.346
2009,Annual,East Midlands,0.456,7.798
2010,Annual,East Midlands,0.466,8.154
2011,Annual,East Midlands,0.411,9.115
2012,Annual,East Midlands,0.477,9.442
2013,Annual,East Midlands,0.428,10.712
2014,Annual,East Midlands,0.543,11.462
2015,Annual,East Midlands,0.460,11.615
2016,Annual,East Midlands,0.510,11.942
2017,Annual,East Midlands,0.434,11.154
2018,Annual,East Midlands,0.449,9.760
2019,Annual,East Midlands,0.449,9.202
2020,Annual,East Midlands,0.503,9.606
2021,Annual,East Midlands,0.437,8.202
2022,Annual,East Midlands,0.488,8.596
2023,Annual,East Midlands,0.398,7.462
2024,Annual,East Midlands,0.467,11.000
2025,Annual,East Midlands,0.489,12.173
2026,Annual,East Midlands,0.444,10.769
2027,Annual,East Midlands,0.432,8.779
2028,Annual,East Midlands,0.401,9.327
2029,Annual,East Midlands,0.425,11.808
2030,Annual,East Midlands,0.437,8.288
2031,Annual,East Midlands,0.441,9.135
2032,Annual,East Midlands,0.493,10.385
2033,Annual,East Midlands,0.442,9.423
2034,Annual,East Midlands,0.464,8.577
2035,Annual,East Midlands,0.399,8.298
2036,Annual,East Midlands,0.370,7.173
2037,Annual,East Midlands,0.482,9.673
2038,Annual,East Midlands,0.419,9.231
2039,Annual,East Midlands,0.489,9.683
2040,Annual,East Midlands,0.417,9.885
2041,Annual,East Midlands,0.445,8.192
2042,Annual,East Midlands,0.510,10.279
2043,Annual,East Midlands,0.504,9.356
2044,Annual,East Midlands,0.478,8.038
2045,Annual,East Midlands,0.473,11.279
2046,Annual,East Midlands,0.401,7.471
2047,Annual,East Midlands,0.421,11.096
2048,Annual,East Midlands,0.466,8.558
2049,Annual,East Midlands,0.431,7.788
2050,Annual,East Midlands,0.529,13.269
2051,Annual,East Midlands,0.465,8.760
2052,Annual,East Midlands,0.466,10.154
2053,Annual,East Midlands,0.505,11.567
2054,Annual,East Midlands,0.435,8.106
2055,Annual,East Midlands,0.503,9.279
2056,Annual,East Midlands,0.444,9.317
2057,Annual,East Midlands,0.460,9.327
2058,Annual,East Midlands,0.390,7.365
2059,Annual,East Midlands,0.415,8.894
2060,Annual,East Midlands,0.398,9.462
2061,Annual,East Midlands,0.403,10.221
2062,Annual,East Midlands,0.468,10.173
2063,Annual,East Midlands,0.398,8.163
2064,Annual,East Midlands,0.420,8.846
2065,Annual,East Midlands,0.442,10.500
2066,Annual,East Midlands,0.460,8.567
2067,Annual,East Midlands,0.361,7.125
2068,Annual,East Midlands,0.507,13.240
2069,Annual,East Midlands,0.465,8.038
2070,Annual,East Midlands,0.449,10.798
2071,Annual,East Midlands,0.460,9.760
2072,Annual,East Midlands,0.456,13.769
2073,Annual,East Midlands,0.426,8.750
2074,Annual,East Midlands,0.498,9.471
2075,Annual,East Midlands,0.485,9.298
2076,Annual,East Midlands,0.422,8.135
2077,Annual,East Midlands,0.441,8.538
2078,Annual,East Midlands,0.454,7.692
2079,Annual,East Midlands,0.392,6.913
2080,Annual,East Midlands,0.472,12.048
1981,Annual,East of England,0.420,6.612
1982,Annual,East of England,0.435,7.116
1983,Annual,East of England,0.449,8.419
1984,Annual,East of England,0.414,7.481
1985,Annual,East of England,0.426,8.070
1986,Annual,East of England,0.388,8.326
1987,Annual,East of England,0.436,7.287
1988,Annual,East of England,0.469,8.620
1989,Annual,East of England,0.440,9.550
1990,Annual,East of England,0.460,11.132
1991,Annual,East of England,0.468,9.140
1992,Annual,East of England,0.456,9.357
1993,Annual,East of England,0.452,7.698
1994,Annual,East of England,0.456,10.047
1995,Annual,East of England,0.399,7.760
1996,Annual,East of England,0.465,7.961
1997,Annual,East of England,0.430,7.395
1998,Annual,East of England,0.470,8.783
1999,Annual,East of England,0.467,9.256
2000,Annual,East of England,0.364,9.047
2001,Annual,East of England,0.458,7.721
2002,Annual,East of England,0.438,11.085
2003,Annual,East of England,0.521,13.264
2004,Annual,East of England,0.431,8.124
2005,Annual,East of England,0.341,10.062
2006,Annual,East of England,0.460,10.194
2007,Annual,East of England,0.457,6.814
2008,Annual,East of England,0.481,10.713
2009,Annual,East of England,0.424,7.643
2010,Annual,East of England,0.456,9.326
2011,Annual,East of England,0.395,8.829
2012,Annual,East of England,0.463,7.744
2013,Annual,East of England,0.417,11.442
2014,Annual,East of England,0.526,10.093
2015,Annual,East of England,0.440,10.922
2016,Annual,East of England,0.503,10.085
2017,Annual,East of England,0.387,10.209
2018,Annual,East of England,0.435,9.682
2019,Annual,East of England,0.436,9.085
2020,Annual,East of England,0.486,9.791
2021,Annual,East of England,0.422,7.481
2022,Annual,East of England,0.470,8.163
2023,Annual,East of England,0.378,6.643
2024,Annual,East of England,0.455,10.101
2025,Annual,East of England,0.471,10.388
2026,Annual,East of England,0.424,8.442
2027,Annual,East of England,0.411,8.023
2028,Annual,East of England,0.375,7.372
2029,Annual,East of England,0.423,7.039
2030,Annual,East of England,0.418,9.899
2031,Annual,East of England,0.429,9.891
2032,Annual,East of England,0.433,8.767
2033,Annual,East of England,0.423,7.682
2034,Annual,East of England,0.446,9.814
2035,Annual,East of England,0.357,8.636
2036,Annual,East of England,0.345,9.426
2037,Annual,East of England,0.455,8.054
2038,Annual,East of England,0.419,10.938
2039,Annual,East of England,0.472,8.178
2040,Annual,East of England,0.394,9.519
2041,Annual,East of England,0.425,9.891
2042,Annual,East of England,0.458,9.605
2043,Annual,East of England,0.506,12.721
2044,Annual,East of England,0.465,8.891
2045,Annual,East of England,0.464,10.473
2046,Annual,East of England,0.368,7.326
2047,Annual,East of England,0.405,11.729
2048,Annual,East of England,0.458,8.054
2049,Annual,East of England,0.440,7.155
2050,Annual,East of England,0.508,9.775
2051,Annual,East of England,0.440,8.915
2052,Annual,East of England,0.462,10.442
2053,Annual,East of England,0.472,12.023
2054,Annual,East of England,0.413,8.488
2055,Annual,East of England,0.459,9.961
2056,Annual,East of England,0.413,7.116
2057,Annual,East of England,0.436,8.969
2058,Annual,East of England,0.369,6.488
2059,Annual,East of England,0.369,6.767
2060,Annual,East of England,0.376,9.426
2061,Annual,East of England,0.379,7.674
2062,Annual,East of England,0.466,14.209
2063,Annual,East of England,0.388,9.209
2064,Annual,East of England,0.411,9.961
2065,Annual,East of England,0.417,9.953
2066,Annual,East of England,0.440,7.651
2067,Annual,East of England,0.348,7.233
2068,Annual,East of England,0.501,12.752
2069,Annual,East of England,0.449,7.124
2070,Annual,East of England,0.408,9.504
2071,Annual,East of England,0.432,9.209
2072,Annual,East of England,0.424,10.636
2073,Annual,East of England,0.389,8.597
2074,Annual,East of England,0.486,10.829
2075,Annual,East of England,0.475,8.349
2076,Annual,East of England,0.412,8.581
2077,Annual,East of England,0.412,7.705
2078,Annual,East of England,0.457,7.891
2079,Annual,East of England,0.385,7.798
2080,Annual,East of England,0.443,11.318
1981,Annual,East Scotland,0.553,15.441
1982,Annual,East Scotland,0.563,15.888
1983,Annual,East Scotland,0.492,10.894
1984,Annual,East Scotland,0.535,12.652
1985,Annual,East Scotland,0.579,16.050
1986,Annual,East Scotland,0.574,15.242
1987,Annual,East Scotland,0.576,13.043
1988,Annual,East Scotland,0.557,13.143
1989,Annual,East Scotland,0.504,12.807
1990,Annual,East Scotland,0.558,12.870
1991,Annual,East Scotland,0.559,11.727
1992,Annual,East Scotland,0.562,14.540
1993,Annual,East Scotland,0.563,15.019
1994,Annual,East Scotland,0.575,14.882
1995,Annual,East Scotland,0.537,10.969
1996,Annual,East Scotland,0.547,11.273
1997,Annual,East Scotland,0.583,14.031
1998,Annual,East Scotland,0.520,14.484
1999,Annual,East Scotland,0.573,12.702
2000,Annual,East Scotland,0.502,10.870
2001,Annual,East Scotland,0.571,14.217
2002,Annual,East Scotland,0.578,11.553
2003,Annual,East Scotland,0.566,13.882
2004,Annual,East Scotland,0.559,13.211
2005,Annual,East Scotland,0.508,10.441
2006,Annual,East Scotland,0.553,16.398
2007,Annual,East Scotland,0.534,14.255
2008,Annual,East Scotland,0.568,14.460
2009,Annual,East Scotland,0.570,12.484
2010,Annual,East Scotland,0.516,12.590
2011,Annual,East Scotland,0.552,13.677
2012,Annual,East Scotland,0.571,12.776
2013,Annual,East Scotland,0.522,15.323
2014,Annual,East Scotland,0.634,17.180
2015,Annual,East Scotland,0.577,15.901
2016,Annual,East Scotland,0.585,13.062
