Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.495,11.442
1982,Annual,East Midlands,0.523,10.548
1983,Annual,East Midlands,0.487,12.962
1984,Annual,East Midlands,0.540,12.048
1985,Annual,East Midlands,0.558,13.413
1986,Annual,East Midlands,0.521,10.529
1987,Annual,East Midlands,0.545,16.096
1988,Annual,East Midlands,0.605,12.067
1989,Annual,East Midlands,0.564,14.279
1990,Annual,East Midlands,0.565,10.337
1991,Annual,East Midlands,0.511,10.702
1992,Annual,East Midlands,0.583,12.865
1993,Annual,East Midlands,0.530,11.981
1994,Annual,East Midlands,0.514,18.596
1995,Annual,East Midlands,0.570,12.481
1996,Annual,East Midlands,0.553,15.019
1997,Annual,East Midlands,0.538,10.298
1998,Annual,East Midlands,0.526,11.913
1999,Annual,East Midlands,0.544,16.279
2000,Annual,East Midlands,0.520,12.731
2001,Annual,East Midlands,0.485,7.923
2002,Annual,East Midlands,0.583,11.962
2003,Annual,East Midlands,0.577,12.144
2004,Annual,East Midlands,0.565,11.163
2005,Annual,East Midlands,0.451,12.731
2006,Annual,East Midlands,0.504,11.163
2007,Annual,East Midlands,0.538,12.115
2008,Annual,East Midlands,0.522,10.567
2009,Annual,East Midlands,0.490,10.423
2010,Annual,East Midlands,0.527,13.183
2011,Annual,East Midlands,0.502,11.606
2012,Annual,East Midlands,0.535,13.635
2013,Annual,East Midlands,0.622,12.894
2014,Annual,East Midlands,0.502,10.269
2015,Annual,East Midlands,0.591,11.740
2016,Annual,East Midlands,0.548,11.683
2017,Annual,East Midlands,0.566,15.221
2018,Annual,East Midlands,0.500,8.952
2019,Annual,East Midlands,0.481,9.558
2020,Annual,East Midlands,0.541,13.788
2021,Annual,East Midlands,0.561,15.173
2022,Annual,East Midlands,0.503,12.183
2023,Annual,East Midlands,0.532,19.510
2024,Annual,East Midlands,0.517,10.817
2025,Annual,East Midlands,0.569,11.644
2026,Annual,East Midlands,0.521,9.971
2027,Annual,East Midlands,0.433,7.952
2028,Annual,East Midlands,0.504,12.067
2029,Annual,East Midlands,0.551,12.317
2030,Annual,East Midlands,0.488,9.077
2031,Annual,East Midlands,0.593,17.077
2032,Annual,East Midlands,0.501,11.462
2033,Annual,East Midlands,0.514,9.298
2034,Annual,East Midlands,0.586,10.933
2035,Annual,East Midlands,0.517,15.731
2036,Annual,East Midlands,0.495,11.115
2037,Annual,East Midlands,0.567,12.760
2038,Annual,East Midlands,0.553,13.817
2039,Annual,East Midlands,0.566,12.240
2040,Annual,East Midlands,0.473,12.221
2041,Annual,East Midlands,0.531,12.317
2042,Annual,East Midlands,0.576,14.875
2043,Annual,East Midlands,0.454,8.413
2044,Annual,East Midlands,0.473,9.433
2045,Annual,East Midlands,0.521,12.990
2046,Annual,East Midlands,0.481,12.731
2047,Annual,East Midlands,0.557,12.288
2048,Annual,East Midlands,0.506,8.125
2049,Annual,East Midlands,0.450,10.163
2050,Annual,East Midlands,0.502,11.356
2051,Annual,East Midlands,0.507,9.433
2052,Annual,East Midlands,0.552,13.269
2053,Annual,East Midlands,0.520,11.567
2054,Annual,East Midlands,0.462,12.308
2055,Annual,East Midlands,0.523,14.135
2056,Annual,East Midlands,0.504,10.337
2057,Annual,East Midlands,0.555,13.010
2058,Annual,East Midlands,0.538,10.125
2059,Annual,East Midlands,0.505,9.933
2060,Annual,East Midlands,0.566,12.029
2061,Annual,East Midlands,0.465,9.673
2062,Annual,East Midlands,0.500,11.404
2063,Annual,East Midlands,0.485,11.750
2064,Annual,East Midlands,0.477,10.933
2065,Annual,East Midlands,0.437,11.000
2066,Annual,East Midlands,0.514,10.885
2067,Annual,East Midlands,0.587,13.452
2068,Annual,East Midlands,0.441,15.240
2069,Annual,East Midlands,0.457,8.837
2070,Annual,East Midlands,0.492,11.990
2071,Annual,East Midlands,0.537,11.173
2072,Annual,East Midlands,0.491,13.692
2073,Annual,East Midlands,0.564,15.837
2074,Annual,East Midlands,0.560,14.712
2075,Annual,East Midlands,0.502,8.615
2076,Annual,East Midlands,0.592,12.885
2077,Annual,East Midlands,0.496,14.394
2078,Annual,East Midlands,0.551,11.452
2079,Annual,East Midlands,0.478,12.846
2080,Annual,East Midlands,0.488,11.779
1981,Annual,East of England,0.447,9.108
1982,Annual,East of England,0.491,10.415
1983,Annual,East of England,0.486,13.108
1984,Annual,East of England,0.522,11.954
1985,Annual,East of England,0.540,13.877
1986,Annual,East of England,0.480,11.931
1987,Annual,East of England,0.536,13.685
1988,Annual,East of England,0.583,12.177
1989,Annual,East of England,0.533,11.800
1990,Annual,East of England,0.526,8.846
1991,Annual,East of England,0.464,9.531
1992,Annual,East of England,0.562,13.000
1993,Annual,East of England,0.480,11.123
1994,Annual,East of England,0.499,11.862
1995,Annual,East of England,0.546,12.438
1996,Annual,East of England,0.522,11.700
1997,Annual,East of England,0.494,10.354
1998,Annual,East of England,0.489,10.054
1999,Annual,East of England,0.496,11.831
2000,Annual,East of England,0.508,11.385
2001,Annual,East of England,0.456,7.385
2002,Annual,East of England,0.545,13.569
2003,Annual,East of England,0.540,12.785
2004,Annual,East of England,0.533,11.346
2005,Annual,East of England,0.436,11.262
2006,Annual,East of England,0.493,13.915
2007,Annual,East of England,0.511,11.038
2008,Annual,East of England,0.488,9.692
2009,Annual,East of England,0.438,9.308
2010,Annual,East of England,0.484,10.285
2011,Annual,East of England,0.484,11.169
2012,Annual,East of England,0.490,13.354
2013,Annual,East of England,0.575,12.423
2014,Annual,East of England,0.454,10.069
2015,Annual,East of England,0.555,10.046
2016,Annual,East of England,0.517,8.623
2017,Annual,East of England,0.549,12.808
2018,Annual,East of England,0.446,9.762
2019,Annual,East of England,0.452,9.469
2020,Annual,East of England,0.490,13.023
2021,Annual,East of England,0.525,13.808
2022,Annual,East of England,0.475,10.623
2023,Annual,East of England,0.499,10.031
