Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.377,7.748
1982,Annual,East Midlands,0.371,7.078
1983,Annual,East Midlands,0.405,8.932
1984,Annual,East Midlands,0.410,11.087
1985,Annual,East Midlands,0.472,10.913
1986,Annual,East Midlands,0.411,9.262
1987,Annual,East Midlands,0.446,12.621
1988,Annual,East Midlands,0.482,9.816
1989,Annual,East Midlands,0.436,7.505
1990,Annual,East Midlands,0.384,6.718
1991,Annual,East Midlands,0.410,7.767
1992,Annual,East Midlands,0.460,11.379
1993,Annual,East Midlands,0.403,9.806
1994,Annual,East Midlands,0.435,11.019
1995,Annual,East Midlands,0.461,8.903
1996,Annual,East Midlands,0.440,8.184
1997,Annual,East Midlands,0.410,8.728
1998,Annual,East Midlands,0.382,9.495
1999,Annual,East Midlands,0.455,12.320
2000,Annual,East Midlands,0.449,14.437
2001,Annual,East Midlands,0.415,7.301
2002,Annual,East Midlands,0.445,8.447
2003,Annual,East Midlands,0.442,7.942
2004,Annual,East Midlands,0.434,8.932
2005,Annual,East Midlands,0.357,9.650
2006,Annual,East Midlands,0.407,9.903
2007,Annual,East Midlands,0.393,10.146
2008,Annual,East Midlands,0.375,8.282
2009,Annual,East Midlands,0.409,8.379
2010,Annual,East Midlands,0.420,12.476
2011,Annual,East Midlands,0.407,7.990
2012,Annual,East Midlands,0.444,10.718
2013,Annual,East Midlands,0.455,7.369
2014,Annual,East Midlands,0.454,8.864
2015,Annual,East Midlands,0.442,9.165
2016,Annual,East Midlands,0.434,9.874
2017,Annual,East Midlands,0.381,9.621
2018,Annual,East Midlands,0.358,7.932
2019,Annual,East Midlands,0.340,6.417
2020,Annual,East Midlands,0.412,7.961
2021,Annual,East Midlands,0.385,6.699
2022,Annual,East Midlands,0.382,8.718
2023,Annual,East Midlands,0.390,10.175
2024,Annual,East Midlands,0.340,6.359
2025,Annual,East Midlands,0.449,8.990
2026,Annual,East Midlands,0.404,8.311
2027,Annual,East Midlands,0.335,9.748
2028,Annual,East Midlands,0.374,9.311
2029,Annual,East Midlands,0.419,8.379
2030,Annual,East Midlands,0.367,8.913
2031,Annual,East Midlands,0.406,7.592
2032,Annual,East Midlands,0.365,9.068
2033,Annual,East Midlands,0.416,8.049
2034,Annual,East Midlands,0.479,8.816
2035,Annual,East Midlands,0.366,8.437
2036,Annual,East Midlands,0.357,7.573
2037,Annual,East Midlands,0.413,8.485
2038,Annual,East Midlands,0.411,8.379
2039,Annual,East Midlands,0.448,9.233
2040,Annual,East Midlands,0.329,6.680
2041,Annual,East Midlands,0.382,7.243
2042,Annual,East Midlands,0.431,7.660
2043,Annual,East Midlands,0.302,5.136
2044,Annual,East Midlands,0.447,12.184
2045,Annual,East Midlands,0.415,8.068
2046,Annual,East Midlands,0.380,7.388
2047,Annual,East Midlands,0.416,8.243
2048,Annual,East Midlands,0.377,6.359
2049,Annual,East Midlands,0.330,6.718
2050,Annual,East Midlands,0.361,8.835
2051,Annual,East Midlands,0.389,7.505
2052,Annual,East Midlands,0.428,8.660
2053,Annual,East Midlands,0.405,7.214
2054,Annual,East Midlands,0.356,7.087
2055,Annual,East Midlands,0.398,9.738
2056,Annual,East Midlands,0.390,7.204
2057,Annual,East Midlands,0.464,9.320
2058,Annual,East Midlands,0.423,7.757
2059,Annual,East Midlands,0.392,7.748
2060,Annual,East Midlands,0.443,8.592
2061,Annual,East Midlands,0.370,7.243
2062,Annual,East Midlands,0.384,6.922
2063,Annual,East Midlands,0.369,7.660
2064,Annual,East Midlands,0.328,5.631
2065,Annual,East Midlands,0.362,7.010
2066,Annual,East Midlands,0.367,8.767
2067,Annual,East Midlands,0.401,10.922
2068,Annual,East Midlands,0.372,10.010
2069,Annual,East Midlands,0.328,6.971
2070,Annual,East Midlands,0.345,5.951
2071,Annual,East Midlands,0.406,8.670
2072,Annual,East Midlands,0.375,6.796
2073,Annual,East Midlands,0.483,8.689
2074,Annual,East Midlands,0.470,7.097
2075,Annual,East Midlands,0.379,6.553
2076,Annual,East Midlands,0.439,7.650
2077,Annual,East Midlands,0.421,11.087
2078,Annual,East Midlands,0.390,6.369
2079,Annual,East Midlands,0.382,6.864
2080,Annual,East Midlands,0.366,7.670
1981,Annual,East of England,0.373,7.460
1982,Annual,East of England,0.351,6.984
1983,Annual,East of England,0.413,8.794
1984,Annual,East of England,0.431,11.000
1985,Annual,East of England,0.447,10.683
1986,Annual,East of England,0.395,7.698
1987,Annual,East of England,0.443,12.214
1988,Annual,East of England,0.491,8.857
1989,Annual,East of England,0.429,8.119
1990,Annual,East of England,0.396,7.500
1991,Annual,East of England,0.418,7.849
1992,Annual,East of England,0.443,9.730
1993,Annual,East of England,0.425,12.143
1994,Annual,East of England,0.428,9.611
1995,Annual,East of England,0.459,8.444
1996,Annual,East of England,0.442,9.349
1997,Annual,East of England,0.413,9.040
1998,Annual,East of England,0.398,8.540
1999,Annual,East of England,0.446,12.516
2000,Annual,East of England,0.424,12.516
2001,Annual,East of England,0.431,9.175
2002,Annual,East of England,0.445,9.310
2003,Annual,East of England,0.433,7.595
2004,Annual,East of England,0.430,7.532
2005,Annual,East of England,0.347,9.484
2006,Annual,East of England,0.401,11.437
2007,Annual,East of England,0.415,10.730
2008,Annual,East of England,0.366,7.206
2009,Annual,East of England,0.384,8.405
2010,Annual,East of England,0.407,11.373
2011,Annual,East of England,0.406,8.087
2012,Annual,East of England,0.441,9.929
2013,Annual,East of England,0.451,7.302
2014,Annual,East of England,0.436,7.778
2015,Annual,East of England,0.436,8.143
2016,Annual,East of England,0.442,10.516
2017,Annual,East of England,0.381,7.365
2018,Annual,East of England,0.348,8.135
2019,Annual,East of England,0.334,6.690
2020,Annual,East of England,0.405,8.675
2021,Annual,East of England,0.367,7.143
2022,Annual,East of England,0.387,9.214
2023,Annual,East of England,0.402,9.968
2024,Annual,East of England,0.345,6.659
2025,Annual,East of England,0.454,8.238
2026,Annual,East of England,0.382,6.159
2027,Annual,East of England,0.340,8.762
2028,Annual,East of England,0.372,7.921
2029,Annual,East of England,0.386,9.079
2030,Annual,East of England,0.371,7.024
2031,Annual,East of England,0.402,8.524
2032,Annual,East of England,0.359,8.278
2033,Annual,East of England,0.426,9.198
2034,Annual,East of England,0.451,7.500
2035,Annual,East of England,0.367,11.222
2036,Annual,East of England,0.367,7.698
2037,Annual,East of England,0.407,7.532
2038,Annual,East of England,0.419,10.341
