Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.419,10.071
1982,Annual,East Midlands,0.390,11.495
1983,Annual,East Midlands,0.476,15.657
1984,Annual,East Midlands,0.416,9.515
1985,Annual,East Midlands,0.384,8.010
1986,Annual,East Midlands,0.444,9.495
1987,Annual,East Midlands,0.364,7.333
1988,Annual,East Midlands,0.467,7.798
1989,Annual,East Midlands,0.413,8.818
1990,Annual,East Midlands,0.466,8.838
1991,Annual,East Midlands,0.419,11.051
1992,Annual,East Midlands,0.407,11.960
1993,Annual,East Midlands,0.438,12.606
1994,Annual,East Midlands,0.437,18.091
1995,Annual,East Midlands,0.406,10.182
1996,Annual,East Midlands,0.452,9.970
1997,Annual,East Midlands,0.448,14.909
1998,Annual,East Midlands,0.510,13.636
1999,Annual,East Midlands,0.449,11.606
2000,Annual,East Midlands,0.360,8.818
2001,Annual,East Midlands,0.478,14.030
2002,Annual,East Midlands,0.439,9.414
2003,Annual,East Midlands,0.467,14.909
2004,Annual,East Midlands,0.411,7.677
2005,Annual,East Midlands,0.367,8.838
2006,Annual,East Midlands,0.403,8.869
2007,Annual,East Midlands,0.407,9.697
2008,Annual,East Midlands,0.443,14.919
2009,Annual,East Midlands,0.408,7.879
2010,Annual,East Midlands,0.386,9.333
2011,Annual,East Midlands,0.395,10.869
2012,Annual,East Midlands,0.468,10.121
2013,Annual,East Midlands,0.444,13.384
2014,Annual,East Midlands,0.470,8.162
2015,Annual,East Midlands,0.388,8.869
2016,Annual,East Midlands,0.447,12.293
2017,Annual,East Midlands,0.415,14.798
2018,Annual,East Midlands,0.438,9.131
2019,Annual,East Midlands,0.440,9.283
2020,Annual,East Midlands,0.493,17.020
2021,Annual,East Midlands,0.428,11.717
2022,Annual,East Midlands,0.462,15.071
2023,Annual,East Midlands,0.379,8.929
2024,Annual,East Midlands,0.386,13.384
2025,Annual,East Midlands,0.477,12.091
2026,Annual,East Midlands,0.429,10.141
2027,Annual,East Midlands,0.423,13.808
2028,Annual,East Midlands,0.389,10.626
2029,Annual,East Midlands,0.449,14.333
2030,Annual,East Midlands,0.421,13.364
2031,Annual,East Midlands,0.426,9.828
2032,Annual,East Midlands,0.457,13.121
2033,Annual,East Midlands,0.420,7.747
2034,Annual,East Midlands,0.478,11.061
2035,Annual,East Midlands,0.391,11.040
2036,Annual,East Midlands,0.320,6.960
2037,Annual,East Midlands,0.506,11.980
2038,Annual,East Midlands,0.419,10.990
2039,Annual,East Midlands,0.473,14.525
2040,Annual,East Midlands,0.402,9.030
2041,Annual,East Midlands,0.455,10.576
2042,Annual,East Midlands,0.489,18.636
2043,Annual,East Midlands,0.463,8.404
2044,Annual,East Midlands,0.411,8.434
2045,Annual,East Midlands,0.502,12.485
2046,Annual,East Midlands,0.420,12.141
2047,Annual,East Midlands,0.423,10.889
2048,Annual,East Midlands,0.434,12.525
2049,Annual,East Midlands,0.380,7.576
2050,Annual,East Midlands,0.458,9.687
2051,Annual,East Midlands,0.459,10.444
2052,Annual,East Midlands,0.422,12.717
2053,Annual,East Midlands,0.435,11.646
2054,Annual,East Midlands,0.428,9.990
2055,Annual,East Midlands,0.405,8.909
2056,Annual,East Midlands,0.465,9.747
2057,Annual,East Midlands,0.382,11.263
2058,Annual,East Midlands,0.429,9.657
2059,Annual,East Midlands,0.402,10.939
2060,Annual,East Midlands,0.402,10.808
2061,Annual,East Midlands,0.387,9.222
2062,Annual,East Midlands,0.416,9.333
2063,Annual,East Midlands,0.428,9.192
2064,Annual,East Midlands,0.453,8.586
2065,Annual,East Midlands,0.421,8.313
2066,Annual,East Midlands,0.439,9.303
2067,Annual,East Midlands,0.377,12.646
2068,Annual,East Midlands,0.482,11.768
2069,Annual,East Midlands,0.417,10.737
