Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.468,11.367
1982,Annual,East Midlands,0.467,10.092
1983,Annual,East Midlands,0.469,10.439
1984,Annual,East Midlands,0.481,9.908
1985,Annual,East Midlands,0.471,9.592
1986,Annual,East Midlands,0.542,12.051
1987,Annual,East Midlands,0.492,9.684
1988,Annual,East Midlands,0.431,9.235
1989,Annual,East Midlands,0.492,11.602
1990,Annual,East Midlands,0.419,7.694
1991,Annual,East Midlands,0.459,9.653
1992,Annual,East Midlands,0.461,10.010
1993,Annual,East Midlands,0.455,10.867
1994,Annual,East Midlands,0.402,7.337
1995,Annual,East Midlands,0.399,8.816
1996,Annual,East Midlands,0.474,8.316
1997,Annual,East Midlands,0.495,9.786
1998,Annual,East Midlands,0.473,8.888
1999,Annual,East Midlands,0.453,10.449
2000,Annual,East Midlands,0.438,8.347
2001,Annual,East Midlands,0.445,8.347
2002,Annual,East Midlands,0.399,7.337
2003,Annual,East Midlands,0.500,15.163
2004,Annual,East Midlands,0.437,7.980
2005,Annual,East Midlands,0.449,7.337
2006,Annual,East Midlands,0.444,7.643
2007,Annual,East Midlands,0.433,10.776
2008,Annual,East Midlands,0.472,11.153
2009,Annual,East Midlands,0.511,10.143
2010,Annual,East Midlands,0.473,11.082
2011,Annual,East Midlands,0.444,11.816
2012,Annual,East Midlands,0.483,9.582
2013,Annual,East Midlands,0.474,10.520
2014,Annual,East Midlands,0.445,8.102
2015,Annual,East Midlands,0.484,12.082
2016,Annual,East Midlands,0.422,7.663
2017,Annual,East Midlands,0.463,13.888
2018,Annual,East Midlands,0.486,12.122
2019,Annual,East Midlands,0.448,9.837
2020,Annual,East Midlands,0.480,12.102
2021,Annual,East Midlands,0.451,10.020
2022,Annual,East Midlands,0.402,9.010
2023,Annual,East Midlands,0.436,9.041
2024,Annual,East Midlands,0.409,9.020
2025,Annual,East Midlands,0.417,8.582
2026,Annual,East Midlands,0.435,11.480
2027,Annual,East Midlands,0.460,10.980
2028,Annual,East Midlands,0.428,8.327
2029,Annual,East Midlands,0.386,7.316
2030,Annual,East Midlands,0.456,8.816
2031,Annual,East Midlands,0.469,13.857
2032,Annual,East Midlands,0.421,9.051
2033,Annual,East Midlands,0.455,14.908
2034,Annual,East Midlands,0.479,8.214
2035,Annual,East Midlands,0.372,7.908
2036,Annual,East Midlands,0.464,10.949
2037,Annual,East Midlands,0.501,9.143
2038,Annual,East Midlands,0.435,7.714
2039,Annual,East Midlands,0.470,9.602
2040,Annual,East Midlands,0.450,10.153
2041,Annual,East Midlands,0.444,11.847
2042,Annual,East Midlands,0.417,9.327
2043,Annual,East Midlands,0.444,9.418
2044,Annual,East Midlands,0.506,10.622
2045,Annual,East Midlands,0.445,9.898
2046,Annual,East Midlands,0.423,9.980
2047,Annual,East Midlands,0.412,6.949
2048,Annual,East Midlands,0.390,9.143
2049,Annual,East Midlands,0.419,10.010
2050,Annual,East Midlands,0.428,9.276
2051,Annual,East Midlands,0.451,9.122
2052,Annual,East Midlands,0.482,10.337
2053,Annual,East Midlands,0.457,8.653
2054,Annual,East Midlands,0.460,9.633
2055,Annual,East Midlands,0.421,10.653
2056,Annual,East Midlands,0.441,8.418
2057,Annual,East Midlands,0.424,8.429
2058,Annual,East Midlands,0.416,8.908
2059,Annual,East Midlands,0.436,8.378
2060,Annual,East Midlands,0.421,9.837
2061,Annual,East Midlands,0.405,7.571
2062,Annual,East Midlands,0.392,9.816
2063,Annual,East Midlands,0.424,9.133
2064,Annual,East Midlands,0.499,8.633
2065,Annual,East Midlands,0.465,14.082
2066,Annual,East Midlands,0.455,9.643
2067,Annual,East Midlands,0.414,14.622
2068,Annual,East Midlands,0.440,9.296
2069,Annual,East Midlands,0.433,9.245
2070,Annual,East Midlands,0.442,9.214
2071,Annual,East Midlands,0.435,10.296
2072,Annual,East Midlands,0.486,10.765
2073,Annual,East Midlands,0.419,9.704
2074,Annual,East Midlands,0.486,11.020
2075,Annual,East Midlands,0.461,11.418
2076,Annual,East Midlands,0.458,10.439
2077,Annual,East Midlands,0.392,9.306
2078,Annual,East Midlands,0.499,9.827
2079,Annual,East Midlands,0.420,12.582
2080,Annual,East Midlands,0.422,8.673
1981,Annual,East of England,0.423,9.726
1982,Annual,East of England,0.439,8.226
1983,Annual,East of England,0.427,9.782
1984,Annual,East of England,0.444,8.153
1985,Annual,East of England,0.436,6.476
1986,Annual,East of England,0.507,9.524
1987,Annual,East of England,0.454,7.589
1988,Annual,East of England,0.380,7.379
1989,Annual,East of England,0.464,9.613
1990,Annual,East of England,0.392,8.016
1991,Annual,East of England,0.431,8.266
1992,Annual,East of England,0.429,8.621
1993,Annual,East of England,0.421,10.831
1994,Annual,East of England,0.380,7.903
1995,Annual,East of England,0.361,9.790
1996,Annual,East of England,0.457,8.266
1997,Annual,East of England,0.427,10.379
1998,Annual,East of England,0.434,9.387
1999,Annual,East of England,0.414,7.677
2000,Annual,East of England,0.411,8.532
2001,Annual,East of England,0.417,11.355
2002,Annual,East of England,0.396,7.637
2003,Annual,East of England,0.469,12.145
2004,Annual,East of England,0.392,7.282
2005,Annual,East of England,0.407,6.798
2006,Annual,East of England,0.408,8.927
2007,Annual,East of England,0.429,12.065
2008,Annual,East of England,0.421,8.113
2009,Annual,East of England,0.479,7.500
2010,Annual,East of England,0.444,9.073
2011,Annual,East of England,0.419,10.315
2012,Annual,East of England,0.473,9.427
2013,Annual,East of England,0.450,9.484
2014,Annual,East of England,0.425,6.944
2015,Annual,East of England,0.427,7.927
2016,Annual,East of England,0.408,8.637
2017,Annual,East of England,0.432,12.597
2018,Annual,East of England,0.448,12.944
2019,Annual,East of England,0.418,8.403
2020,Annual,East of England,0.440,8.927
2021,Annual,East of England,0.444,11.097
2022,Annual,East of England,0.374,7.435
2023,Annual,East of England,0.398,9.476
2024,Annual,East of England,0.353,8.226
2025,Annual,East of England,0.379,9.081
2026,Annual,East of England,0.395,8.476
2027,Annual,East of England,0.434,9.831
2028,Annual,East of England,0.408,7.702
2029,Annual,East of England,0.353,6.927
2030,Annual,East of England,0.435,7.355
2031,Annual,East of England,0.467,11.645
2032,Annual,East of England,0.390,8.347
2033,Annual,East of England,0.423,9.863
2034,Annual,East of England,0.444,8.653
2035,Annual,East of England,0.338,7.089
2036,Annual,East of England,0.419,10.024
2037,Annual,East of England,0.468,8.234
2038,Annual,East of England,0.415,7.863
2039,Annual,East of England,0.437,7.589
2040,Annual,East of England,0.408,7.758
2041,Annual,East of England,0.410,10.250
2042,Annual,East of England,0.393,8.024
2043,Annual,East of England,0.424,7.605
2044,Annual,East of England,0.492,12.847
2045,Annual,East of England,0.407,9.315
2046,Annual,East of England,0.398,8.097
2047,Annual,East of England,0.423,7.855
2048,Annual,East of England,0.339,6.444
2049,Annual,East of England,0.389,8.960
2050,Annual,East of England,0.388,10.621
2051,Annual,East of England,0.444,8.218
2052,Annual,East of England,0.443,8.290
2053,Annual,East of England,0.429,8.105
2054,Annual,East of England,0.410,7.315
2055,Annual,East of England,0.405,8.347
2056,Annual,East of England,0.395,7.145
2057,Annual,East of England,0.415,9.073
2058,Annual,East of England,0.410,10.435
2059,Annual,East of England,0.404,8.137
2060,Annual,East of England,0.394,9.145
2061,Annual,East of England,0.365,6.742
2062,Annual,East of England,0.384,8.831
2063,Annual,East of England,0.395,7.468
2064,Annual,East of England,0.454,7.677
2065,Annual,East of England,0.446,12.806
2066,Annual,East of England,0.427,8.613
2067,Annual,East of England,0.375,12.589
2068,Annual,East of England,0.416,8.484
2069,Annual,East of England,0.415,10.242
2070,Annual,East of England,0.406,7.879
2071,Annual,East of England,0.414,9.452
2072,Annual,East of England,0.441,8.694
2073,Annual,East of England,0.373,8.000
2074,Annual,East of England,0.457,11.266
2075,Annual,East of England,0.424,10.105
2076,Annual,East of England,0.433,8.532
2077,Annual,East of England,0.370,7.492
2078,Annual,East of England,0.451,8.161
2079,Annual,East of England,0.380,7.823
2080,Annual,East of England,0.378,6.903
1981,Annual,East Scotland,0.587,14.321
1982,Annual,East Scotland,0.619,18.763
1983,Annual,East Scotland,0.596,18.474
1984,Annual,East Scotland,0.592,13.404
1985,Annual,East Scotland,0.606,16.910
1986,Annual,East Scotland,0.668,18.846
1987,Annual,East Scotland,0.676,21.256
1988,Annual,East Scotland,0.586,12.769
1989,Annual,East Scotland,0.621,16.987
1990,Annual,East Scotland,0.591,13.494
1991,Annual,East Scotland,0.639,19.417
1992,Annual,East Scotland,0.629,20.942
1993,Annual,East Scotland,0.632,19.654
1994,Annual,East Scotland,0.538,13.942
1995,Annual,East Scotland,0.585,15.212
1996,Annual,East Scotland,0.627,19.186
1997,Annual,East Scotland,0.628,17.122
1998,Annual,East Scotland,0.596,14.628
1999,Annual,East Scotland,0.600,23.455
2000,Annual,East Scotland,0.560,13.782
2001,Annual,East Scotland,0.575,18.891
2002,Annual,East Scotland,0.564,14.981
2003,Annual,East Scotland,0.548,13.340
2004,Annual,East Scotland,0.601,15.282
2005,Annual,East Scotland,0.602,16.276
2006,Annual,East Scotland,0.584,17.692
2007,Annual,East Scotland,0.582,17.635
2008,Annual,East Scotland,0.667,19.365
2009,Annual,East Scotland,0.617,15.090
