Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.408,8.106
1982,Annual,East Midlands,0.433,9.298
1983,Annual,East Midlands,0.431,9.058
1984,Annual,East Midlands,0.429,7.769
1985,Annual,East Midlands,0.414,7.837
1986,Annual,East Midlands,0.474,8.490
1987,Annual,East Midlands,0.431,8.221
1988,Annual,East Midlands,0.406,8.356
1989,Annual,East Midlands,0.421,9.144
1990,Annual,East Midlands,0.383,8.471
1991,Annual,East Midlands,0.416,5.712
1992,Annual,East Midlands,0.418,8.240
1993,Annual,East Midlands,0.401,8.096
1994,Annual,East Midlands,0.347,6.760
1995,Annual,East Midlands,0.373,8.154
1996,Annual,East Midlands,0.421,6.856
1997,Annual,East Midlands,0.420,6.894
1998,Annual,East Midlands,0.412,6.885
1999,Annual,East Midlands,0.408,6.490
2000,Annual,East Midlands,0.362,6.779
2001,Annual,East Midlands,0.390,7.837
2002,Annual,East Midlands,0.380,6.779
2003,Annual,East Midlands,0.422,9.413
2004,Annual,East Midlands,0.387,7.529
2005,Annual,East Midlands,0.379,6.404
2006,Annual,East Midlands,0.399,5.875
2007,Annual,East Midlands,0.452,7.962
2008,Annual,East Midlands,0.473,8.192
2009,Annual,East Midlands,0.462,9.413
2010,Annual,East Midlands,0.399,6.663
2011,Annual,East Midlands,0.409,8.144
2012,Annual,East Midlands,0.485,9.779
2013,Annual,East Midlands,0.396,6.500
2014,Annual,East Midlands,0.386,6.779
2015,Annual,East Midlands,0.445,7.587
2016,Annual,East Midlands,0.387,11.019
2017,Annual,East Midlands,0.405,8.865
2018,Annual,East Midlands,0.431,8.250
2019,Annual,East Midlands,0.387,6.894
2020,Annual,East Midlands,0.464,8.606
2021,Annual,East Midlands,0.436,9.029
2022,Annual,East Midlands,0.365,7.663
2023,Annual,East Midlands,0.383,7.519
2024,Annual,East Midlands,0.360,7.038
2025,Annual,East Midlands,0.320,5.923
2026,Annual,East Midlands,0.405,8.740
2027,Annual,East Midlands,0.419,8.308
2028,Annual,East Midlands,0.402,8.394
2029,Annual,East Midlands,0.368,6.846
2030,Annual,East Midlands,0.388,6.567
2031,Annual,East Midlands,0.448,8.971
