Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.459,7.184
1982,Annual,East Midlands,0.456,7.485
1983,Annual,East Midlands,0.453,8.718
1984,Annual,East Midlands,0.424,7.049
1985,Annual,East Midlands,0.460,8.709
1986,Annual,East Midlands,0.492,8.835
1987,Annual,East Midlands,0.467,7.563
1988,Annual,East Midlands,0.437,8.049
1989,Annual,East Midlands,0.478,10.388
1990,Annual,East Midlands,0.442,8.650
1991,Annual,East Midlands,0.484,7.845
1992,Annual,East Midlands,0.479,9.738
1993,Annual,East Midlands,0.427,7.553
1994,Annual,East Midlands,0.428,6.728
1995,Annual,East Midlands,0.421,9.913
1996,Annual,East Midlands,0.432,6.068
1997,Annual,East Midlands,0.466,8.650
1998,Annual,East Midlands,0.423,7.806
1999,Annual,East Midlands,0.439,8.990
2000,Annual,East Midlands,0.426,9.204
2001,Annual,East Midlands,0.445,7.893
2002,Annual,East Midlands,0.449,8.699
2003,Annual,East Midlands,0.454,8.816
2004,Annual,East Midlands,0.420,7.466
2005,Annual,East Midlands,0.465,7.204
2006,Annual,East Midlands,0.520,9.515
2007,Annual,East Midlands,0.500,8.534
2008,Annual,East Midlands,0.483,8.689
2009,Annual,East Midlands,0.467,9.718
2010,Annual,East Midlands,0.476,8.971
2011,Annual,East Midlands,0.451,8.194
2012,Annual,East Midlands,0.470,10.845
2013,Annual,East Midlands,0.454,8.680
2014,Annual,East Midlands,0.394,6.757
2015,Annual,East Midlands,0.472,8.515
2016,Annual,East Midlands,0.439,13.223
2017,Annual,East Midlands,0.441,8.621
2018,Annual,East Midlands,0.490,7.718
2019,Annual,East Midlands,0.460,8.379
2020,Annual,East Midlands,0.478,8.485
2021,Annual,East Midlands,0.478,9.816
2022,Annual,East Midlands,0.429,8.272
2023,Annual,East Midlands,0.446,7.233
2024,Annual,East Midlands,0.388,6.951
2025,Annual,East Midlands,0.404,6.942
2026,Annual,East Midlands,0.503,9.670
2027,Annual,East Midlands,0.448,9.777
2028,Annual,East Midlands,0.409,7.864
2029,Annual,East Midlands,0.430,7.252
2030,Annual,East Midlands,0.435,8.757
2031,Annual,East Midlands,0.491,9.767
2032,Annual,East Midlands,0.441,6.350
2033,Annual,East Midlands,0.447,11.845
2034,Annual,East Midlands,0.426,7.233
2035,Annual,East Midlands,0.424,7.864
2036,Annual,East Midlands,0.428,8.563
2037,Annual,East Midlands,0.435,6.990
2038,Annual,East Midlands,0.446,7.573
2039,Annual,East Midlands,0.487,7.427
2040,Annual,East Midlands,0.439,8.194
2041,Annual,East Midlands,0.464,11.126
2042,Annual,East Midlands,0.423,6.621
2043,Annual,East Midlands,0.426,8.330
2044,Annual,East Midlands,0.478,8.049
2045,Annual,East Midlands,0.406,6.058
2046,Annual,East Midlands,0.410,8.301
