Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.494,10.942
1982,Annual,East Midlands,0.461,8.077
1983,Annual,East Midlands,0.455,11.817
1984,Annual,East Midlands,0.449,8.413
1985,Annual,East Midlands,0.445,11.538
1986,Annual,East Midlands,0.525,8.481
1987,Annual,East Midlands,0.491,10.663
1988,Annual,East Midlands,0.432,9.269
1989,Annual,East Midlands,0.498,11.490
1990,Annual,East Midlands,0.437,8.394
1991,Annual,East Midlands,0.447,8.702
1992,Annual,East Midlands,0.445,7.894
1993,Annual,East Midlands,0.423,7.798
1994,Annual,East Midlands,0.417,10.365
1995,Annual,East Midlands,0.405,8.433
1996,Annual,East Midlands,0.470,9.692
1997,Annual,East Midlands,0.454,9.163
1998,Annual,East Midlands,0.484,9.606
1999,Annual,East Midlands,0.458,9.779
2000,Annual,East Midlands,0.424,7.913
2001,Annual,East Midlands,0.445,8.596
2002,Annual,East Midlands,0.438,8.433
2003,Annual,East Midlands,0.472,11.019
2004,Annual,East Midlands,0.426,10.942
2005,Annual,East Midlands,0.451,8.356
2006,Annual,East Midlands,0.464,10.423
2007,Annual,East Midlands,0.506,12.615
2008,Annual,East Midlands,0.499,10.471
2009,Annual,East Midlands,0.524,11.500
2010,Annual,East Midlands,0.460,11.913
2011,Annual,East Midlands,0.439,11.942
2012,Annual,East Midlands,0.530,11.115
2013,Annual,East Midlands,0.448,8.702
2014,Annual,East Midlands,0.410,8.798
2015,Annual,East Midlands,0.506,10.846
2016,Annual,East Midlands,0.433,9.135
2017,Annual,East Midlands,0.450,15.952
2018,Annual,East Midlands,0.517,11.817
2019,Annual,East Midlands,0.463,13.356
2020,Annual,East Midlands,0.518,10.663
2021,Annual,East Midlands,0.455,7.385
2022,Annual,East Midlands,0.433,10.163
2023,Annual,East Midlands,0.431,11.269
2024,Annual,East Midlands,0.380,9.712
2025,Annual,East Midlands,0.373,7.115
2026,Annual,East Midlands,0.443,9.087
2027,Annual,East Midlands,0.501,11.279
2028,Annual,East Midlands,0.434,10.933
2029,Annual,East Midlands,0.409,9.981
2030,Annual,East Midlands,0.460,9.760
2031,Annual,East Midlands,0.448,8.798
2032,Annual,East Midlands,0.438,6.971
2033,Annual,East Midlands,0.457,10.240
2034,Annual,East Midlands,0.461,10.394
2035,Annual,East Midlands,0.408,7.808
2036,Annual,East Midlands,0.434,9.875
2037,Annual,East Midlands,0.446,8.577
2038,Annual,East Midlands,0.451,7.769
2039,Annual,East Midlands,0.487,9.769
2040,Annual,East Midlands,0.386,6.808
2041,Annual,East Midlands,0.431,10.375
2042,Annual,East Midlands,0.408,8.913
2043,Annual,East Midlands,0.461,9.442
2044,Annual,East Midlands,0.442,9.067
2045,Annual,East Midlands,0.403,10.067
