Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.490,9.106
1982,Annual,East Midlands,0.496,7.596
1983,Annual,East Midlands,0.469,11.952
1984,Annual,East Midlands,0.462,6.962
1985,Annual,East Midlands,0.494,9.548
1986,Annual,East Midlands,0.538,9.827
1987,Annual,East Midlands,0.531,9.154
1988,Annual,East Midlands,0.471,8.913
1989,Annual,East Midlands,0.480,9.692
1990,Annual,East Midlands,0.489,9.788
1991,Annual,East Midlands,0.499,7.894
1992,Annual,East Midlands,0.506,9.144
1993,Annual,East Midlands,0.448,8.490
1994,Annual,East Midlands,0.466,8.846
1995,Annual,East Midlands,0.447,10.163
1996,Annual,East Midlands,0.493,10.058
1997,Annual,East Midlands,0.468,9.856
1998,Annual,East Midlands,0.478,10.385
1999,Annual,East Midlands,0.487,10.423
2000,Annual,East Midlands,0.430,9.865
2001,Annual,East Midlands,0.475,8.433
2002,Annual,East Midlands,0.430,7.933
2003,Annual,East Midlands,0.433,9.183
2004,Annual,East Midlands,0.492,8.875
2005,Annual,East Midlands,0.465,6.298
2006,Annual,East Midlands,0.477,7.048
2007,Annual,East Midlands,0.516,11.750
2008,Annual,East Midlands,0.524,9.558
2009,Annual,East Midlands,0.502,9.481
2010,Annual,East Midlands,0.514,11.577
2011,Annual,East Midlands,0.498,9.558
2012,Annual,East Midlands,0.535,11.933
2013,Annual,East Midlands,0.453,9.904
2014,Annual,East Midlands,0.462,7.740
2015,Annual,East Midlands,0.520,10.760
2016,Annual,East Midlands,0.446,11.010
2017,Annual,East Midlands,0.450,9.913
2018,Annual,East Midlands,0.469,10.769
2019,Annual,East Midlands,0.472,8.827
2020,Annual,East Midlands,0.528,10.808
2021,Annual,East Midlands,0.553,13.356
2022,Annual,East Midlands,0.469,11.827
2023,Annual,East Midlands,0.473,9.202
2024,Annual,East Midlands,0.429,7.808
2025,Annual,East Midlands,0.417,9.365
2026,Annual,East Midlands,0.466,10.394
2027,Annual,East Midlands,0.480,9.269
2028,Annual,East Midlands,0.456,12.067
2029,Annual,East Midlands,0.451,8.779
2030,Annual,East Midlands,0.446,8.404
2031,Annual,East Midlands,0.496,10.365
2032,Annual,East Midlands,0.473,8.769
2033,Annual,East Midlands,0.456,8.212
2034,Annual,East Midlands,0.454,9.913
2035,Annual,East Midlands,0.421,7.962
2036,Annual,East Midlands,0.469,10.990
2037,Annual,East Midlands,0.490,9.798
2038,Annual,East Midlands,0.493,9.692
2039,Annual,East Midlands,0.483,9.240
2040,Annual,East Midlands,0.430,7.673
2041,Annual,East Midlands,0.493,13.202
2042,Annual,East Midlands,0.453,7.173
2043,Annual,East Midlands,0.489,12.346
2044,Annual,East Midlands,0.465,8.625
2045,Annual,East Midlands,0.430,8.337
2046,Annual,East Midlands,0.452,8.923
2047,Annual,East Midlands,0.453,6.933
2048,Annual,East Midlands,0.457,8.875
2049,Annual,East Midlands,0.478,8.288
2050,Annual,East Midlands,0.460,8.971
2051,Annual,East Midlands,0.474,11.558
2052,Annual,East Midlands,0.498,8.019
2053,Annual,East Midlands,0.462,9.077
2054,Annual,East Midlands,0.464,7.587
2055,Annual,East Midlands,0.483,13.308
2056,Annual,East Midlands,0.465,8.192
2057,Annual,East Midlands,0.475,10.202
2058,Annual,East Midlands,0.439,7.942
2059,Annual,East Midlands,0.454,9.990
2060,Annual,East Midlands,0.462,7.548
2061,Annual,East Midlands,0.422,6.740
2062,Annual,East Midlands,0.490,9.183
2063,Annual,East Midlands,0.467,8.288
2064,Annual,East Midlands,0.537,9.538
2065,Annual,East Midlands,0.489,8.481
2066,Annual,East Midlands,0.440,9.356
2067,Annual,East Midlands,0.433,9.010
2068,Annual,East Midlands,0.511,9.654
2069,Annual,East Midlands,0.462,8.538
2070,Annual,East Midlands,0.464,8.625
2071,Annual,East Midlands,0.461,8.183
2072,Annual,East Midlands,0.523,9.135
2073,Annual,East Midlands,0.454,9.067
2074,Annual,East Midlands,0.474,8.990
2075,Annual,East Midlands,0.490,8.846
2076,Annual,East Midlands,0.493,9.394
2077,Annual,East Midlands,0.454,9.240
2078,Annual,East Midlands,0.499,8.635
2079,Annual,East Midlands,0.490,11.933
1981,Annual,East of England,0.466,8.930
1982,Annual,East of England,0.479,8.062
1983,Annual,East of England,0.466,12.922
1984,Annual,East of England,0.462,7.907
1985,Annual,East of England,0.479,9.202
1986,Annual,East of England,0.517,9.713
1987,Annual,East of England,0.509,9.225
1988,Annual,East of England,0.470,11.225
1989,Annual,East of England,0.474,8.357
1990,Annual,East of England,0.477,9.124
1991,Annual,East of England,0.487,9.295
1992,Annual,East of England,0.491,9.667
1993,Annual,East of England,0.412,9.147
1994,Annual,East of England,0.445,9.380
1995,Annual,East of England,0.413,9.450
1996,Annual,East of England,0.466,9.264
1997,Annual,East of England,0.427,7.217
1998,Annual,East of England,0.467,8.202
1999,Annual,East of England,0.464,9.853
2000,Annual,East of England,0.418,8.984
2001,Annual,East of England,0.481,9.395
2002,Annual,East of England,0.433,8.256
2003,Annual,East of England,0.422,9.760
2004,Annual,East of England,0.491,8.318
2005,Annual,East of England,0.449,6.636
2006,Annual,East of England,0.457,6.899
2007,Annual,East of England,0.493,10.992
2008,Annual,East of England,0.507,10.186
2009,Annual,East of England,0.500,9.566
2010,Annual,East of England,0.482,10.543
2011,Annual,East of England,0.477,8.930
2012,Annual,East of England,0.552,11.202
2013,Annual,East of England,0.444,10.093
2014,Annual,East of England,0.449,7.349
2015,Annual,East of England,0.502,9.946
2016,Annual,East of England,0.430,9.070
2017,Annual,East of England,0.445,8.279
2018,Annual,East of England,0.465,11.388
2019,Annual,East of England,0.439,9.023
2020,Annual,East of England,0.528,9.147
2021,Annual,East of England,0.528,12.884
2022,Annual,East of England,0.476,10.791
2023,Annual,East of England,0.447,8.519
2024,Annual,East of England,0.403,6.891
2025,Annual,East of England,0.400,8.403
2026,Annual,East of England,0.459,10.287
2027,Annual,East of England,0.466,8.690
2028,Annual,East of England,0.450,11.822
2029,Annual,East of England,0.425,8.217
2030,Annual,East of England,0.445,9.426
2031,Annual,East of England,0.491,9.744
2032,Annual,East of England,0.453,7.767
2033,Annual,East of England,0.450,9.000
2034,Annual,East of England,0.436,8.202
2035,Annual,East of England,0.403,7.543
2036,Annual,East of England,0.470,10.946
2037,Annual,East of England,0.484,14.574
2038,Annual,East of England,0.479,9.388
2039,Annual,East of England,0.481,9.814
2040,Annual,East of England,0.426,7.178
2041,Annual,East of England,0.480,10.349
2042,Annual,East of England,0.441,8.062
2043,Annual,East of England,0.486,11.233
2044,Annual,East of England,0.451,7.364
2045,Annual,East of England,0.423,8.047
2046,Annual,East of England,0.432,8.915
2047,Annual,East of England,0.444,7.953
2048,Annual,East of England,0.440,8.287
