Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.578,13.702
1982,Annual,East Midlands,0.544,10.788
1983,Annual,East Midlands,0.546,13.971
1984,Annual,East Midlands,0.527,9.865
1985,Annual,East Midlands,0.544,11.212
1986,Annual,East Midlands,0.589,13.144
1987,Annual,East Midlands,0.562,9.615
1988,Annual,East Midlands,0.522,11.337
1989,Annual,East Midlands,0.557,15.558
1990,Annual,East Midlands,0.518,10.894
1991,Annual,East Midlands,0.496,8.500
1992,Annual,East Midlands,0.537,11.019
1993,Annual,East Midlands,0.535,9.327
1994,Annual,East Midlands,0.481,9.519
1995,Annual,East Midlands,0.511,11.250
1996,Annual,East Midlands,0.554,12.279
1997,Annual,East Midlands,0.529,10.067
1998,Annual,East Midlands,0.556,11.231
1999,Annual,East Midlands,0.556,12.385
2000,Annual,East Midlands,0.472,11.067
2001,Annual,East Midlands,0.544,10.788
2002,Annual,East Midlands,0.511,9.538
2003,Annual,East Midlands,0.538,11.462
2004,Annual,East Midlands,0.577,9.990
2005,Annual,East Midlands,0.545,9.644
2006,Annual,East Midlands,0.553,12.923
2007,Annual,East Midlands,0.573,14.356
2008,Annual,East Midlands,0.567,12.202
2009,Annual,East Midlands,0.530,11.221
2010,Annual,East Midlands,0.555,10.692
2011,Annual,East Midlands,0.556,10.673
2012,Annual,East Midlands,0.567,12.163
2013,Annual,East Midlands,0.530,10.538
2014,Annual,East Midlands,0.500,11.356
2015,Annual,East Midlands,0.557,13.625
2016,Annual,East Midlands,0.508,11.481
2017,Annual,East Midlands,0.521,8.567
2018,Annual,East Midlands,0.563,12.567
2019,Annual,East Midlands,0.519,10.625
2020,Annual,East Midlands,0.587,10.933
2021,Annual,East Midlands,0.588,14.750
2022,Annual,East Midlands,0.547,12.010
2023,Annual,East Midlands,0.515,13.096
2024,Annual,East Midlands,0.471,10.019
2025,Annual,East Midlands,0.461,8.596
2026,Annual,East Midlands,0.584,15.519
2027,Annual,East Midlands,0.554,10.260
2028,Annual,East Midlands,0.538,10.596
2029,Annual,East Midlands,0.510,11.337
2030,Annual,East Midlands,0.483,10.135
2031,Annual,East Midlands,0.562,14.567
2032,Annual,East Midlands,0.480,6.971
2033,Annual,East Midlands,0.497,10.587
