Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.461,9.835
1982,Annual,East Midlands,0.416,9.709
1983,Annual,East Midlands,0.394,10.379
1984,Annual,East Midlands,0.423,7.767
1985,Annual,East Midlands,0.421,7.476
1986,Annual,East Midlands,0.465,8.553
1987,Annual,East Midlands,0.495,10.728
1988,Annual,East Midlands,0.412,8.563
1989,Annual,East Midlands,0.429,10.330
1990,Annual,East Midlands,0.410,11.350
1991,Annual,East Midlands,0.443,7.282
1992,Annual,East Midlands,0.420,8.660
1993,Annual,East Midlands,0.385,7.641
1994,Annual,East Midlands,0.354,6.544
1995,Annual,East Midlands,0.401,11.126
1996,Annual,East Midlands,0.432,8.709
1997,Annual,East Midlands,0.450,7.621
1998,Annual,East Midlands,0.409,8.718
1999,Annual,East Midlands,0.405,7.825
2000,Annual,East Midlands,0.354,7.078
2001,Annual,East Midlands,0.422,7.534
2002,Annual,East Midlands,0.383,8.951
2003,Annual,East Midlands,0.404,9.893
2004,Annual,East Midlands,0.420,9.476
2005,Annual,East Midlands,0.404,7.417
2006,Annual,East Midlands,0.452,8.340
2007,Annual,East Midlands,0.409,7.961
2008,Annual,East Midlands,0.464,8.922
2009,Annual,East Midlands,0.440,10.078
2010,Annual,East Midlands,0.417,15.767
2011,Annual,East Midlands,0.466,11.039
2012,Annual,East Midlands,0.460,9.136
2013,Annual,East Midlands,0.425,8.049
2014,Annual,East Midlands,0.422,7.155
2015,Annual,East Midlands,0.474,12.117
2016,Annual,East Midlands,0.378,6.903
2017,Annual,East Midlands,0.400,12.117
2018,Annual,East Midlands,0.476,9.612
2019,Annual,East Midlands,0.437,9.806
2020,Annual,East Midlands,0.481,8.874
2021,Annual,East Midlands,0.467,10.233
2022,Annual,East Midlands,0.399,10.320
2023,Annual,East Midlands,0.414,8.311
2024,Annual,East Midlands,0.392,7.777
2025,Annual,East Midlands,0.390,6.961
2026,Annual,East Midlands,0.407,9.495
2027,Annual,East Midlands,0.461,11.320
2028,Annual,East Midlands,0.419,8.680
2029,Annual,East Midlands,0.392,7.068
2030,Annual,East Midlands,0.443,9.971
2031,Annual,East Midlands,0.438,11.039
2032,Annual,East Midlands,0.409,7.039
2033,Annual,East Midlands,0.415,6.854
2034,Annual,East Midlands,0.435,7.534
2035,Annual,East Midlands,0.382,8.388
2036,Annual,East Midlands,0.419,9.660
2037,Annual,East Midlands,0.430,8.932
2038,Annual,East Midlands,0.436,7.417
2039,Annual,East Midlands,0.434,7.010
2040,Annual,East Midlands,0.394,8.553
2041,Annual,East Midlands,0.409,11.107
2042,Annual,East Midlands,0.402,7.602
2043,Annual,East Midlands,0.442,8.233
2044,Annual,East Midlands,0.460,13.398
2045,Annual,East Midlands,0.362,8.718
2046,Annual,East Midlands,0.419,8.951
2047,Annual,East Midlands,0.400,8.223
2048,Annual,East Midlands,0.401,8.233
2049,Annual,East Midlands,0.431,7.786
2050,Annual,East Midlands,0.419,8.097
2051,Annual,East Midlands,0.407,7.728
2052,Annual,East Midlands,0.489,9.728
2053,Annual,East Midlands,0.423,7.427
2054,Annual,East Midlands,0.389,7.019
2055,Annual,East Midlands,0.413,8.068
2056,Annual,East Midlands,0.434,7.291
2057,Annual,East Midlands,0.423,9.117
2058,Annual,East Midlands,0.372,8.553
2059,Annual,East Midlands,0.409,8.932
2060,Annual,East Midlands,0.410,7.029
2061,Annual,East Midlands,0.401,9.078
2062,Annual,East Midlands,0.380,6.369
2063,Annual,East Midlands,0.405,8.126
2064,Annual,East Midlands,0.447,9.388
2065,Annual,East Midlands,0.400,9.922
2066,Annual,East Midlands,0.429,7.864
2067,Annual,East Midlands,0.402,8.728
2068,Annual,East Midlands,0.462,8.903
2069,Annual,East Midlands,0.416,8.398
2070,Annual,East Midlands,0.427,7.748
2071,Annual,East Midlands,0.407,6.621
2072,Annual,East Midlands,0.452,9.301
2073,Annual,East Midlands,0.369,7.971
2074,Annual,East Midlands,0.404,6.981
2075,Annual,East Midlands,0.449,8.184
2076,Annual,East Midlands,0.431,8.777
2077,Annual,East Midlands,0.382,7.136
2078,Annual,East Midlands,0.445,8.252
2079,Annual,East Midlands,0.375,7.874
2080,Annual,East Midlands,0.400,8.282
1981,Annual,East of England,0.455,9.595
1982,Annual,East of England,0.419,9.389
1983,Annual,East of England,0.393,8.770
1984,Annual,East of England,0.402,7.643
1985,Annual,East of England,0.420,7.929
1986,Annual,East of England,0.466,9.349
1987,Annual,East of England,0.493,10.000
1988,Annual,East of England,0.420,7.738
1989,Annual,East of England,0.431,9.730
1990,Annual,East of England,0.411,9.921
1991,Annual,East of England,0.465,9.810
1992,Annual,East of England,0.399,8.873
1993,Annual,East of England,0.383,7.286
1994,Annual,East of England,0.342,7.913
1995,Annual,East of England,0.407,9.563
1996,Annual,East of England,0.411,7.825
1997,Annual,East of England,0.441,7.381
1998,Annual,East of England,0.425,8.675
1999,Annual,East of England,0.424,8.794
2000,Annual,East of England,0.341,6.881
2001,Annual,East of England,0.416,7.897
2002,Annual,East of England,0.391,8.413
2003,Annual,East of England,0.403,10.167
2004,Annual,East of England,0.429,9.429
2005,Annual,East of England,0.381,8.500
2006,Annual,East of England,0.436,7.468
2007,Annual,East of England,0.412,7.563
2008,Annual,East of England,0.467,8.270
2009,Annual,East of England,0.440,8.960
2010,Annual,East of England,0.399,10.817
2011,Annual,East of England,0.461,8.802
2012,Annual,East of England,0.468,10.024
2013,Annual,East of England,0.422,8.325
2014,Annual,East of England,0.424,7.865
2015,Annual,East of England,0.448,9.500
2016,Annual,East of England,0.388,9.873
2017,Annual,East of England,0.398,10.968
2018,Annual,East of England,0.478,8.286
2019,Annual,East of England,0.450,8.833
2020,Annual,East of England,0.489,9.000
2021,Annual,East of England,0.447,8.595
2022,Annual,East of England,0.399,10.659
2023,Annual,East of England,0.406,9.571
2024,Annual,East of England,0.387,7.762
2025,Annual,East of England,0.399,7.667
2026,Annual,East of England,0.402,7.770
2027,Annual,East of England,0.481,12.095
2028,Annual,East of England,0.419,8.103
2029,Annual,East of England,0.367,5.921
2030,Annual,East of England,0.455,9.968
2031,Annual,East of England,0.454,10.976
2032,Annual,East of England,0.401,7.302
2033,Annual,East of England,0.396,7.476
2034,Annual,East of England,0.416,7.524
2035,Annual,East of England,0.379,9.079
2036,Annual,East of England,0.420,8.500
2037,Annual,East of England,0.427,7.889
2038,Annual,East of England,0.414,6.667
2039,Annual,East of England,0.443,8.016
2040,Annual,East of England,0.371,7.429
2041,Annual,East of England,0.431,10.373
2042,Annual,East of England,0.410,7.111
2043,Annual,East of England,0.422,7.786
2044,Annual,East of England,0.473,10.897
2045,Annual,East of England,0.369,9.540
2046,Annual,East of England,0.422,10.238
2047,Annual,East of England,0.416,7.548
2048,Annual,East of England,0.410,8.357
2049,Annual,East of England,0.443,8.540
2050,Annual,East of England,0.414,9.897
2051,Annual,East of England,0.408,7.222
2052,Annual,East of England,0.483,8.016
2053,Annual,East of England,0.424,8.468
2054,Annual,East of England,0.387,6.262
2055,Annual,East of England,0.421,7.976
2056,Annual,East of England,0.442,7.698
2057,Annual,East of England,0.444,10.325
2058,Annual,East of England,0.363,7.365
2059,Annual,East of England,0.410,8.690
2060,Annual,East of England,0.429,9.024
2061,Annual,East of England,0.396,7.230
2062,Annual,East of England,0.377,5.833
2063,Annual,East of England,0.423,8.468
2064,Annual,East of England,0.459,9.095
2065,Annual,East of England,0.409,9.286
2066,Annual,East of England,0.456,9.071
2067,Annual,East of England,0.419,8.786
2068,Annual,East of England,0.470,9.286
2069,Annual,East of England,0.422,9.294
2070,Annual,East of England,0.449,8.389
2071,Annual,East of England,0.420,6.683
2072,Annual,East of England,0.453,9.944
2073,Annual,East of England,0.376,7.381
2074,Annual,East of England,0.377,6.881
2075,Annual,East of England,0.442,8.690
2076,Annual,East of England,0.427,9.389
2077,Annual,East of England,0.356,6.595
2078,Annual,East of England,0.457,8.817
2079,Annual,East of England,0.393,8.929
2080,Annual,East of England,0.409,11.421
1981,Annual,East Scotland,0.491,9.761
1982,Annual,East Scotland,0.460,9.635
1983,Annual,East Scotland,0.432,11.648
1984,Annual,East Scotland,0.446,9.484
1985,Annual,East Scotland,0.435,9.730
1986,Annual,East Scotland,0.502,11.094
1987,Annual,East Scotland,0.513,11.063
1988,Annual,East Scotland,0.461,9.862
1989,Annual,East Scotland,0.448,9.962
1990,Annual,East Scotland,0.459,11.862
1991,Annual,East Scotland,0.469,10.082
1992,Annual,East Scotland,0.446,10.736
1993,Annual,East Scotland,0.473,11.623
1994,Annual,East Scotland,0.407,9.943
