Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.438,16.424
1982,Annual,East Midlands,0.440,10.556
1983,Annual,East Midlands,0.446,11.414
1984,Annual,East Midlands,0.376,7.869
1985,Annual,East Midlands,0.459,9.182
1986,Annual,East Midlands,0.447,8.545
1987,Annual,East Midlands,0.500,13.444
1988,Annual,East Midlands,0.438,11.313
1989,Annual,East Midlands,0.488,13.626
1990,Annual,East Midlands,0.458,11.616
1991,Annual,East Midlands,0.398,9.283
1992,Annual,East Midlands,0.430,11.606
1993,Annual,East Midlands,0.435,12.010
1994,Annual,East Midlands,0.417,13.596
1995,Annual,East Midlands,0.441,10.949
1996,Annual,East Midlands,0.482,14.949
1997,Annual,East Midlands,0.471,13.192
1998,Annual,East Midlands,0.513,11.848
1999,Annual,East Midlands,0.457,14.414
2000,Annual,East Midlands,0.411,9.030
2001,Annual,East Midlands,0.439,10.253
2002,Annual,East Midlands,0.460,10.626
2003,Annual,East Midlands,0.423,9.242
2004,Annual,East Midlands,0.485,12.727
2005,Annual,East Midlands,0.428,9.505
2006,Annual,East Midlands,0.396,9.535
2007,Annual,East Midlands,0.494,13.202
2008,Annual,East Midlands,0.438,15.455
2009,Annual,East Midlands,0.530,13.222
2010,Annual,East Midlands,0.445,9.717
2011,Annual,East Midlands,0.424,12.384
2012,Annual,East Midlands,0.453,11.424
2013,Annual,East Midlands,0.445,9.495
2014,Annual,East Midlands,0.396,10.818
2015,Annual,East Midlands,0.449,12.828
2016,Annual,East Midlands,0.410,9.515
2017,Annual,East Midlands,0.422,11.707
2018,Annual,East Midlands,0.477,8.778
2019,Annual,East Midlands,0.451,10.505
2020,Annual,East Midlands,0.472,9.879
2021,Annual,East Midlands,0.428,9.758
2022,Annual,East Midlands,0.406,8.980
2023,Annual,East Midlands,0.396,10.424
2024,Annual,East Midlands,0.422,9.374
2025,Annual,East Midlands,0.382,7.556
2026,Annual,East Midlands,0.457,10.374
2027,Annual,East Midlands,0.482,10.051
2028,Annual,East Midlands,0.431,12.222
2029,Annual,East Midlands,0.442,10.677
2030,Annual,East Midlands,0.404,8.687
2031,Annual,East Midlands,0.504,12.010
2032,Annual,East Midlands,0.370,6.364
2033,Annual,East Midlands,0.453,11.687
2034,Annual,East Midlands,0.450,9.212
2035,Annual,East Midlands,0.440,9.475
2036,Annual,East Midlands,0.436,9.990
2037,Annual,East Midlands,0.409,8.636
2038,Annual,East Midlands,0.492,13.758
2039,Annual,East Midlands,0.487,12.636
2040,Annual,East Midlands,0.377,7.505
2041,Annual,East Midlands,0.426,11.051
2042,Annual,East Midlands,0.414,8.424
2043,Annual,East Midlands,0.473,12.354
2044,Annual,East Midlands,0.459,11.798
2045,Annual,East Midlands,0.437,9.747
2046,Annual,East Midlands,0.445,14.374
2047,Annual,East Midlands,0.417,11.061
2048,Annual,East Midlands,0.435,9.051
2049,Annual,East Midlands,0.435,9.101
2050,Annual,East Midlands,0.437,10.293
2051,Annual,East Midlands,0.473,12.687
2052,Annual,East Midlands,0.503,9.889
2053,Annual,East Midlands,0.428,9.354
2054,Annual,East Midlands,0.404,8.828
2055,Annual,East Midlands,0.430,10.374
2056,Annual,East Midlands,0.417,8.960
2057,Annual,East Midlands,0.417,9.051
2058,Annual,East Midlands,0.419,8.737
2059,Annual,East Midlands,0.366,7.273
2060,Annual,East Midlands,0.409,9.061
2061,Annual,East Midlands,0.395,6.697
2062,Annual,East Midlands,0.440,8.657
2063,Annual,East Midlands,0.440,9.879
2064,Annual,East Midlands,0.476,10.960
2065,Annual,East Midlands,0.476,10.071
2066,Annual,East Midlands,0.467,9.303
2067,Annual,East Midlands,0.396,9.970
2068,Annual,East Midlands,0.451,9.737
2069,Annual,East Midlands,0.441,11.545
2070,Annual,East Midlands,0.473,12.141
2071,Annual,East Midlands,0.434,11.737
2072,Annual,East Midlands,0.427,10.081
2073,Annual,East Midlands,0.381,8.293
2074,Annual,East Midlands,0.442,14.000
2075,Annual,East Midlands,0.483,9.576
2076,Annual,East Midlands,0.454,13.172
2077,Annual,East Midlands,0.448,11.374
2078,Annual,East Midlands,0.478,10.848
2079,Annual,East Midlands,0.432,11.586
1981,Annual,East of England,0.414,13.200
1982,Annual,East of England,0.437,10.192
1983,Annual,East of England,0.439,10.375
1984,Annual,East of England,0.375,7.217
1985,Annual,East of England,0.444,9.358
1986,Annual,East of England,0.418,8.183
1987,Annual,East of England,0.484,12.925
1988,Annual,East of England,0.408,8.308
1989,Annual,East of England,0.447,11.492
1990,Annual,East of England,0.449,9.850
1991,Annual,East of England,0.389,7.033
1992,Annual,East of England,0.404,11.133
1993,Annual,East of England,0.425,12.708
1994,Annual,East of England,0.408,15.258
1995,Annual,East of England,0.406,9.042
1996,Annual,East of England,0.467,12.533
1997,Annual,East of England,0.416,10.250
1998,Annual,East of England,0.507,14.858
1999,Annual,East of England,0.432,12.942
2000,Annual,East of England,0.402,8.483
2001,Annual,East of England,0.444,10.817
2002,Annual,East of England,0.484,10.867
2003,Annual,East of England,0.426,8.858
2004,Annual,East of England,0.486,10.408
2005,Annual,East of England,0.410,9.208
2006,Annual,East of England,0.377,8.592
2007,Annual,East of England,0.478,13.350
2008,Annual,East of England,0.434,13.708
2009,Annual,East of England,0.530,13.258
2010,Annual,East of England,0.439,9.783
2011,Annual,East of England,0.409,12.708
2012,Annual,East of England,0.462,11.175
2013,Annual,East of England,0.455,9.958
2014,Annual,East of England,0.374,7.083
2015,Annual,East of England,0.426,8.717
2016,Annual,East of England,0.410,9.108
2017,Annual,East of England,0.427,12.983
2018,Annual,East of England,0.460,10.567
2019,Annual,East of England,0.442,9.317
2020,Annual,East of England,0.444,8.625
2021,Annual,East of England,0.432,10.108
2022,Annual,East of England,0.384,8.008
2023,Annual,East of England,0.391,11.983
2024,Annual,East of England,0.404,8.100
2025,Annual,East of England,0.361,7.367
2026,Annual,East of England,0.463,12.025
2027,Annual,East of England,0.462,9.392
2028,Annual,East of England,0.417,11.092
2029,Annual,East of England,0.402,8.867
2030,Annual,East of England,0.384,8.125
2031,Annual,East of England,0.507,10.492
2032,Annual,East of England,0.369,6.942
2033,Annual,East of England,0.435,9.792
2034,Annual,East of England,0.424,8.633
2035,Annual,East of England,0.436,9.575
2036,Annual,East of England,0.428,11.633
2037,Annual,East of England,0.403,9.342
2038,Annual,East of England,0.461,12.517
2039,Annual,East of England,0.474,10.333
2040,Annual,East of England,0.372,7.683
2041,Annual,East of England,0.411,11.275
2042,Annual,East of England,0.418,8.067
2043,Annual,East of England,0.494,11.875
2044,Annual,East of England,0.433,9.950
2045,Annual,East of England,0.432,9.508
2046,Annual,East of England,0.447,15.425
2047,Annual,East of England,0.434,10.658
2048,Annual,East of England,0.406,9.042
2049,Annual,East of England,0.433,11.950
2050,Annual,East of England,0.441,9.658
2051,Annual,East of England,0.472,12.658
2052,Annual,East of England,0.476,9.650
2053,Annual,East of England,0.405,11.567
2054,Annual,East of England,0.425,7.633
2055,Annual,East of England,0.433,10.717
2056,Annual,East of England,0.377,9.750
2057,Annual,East of England,0.430,8.550
2058,Annual,East of England,0.415,9.525
2059,Annual,East of England,0.359,6.383
2060,Annual,East of England,0.408,9.242
2061,Annual,East of England,0.398,7.583
2062,Annual,East of England,0.442,7.667
2063,Annual,East of England,0.443,8.992
2064,Annual,East of England,0.458,8.858
2065,Annual,East of England,0.478,9.000
2066,Annual,East of England,0.480,10.650
2067,Annual,East of England,0.381,8.717
2068,Annual,East of England,0.445,9.867
2069,Annual,East of England,0.449,14.775
2070,Annual,East of England,0.487,9.875
2071,Annual,East of England,0.410,9.817
2072,Annual,East of England,0.411,8.658
2073,Annual,East of England,0.357,8.450
2074,Annual,East of England,0.434,14.358
2075,Annual,East of England,0.455,9.467
2076,Annual,East of England,0.443,12.575
2077,Annual,East of England,0.440,11.450
2078,Annual,East of England,0.456,9.467
2079,Annual,East of England,0.406,9.317
1981,Annual,East Scotland,0.521,19.821
1982,Annual,East Scotland,0.519,14.513
1983,Annual,East Scotland,0.500,12.167
1984,Annual,East Scotland,0.481,10.987
1985,Annual,East Scotland,0.570,14.910
1986,Annual,East Scotland,0.535,11.955
1987,Annual,East Scotland,0.561,19.558
1988,Annual,East Scotland,0.512,13.994
1989,Annual,East Scotland,0.549,18.885
1990,Annual,East Scotland,0.516,13.795
1991,Annual,East Scotland,0.504,13.814
1992,Annual,East Scotland,0.530,15.212
1993,Annual,East Scotland,0.552,15.083
1994,Annual,East Scotland,0.508,16.327
1995,Annual,East Scotland,0.553,15.821
1996,Annual,East Scotland,0.562,16.878
1997,Annual,East Scotland,0.518,15.949
1998,Annual,East Scotland,0.530,13.045
1999,Annual,East Scotland,0.496,10.583
2000,Annual,East Scotland,0.497,13.436
2001,Annual,East Scotland,0.534,18.192
2002,Annual,East Scotland,0.473,13.468
2003,Annual,East Scotland,0.490,10.365
2004,Annual,East Scotland,0.529,13.327
2005,Annual,East Scotland,0.512,12.891
2006,Annual,East Scotland,0.498,13.090
2007,Annual,East Scotland,0.539,12.904
2008,Annual,East Scotland,0.524,18.141
2009,Annual,East Scotland,0.564,14.263
2010,Annual,East Scotland,0.531,13.051
2011,Annual,East Scotland,0.521,21.365
2012,Annual,East Scotland,0.512,13.429
2013,Annual,East Scotland,0.535,13.321
2014,Annual,East Scotland,0.465,9.853
2015,Annual,East Scotland,0.517,11.571
2016,Annual,East Scotland,0.494,11.103
2017,Annual,East Scotland,0.525,12.750
2018,Annual,East Scotland,0.522,12.327
2019,Annual,East Scotland,0.494,14.615
2020,Annual,East Scotland,0.539,13.551
2021,Annual,East Scotland,0.519,14.641
2022,Annual,East Scotland,0.495,11.744
2023,Annual,East Scotland,0.451,12.077
2024,Annual,East Scotland,0.515,9.788
2025,Annual,East Scotland,0.470,11.122
2026,Annual,East Scotland,0.541,17.122
2027,Annual,East Scotland,0.565,12.596
2028,Annual,East Scotland,0.513,13.019
2029,Annual,East Scotland,0.567,14.788
2030,Annual,East Scotland,0.493,11.571
2031,Annual,East Scotland,0.559,18.224
2032,Annual,East Scotland,0.481,10.987
2033,Annual,East Scotland,0.478,13.571
2034,Annual,East Scotland,0.483,13.218
2035,Annual,East Scotland,0.545,16.263
2036,Annual,East Scotland,0.468,10.615
2037,Annual,East Scotland,0.513,12.244
2038,Annual,East Scotland,0.554,14.532
2039,Annual,East Scotland,0.521,14.167
2040,Annual,East Scotland,0.498,9.904
2041,Annual,East Scotland,0.535,15.096
2042,Annual,East Scotland,0.539,12.603
2043,Annual,East Scotland,0.541,14.551
2044,Annual,East Scotland,0.536,14.769
2045,Annual,East Scotland,0.485,9.462
2046,Annual,East Scotland,0.515,13.404
2047,Annual,East Scotland,0.489,15.032
2048,Annual,East Scotland,0.533,12.506
2049,Annual,East Scotland,0.507,12.423
2050,Annual,East Scotland,0.459,11.481
2051,Annual,East Scotland,0.508,15.923
2052,Annual,East Scotland,0.513,12.763
2053,Annual,East Scotland,0.537,11.942
2054,Annual,East Scotland,0.491,12.064
2055,Annual,East Scotland,0.502,13.269
2056,Annual,East Scotland,0.526,11.276
2057,Annual,East Scotland,0.483,15.109
2058,Annual,East Scotland,0.467,8.878
2059,Annual,East Scotland,0.466,10.019
2060,Annual,East Scotland,0.503,12.635
2061,Annual,East Scotland,0.504,11.346
2062,Annual,East Scotland,0.498,12.538
2063,Annual,East Scotland,0.540,12.513
2064,Annual,East Scotland,0.513,13.519
2065,Annual,East Scotland,0.512,10.872
2066,Annual,East Scotland,0.517,11.154
2067,Annual,East Scotland,0.501,13.429
2068,Annual,East Scotland,0.501,11.096
2069,Annual,East Scotland,0.513,16.859
2070,Annual,East Scotland,0.542,12.968
2071,Annual,East Scotland,0.481,12.500
2072,Annual,East Scotland,0.520,12.891
2073,Annual,East Scotland,0.508,14.551
2074,Annual,East Scotland,0.499,13.436
2075,Annual,East Scotland,0.570,15.340
2076,Annual,East Scotland,0.505,13.513
2077,Annual,East Scotland,0.553,12.628
2078,Annual,East Scotland,0.584,12.353
2079,Annual,East Scotland,0.513,13.231
1981,Annual,London,0.433,13.200
1982,Annual,London,0.448,9.600
1983,Annual,London,0.470,12.900
1984,Annual,London,0.384,7.000
1985,Annual,London,0.455,8.100
1986,Annual,London,0.453,9.400
1987,Annual,London,0.498,10.000
1988,Annual,London,0.437,8.200
1989,Annual,London,0.470,12.400
1990,Annual,London,0.456,10.800
1991,Annual,London,0.415,10.600
1992,Annual,London,0.447,11.300
1993,Annual,London,0.444,10.300
1994,Annual,London,0.420,10.200
1995,Annual,London,0.413,7.700
1996,Annual,London,0.463,11.400
1997,Annual,London,0.428,7.100
1998,Annual,London,0.513,13.500
1999,Annual,London,0.454,14.300
2000,Annual,London,0.406,7.200
2001,Annual,London,0.455,11.300
2002,Annual,London,0.493,10.700
2003,Annual,London,0.432,7.900
2004,Annual,London,0.487,9.400
2005,Annual,London,0.397,8.600
2006,Annual,London,0.377,8.100
2007,Annual,London,0.473,12.200
2008,Annual,London,0.455,13.600
2009,Annual,London,0.532,11.200
2010,Annual,London,0.471,12.000
2011,Annual,London,0.427,9.800
2012,Annual,London,0.503,10.200
2013,Annual,London,0.455,11.300
2014,Annual,London,0.396,8.300
2015,Annual,London,0.446,8.400
2016,Annual,London,0.408,8.300
2017,Annual,London,0.436,13.300
2018,Annual,London,0.462,9.100
2019,Annual,London,0.424,7.700
2020,Annual,London,0.479,9.200
2021,Annual,London,0.447,12.800
2022,Annual,London,0.387,7.200
2023,Annual,London,0.426,12.300
2024,Annual,London,0.413,7.700
2025,Annual,London,0.370,7.000
2026,Annual,London,0.458,11.900
2027,Annual,London,0.488,10.300
2028,Annual,London,0.420,9.200
2029,Annual,London,0.442,9.400
2030,Annual,London,0.399,8.700
2031,Annual,London,0.498,12.000
2032,Annual,London,0.398,7.500
2033,Annual,London,0.461,10.500
2034,Annual,London,0.416,7.000
2035,Annual,London,0.464,10.700
2036,Annual,London,0.448,10.700
2037,Annual,London,0.449,11.200
2038,Annual,London,0.468,12.600
2039,Annual,London,0.499,9.300
2040,Annual,London,0.396,10.200
2041,Annual,London,0.402,10.000
2042,Annual,London,0.440,8.400
2043,Annual,London,0.493,13.500
2044,Annual,London,0.425,11.800
2045,Annual,London,0.433,8.600
2046,Annual,London,0.458,14.300
2047,Annual,London,0.447,11.600
2048,Annual,London,0.430,12.200
2049,Annual,London,0.442,17.700
2050,Annual,London,0.414,7.300
2051,Annual,London,0.511,17.100
2052,Annual,London,0.509,10.900
2053,Annual,London,0.419,8.200
2054,Annual,London,0.433,7.600
2055,Annual,London,0.438,7.900
2056,Annual,London,0.393,10.300
2057,Annual,London,0.438,9.400
2058,Annual,London,0.422,12.400
2059,Annual,London,0.366,6.500
2060,Annual,London,0.393,8.700
2061,Annual,London,0.421,8.500
2062,Annual,London,0.452,8.100
2063,Annual,London,0.444,11.200
2064,Annual,London,0.478,8.400
2065,Annual,London,0.508,9.800
2066,Annual,London,0.492,11.700
2067,Annual,London,0.391,7.800
2068,Annual,London,0.467,12.800
2069,Annual,London,0.469,15.500
2070,Annual,London,0.481,9.800
2071,Annual,London,0.410,8.700
2072,Annual,London,0.457,8.600
2073,Annual,London,0.360,7.000
2074,Annual,London,0.445,14.300
2075,Annual,London,0.467,10.000
2076,Annual,London,0.452,10.100
2077,Annual,London,0.429,9.000
2078,Annual,London,0.478,9.900
2079,Annual,London,0.451,13.800
1981,Annual,North East England,0.475,14.037
1982,Annual,North East England,0.486,11.167
1983,Annual,North East England,0.474,10.593
1984,Annual,North East England,0.471,10.278
1985,Annual,North East England,0.507,12.815
1986,Annual,North East England,0.482,9.278
1987,Annual,North East England,0.515,12.000
1988,Annual,North East England,0.500,14.167
1989,Annual,North East England,0.519,17.833
1990,Annual,North East England,0.490,13.722
1991,Annual,North East England,0.460,11.426
1992,Annual,North East England,0.478,13.407
1993,Annual,North East England,0.502,14.130
1994,Annual,North East England,0.469,13.167
1995,Annual,North East England,0.478,11.259
1996,Annual,North East England,0.517,13.815
1997,Annual,North East England,0.491,16.444
1998,Annual,North East England,0.502,12.093
1999,Annual,North East England,0.458,10.519
2000,Annual,North East England,0.463,12.778
2001,Annual,North East England,0.518,15.722
2002,Annual,North East England,0.454,11.833
2003,Annual,North East England,0.488,10.056
2004,Annual,North East England,0.501,13.259
2005,Annual,North East England,0.454,10.852
2006,Annual,North East England,0.441,11.537
2007,Annual,North East England,0.531,13.630
