Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.468,12.125
1982,Annual,East Midlands,0.430,14.106
1983,Annual,East Midlands,0.445,9.279
1984,Annual,East Midlands,0.392,7.154
1985,Annual,East Midlands,0.459,10.125
1986,Annual,East Midlands,0.504,15.279
1987,Annual,East Midlands,0.470,9.654
1988,Annual,East Midlands,0.407,7.740
1989,Annual,East Midlands,0.463,11.462
1990,Annual,East Midlands,0.433,12.067
1991,Annual,East Midlands,0.380,6.471
1992,Annual,East Midlands,0.414,9.548
1993,Annual,East Midlands,0.488,11.442
1994,Annual,East Midlands,0.451,9.567
1995,Annual,East Midlands,0.459,10.481
1996,Annual,East Midlands,0.454,13.548
1997,Annual,East Midlands,0.469,11.298
1998,Annual,East Midlands,0.476,9.933
1999,Annual,East Midlands,0.477,9.750
2000,Annual,East Midlands,0.414,8.769
2001,Annual,East Midlands,0.421,8.808
2002,Annual,East Midlands,0.435,11.298
2003,Annual,East Midlands,0.434,15.942
2004,Annual,East Midlands,0.434,10.212
2005,Annual,East Midlands,0.449,12.163
2006,Annual,East Midlands,0.453,9.952
2007,Annual,East Midlands,0.466,13.856
2008,Annual,East Midlands,0.528,11.000
2009,Annual,East Midlands,0.498,10.183
2010,Annual,East Midlands,0.435,11.769
2011,Annual,East Midlands,0.428,10.971
2012,Annual,East Midlands,0.445,7.962
2013,Annual,East Midlands,0.461,11.817
2014,Annual,East Midlands,0.411,8.875
2015,Annual,East Midlands,0.458,11.019
2016,Annual,East Midlands,0.421,6.769
2017,Annual,East Midlands,0.483,12.442
2018,Annual,East Midlands,0.501,11.221
2019,Annual,East Midlands,0.524,12.962
2020,Annual,East Midlands,0.504,12.952
2021,Annual,East Midlands,0.500,12.087
2022,Annual,East Midlands,0.458,9.510
2023,Annual,East Midlands,0.416,9.596
2024,Annual,East Midlands,0.400,7.135
2025,Annual,East Midlands,0.433,7.798
2026,Annual,East Midlands,0.496,9.096
2027,Annual,East Midlands,0.429,8.433
2028,Annual,East Midlands,0.420,6.981
2029,Annual,East Midlands,0.350,6.288
2030,Annual,East Midlands,0.464,9.308
2031,Annual,East Midlands,0.455,11.077
2032,Annual,East Midlands,0.433,8.317
2033,Annual,East Midlands,0.418,8.058
2034,Annual,East Midlands,0.496,12.000
2035,Annual,East Midlands,0.457,11.260
2036,Annual,East Midlands,0.419,7.125
2037,Annual,East Midlands,0.464,12.913
2038,Annual,East Midlands,0.457,8.875
2039,Annual,East Midlands,0.488,13.673
2040,Annual,East Midlands,0.470,8.452
2041,Annual,East Midlands,0.437,8.760
2042,Annual,East Midlands,0.415,8.337
2043,Annual,East Midlands,0.471,10.510
2044,Annual,East Midlands,0.479,12.019
2045,Annual,East Midlands,0.454,7.635
2046,Annual,East Midlands,0.503,13.231
2047,Annual,East Midlands,0.416,12.596
2048,Annual,East Midlands,0.421,11.519
2049,Annual,East Midlands,0.509,11.010
2050,Annual,East Midlands,0.458,11.625
2051,Annual,East Midlands,0.418,9.808
2052,Annual,East Midlands,0.492,12.375
2053,Annual,East Midlands,0.464,9.385
2054,Annual,East Midlands,0.464,9.337
2055,Annual,East Midlands,0.438,7.212
2056,Annual,East Midlands,0.494,13.221
2057,Annual,East Midlands,0.458,9.500
2058,Annual,East Midlands,0.440,8.462
2059,Annual,East Midlands,0.472,9.385
2060,Annual,East Midlands,0.402,8.365
2061,Annual,East Midlands,0.376,8.798
2062,Annual,East Midlands,0.440,8.404
2063,Annual,East Midlands,0.452,9.058
2064,Annual,East Midlands,0.483,9.038
2065,Annual,East Midlands,0.479,9.087
2066,Annual,East Midlands,0.420,12.490
2067,Annual,East Midlands,0.428,10.952
2068,Annual,East Midlands,0.471,11.212
2069,Annual,East Midlands,0.472,11.644
2070,Annual,East Midlands,0.500,11.096
2071,Annual,East Midlands,0.412,8.519
2072,Annual,East Midlands,0.486,15.067
2073,Annual,East Midlands,0.381,7.413
2074,Annual,East Midlands,0.439,9.365
2075,Annual,East Midlands,0.446,9.067
2076,Annual,East Midlands,0.439,8.298
2077,Annual,East Midlands,0.419,8.567
2078,Annual,East Midlands,0.457,8.548
2079,Annual,East Midlands,0.482,15.750
2080,Annual,East Midlands,0.461,9.154
1981,Annual,East of England,0.431,10.822
1982,Annual,East of England,0.438,14.349
1983,Annual,East of England,0.441,10.915
1984,Annual,East of England,0.404,6.093
1985,Annual,East of England,0.430,8.837
1986,Annual,East of England,0.514,13.667
1987,Annual,East of England,0.470,10.171
1988,Annual,East of England,0.390,9.271
1989,Annual,East of England,0.452,13.667
1990,Annual,East of England,0.435,10.062
1991,Annual,East of England,0.380,7.953
1992,Annual,East of England,0.401,7.008
1993,Annual,East of England,0.488,9.519
1994,Annual,East of England,0.423,8.171
1995,Annual,East of England,0.459,9.612
1996,Annual,East of England,0.464,18.209
1997,Annual,East of England,0.438,13.256
1998,Annual,East of England,0.478,10.504
1999,Annual,East of England,0.454,9.194
2000,Annual,East of England,0.402,8.388
2001,Annual,East of England,0.420,9.264
2002,Annual,East of England,0.421,10.884
2003,Annual,East of England,0.442,16.101
2004,Annual,East of England,0.423,8.806
2005,Annual,East of England,0.443,9.543
2006,Annual,East of England,0.453,8.643
2007,Annual,East of England,0.445,13.992
2008,Annual,East of England,0.525,13.589
2009,Annual,East of England,0.466,9.636
2010,Annual,East of England,0.416,9.147
2011,Annual,East of England,0.450,14.527
2012,Annual,East of England,0.445,7.364
2013,Annual,East of England,0.438,12.426
2014,Annual,East of England,0.393,8.457
2015,Annual,East of England,0.447,10.845
2016,Annual,East of England,0.422,7.915
2017,Annual,East of England,0.457,9.977
2018,Annual,East of England,0.485,12.713
2019,Annual,East of England,0.525,15.070
2020,Annual,East of England,0.509,12.891
