Year,Season,Region,fwd,wsmax
1892,Annual,East Midlands,0.368,8.607
1893,Annual,East Midlands,0.313,6.925
1894,Annual,East Midlands,0.379,8.411
1895,Annual,East Midlands,0.366,10.439
1896,Annual,East Midlands,0.357,9.981
1897,Annual,East Midlands,0.377,8.766
1898,Annual,East Midlands,0.318,8.991
1899,Annual,East Midlands,0.346,11.000
1900,Annual,East Midlands,0.404,10.607
1901,Annual,East Midlands,0.320,9.318
1902,Annual,East Midlands,0.377,8.850
1903,Annual,East Midlands,0.413,15.869
1904,Annual,East Midlands,0.327,10.234
1905,Annual,East Midlands,0.360,9.421
1906,Annual,East Midlands,0.349,9.000
1907,Annual,East Midlands,0.396,8.140
1908,Annual,East Midlands,0.355,9.383
1909,Annual,East Midlands,0.360,8.084
1910,Annual,East Midlands,0.382,8.112
1911,Annual,East Midlands,0.312,7.028
1912,Annual,East Midlands,0.427,11.692
1913,Annual,East Midlands,0.338,9.019
1914,Annual,East Midlands,0.319,7.495
1915,Annual,East Midlands,0.347,8.944
1916,Annual,East Midlands,0.427,11.150
1917,Annual,East Midlands,0.364,9.093
1918,Annual,East Midlands,0.347,9.421
1919,Annual,East Midlands,0.362,8.916
1920,Annual,East Midlands,0.389,10.776
1921,Annual,East Midlands,0.269,6.206
1922,Annual,East Midlands,0.384,9.841
1923,Annual,East Midlands,0.387,9.654
1924,Annual,East Midlands,0.388,9.187
1925,Annual,East Midlands,0.340,7.869
1926,Annual,East Midlands,0.374,8.794
1927,Annual,East Midlands,0.388,10.364
1928,Annual,East Midlands,0.372,7.972
1929,Annual,East Midlands,0.270,6.692
1930,Annual,East Midlands,0.406,9.598
1931,Annual,East Midlands,0.369,6.907
1932,Annual,East Midlands,0.348,7.364
1933,Annual,East Midlands,0.303,8.065
1934,Annual,East Midlands,0.289,6.262
1935,Annual,East Midlands,0.382,8.888
1936,Annual,East Midlands,0.392,8.972
1937,Annual,East Midlands,0.342,8.645
1938,Annual,East Midlands,0.325,8.374
1939,Annual,East Midlands,0.406,9.710
1940,Annual,East Midlands,0.317,8.271
1941,Annual,East Midlands,0.354,6.963
1942,Annual,East Midlands,0.297,8.533
1943,Annual,East Midlands,0.325,6.841
1944,Annual,East Midlands,0.335,11.243
1945,Annual,East Midlands,0.308,8.607
1946,Annual,East Midlands,0.369,10.430
1947,Annual,East Midlands,0.340,10.028
1948,Annual,East Midlands,0.352,8.112
1949,Annual,East Midlands,0.277,6.280
1950,Annual,East Midlands,0.379,7.897
1951,Annual,East Midlands,0.407,9.757
1952,Annual,East Midlands,0.334,8.785
1953,Annual,East Midlands,0.310,7.981
1954,Annual,East Midlands,0.397,8.514
1955,Annual,East Midlands,0.283,6.393
1956,Annual,East Midlands,0.345,8.159
