Year,Season,Region,fwd,wsmax
1981,Annual,East Midlands,0.441,12.087
1982,Annual,East Midlands,0.397,6.854
1983,Annual,East Midlands,0.408,10.505
1984,Annual,East Midlands,0.349,7.718
1985,Annual,East Midlands,0.360,7.262
1986,Annual,East Midlands,0.395,7.660
1987,Annual,East Midlands,0.428,12.204
1988,Annual,East Midlands,0.416,8.388
1989,Annual,East Midlands,0.379,9.165
1990,Annual,East Midlands,0.349,7.126
1991,Annual,East Midlands,0.449,10.155
1992,Annual,East Midlands,0.415,9.097
1993,Annual,East Midlands,0.405,7.981
1994,Annual,East Midlands,0.436,12.320
1995,Annual,East Midlands,0.373,10.767
1996,Annual,East Midlands,0.422,11.650
1997,Annual,East Midlands,0.514,11.408
1998,Annual,East Midlands,0.454,8.350
1999,Annual,East Midlands,0.435,8.117
2000,Annual,East Midlands,0.368,9.806
2001,Annual,East Midlands,0.413,9.243
2002,Annual,East Midlands,0.426,10.019
2003,Annual,East Midlands,0.408,8.408
2004,Annual,East Midlands,0.422,8.184
2005,Annual,East Midlands,0.404,8.612
2006,Annual,East Midlands,0.444,7.709
2007,Annual,East Midlands,0.375,10.330
2008,Annual,East Midlands,0.369,7.359
2009,Annual,East Midlands,0.424,9.340
2010,Annual,East Midlands,0.379,9.262
2011,Annual,East Midlands,0.407,11.010
2012,Annual,East Midlands,0.368,9.437
2013,Annual,East Midlands,0.442,8.010
2014,Annual,East Midlands,0.421,11.913
2015,Annual,East Midlands,0.374,8.136
2016,Annual,East Midlands,0.392,8.485
2017,Annual,East Midlands,0.367,10.204
2018,Annual,East Midlands,0.418,8.417
2019,Annual,East Midlands,0.389,9.165
2020,Annual,East Midlands,0.385,7.359
2021,Annual,East Midlands,0.468,10.680
2022,Annual,East Midlands,0.315,9.922
2023,Annual,East Midlands,0.365,8.117
2024,Annual,East Midlands,0.388,7.379
2025,Annual,East Midlands,0.305,7.388
2026,Annual,East Midlands,0.433,10.252
2027,Annual,East Midlands,0.414,8.612
2028,Annual,East Midlands,0.342,8.155
2029,Annual,East Midlands,0.360,10.427
2030,Annual,East Midlands,0.399,9.495
2031,Annual,East Midlands,0.342,6.466
2032,Annual,East Midlands,0.403,6.757
2033,Annual,East Midlands,0.425,11.039
2034,Annual,East Midlands,0.423,7.126
2035,Annual,East Midlands,0.397,11.369
2036,Annual,East Midlands,0.307,7.592
2037,Annual,East Midlands,0.423,8.689
2038,Annual,East Midlands,0.335,9.350
2039,Annual,East Midlands,0.394,7.922
2040,Annual,East Midlands,0.394,6.883
2041,Annual,East Midlands,0.361,7.777
2042,Annual,East Midlands,0.448,11.379
2043,Annual,East Midlands,0.345,6.825
2044,Annual,East Midlands,0.370,7.398
2045,Annual,East Midlands,0.359,6.816
2046,Annual,East Midlands,0.376,7.204
2047,Annual,East Midlands,0.327,7.670
2048,Annual,East Midlands,0.333,9.583
2049,Annual,East Midlands,0.331,7.369
2050,Annual,East Midlands,0.395,9.301
2051,Annual,East Midlands,0.289,9.641
2052,Annual,East Midlands,0.347,6.757
2053,Annual,East Midlands,0.397,9.476
2054,Annual,East Midlands,0.338,10.214
2055,Annual,East Midlands,0.417,8.301
2056,Annual,East Midlands,0.344,8.350
2057,Annual,East Midlands,0.376,8.272
2058,Annual,East Midlands,0.321,7.660
2059,Annual,East Midlands,0.336,10.330
2060,Annual,East Midlands,0.357,9.301
2061,Annual,East Midlands,0.307,8.175
2062,Annual,East Midlands,0.348,9.553
2063,Annual,East Midlands,0.354,9.583
2064,Annual,East Midlands,0.368,7.942
2065,Annual,East Midlands,0.342,8.165
2066,Annual,East Midlands,0.410,10.476
2067,Annual,East Midlands,0.397,6.990
2068,Annual,East Midlands,0.325,10.447
2069,Annual,East Midlands,0.393,6.951
2070,Annual,East Midlands,0.308,7.398
2071,Annual,East Midlands,0.362,9.058
2072,Annual,East Midlands,0.326,8.126
2073,Annual,East Midlands,0.315,5.893
2074,Annual,East Midlands,0.396,7.447
2075,Annual,East Midlands,0.313,8.184
2076,Annual,East Midlands,0.317,7.718
2077,Annual,East Midlands,0.361,9.883
2078,Annual,East Midlands,0.318,6.874
2079,Annual,East Midlands,0.350,9.670
2080,Annual,East Midlands,0.318,8.670
1981,Annual,East of England,0.427,11.252
1982,Annual,East of England,0.389,7.252
1983,Annual,East of England,0.394,10.732
1984,Annual,East of England,0.348,7.228
1985,Annual,East of England,0.347,6.811
1986,Annual,East of England,0.376,6.874
1987,Annual,East of England,0.404,8.858
1988,Annual,East of England,0.399,10.071
1989,Annual,East of England,0.362,9.780
1990,Annual,East of England,0.338,6.772
1991,Annual,East of England,0.412,8.496
1992,Annual,East of England,0.400,8.961
1993,Annual,East of England,0.384,7.559
1994,Annual,East of England,0.412,9.850
1995,Annual,East of England,0.327,8.591
1996,Annual,East of England,0.394,11.118
1997,Annual,East of England,0.495,10.087
1998,Annual,East of England,0.436,7.654
1999,Annual,East of England,0.400,7.189
2000,Annual,East of England,0.344,11.189
2001,Annual,East of England,0.381,9.606
2002,Annual,East of England,0.387,10.110
2003,Annual,East of England,0.385,7.354
2004,Annual,East of England,0.397,7.094
2005,Annual,East of England,0.384,9.362
2006,Annual,East of England,0.423,7.488
2007,Annual,East of England,0.373,12.504
2008,Annual,East of England,0.341,6.850
2009,Annual,East of England,0.387,10.094
2010,Annual,East of England,0.366,7.961
2011,Annual,East of England,0.424,8.591
2012,Annual,East of England,0.342,8.598
2013,Annual,East of England,0.429,8.583
2014,Annual,East of England,0.397,10.976
2015,Annual,East of England,0.362,8.417
2016,Annual,East of England,0.392,9.622
2017,Annual,East of England,0.344,8.472
2018,Annual,East of England,0.402,8.047
2019,Annual,East of England,0.361,9.465
2020,Annual,East of England,0.369,7.472
2021,Annual,East of England,0.460,11.063
2022,Annual,East of England,0.298,7.079
2023,Annual,East of England,0.373,7.205
2024,Annual,East of England,0.356,6.787
2025,Annual,East of England,0.297,6.402
2026,Annual,East of England,0.417,8.480
2027,Annual,East of England,0.406,8.961
2028,Annual,East of England,0.323,8.260
2029,Annual,East of England,0.346,8.827
2030,Annual,East of England,0.377,9.638
2031,Annual,East of England,0.327,6.559
2032,Annual,East of England,0.386,8.126
2033,Annual,East of England,0.416,9.213
2034,Annual,East of England,0.415,7.142
2035,Annual,East of England,0.383,10.118
2036,Annual,East of England,0.281,9.291
2037,Annual,East of England,0.388,7.457
2038,Annual,East of England,0.321,8.260
2039,Annual,East of England,0.379,7.780
2040,Annual,East of England,0.364,6.488
2041,Annual,East of England,0.360,7.646
2042,Annual,East of England,0.422,14.055
2043,Annual,East of England,0.342,8.417
2044,Annual,East of England,0.337,8.102
2045,Annual,East of England,0.367,7.031
2046,Annual,East of England,0.372,8.268
2047,Annual,East of England,0.327,7.559
2048,Annual,East of England,0.329,9.850
2049,Annual,East of England,0.321,6.992
2050,Annual,East of England,0.362,8.945
2051,Annual,East of England,0.267,7.071
2052,Annual,East of England,0.337,6.370
2053,Annual,East of England,0.400,7.354
2054,Annual,East of England,0.332,8.118
2055,Annual,East of England,0.401,7.189
2056,Annual,East of England,0.330,7.567
2057,Annual,East of England,0.359,6.661
2058,Annual,East of England,0.311,8.551
2059,Annual,East of England,0.338,12.157
2060,Annual,East of England,0.345,10.331
2061,Annual,East of England,0.293,8.323
2062,Annual,East of England,0.324,8.087
2063,Annual,East of England,0.327,8.008
2064,Annual,East of England,0.337,6.764
2065,Annual,East of England,0.332,8.220
2066,Annual,East of England,0.390,10.819
2067,Annual,East of England,0.373,6.843
2068,Annual,East of England,0.305,8.102
2069,Annual,East of England,0.347,6.000
2070,Annual,East of England,0.311,7.677
2071,Annual,East of England,0.341,7.173
2072,Annual,East of England,0.312,9.457
2073,Annual,East of England,0.292,5.307
2074,Annual,East of England,0.374,7.913
2075,Annual,East of England,0.292,8.394
2076,Annual,East of England,0.315,7.843
